[0.00-4.40] 好,各位博士先進午安,感謝各位今天領域大政見的訪問
[2715.36-2716.90] 或是MPO的头
[2716.90-2719.76] 直接让客人对接到下一个Server去
[2719.76-2721.30] 就是外部线接触区
[2721.30-2722.80] 那这样子它就可以省掉
[2722.80-2724.04] 所有中间的Low
[2724.04-2726.82] 跟里面的一些
[2726.82-2728.98] 包含File的一些Control
[2728.98-2731.38] 那目前Switch的厂商
[2731.38-2733.04] 在做到400G
[2733.04-2734.24] 800G的部分
[2734.24-2736.24] 它对这个就比较有兴趣
[2736.24-2738.98] 因为这样子可以降低
[2738.98-2740.34] 它对外部线的依赖
[2740.34-2742.28] 跟我出货的时候
[2742.28-2745.60] 突然发现我外部线的Module是缺货的
[2745.60-2748.48] 目前我收到的客人的想法是这样
[2748.48-2750.96] 也在两边在彼此对测
[2750.96-2752.08] 就是测试当中
[2752.08-2753.72] 我先做一个Phototype测
[2753.72-2755.76] 再调前面CPC的尺寸
[2755.76-2758.04] 所以我才会讲到CPC的做法
[2758.04-2761.32] 跟这个OBO的这一个应用
[2761.32-2762.60] 有蛮大的关联的
[2762.60-2763.02] 所以我才会讲到CPC的做法跟这个OBO的应用
[2763.04-2769.84] 这个其实是做出来一个Phototype
[2769.84-2771.14] 目前正在跟客人测
[2771.14-2773.72] 目前应该是400G先测
[2773.72-2775.44] 下一个阶段就要做800G
[2775.44-2777.62] 800G其实也在做的当中
[2777.62-2780.58] 那希望是在Q3
[2780.58-2782.14] 因为它对应客人那边
[2782.14-2783.20] 它的EVB Port
[2783.20-2786.94] 它是做一些PIN的确认当中
[2786.94-2788.60] 所以这个的话
[2788.60-2792.60] 至少现在客人是可以接受的
[2792.60-2794.70] 像我们之前提跟客人Promote的
[2794.70-2798.40] 其实真的可以省掉50%的Cost
[2798.40-2801.64] 然后Power Consultant也比较低
[2801.64-2805.40] 所以以实际的测试来说
[2805.40-2807.48] 这个又牵扯到另外一个LPO
[2807.48-2810.04] 其实这几个都是相关的产品
[2810.04-2811.78] 只是把外形变了一下
[2811.78-2814.64] 或者是应用面做成不同
[2814.64-2816.16] 那目前来讲
[2816.16-2816.92] 这个的应用
[2816.92-2822.16] 一些终端客人目前渐渐的接受
[2822.16-2824.62] 这是我们Initial做出来的尺寸
[2824.62-2825.26] 会再调整
[2825.26-2825.98] 因为Depenza
[2825.98-2828.06] 你要放几颗光影琴在里面
[2828.06-2831.66] 这边看到底下的这个就是光影琴
[2831.66-2832.40] 好
[2832.40-2833.80] 那这个是比较实际
[2833.80-2835.12] 目前在客人那边做的
[2835.12-2836.16] 这个比较实际的图
[2836.16-2836.56] 就是好
[2836.56-2838.30] 我去接在这
[2838.30-2839.62] 连接到我的光影
[2839.62-2842.16] 这个这个这个
[2842.16-2842.82] POPIO之后
[2842.82-2845.16] 直接拉到反边的海岸线
[2845.16-2846.88] 那当然我会有两种形态
[2846.88-2849.08] 一种我是金手指直接进来
[2849.08-2851.76] 另外一种我是接这一个
[2852.16-2853.96] 点评线拉出来
[2853.96-2856.76] 那当然这个就是牵涉到我们刚才讲的
[2856.76-2858.56] 如果尺寸我没那么宽
[2858.56-2860.04] 客人那边尺寸没那么宽的时候
[2860.04-2861.38] 我这边就要去做变机
[2861.38-2864.84] 所以这个也是一直在研究当中
[2864.84-2867.66] 那目前至少证明了这个应用可行
[2867.66-2869.82] 那另外当然这个好处就是
[2869.82-2873.16] 我把光影琴我可以尽量塞到
[2873.16-2874.68] 所谓的板边去
[2874.68-2877.84] 假设它的板子上很多的这一个走线
[2877.84-2879.04] 或者是散热的问题
[2879.04-2880.24] 我可以把它拉到板边
[2880.24-2882.12] 甚至他要做散热
[2882.16-2886.36] 我可以直接放到它的这个水冷的这个循环上面去
[2886.36-2887.54] 把它固定住
[2887.54-2890.10] 这个是一个客人提的
[2890.10-2892.14] 其实我们都有做出Phototype
[2892.14-2893.68] 让他去做一些确认
[2893.68-2895.98] 那当然你后面就是变成说
[2895.98-2897.52] 你要做多少Data Rate
[2897.52-2900.08] 我就是看你的需求
[2900.08-2902.38] 我放多少颗光影琴在里面
[2902.38-2903.66] 然后尺寸上要去
[2903.66-2907.50] 就是光影琴的这一颗模组去做调整
[2907.50-2908.28] 就一样
[2908.28-2912.12] 就像我们现在看到的OSFP或者是QSP
[2912.16-2913.96] 的Playform类似的做法
[2913.96-2915.48] 它里面的差异就是
[2915.48-2919.32] 放几组的光影琴在里面
[2919.32-2920.36] 好
[2920.36-2922.40] 那今天大致上update是这样子
[2922.40-2923.42] 那就看
[2923.42-2925.48] 各位
[2925.48-2928.54] 投资先进有没有什么其他想要知道的
