[0.00-3.72] 欢迎大家参加亚洲光学股份有限公司
[3545.98-3548.98] 你發展飛球面晶片的產品
[3548.98-3550.98] 是我已有客戶
[3550.98-3552.98] 這已經20年前就開始有客戶了
[3552.98-3553.98] 最主要
[3553.98-3556.98] 這個日本的單眼相機
[3556.98-3557.98] 很多客戶呢
[3557.98-3561.98] 都有用到我們亞洲光學生產的GMP
[3561.98-3562.98] 我們叫GMP
[3562.98-3563.98] Galaxy Moding
[3563.98-3565.98] 再來言蔡
[3565.98-3567.98] Lisa 陳小姐
[3567.98-3570.98] 請問機械人進入化石採用
[3570.98-3573.98] 採用基本上都是塑膠的
[3573.98-3574.98] 玻璃的比較少
[3574.98-3575.98] 所以這問題
[3575.98-3577.98] 再來
[3577.98-3579.98] Julia
[3579.98-3582.98] 請問今年的機械人相關產品
[3582.98-3584.98] 對營收貢獻因貢獻不大
[3584.98-3587.98] 毛利比公司平均毛利
[3587.98-3589.98] 應該都是差不多一樣
[3589.98-3592.98] 都是19%左右吧
[3592.98-3593.98] TSIT
[3593.98-3594.98] 陳明翰先生
[3594.98-3596.98] 請問機械人進入化石採用
[3596.98-3599.98] 玻璃還是塑膠比較多
[3599.98-3600.98] 剛才包括過
[3600.98-3601.98] 塑膠的比較多
[3601.98-3604.98] 因為它不用在外面曬太陽
[3604.98-3608.98] 所以基本上應該都是用塑膠的會比較多
[3608.98-3611.98] 材質選用其實對我們公司有利嗎
[3611.98-3613.98] 基本上亞洲光學都能夠應付
[3613.98-3617.98] 這些材質跟光學的設計
[3617.98-3622.98] 振華的周敏敏先生
[3622.98-3623.98] 進邊一刷
[3623.98-3626.98] 主要是使用在哪裡
[3626.98-3628.98] 因為毛利提升多少
[3628.98-3630.98] 晶片印刷
[3630.98-3632.98] 應該是Metalase吧
[3632.98-3634.98] Metalase的NIL就是
[3634.98-3636.98] 奈米印刷
[3636.98-3637.98] 奈米印刷它不是
[3637.98-3639.98] 奈米印刷
[3639.98-3641.98] 奈米印刷剛才亞洲光學是
[3641.98-3643.98] 都Focus在
[3643.98-3645.98] Fast Detection跟Waveguide
[3645.98-3647.98] AR裡面Waveguide
[3647.98-3649.98] 這方面應該
[3649.98-3651.98] 因為還是蠻新的東西
[3651.98-3653.98] 所以毛利呢
[3653.98-3655.98] 因為它亮照
[3655.98-3658.98] 毛利應該會比較好的毛利吧
[3658.98-3661.98] 就是看供需的問題
[3661.98-3663.98] 接下來謝謝議長
[3663.98-3664.98] 好
[3664.98-3665.98] 請稍等一下
[3665.98-3667.98] 我們先整理一下問題
[3667.98-3669.98] 請大家先不要離開
[3683.98-3685.98] 再這樣就好了
[3685.98-3686.98] 不要緊
[3686.98-3687.98] 好
[3687.98-3690.98] 接下來
[3690.98-3691.98] 好
[3691.98-3692.98] 好
[3692.98-3693.98] 來
[3693.98-3694.98] 對不對
[3694.98-3713.08] 這邊大家 può
[3713.08-3715.54] 用在哪些領域
[3715.54-3716.54] 講過了
[3716.54-3718.84] 也有用在運動相機
[3718.84-3720.22] 也有用到
[3720.22-3721.32] 無人機
[3721.32-3724.20] 目前比重高嗎
[3724.20-3726.50] 大概目前一個月
[3726.50-3728.98] 大概300萬片
[3728.98-3730.92] 用配數來講大概是這樣
[3730.92-3732.48] 再來
[3732.48-3734.04] 富華投信
[3734.04-3736.74] 請問數位相機除了之前
[3736.74-3738.30] 對手退資
[3738.30-3739.70] 市場外
[3739.70-3740.26] 市場外
[3740.26-3744.10] 市場還是有工資
[3744.10-3744.38] 有
[3744.38-3747.18] 沒有
[3747.18-3749.02] 這個問題是這樣
[3749.02-3751.24] 我也不曉得說
[3751.24-3753.12] 為什麼最近數位相機會這麼好
[3753.12-3754.26] 這麼受歡迎
[3754.26-3756.44] 大概因為
[3756.44-3759.04] 手機裡面
[3759.04-3760.56] 還沒有辦法變焦
[3760.56-3763.60] 數位相機小小薄薄的
[3763.60-3765.22] 就能夠有5倍
[3765.22-3766.86] 或是說10倍變焦
[3766.86-3769.32] 應該是最近流行起來
[3769.32-3770.24] 以前我以為
[3770.24-3772.36] 比如說只有美國
[3772.36-3773.56] 包括日本
[3773.56-3775.10] 包括連台灣
[3775.10-3776.12] 東南亞
[3776.12-3777.92] 歐洲都是一樣
[3777.92-3779.26] 看這個趨勢
[3779.26-3779.96] 在一兩年
[3779.96-3784.84] 明年大概還是這種成長的趨勢
[3784.84-3785.86] 接下來
[3785.86-3787.00] 接下來是
[3787.00-3788.68] 統一投信廖先生
[3788.68-3790.20] 2025年
[3790.20-3793.02] 無人機運動相機成長快速原因
[3793.02-3795.32] 主要還是無人機還是運動相機
[3795.32-3798.40] 這兩塊因應說歸類在光線元件中
[3798.40-3799.16] 對
[3799.16-3800.12] 是歸類在元件中是吧
[3800.12-3800.62] 對
[3800.62-3801.92] 光線元件裡面
[3801.92-3802.68] 包括無人機
[3802.68-3803.96] 無人機總之報告的
[3803.96-3805.76] 就是49%裡面
[3805.76-3807.04] 那麼因為為什麼呢
[3807.04-3809.08] 因為這個運動相機
[3809.08-3812.16] 目前我們是主要的客戶
[3812.16-3813.18] 日本以外
[3813.18-3814.46] 還有中國大陸
[3814.46-3816.50] 中國大陸最近在運動相機
[3816.50-3817.52] 相當
[3817.52-3819.06] 大家可以查到
[3819.06-3821.12] 相當這個
[3821.12-3823.68] 跟原來最大的美國人家
[3823.68-3824.18] 郭布洛
[3824.18-3826.24] 郭布洛也是我們的
[3826.24-3827.26] 我們大家
[3827.26-3829.04] 基本上都有做生意了
[3829.04-3830.08] 那最近有很多人說
[3830.12-3832.94] 最近中國大陸的這個成長比較快
[3832.94-3836.26] 所以他主要快速成長原因
[3836.26-3838.06] 最主要我可以跟你報告是
[3838.06-3838.82] 最主要是
[3838.82-3840.36] 地區不一樣
[3840.36-3842.40] 地區的客人的需求不一樣
[3842.40-3844.96] 這兩塊因應說在光線對沒錯
[3844.96-3847.78] 接下來機械人進度會有量產的機會
[3847.78-3848.80] 當然會有
[3848.80-3850.60] 機械人會有量產的資質
[3850.60-3851.62] 我這裡講的一樣
[3851.62-3852.14] 再來
[3852.14-3854.18] 貴公司叫炎炸
[3854.18-3855.20] 你什麼時候聽到的
[3855.20-3858.28] 貴公司產品採玻璃或玻璃或波索會有量產的資質
[3858.28-3859.04] 貴公司產品採玻璃或玻璃或波索會有量產的資質
[3859.04-3862.88] 貴公司產品採玻璃或玻璃或波索會有量產的資質
[3862.88-3864.42] 貴公司產品採玻璃或玻璃或玻璃或波索會有量產的資質
[3864.42-3867.24] 貴公司產品採玻璃或玻璃或波索會有量產的資質
[3867.24-3872.36] 貴公司產品採玻璃或玻璃或玻璃或波索會有量產的資質
[3872.36-3876.20] 貴公司產品採玻璃或玻璃或玻璃或波索會有量產的資質
[3876.20-3877.22] 貴公司產品採玻璃或玻璃或玻璃或波索會有量產的資質
[3877.22-3881.32] 我認為目前應該是玻璃還是墊主要
[3881.32-3887.98] 那是一般 比方說講一個鏡頭裡面八片
[3887.98-3891.56] 大概兩片就是玻璃灰球面
[3891.56-3896.68] 其他六片是球面 就是更一般的球面
[3896.68-3898.22] 大概的比例是這樣
[3898.22-3901.02] 還是玻璃灰球面還是比較少 因為比較貴一點
[3901.02-3902.06] 性能比較好
[3902.06-3906.70] 黃先生 請教機械人鏡頭
[3906.70-3909.42] 類似大型人最高會用到多少光速
[3909.42-3913.66] 這個就算是還在大概制作中
[3913.66-3917.02] 我覺得是沒有辦法來報告
[3917.02-3919.72] 機械人方面可不可以再說明一下
[3919.72-3921.26] 一樣的問題
[3921.26-3923.82] E3的朱先生不好意思
[3923.82-3928.76] 目前有看到車內駕駛或乘客監控鏡頭開始明顯
[3928.76-3931.22] 上或上升
[3931.22-3932.02] 車內
[3932.02-3934.26] 駕駛或乘客監控
[3934.26-3935.26] 沒錯
[3935.26-3939.52] 尤其這個車內駕駛本來都有
[3939.52-3941.56] 就你車內駕駛裡面
[3941.56-3944.86] 剛才八個鏡頭裡面就有裡面一個監控
[3944.86-3950.68] 看你如果說剛才講我在那個你雖然說不用去摸
[3950.68-3952.86] 不用去摸那個駕駛盤
[3952.86-3955.18] 但是你假如說有打瞌睡
[3955.18-3957.36] 或是看手機沒有看前面的話
[3957.36-3960.02] 他那個車內的鏡頭就會給你警告
[3960.02-3961.98] 這是一用車內的監控鏡頭
[3961.98-3964.22] 車內監控將來啦
[3964.22-3966.14] 假如說這個
[3966.14-3975.52] 這個自動自動那個自動計程車自動計程車出來的話
[3975.52-3983.52] 這個裡面會增加一個監控裡面的這個大家整體乘客的狀況的一個鏡頭一定會增加的
[3983.52-3986.02] 這是大概這個現象
[3986.02-3987.06] 原大
[3987.06-3991.10] 你什麼小姐瞄準器的原理或材料為何原理喔?
[3991.10-3991.82] 原理喔?
[3991.98-3994.90] 競爭對手為何進入障礙為何
[3994.90-3997.40] 客戶增加還是引用客戶提升
[3997.40-4002.74] 瞄準器是一個很老大概美國基本上瞄準器的客戶都是在美國
[4002.74-4004.94] 他瞄準器就是打獵用的
[4004.94-4006.40] 而且他有一個新人
[4006.40-4008.60] 就是有一個新人才會開放
[4008.60-4010.48] 而且開放一些地區
[4010.48-4011.74] 然後原理呢
[4011.74-4014.36] 就是說在瞄準器的時候呢
[4014.36-4021.98] 他在一般一般就是這個看到動物的時候呢?
[4021.98-4025.36] 他有一個裡面有一個十字線
[4025.36-4026.40] 十字線啊
[4026.40-4028.18] 你只要對到那個十字線
[4028.18-4033.44] 基本上你打的地方就是子彈打到你就是實現到的地方
[4033.44-4037.44] 不是看到的地方就是子彈打到的地方
[4037.44-4039.28] 基本上玻璃都是用玻璃的
[4039.28-4042.48] 因為他那個這個耐震啊
[4042.48-4043.06] 耐
[4043.06-4045.74] 因為用槍的人都是很粗魯的
[4045.74-4048.86] 就是蠻就是說碰撞很多
[4048.86-4051.86] 競爭對手為何基本上沒有什麼競爭對手吧?
[4051.98-4053.74] 進入障礙為何?
[4053.74-4056.06] 進入障礙是相當困難
[4056.06-4059.64] 因為他還有一些這個防水啦
[4059.64-4061.28] 防震啦
[4061.28-4062.68] 你完成以後啦
[4062.68-4066.98] 必須要每一次每一次百分之百用那種要放在水裡面
[4066.98-4069.82] 另外一個要用這個敲打
[4069.82-4070.74] 要把這個敲打
[4070.74-4074.74] 然後然後讓裡面的鏡頭十字線不會跑掉
[4074.74-4079.60] 增加客戶增加還是基本上這種沒有進玩的客戶都是一樣的
[4079.60-4081.94] 說客戶是提升量提升量而已
[4081.94-4084.60] 並沒有什麼增加性的客戶
[4084.60-4086.60] 再請問王先生
[4086.60-4090.60] 請問LG Apple的合作已經有營收在裡面嗎?
[4090.60-4092.94] 目前還LG有啦
[4092.94-4093.90] 少啦
[4093.90-4094.94] 不多
[4094.94-4096.28] 只能這樣講
[4096.28-4098.28] 再來郭先生郭立委先生
[4098.28-4101.44] 無論這鏡頭被歸類在光學營業嗎?
[4101.44-4102.14] 是的
[4102.14-4107.10] 光電製品和光學營業組件分別出貨在哪些?
[4107.10-4111.10] 光電製品和光學營業組件分別出貨是哪些?
[4111.94-4113.94] 光學營業組件就是黑件
[4113.94-4116.94] 黑件就是這個塑膠的黑件
[4116.94-4118.94] 黑件就是我們現在所說
[4118.94-4123.94] 譬如說這個在做數碼相機裡面有很多的這個塑膠件的部分
[4123.94-4125.94] 那個就是屬於光光學營業組件
[4125.94-4129.44] 差不多是在佔了整體營收差不多12個person
[4129.44-4130.94] 那麼光電製品裡面
[4130.94-4133.94] 我們這裡面我我從分類過了啦
[4133.94-4136.94] 那剛剛講的雷射測距跟Match NTT
[4136.94-4140.94] 雷射測距跟LDS的部分呢佔了差不多兩個person
[4140.94-4141.94] OK謝謝
[4141.94-4143.94] 好年大
[4143.94-4144.94] Lisa 陳小姐
[4144.94-4150.94] 無論是電腦是客戶數量增加還是原客戶需求量增加
[4150.94-4152.94] 這個客人本來就有跟我們來啦
[4152.94-4155.94] 然後需求量忽然這個增加很大
[4155.94-4159.94] 我剛才講因為這個美國的客戶比較少
[4159.94-4163.94] 那現在變這個中國的客戶增加的很大
[4163.94-4165.94] 這個原因吧
[4165.94-4166.94] 進入障礙
[4166.94-4169.94] 進入應該也沒有什麼
[4169.94-4176.94] 這個客戶一直在保持很久以前大概四五年前就一直在繼續在跟他配合
[4176.94-4178.94] 所以這家配合的不錯
[4178.94-4180.94] 他也賣得很好
[4180.94-4181.94] 年大
[4181.94-4183.94] 陳Lisa 陳小姐
[4183.94-4185.94] 臨近生產特別和鏡頭相同嗎
[4185.94-4187.94] 完全不一樣的
[4187.94-4189.94] 他臨近的是這個平面的
[4189.94-4190.94] 鏡頭是球面的
[4190.94-4192.94] 所以他特別是不一樣的
[4192.94-4196.94] 再來服務的機器所謂的capacitor
[4196.94-4198.94] 我請幫忙分析一下
[4198.94-4200.94] 數位相機成長的趨勢是什麼
[4200.94-4202.94] 為何需求那麼強勁
[4202.94-4205.94] 另外數位相機功能有什麼變化嗎
[4205.94-4208.94] 那麼數位相機成長其實剛才也報告過
[4208.94-4211.94] 因為說實在我也不知道忽然之間
[4211.94-4212.94] 從去年開始啦
[4212.94-4217.94] 從日本美國歐洲大家都非常需求有增加
[4217.94-4222.94] 那原因大概就是數位相機手機已經到了一個一定程度的功能吧
[4222.94-4223.94] 手機鏡頭
[4223.94-4226.94] 另外數位相機有沒有什麼功能變化
[4226.94-4228.94] 有大家都往這個4K
[4228.94-4233.94] 就是說你可以數位相機也可以做這種運動相機使用
[4233.94-4234.94] 就4K的變化
[4234.94-4236.94] 大部分都是往最後面的變化
[4236.94-4239.94] 再來也是產能加工力多少
[4239.94-4242.94] 產能加工力是相當高的
[4242.94-4243.94] 滿檔的
[4243.94-4249.94] 滿檔還要買設備才能夠應付這個客戶的需求
[4249.94-4250.94] 目前是這樣
[4250.94-4253.94] 再來王先生來個直接的
[4253.94-4255.94] 最大的動員包括是物票價
[4255.94-4257.94] 我問他
[4258.94-4259.94] 沒辦法回答
[4259.94-4260.94] 謝謝你
[4260.94-4261.94] 再來皮特洋
[4261.94-4264.94] 請問目前在手機訂單的產能來看
[4264.94-4266.94] 今年下半營收會
[4266.94-4268.94] 在手機方面呢
[4268.94-4269.94] 當然講零進啦
[4269.94-4271.94] 今年會比今年好
[4271.94-4274.94] 而且增加大概百分之二三十左右吧
[4274.94-4275.94] 零進方面
[4275.94-4277.94] 再來林天義先生
[4277.94-4280.94] 手機應用約一三公司營收比例不高
[4280.94-4283.94] 大概是要三八四八左右
[4283.94-4284.94] 雅光
[4284.94-4285.94] 股價在五百多
[4285.94-4286.94] 我也不知道
[4286.94-4287.94] 我也沒有買也沒有買
[4287.94-4289.94] 再來吳士輝先生
[4289.94-4290.94] 請問
[4290.94-4293.94] 智慧相機產品線的加工力
[4293.94-4295.94] 現在收在
[4295.94-4296.94] 這個加工力非常的高
[4296.94-4298.94] 現在本來是
[4298.94-4299.94] 這個日月班
[4299.94-4300.94] 我們是免貸生產
[4300.94-4301.94] 日月班在做
[4301.94-4302.94] 現在還在擴廠
[4302.94-4303.94] 要跟隔壁豬
[4303.94-4305.94] 豬產王來用
[4305.94-4311.94] 公司觀察智慧相機專專生產的高生產時序
[4311.94-4312.94] 可以維持有
[4312.94-4313.94] 最起碼二零二五
[4313.94-4314.94] 二零二六
[4314.94-4315.94] 就跑掉了
[4315.94-4316.94] 所以說
[4316.94-4317.94] 就跑掉了
[4317.94-4318.94] 二零二六
[4318.94-4319.94] 二零二七
[4319.94-4320.94] 我就不知道
[4320.94-4321.94] 目前
[4321.94-4322.94] 二零二六
[4322.94-4325.94] 都應該都是在成長的狀況
[4325.94-4326.94] 天理洋
[4326.94-4327.94] 沒單一
[4327.94-4330.94] 其實用於玻璃或是塑膠材質的
[4330.94-4332.94] 我應該會有差異嗎
[4332.94-4334.94] 我剛才講用於
[4334.94-4338.94] 或用於玻璃或塑膠材質
[4338.94-4339.94] 我沒差
[4339.94-4342.94] 他因為比現在目前的
[4342.94-4344.94] 未蓋的的性能
[4344.94-4345.94] 就是他的跑後門
[4345.94-4347.94] 就是說傳送力
[4347.94-4349.94] 傳輸力要更好
[4349.94-4351.94] 因為他是由鏡頭把傳送到
[4351.94-4353.94] 我們的眼睛的中心來
[4353.94-4355.94] 所以微微的功能是這樣
[4355.94-4356.94] 所以
[4356.94-4357.94] 在周圍不錯
[4357.94-4360.94] 而且他的價格是相當有優勢的
[4360.94-4363.94] 這是有特因為我們跟那個
[4363.94-4366.94] 美國麻州大學
[4366.94-4367.94] 他的
[4367.94-4369.94] 那個
[4369.94-4371.94] 這個公司他有特殊的材料
[4371.94-4373.94] 他這是專利的材料
[4373.94-4374.94] 使用
[4374.94-4376.94] 高index
[4376.94-4378.94] index就是這個
[4378.94-4379.94] 折射力很高
[4379.94-4381.94] 而且他耐溫
[4381.94-4383.94] 一般的塑膠材料
[4383.94-4384.94] 他耐溫的
[4384.94-4385.94] 高溫以後變黃
[4385.94-4386.94] 性能就變了
[4386.94-4388.94] 他的耐溫高溫不會變
[4388.94-4389.94] 不會變紫
[4389.94-4390.94] 這是我們跟他合作的
[4390.94-4391.94] 最主要特分
[4391.94-4392.94] 再來
[4392.94-4393.94] 王先生
[4393.94-4395.94] 請問跟馬資哥
[4395.94-4397.94] 沒有
[4397.94-4399.94] 是我一定是在紅紅的
[4399.94-4401.94] 我不知道
[4401.94-4402.94] 我不提別人
[4402.94-4403.94] 但是馬資哥也超級喜歡他
[4404.94-4405.94] 馬資哥是川普直播人
[4405.94-4406.94] 大虎影響亞方
[4406.94-4407.94] 因為
[4407.94-4410.94] 馬資哥現在不是跟川普直播人
[4410.94-4411.94] 應該是
[4411.94-4414.94] 馬資哥跟川普太好了
[4414.94-4415.94] 所以有一些
[4415.94-4416.94] 民主黨的
[4416.94-4417.94] 不同黨的
[4417.94-4418.94] 所以有一點
[4418.94-4419.94] 有一點氣氛了
[4419.94-4420.94] 所以
[4420.94-4424.94] 我看到那個美國有一些那個傳出來的youtube
[4424.94-4426.94] 有一些人對著那個
[4426.94-4427.94] 塞
[4427.94-4428.94] 這個
[4428.94-4431.94] 這個車子的噴口水
[4431.94-4433.94] 所以這個不曉得
[4433.94-4434.94] 他們真的
[4434.94-4440.94] 對這個東西的
[4440.94-4441.94] 他們是有什麼同感的
[4441.94-4442.94] 對
[4442.94-4443.94] 好的
[4443.94-4444.94] 好
[4444.94-4445.94] 再來
[4445.94-4446.94] 秦蔡
[4446.94-4447.94] 秦蔡投資
[4447.94-4448.94] 正小姐
[4448.94-4450.94] 請問亞洲光學進貝斯9和7點應該列比
[4450.94-4451.94] 這個
[4451.94-4452.94] 這個有講過吧
[4452.94-4453.94] 基本上
[4453.94-4455.94] 我比較建議你用這個
[4455.94-4457.94] 大象的方式去
[4457.94-4459.94] 去做你的投資的配比
[4459.94-4460.94] 這樣會比較好
[4460.94-4461.94] 如果分得很細
[4461.94-4462.94] 因為亞洲光學的產品線
[4462.94-4463.94] 光學元件的內容
[4463.94-4467.44] 光學元件所以ARMR的部分
[4467.44-4470.14] 所以建議以用這個大象的方式
[4470.14-4473.14] 來做你的投資的一個報告的寫法
[4473.14-4474.44] 會比較好好不好
[4474.44-4475.64] 不好意思
[4475.64-4477.14] 接下來王先生
[4477.14-4480.14] 股價這幾天連結的任何就是更改
[4480.14-4482.14] 包括市場的變化
[4482.14-4485.94] 亞洲鳳姐目前首先訂單都沒有什麼變化
[4485.94-4488.14] 都還是不錯的
[4488.14-4489.94] 接下來是王先生
[4489.94-4492.44] What do you think of the OMAX
[4492.44-4498.94] 這個我不是不批評人家
[4498.94-4500.44] 他是很聰明的人
[4500.44-4501.94] 也是高科技人
[4501.94-4502.94] 許先生
[4502.94-4504.44] 紅線投資
[4504.44-4509.44] 公司沒有負債未有配息率不能再提高
[4509.44-4513.94] 目前的配息率也差不多是69%
[4513.94-4516.94] 因為如同剛剛跟各位所報告的
[4516.94-4519.24] 那麼資金的部分必須要考量的
[4519.24-4520.44] 範圍非常廣
[4520.44-4521.94] 廣泛比如說我們整體的
[4521.94-4522.44] 這個OBINCAP
[4522.44-4523.94] 以及這個資本支出
[4523.94-4528.44] 以及這個後續的這個能來要持續的提升這個營收
[4528.44-4530.44] 必須所做的準備
[4530.44-4532.44] 所以如果跟同業的比較
[4532.44-4535.44] 69%基本上是非常高的一個水平
[4535.44-4536.44] 謝謝
[4536.44-4538.44] 接下來王先生
[4538.44-4541.94] 請問以蘋果公司做IPhone4開始嗎
[4541.94-4543.44] 這個沒有辦法
[4543.44-4545.44] 我這邊向你報告
[4545.44-4546.44] 穩定
[4546.44-4548.44] 再來楊皮特
[4548.44-4551.94] 目前整體產能利用大概
[4551.94-4553.94] 就是產能利用力
[4553.94-4555.94] 加工力是超過負荷的
[4555.94-4562.94] 都是要靠加班來供應客人的需求
[4562.94-4564.94] 接下來王先生
[4564.94-4569.94] 所以藝人王大陸不會開TESLA的油看法
[4569.94-4570.94] 所以他大致沒有法
[4570.94-4575.94] 是我的雅工的抗壯
[4575.94-4576.94] 做的動作
[4576.94-4579.94] 重點是他本身就要很嚴謹的
[4579.94-4581.94] 他說重點防水
[4581.94-4583.94] 耐高溫耐低溫
[4583.94-4585.94] 再來
[4585.94-4589.94] 國泰王知偉小姐
[4589.94-4591.94] 請問指公司科泰IPhone
[4591.94-4592.94] 目前還沒有規劃
[4592.94-4593.94] 不好意思
[4593.94-4595.94] 再來王先生
[4595.94-4598.94] 能透露一下以蘋果合作的關係嗎
[4598.94-4600.94] 滿多的教練
[4600.94-4603.94] 這個就是我們跟LGIT合作的
[4603.94-4605.94] 所以是沒有辦法在這邊報告
[4605.94-4608.94] 劉小姐劉黃妙小姐
[4608.94-4610.94] 金壘資本資資投入重點
[4611.94-4614.94] 自我擴增MG鏡頭
[4614.94-4616.94] 今年現在投資21億
[4616.94-4617.94] 資本投資
[4617.94-4619.94] 很多方面包括
[4619.94-4621.94] 這個移動相機無人機
[4621.94-4624.94] 還有有Meta Lens
[4624.94-4627.94] 都有關係的好不好
[4627.94-4629.94] 再來也是劉小姐
[4629.94-4632.94] 今年自我機會看到MGE用於
[4632.94-4635.94] MGE應該是叫什麼
[4635.94-4636.94] Mega Lens
[4636.94-4638.94] 用於手機鏡頭
[4638.94-4639.94] 這個還不知道
[4639.94-4640.94] 在試做用試做
[4641.94-4643.94] 接下來王先生
[4643.94-4646.94] 對手人們這家公司
[4646.94-4648.94] 我不知道這家公司
[4648.94-4649.94] 不能了解
[4649.94-4650.94] 不好意思
[4650.94-4653.94] 機械用塑膠鏡頭
[4653.94-4655.94] 是否進入障礙不高
[4655.94-4657.94] 市場供應的損害很多
[4657.94-4660.94] 因為基本上可以這麼說吧
[4660.94-4661.94] 但是就是看你
[4661.94-4664.94] 跟客戶維持的關係以及
[4664.94-4666.94] 大家互相的這種信賴性
[4666.94-4667.94] 再來金壘資報
[4667.94-4668.94] 劉小姐
[4668.94-4670.94] 既然我們獲利來自於
[4670.94-4672.94] CIS佔達五成
[4672.94-4674.94] 今年獲利中心有五成嗎
[4674.94-4675.94] 沒有吧
[4675.94-4676.94] 沒有了
[4676.94-4677.94] 劉小姐搞錯了吧
[4677.94-4679.94] 那個CIS的部分
[4679.94-4680.94] 亞洲公園佔的比例
[4680.94-4682.94] 因為這個是已經都是排除了
[4682.94-4684.94] 16.2億
[4684.94-4685.94] 那裡面
[4685.94-4687.94] 你要踏出這個少數股權的部分
[4687.94-4688.94] 都已經在扣除了
[4688.94-4689.94] 所以沒有佔五成
[4689.94-4693.94] 可能差不多是20個車程左右吧
[4693.94-4694.94] OK
[4694.94-4696.94] 大概也差不多了
[4696.94-4697.94] 對
[4697.94-4698.94] OK
[4698.94-4700.94] 今天線上提溫的問題
[4700.94-4701.94] 大致已回覆完畢
[4701.94-4702.94] 今天
