[0.72-3.08] 各位線上參與的投資先進
[3121.76-3126.12] 到high-resurrect到HDI到optic module我想這個產品線
[3126.38-3129.44] 相關的部分我們跟客戶持續在合作中
[3129.70-3130.22] 謝謝
[3130.52-3134.36] 好謝謝雲端說明
[3135.12-3136.66] 下一個投資人提問是
[3137.18-3139.22] 公司在AR眼鏡
[3139.48-3141.52] 以及機器人方面的佈局
[3142.30-3145.36] 目前提供哪些PCB版
[3145.62-3148.44] 那另外請教人型機器人
[3148.70-3151.26] 與手機使用的PCB單價相比
[3151.76-3153.56] 哪一種產品的PCB
[3153.82-3155.36] 價格比較高呢
[3156.38-3158.42] 這個由我來
[3158.94-3160.22] 做一個說明
[3160.52-3161.04] 我先講
[3161.28-3165.12] AR眼鏡AR技術因為AI的開發
[3165.38-3170.76] 2025年2026年是一個爆發性的成長我們應該
[3171.02-3175.62] 從目前可以看到整體的市場會有高倍數的成長
[3175.88-3176.90] 然後過去的
[3177.16-3179.72] 潛力更大而且這個
[3179.98-3186.12] 整個AR眼鏡基本上會分不同的等級一個是有含Display一個是沒有含Display
[3186.38-3188.42] 不過這整塊的部分我們
[3188.68-3189.96] 都提供海內
[3189.96-3191.50] 包含海外的客戶
[3191.76-3193.54] 或是大陸國內的
[3193.80-3196.10] 客戶我們都是一個主力的
[3196.36-3197.38] 供應商
[3197.64-3200.96] 那這個部分就涵蓋了軟板跟一些
[3201.22-3204.04] SIP的硬板的部分
[3204.56-3208.14] 那至於人型機器人我想人型機器人也是
[3208.40-3209.68] 未來不管
[3209.92-3211.46] 整個產業
[3211.72-3214.28] 各國發展的一個重點
[3214.54-3217.86] 我們過去這一段時間也跟
[3218.12-3219.92] 人型機器人的客戶有一些
[3220.22-3223.28] 非常密切的合作那因為一個人型機器人
[3223.54-3225.34] 如果複雜的部分其實
[3225.60-3232.00] 會包含100多片甚至150片以上從軟板硬板軟硬結合板到載板
[3232.24-3234.80] 相關的產品的運用都有
[3235.06-3235.84] 都有
[3236.08-3240.96] 那所以這一塊也是因為再加上它微型化輕量化的設計
[3241.20-3245.04] 還有一些高精密度高密度的佈線的需求這也是
[3245.30-3246.84] 未來會帶給我們
[3247.10-3248.64] 整個公司一個
[3248.88-3249.92] 大的成長的
[3250.22-3254.56] 領域那我想我們也樂觀跟積極去面對這一
[3254.82-3256.62] 這一塊的產品的開發
[3256.88-3257.38] 謝謝
[3258.16-3264.30] 那整個它的單價的部分我想它的單價基本上ASP是比手機高因為它的複雜度
[3264.56-3267.36] 各片因為各片不太一樣
[3267.62-3271.72] 它有一些設計比較複雜基本上它的ASP是比手機高
[3274.28-3275.82] 好謝謝營運長說明
[3276.58-3278.12] 下一個投資人提問是
[3278.64-3279.92] 預期磁幅機
[3280.22-3280.72] 應用
[3280.98-3282.00] 營收佔比
[3282.26-3284.82] 何時可望達到所謂的雙位數
[3285.60-3287.90] 那另外ASP複器毛利率
[3288.40-3290.96] 是否高於公司的平均呢
[3292.50-3296.08] 這個也有我來說明因為我想
[3296.60-3298.90] 伺服器方面的開發我們也
[3299.92-3303.52] 很久那包含各個園區的一個部件
[3303.76-3305.30] 所以它整個
[3305.82-3308.38] 大的發酵會是在2027年
[3308.64-3309.92] 到2028年之間
[3310.22-3310.98] 這個部分那要
[3311.24-3314.82] 會達到公司營收的10%以上那估計
[3315.08-3319.18] 整個它的ASP到2029年我想AI
[3319.44-3323.28] 伺服器的毛利率會高於我們整個公司的平均值
[3325.58-3326.08] 謝謝
[3327.12-3327.62] 好
[3327.88-3329.68] 謝謝營運長的說明
[3330.96-3334.02] 下一個投資人提問是請問真鼎作為
[3334.28-3336.84] 矽光子產業聯盟的成員
[3337.10-3338.88] 在矽光子方面
[3339.14-3341.18] 真鼎扮演什麼樣的角色
[3341.44-3342.46] 有哪些佈局
[3342.98-3345.28] 以及我們有看到哪些機會呢
[3346.56-3348.86] 這個也我先
[3349.38-3350.92] 做一個說明我想
[3351.16-3357.32] 我們剛在報告裡面也談到加入整個半導體產業鏈的一個協會
[3357.56-3359.62] 那尤其是矽光子因為
[3359.88-3362.94] 整個加入協會多聯繫跟
[3363.20-3365.76] 產業之間的溝通我想可以
[3366.28-3368.84] 貢獻我們的一個專業的部分
[3369.14-3371.18] 那因為矽光子產品需要
[3371.44-3374.00] 高階的整個一些設計
[3374.26-3375.54] 包含整個
[3376.04-3384.24] 整個ABF載板相關的部分那在精細線路跟高頻性能跟材料跟高度同的區域性
[3384.50-3388.60] 及表面處理方面都比一般的規格更高
[3389.10-3393.20] 因為他要做一些光電整合相關的部分那我們
[3393.46-3396.02] 過去憑著過去在PCB跟
[3396.28-3398.84] 載板的研發跟製造可以滿足
[3399.14-3401.70] 矽光子產品的嚴苛的要求尤其
[3401.96-3404.00] 這方面的產品非常的高階
[3404.26-3407.08] 那如何運用我們過去在半導體
[3407.32-3413.48] 方面用EAPS SACE智能工廠還有自動化相關的Technology
[3413.72-3420.12] 用在整個未來在矽光子方面的一個產品運用我想會在這一方面我們會
[3420.38-3422.18] 成為一個主力的一個東西
[3422.44-3423.20] 謝謝
[3425.76-3427.56] 好謝謝銀行長說明
[3429.14-3430.16] 我再一個投資人提問是
[3430.42-3434.00] 目前IC載板的產能利用率為何
[3434.52-3436.82] 今年IC載板產能利用率
[3437.32-3439.38] 大概應該預期到什麼水準
[3439.64-3442.96] 以及今年ABF會有新的產能開出嗎
[3443.72-3444.24] 另外
[3444.50-3447.56] 2025年IC載板的獲利情形如何
[3448.08-3449.88] ABF何時渴望
[3450.38-3452.18] 單季轉虧為盈呢
[3454.22-3458.84] 這個我來做說明我想剛在前面有報告過我們
[3459.14-3460.92] 在產能利用率上
[3461.18-3465.80] 有提升那尤其2025年Q1的載板的利用率
[3466.04-3470.66] 基本上是比2024年Q1有雙位數的成長
[3471.16-3473.22] 那全年度也是
[3473.48-3476.28] 那不過因為我們也結合整個
[3476.80-3482.94] 一些產品開發的部分BT方面是今年整體的營運會比較好
[3483.46-3485.50] 因為我們除了原先的客人
[3485.76-3488.84] 還有一些新方面新的客戶新的技術
[3489.14-3490.16] 方面的一些
[3490.68-3492.46] 部分那ABF方面
[3492.98-3498.10] 大概以Q1來講我目前的架動率大概在45到50%左右
[3498.36-3499.12] 那預期
[3499.38-3502.44] 尤其在今年的Q3 Q4我們會
[3502.70-3504.76] 攀高因為在先進
[3505.00-3508.84] 整個先進的封裝上面的需求方面
[3509.10-3511.66] 那今年持續還是有一些
[3511.92-3517.30] 整個ABF的一些設備投資尤其是在一些破瓶頸方面因為
[3517.56-3518.84] 過去有報告過
[3519.14-3521.18] 我們第一個工廠逐步在
[3521.44-3527.58] 再加入逐步增加一些新設備然後有一些新的製程突破那尤其現在
[3528.10-3530.92] 我們在新的高階的多層板
[3531.42-3535.78] 跟大Body size佔的比重已經達到40到50%
[3536.04-3538.60] 所以整個架動率會陸續提升
[3539.10-3543.46] 那整個ABF方面我想到我們也目標希望
[3543.72-3548.84] 今年在第四季能夠轉虧為營不過現在還整體上還是小虧
[3549.14-3551.70] 那我覺得2025年我們會2026年
[3551.96-3553.24] 會有一個大發揮的
[3553.74-3554.76] 時間謝謝
[3557.32-3558.86] 好謝謝營運長說明
[3559.64-3561.94] 那下一個現場投資人的提問是
[3562.96-3566.04] ABF產業2025年的供需狀況
[3566.80-3570.38] 為何供需缺口的差距大概是怎麼樣的
[3570.90-3571.40] 情況
[3572.44-3575.76] 這個也有做一個說明我想
[3576.02-3578.84] 現在因為整個AI相關AI related
[3579.14-3580.68] 相關的部分
[3581.18-3586.30] 所以在高階的ABF相關的產品需求其實是比較旺
[3586.82-3591.42] 那一般的產品其實是還是沒有很大的成長
[3591.94-3594.50] 還是沒有一個很大成長所以
[3594.76-3599.88] 整個2025年在ABF方面其實還是聚焦在高階產品的成長
[3600.12-3600.90] 那這也是
[3601.16-3603.20] 為什麼過去我們聚焦在
[3603.46-3608.32] 幾個高階產品的突破那這也是為什麼我們在高雄的AI園區
[3608.58-3608.84] 的
[3609.14-3614.76] ABF工廠的成立能夠因應客戶在高階AI產品的一個
[3615.02-3616.30] 需求的連結
[3617.58-3618.36] 謝謝
[3620.40-3621.42] 好謝謝營運長
[3621.94-3625.78] 那由於時間的緣故我就再提最後一個投資人提問
[3626.28-3629.88] 那增頂2025年的資本支出規劃的方向
[3630.12-3632.18] 與預計的金額大概為何
[3632.68-3636.52] 長期而言我們怎麼來看待公司資本支出的規劃呢
[3638.06-3638.58] 對
[3638.58-3644.46] 這部分我來答覆一下我想2025年整個資本支出剛才也特別談到大概在250億
[3644.72-3646.52] 250億左右這個數字
[3646.78-3651.90] 那我想過去這幾年都可以看到增頂了長期補給所以在資本支出部分
[3652.14-3654.20] 我們是還是會繼續投入因為
[3654.70-3656.76] 投資投資資本支出是投資未來嘛
[3657.02-3658.80] 那我想未來我們很多的補給
[3659.32-3660.86] 我剛特別談到包括
[3661.36-3667.00] 泰國廠也好高雄AI甚至我們還有李鼎李鼎的這一個半導體載板這一塊
[3667.50-3668.54] 我們都有很長遠的
[3668.84-3672.16] 所以我想未來的幾年我們的資本支出
[3672.42-3673.18] 應該不會減少
[3677.28-3678.06] 謝謝
[3678.30-3680.36] 董事長的詳細回答
[3680.62-3683.94] 那也謝謝各位投資先進的踴躍提問
[3684.46-3689.06] 由於今天時間的緣故今天的法說會我們可能就要到這邊先結束
[3689.32-3692.64] 也謝謝各位線上的投資先進的參與
[3693.16-3697.26] 當然如果還有其他沒有辦法回答的問題
[3697.50-3698.28] 歡迎您聯絡
[3698.58-3699.86] 我們會再次申請科技控股
[3700.12-3701.66] 投資人關係窗口
[3701.90-3702.94] 謝謝大家參與
[3704.72-3705.74] 謝謝大家
[3706.52-3707.02] 謝謝
