[0.00-13.48] 好那欢迎各位投资先进参加台湾聚合化学品股份有限公司
[3102.30-3104.30] 我们直接销售到美国的
[3104.30-3106.30] 我们直接销售到美国的
[3106.30-3108.30] 占比其实都不到百分之一
[3108.30-3110.30] 所以直接的影响客户的
[3110.30-3112.30] 这边的量的减少是
[3112.30-3114.30] 影响不算太大
[3114.30-3116.30] 但最主要的部分是在于
[3116.30-3118.30] 我们下游客户
[3118.30-3120.30] 有一些客户他的产品
[3120.30-3122.30] 比如说鞋叶
[3122.30-3124.30] 简报上有提到
[3124.30-3126.30] 尤其是我们主要是
[3126.30-3128.30] 销售一些高
[3128.30-3130.30] 就是高价值的
[3130.30-3132.30] 品牌的鞋叶
[3132.30-3134.30] 他们有一部分的产品是
[3134.30-3136.30] 卖到美国去的
[3136.30-3138.30] 这部分有受到一些影响
[3138.30-3140.30] 那另外刚刚提到一些
[3140.30-3142.30] 电缆的部分
[3142.30-3144.30] 这个部分也有受到影响
[3144.30-3146.30] 但是这个部分
[3146.30-3148.30] 占整个产品的占比并不算
[3148.30-3150.30] 太大
[3150.30-3152.30] 那其实最主要的影响
[3152.30-3154.30] 在于这个不确定性
[3154.30-3156.30] 因为包含我们的客户
[3156.30-3158.30] 他们的客户对于
[3158.30-3160.30] 后面的经济的这个前景的展望
[3160.30-3162.30] 不确定的时候
[3162.30-3164.30] 那整个这个
[3164.30-3166.30] 供应链的买气有受到影响
[3166.30-3168.30] 所以其实在4月份
[3168.30-3170.30] 开始4月初开始
[3170.30-3172.30] 我们的订单
[3172.30-3174.30] 明显有感觉到
[3174.30-3176.30] 有萎缩的情况
[3176.30-3178.30] 那还好后来这个
[3178.30-3180.30] 美国跟中国的这个
[3180.30-3182.30] 谈判有
[3182.30-3184.30] 比预期的来
[3184.30-3186.30] 就比我们预期的好一点
[3186.30-3188.30] 所以其实当天
[3188.30-3190.30] 对不起隔天的这个
[3190.30-3192.30] 这个市况
[3192.30-3194.30] 买气就有比较明显的好转
[3194.30-3196.30] 但是还我个人感觉
[3196.30-3198.30] 还没有完全
[3198.30-3200.30] 恢复
[3200.30-3202.30] 目前大概整个关税对我们影响
[3202.30-3204.30] 大概是这样
[3212.30-3214.30] 不知道现场或是现场的
[3214.30-3216.30] 投资先进或媒体朋友
[3216.30-3218.30] 有没有其他的提问
[3220.30-3222.30] 好的那么谢谢
[3222.30-3224.30] 投资先进的提问和经营团队的
[3224.30-3226.30] 补充说明
[3226.30-3228.30] 请问现场以及现场的投资先进
[3228.30-3230.30] 有任何问题要提出来讨论的吗
[3234.30-3236.30] 总经理
[3236.30-3238.30] 跟那个出场两个问题
[3238.30-3240.30] 第一个就是那个太阳能板在
[3240.30-3242.30] 被克高关税之后
[3242.30-3244.30] 还有稀产地的问题
[3244.30-3246.30] 然后再加上今年下半年或是往后
[3246.30-3248.30] 看中国在财政补贴太阳能
[3248.30-3250.30] 发电上面的力度
[3250.30-3252.30] 会不会就是整个
[3252.30-3254.30] 如果回头来看的话
[3254.30-3256.30] 中国的太阳能装机
[3256.30-3258.30] 朝高峰就是YY或是
[3258.30-3260.30] 百分比高峰已经过了
[3260.30-3262.30] 这个对整个把中国需求
[3262.30-3264.30] 往下降还有美国稀产地
[3264.30-3266.30] 的问题一起克到动产
[3266.30-3268.30] 这个对后续的EVA行业是怎么样
[3268.30-3270.30] 这是第一个问题
[3270.30-3272.30] 第二个就是股雷在现在
[3272.30-3274.30] 最近几季的
[3274.30-3276.30] 整个它自己的亏损部分
[3276.30-3278.30] 基本上好像也没有太多
[3278.30-3280.30] 好转的现象
[3280.30-3282.30] 这部分有一些后续的措施
[3282.30-3284.30] 公司想要怎么做让整个
[3284.30-3286.30] 亏损继续往下降
[3286.30-3288.30] 或是怎么样的措施可以跟我们分享吗
[3288.30-3290.30] 谢谢
[3292.30-3294.30] 我先回答股雷
[3294.30-3296.30] 相关的问题
[3296.30-3298.30] 然后另外一个问题关于
[3298.30-3300.30] 光伏太阳能
[3300.30-3302.30] 产地的问题
[3302.30-3304.30] 我再请柯明处长回答
[3304.30-3306.30] 股雷的部分
[3306.30-3308.30] 第一个先谈它的
[3308.30-3310.30] 驾动率
[3310.30-3312.30] 第一季股雷的驾动率
[3312.30-3314.30] 大概是稍微低于八成
[3314.30-3316.30] 第二季的展望
[3316.30-3318.30] 是稍微高于八成
[3318.30-3320.30] 所以
[3320.30-3322.30] 就是在八成的上下
[3322.30-3324.30] 变动
[3324.30-3326.30] 大陆同类型的
[3326.30-3328.30] 装置
[3328.30-3330.30] 就是买
[3330.30-3332.30] 轻油
[3332.30-3334.30] 然后进裂解炉
[3334.30-3336.30] 然后
[3336.30-3338.30] 裂解为下游的产品
[3338.30-3340.30] 大体上
[3340.30-3342.30] 这个状况都
[3342.30-3344.30] 还没改善
[3344.30-3346.30] 那股雷自己能做的
[3346.30-3348.30] 就是它有一些降本
[3348.30-3350.30] 增力的
[3350.30-3352.30] 专案
[3352.30-3354.30] 他们现在正在进行
[3354.30-3356.30] 那这个就是怎么样去把下游的产品
[3356.30-3358.30] 再做优化
[3358.30-3360.30] 同时呢对这一个原理
[3360.30-3362.30] 原料的部分
[3362.30-3364.30] 也尽量找多
[3364.30-3366.30] 来源
[3366.30-3368.30] 希望能够在
[3368.30-3370.30] 更多的来源
[3370.30-3372.30] 的原料上面
[3372.30-3374.30] 取得一些成本上的
[3374.30-3376.30] 改善
[3376.30-3378.30] 所以总的来说
[3378.30-3380.30] 它有一系列的这些降本
[3380.30-3382.30] 增效的专案
[3382.30-3384.30] 正在进行当中
[3388.30-3390.30] 那有关于刚刚
[3390.30-3392.30] 投资先进
[3392.30-3394.30] 提问的这个大陆太阳能的
[3394.30-3396.30] 部分
[3396.30-3398.30] 还有就是海外美国
[3398.30-3400.30] 对于东南亚
[3400.30-3402.30] 课税的这个问题
[3402.30-3404.30] 那首先我们可能分
[3404.30-3406.30] 三个方面来看
[3406.30-3408.30] 从中国的情况
[3408.30-3410.30] 刚刚其实也提到
[3410.30-3412.30] 太阳能的需求
[3412.30-3414.30] 这个的展望其实是
[3414.30-3416.30] 中国
[3416.30-3418.30] 光伏协会提出来的
[3418.30-3420.30] 那以过去的经验
[3420.30-3422.30] 来看的话实际的装计量
[3422.30-3424.30] 其实都是高于预估量
[3424.30-3426.30] 那有关于这个问题
[3426.30-3428.30] 我们其实也
[3428.30-3430.30] 大家可以过去去看
[3430.30-3432.30] 中国的其他政策
[3432.30-3434.30] 中国这边有一个
[3434.30-3436.30] 很明确的就是2030年
[3436.30-3438.30] 会有一个碳达峰
[3438.30-3440.30] 2050年进行排放的这个目标
[3440.30-3442.30] 那按照
[3442.30-3444.30] 中国的这个
[3444.30-3446.30] 大多数我们同业这边的
[3446.30-3448.30] 看法认为
[3448.30-3450.30] 中国的这样的政策他们既然
[3450.30-3452.30] 尤其是高层提出来
[3452.30-3454.30] 他们就会
[3454.30-3456.30] 想办法去完成它
[3456.30-3458.30] 所以从这个角度来
[3458.30-3460.30] 看一下来看
[3460.30-3462.30] 长期对于太阳能的展望
[3462.30-3464.30] 它相对来讲
[3464.30-3466.30] 还是乐观的
[3466.30-3468.30] 所以我们看到的
[3468.30-3470.30] 抢庄潮
[3470.30-3472.30] 可能第一季这个部分
[3472.30-3474.30] 可能是上半年的高峰
[3474.30-3476.30] 但未必是全年的高峰
[3476.30-3478.30] 所以如果按照这个情况
[3478.30-3480.30] 来去推断的话很可能
[3480.30-3482.30] 在6月甚至7月
[3482.30-3484.30] 如果再长一点是可能8月
[3484.30-3486.30] 在光伏的这个
[3486.30-3488.30] 中国的需求量
[3488.30-3490.30] 可能会稍微弱一点
[3490.30-3492.30] 但是之后或许可能还会再反转
[3492.30-3494.30] 所以这个部分可能我们
[3494.30-3496.30] 后续还是值得
[3496.30-3498.30] 去观察
[3498.30-3500.30] 但是以过去的经验把中国提出来的数字
[3500.30-3502.30] 基本上每一年都是超过
[3502.30-3504.30] 超过它原本
[3504.30-3506.30] 年初预估的数字的
[3506.30-3508.30] 那至于海外系产业的部分
[3508.30-3510.30] 这个其实我们也很关注
[3510.30-3512.30] 中国的这些组建厂
[3512.30-3514.30] 为了规避前两年
[3514.30-3516.30] 这个美国对中国大陆
[3516.30-3518.30] 双反的问题所以在越南
[3518.30-3520.30] 在泰国在印尼
[3520.30-3522.30] 这边有设厂
[3522.30-3524.30] 那其实整个
[3524.30-3526.30] 这些
[3526.30-3528.30] 海外的这些厂
[3528.30-3530.30] 据他们我们客户
[3530.30-3532.30] 这边的反馈是
[3532.30-3534.30] 他们75%是卖
[3534.30-3536.30] 中国对不起
[3536.30-3538.30] 美国以外的地区
[3538.30-3540.30] 所以大概会有25%左右
[3540.30-3542.30] 的量是卖到
[3542.30-3544.30] 美国去
[3544.30-3546.30] 那但是
[3546.30-3548.30] 这些有多少因为它
[3548.30-3550.30] 美国对于
[3550.30-3552.30] 光伏的这个调查
[3552.30-3554.30] 它只限于太阳能板
[3554.30-3556.30] 就是组建
[3556.30-3558.30] 跟太阳能电池的部分
[3558.30-3560.30] 对于胶膜
[3560.30-3562.30] 它是没有
[3562.30-3564.30] 限制的
[3564.30-3566.30] 也就是说如果我们客户直接卖膜
[3566.30-3568.30] 到美国去它是没有问题的
[3568.30-3570.30] 那另外一个
[3570.30-3572.30] 就是说印度
[3572.30-3574.30] 因为这样的关系其实它是
[3574.30-3576.30] 得利于这个
[3576.30-3578.30] 政策的所以刚刚
[3578.30-3580.30] 我们吴副总这边有提到
[3580.30-3582.30] 就是说台聚亚聚在
[3582.30-3584.30] 光伏级的
[3584.30-3586.30] 布局其实是很早就
[3586.30-3588.30] 注意到
[3588.30-3590.30] 这一块那
[3590.30-3592.30] 而且目前
[3592.30-3594.30] 光伏级EVA的供应
[3594.30-3596.30] 主要就是有三个地区在供应
[3596.30-3598.30] 就是中国
[3598.30-3600.30] 大陆国内韩国跟台湾
[3600.30-3602.30] 当然过去新加坡有少量一点点
[3602.30-3604.30] 泰国有少量一点点
[3604.30-3606.30] 但最主要是这三个地方
[3606.30-3608.30] 也就是说
[3608.30-3610.30] 中国以外的就是这些地区
[3610.30-3612.30] 其实主要是韩国厂
[3612.30-3614.30] 跟台湾厂在供应
[3614.30-3616.30] 所以这一块反而是我们的利基
[3616.30-3618.30] 不晓得
[3618.30-3620.30] 这样说明
[3620.30-3622.30] 有没有回答到你的问题
[3628.30-3630.30] 有的
[3630.30-3632.30] 那印度它对于
[3632.30-3634.30] 进口到
[3634.30-3636.30] 印度的要求到
[3636.30-3638.30] BS认证
[3638.30-3640.30] 因为我们其实大概在
[3640.30-3642.30] 一年多甚至两年前
[3642.30-3644.30] 我们注意到这个问题
[3644.30-3646.30] 我们就跟印度这边提出申请
[3646.30-3648.30] 那因为印度这边的官员要过来
[3648.30-3650.30] 就是审核
[3650.30-3652.30] 所以
[3652.30-3654.30] 因为它人力的关系
[3654.30-3656.30] 所以它其实一直演
[3656.30-3658.30] 预计今年
[3658.30-3660.30] 应该会派人过来
[3660.30-3662.30] 但是它这样过来的关系
[3662.30-3664.30] 所以对于EVA的这个BIS的
[3664.30-3666.30] 这个限制它其实也是一直往后延
[3666.30-3668.30] 对
[3668.30-3670.30] 目前为止我们是没受到影响
[3680.30-3682.30] 请问还有投资先进需要提问吗
[3686.30-3688.30] 那另外一个我们还有
[3688.30-3690.30] 线上的投资先进
[3690.30-3692.30] 那线上的朋友
[3692.30-3694.30] 可以利用线上聊天室的功能
[3694.30-3696.30] 留言提问那我再把
[3696.30-3698.30] 问题附送一遍
[3698.30-3700.30] 谢谢
[3718.30-3720.30] 那如果没有其他问题的话
[3720.30-3722.30] 那是不是我们今天的法人说明会就到这边
[3722.30-3724.30] 那也谢谢各位投资先进
[3724.30-3726.30] 还有法人
[3726.30-3728.30] 还有媒体
[3728.30-3730.30] 还有各位先生的这个参加
[3730.30-3732.30] 谢谢大家
[3732.30-3734.30] 好谢谢
[3734.30-3736.30] 再次感谢台湾聚合化学品股
[3736.30-3738.30] 和有限公司
[3738.30-3740.30] 以及亚洲聚合股份有限公司
[3740.30-3742.30] 记忆团队
[3742.30-3744.30] 今天的分享与解答
[3744.30-3746.30] 那今天的联合法说会就到此告一个段落
[3746.30-3748.30] 也谢谢各位朋友的关注
[3748.30-3750.30] 也谢谢各位投资进入会参加
[3750.30-3752.30] 谢谢
