[0.00-10.50] 各位投資先進,歡迎大家參加有空的群組舉辦的建立的線上發表說明會
[2981.52-2983.52] 雖然說23年24年的這個
[2983.52-2984.52] 一度變動值就有點
[2984.52-2985.52] 不兌的差異性
[2985.52-2986.52] 但是兩年看起來都是在
[2986.52-2989.52] 24.7%8個%多的這個水準的話
[2989.52-2990.52] 今年的毛利率看起來
[2990.52-2992.52] 應該是一個持穩的情況
[2992.52-2994.52] 還是說會受到關稅的影響
[2994.52-2996.52] 會比較壓抑這樣子
[2996.52-2998.52] 我覺得應該說差異
[2998.52-3000.52] 應該不會太大
[3000.52-3001.52] 比如說
[3001.52-3002.52] 還是會受到一些
[3002.52-3004.52] 比如說匯率延遲
[3004.52-3006.52] 或其他一些
[3006.52-3008.52] 或量感的兩線
[3008.52-3010.52] 都扭的油門的一些想法
[3010.52-3011.52] 有可能
[3011.52-3013.52] 不過overall來說
[3013.52-3014.52] 我沒有差異
[3014.52-3015.52] 我剛去年來講的話
[3015.52-3016.52] 就是安能清漲的
[3016.52-3017.52] 生長的進入
[3017.52-3018.52] 對我們估計
[3018.52-3019.52] 估計算是比較大
[3019.52-3020.52] 那今年來看的話
[3020.52-3021.52] 這個生長性
[3021.52-3022.52] 跟生長性的
[3022.52-3023.52] 這個就略略略行
[3023.52-3024.52] 應該還可以
[3024.52-3025.52] 可能會有一點
[3025.52-3026.52] 比較大的
[3026.52-3027.52] 但是其實
[3027.52-3028.52] 我們看到
[3028.52-3029.52] 這個股市的
[3029.52-3030.52] 這個股市的
[3030.52-3031.52] 這個股市的
[3031.52-3032.52] 這個股市的
[3032.52-3033.52] 這個股市的
[3033.52-3034.52] 這個股市的
[3034.52-3035.52] 這個股市的
[3035.52-3036.52] 這個股市的
[3036.52-3037.52] 這個股市的
[3037.52-3038.52] 這個股市的
[3038.52-3039.52] 這個股市的
[3039.52-3040.52] 這個股市的
[3040.52-3041.52] 這個股市的
[3041.52-3042.52] 這個股市的
[3042.52-3043.52] 這個股市的
[3043.52-3044.52] 這個股市的
[3044.52-3045.52] 這個股市的
[3045.52-3046.52] 還是會增加
[3046.52-3047.52] 但是說
[3047.52-3048.52] 也會進入
[3048.52-3049.52] 因為我們
[3049.52-3050.52] 其實就是
[3050.52-3051.52] 前兩年
[3051.52-3052.52] 在安全系統
[3052.52-3053.52] 這邊增加 ed
[3053.52-3054.52] 還不是特別快
[3054.52-3055.52] 那今年也應該說
[3055.52-3056.52] 回落很快
[3056.52-3058.52] 所以
[3058.52-3059.52] 因為我們
[3059.52-3060.52] 安全系統
[3060.52-3061.52] 跟安全帶的客戶
[3061.52-3062.52] 都是一樣的
[3062.52-3063.52] 對基本上
[3063.52-3065.52] 基本上
[3065.52-3066.52] 就是
[3066.52-3067.52] 所以
[3067.52-3068.52] 這兩個
[3068.52-3069.52] LGBT
[3069.52-3070.52] 他們
[3070.52-3071.52] 都 code
[3071.52-3073.12] 打av
[3073.12-3073.52] seat
[3073.52-3077.52] 安全信用和安全代的增加是不會有關係的
[3077.52-3078.52] 沒有什麼關係
[3078.52-3082.52] 因為其實雖然客戶都是整齊
[3082.52-3085.52] 可是事實上他們都有免費工資
[3085.52-3089.52] 有一些產品的經濟表現就可能會有影響
[3089.52-3092.52] 就是被佔了部分
[3092.52-3094.52] 有些產品就是全面投放
[3094.52-3097.52] 所以有些部分發生信用障礙
[3097.52-3100.52] 所以會直接到後面去變化
[3100.52-3102.52] 所以它其實沒有辦法
[3110.52-3112.52] 那去年這個安全信用增加
[3112.52-3115.52] 是我們增加了任何零件
[3115.52-3119.52] 還是在原本零件上的比例增加
[3119.52-3120.52] 是同樣的
[3125.52-3128.52] 那接下來有機會接到新的零件
[3128.52-3130.52] 一樣安全信用那一邊
[3130.52-3132.52] 也是讓我們有新的在整理
[3132.52-3135.52] 就是說其實我們現在的這個
[3135.52-3137.52] Future 跟 Fiat 做好
[3137.52-3138.52] 雖然它們兩台都沒有
[3138.52-3140.52] 現在它們後面來到現在的狀況
[3140.52-3142.52] 是沒有可能的
[3142.52-3146.52] 應該是在這邊會有影響
[3146.52-3148.52] 就是說因為它們這兩台
[3148.52-3150.52] 還是會有影響的
[3150.52-3152.52] 比如說 A 多 B 多
[3152.52-3155.52] 所以整體來說我們覺得
[3155.52-3157.52] 就是整個
[3157.52-3160.52] 不會說是外星 整體包的打壓
[3160.52-3162.52] 所以是會有一個不佳的
[3162.52-3163.52] 假種的狀態
[3163.52-3164.52] 比如說
[3164.52-3166.52] 於事實上
[3166.52-3168.52] 種地就不夠大
[3168.52-3170.52] 我們還是
[3170.52-3174.52] 把新的零件都放在下面
[3191.52-3193.52] 然後就如果
[3193.52-3194.96] 現在就是說
[3194.96-3196.52] 我們吃到電子菜
[3196.52-3199.64] 然後
[3199.64-3202.52] 當然你還是現在有將 by the head
[3202.52-3204.52] 然後
[3204.52-3205.52] 部分包這麼了
[3205.52-3206.52] 然後
[3206.52-3206.64] 我看
[3208.64-3209.52] 支持
[3211.52-3212.52] 因為
[3213.52-3214.52] 因為
[3214.52-3216.52] B assure
[3216.52-3217.52] 推進
[3217.52-3218.52] 我們
[3218.52-3219.52] 也覺得
[3220.52-3222.52] 響鐘
