[0.00-3.22] 友达光电2025年第一季法人说明会
[3460.10-3464.10] 來去幫他們分拆這個存款上的壓力
[3464.10-3465.10] 不知道就是
[3465.10-3466.10] 不知道
[3466.10-3470.10] 管理層有沒有去跟這個下游客戶去公布這個問題
[3470.10-3471.10] 以上就是我們兩個問題
[3471.10-3472.10] 謝謝
[3476.10-3485.10] 關於說這個五一這一塊的話
[3485.10-3492.10] 因為我們基本上都是按照客戶需求在做生產
[3492.10-3499.10] 本來也沒有在說先預先生產
[3499.10-3503.10] 然後因為估計很高的再來調降
[3503.10-3506.10] 我們都是比較普遍的
[3506.10-3510.10] 平順的在動態調整我們的產能
[3510.10-3519.10] 所以這個我們沒有特別針對五一做休息的這個計畫
[3519.10-3525.10] 那目前的客戶的需求也還算持穩
[3525.10-3528.10] 也沒有特別要做這個
[3528.10-3531.10] 比較大的生產計畫的調整
[3534.10-3535.10] OK
[3535.10-3539.10] 那關於第二題的這個關稅的影響的一個量化的部分
[3539.10-3540.10] 對財務的一個影響
[3540.10-3541.10] 我是David
[3541.10-3543.10] 那我來回答這一題好了
[3543.10-3545.10] 那剛才之前包括James跟Frank
[3545.10-3547.10] 大概都有提到就是
[3547.10-3552.10] 這整個一個關稅的這個影響這個訂單的部分
[3552.10-3553.10] 我想對友達來講
[3553.10-3557.10] 應該是低於整個一個市場的一個影響這樣子
[3557.10-3559.10] 那至於這個費用類的部分
[3559.10-3564.10] 因為目前我們跟客人之間大部分的出貨的話
[3564.10-3566.10] 都是FOV
[3566.10-3567.10] 所以目前來講的話
[3567.10-3569.10] 對這個運費或是關稅的影響
[3569.10-3573.10] 對友達這邊的影響應該是蠻小的
[3573.10-3574.10] 以上來這個回答
[3574.10-3578.10] 各位線上的嘉賓
[3578.10-3581.10] 我們現在開放最後一位來賓的提問
[3581.10-3582.10] 謝謝
[3582.10-3586.10] 最後一個問題來自於元大Lisa Chen
[3586.10-3588.10] 請提問
[3588.10-3589.10] 各位長官好
[3589.10-3590.10] 我是Lisa
[3590.10-3592.10] 我這邊兩個問題請教
[3592.10-3593.10] 那第一個問題可能是
[3593.10-3595.10] 短期影響營運比較少
[3595.10-3597.10] 但是我是還蠻好奇
[3597.10-3601.10] 就是我們這個電子紙這邊的佈局
[3601.10-3604.10] 那會不會需要一些資本支出
[3604.10-3607.10] 那量產之後有沒有一個初步的規劃
[3607.10-3610.10] 就是它帶給我們的效益
[3610.10-3614.10] 不管是它自己本身可能量產之後
[3614.10-3615.10] 對我們的正面影響
[3615.10-3620.10] 或是說可能客戶的ESG這邊的佈局
[3620.10-3623.10] 然後跟我們的營運方面的影響
[3623.10-3625.10] 那這個對我們來講
[3625.10-3627.10] 我們在這個電子紙上的間接正面影響
[3627.10-3629.10] 這邊是不是有可能對我們是有好處的
[3629.10-3631.10] 這是第一個問題
[3631.10-3633.10] 那第二個問題就是
[3633.10-3637.10] 因為我們就是BHDC它在全世界有很多地方
[3637.10-3638.10] 它都有點
[3638.10-3640.10] 但是我們只看到它有點也不曉得說
[3640.10-3643.10] 它這邊是大的產能還小的產能
[3643.10-3647.10] 然後這個是一個什麼樣的產能
[3647.10-3650.10] 就是說它可能是生產車的什麼東西
[3650.10-3652.10] 或者是後段模組什麼之類的
[3652.10-3657.10] 那它產品就是藉由這些地區的產能有什麼優勢
[3657.10-3659.10] 例如說我們Vertical有一部分的後段
[3659.10-3661.10] 到這邊去做組裝或什麼之類的
[3661.10-3664.10] 有沒有這邊的一個想法可以分享
[3664.10-3666.10] 以上兩個問題謝謝
[3669.10-3672.10] Lisa 剛剛兩個問題我這邊來回答
[3672.10-3675.10] 首先第一個問題提到電子的佈局
[3675.10-3681.10] 對整個友達會帶來的正向貢獻的一個說明
[3681.10-3683.10] 那我這邊簡單說明
[3683.10-3688.10] 因為第一個這個是針對所謂大尺寸的模組的一個合資
[3688.10-3693.10] 那當然這裡頭因為是有模組產線的行政
[3693.10-3700.10] 所以我們現在的規劃的整個那個股本大概在3.9億左右
[3700.10-3703.10] 那其中有部分就是資本支出相關
[3703.10-3708.10] 那這個初期的產能當然是因應市場的一個現在的狀態
[3708.10-3711.10] 所以以大型電子市現在在推廣的情況
[3711.10-3714.10] 初期的產能估計並不算大
[3714.10-3716.10] 所以資本支出也不大
[3716.10-3722.10] 但是我們看好的是全球在這個所謂的智慧顯示
[3722.10-3724.10] 走向各種室內之外的應用
[3724.10-3729.10] 尤其從零售開始到其他的各個場域
[3729.10-3733.10] 包括我們談到的零碳的智能建築
[3733.10-3741.10] 那很多這種用所謂的印刷Post這一類的顯示
[3741.10-3744.10] 都有可能可以從此彰化成電子
[3744.10-3746.10] 因為它有這種輕薄來
[3746.10-3749.10] 然後不用拉線的這些優勢
[3749.10-3754.10] 所以剛好跟這個LCD或LED為一個很好的互
[3754.10-3756.10] 所以我們看好這個趨勢
[3756.10-3759.10] 以及有拿整個集團尤其是以大型為主
[3759.10-3761.10] 走向Solution這一塊
[3761.10-3763.10] 我們也希望透過這樣的方式
[3763.10-3767.10] 來給客戶一站構築各種智慧顯示
[3767.10-3770.10] 各種顯示形態技術的這樣的一個模組
[3771.10-3772.10] 來做一個服務
[3772.10-3775.10] 所以總結來看對於有達
[3775.10-3777.10] 對於達琴大概會有兩個貢獻
[3777.10-3780.10] 一個就是模組的市場客戶的需求
[3780.10-3782.10] 營收增長
[3782.10-3786.10] 以及達琴在以智慧顯示為解決方案
[3786.10-3788.10] 轉移體整合這一塊
[3788.10-3790.10] 那連結不同的顯示技術
[3790.10-3792.10] 所帶來的解決方案
[3792.10-3794.10] 那長期趨勢來看
[3794.10-3798.10] 我們會看好這個ESG還有智能顯示這兩個雙趨勢
[3798.10-3800.10] 會帶動這一塊
[3800.10-3802.10] 對我們的營收貢獻
[3802.10-3803.10] 這是第一題
[3803.10-3805.10] 那第二個
[3805.10-3808.10] 我先請您提問有關於BHTC各個製造點
[3808.10-3811.10] 在各地的一些佈局
[3811.10-3813.10] 跟產能的大小或是形態
[3813.10-3816.10] 那我這邊我想做一下說明
[3816.10-3820.10] 其實這幾個廠當然首先原本是以BHTC
[3820.10-3822.10] 原本的HMI的
[3822.10-3825.10] 做車用的HMI這樣的一個產線
[3825.10-3828.10] 所以它基本上是以車規產線為主
[3828.10-3830.10] 所以第一個優勢當然是
[3830.10-3834.10] 這些製造據點都經過車廠車規的認證
[3834.10-3837.10] 所以當我們要滿足車用客戶
[3837.10-3840.10] 在全球各地的彈性生產
[3840.10-3844.10] 我們就減少了蓋廠到認證這樣的一個時間差
[3844.10-3849.10] 那可以快速因應車用客戶的彈性需求
[3849.10-3850.10] 那第二個
[3850.10-3853.10] 因為它也是以組裝或者是以這個
[3853.10-3856.10] 有這個所謂的SMP打件的這樣的能力
[3856.10-3859.10] 那剛好符合在您提問的
[3859.10-3863.10] 像一些垂直解決方案所需要的
[3863.10-3865.10] 靠近市場的需求
[3865.10-3868.10] 那我們也看到在現在
[3868.10-3870.10] 關稅特別強調這個COO
[3870.10-3874.10] Cost of Original的這個條件下
[3874.10-3877.10] 我們在靠近客戶的市場
[3877.10-3880.10] 具備這些核心的打件
[3880.10-3882.10] 以及組裝能力
[3882.10-3886.10] 也會有很好的一個優勢
[3886.10-3888.10] 所以這個接下來我們會因應
[3889.10-3890.10] 整個集團
[3890.10-3893.10] 從車用到打琴到這個友達
[3893.10-3898.10] 各個客戶所需要的一些製造彈性的需求
[3898.10-3902.10] 然後來怎麼樣延伸我們各地的製造能力
[3902.10-3906.10] 然後做更好更有彈性的一個
[3906.10-3908.10] 下一階段的工序
[3908.10-3909.10] 以上為止 謝謝
[3909.10-3911.10] 謝謝很辛苦
[3911.10-3913.10] 好謝謝
[3913.10-3916.10] 非常感謝各位線上嘉賓的參與
[3916.10-3919.10] 今天友達光電的線上法人說明會就是這樣
[3919.10-3920.10] 到此結束
[3920.10-3922.10] 各位投資人如果還有任何的問題
[3922.10-3924.10] 麻煩會後再跟IR聯繫
[3924.10-3925.10] 謝謝各位
[3925.10-3927.10] 我們下一集再見
[3927.10-3929.10] 謝謝
[3929.10-3930.10] 非常感謝各位參與
[3930.10-3934.10] 友達光電2025年第一季線上法人說明會
[3934.10-3936.10] 今天的會議將到此結束
[3936.10-3938.10] 您現在可以離線了
[3938.10-3940.10] 謝謝 再見
