[0.00-25.64] 各位贵宾午安
[3158.60-3160.90] 破碎之後得到的玻璃跟銅粉
[3161.42-3163.72] 然後包括一些剛才講鐵啊鋁
[3164.24-3165.52] 或者是一些錫
[3166.02-3168.08] 跟銅的部分這是基本金屬
[3168.58-3169.36] 嗯
[3169.66-3173.24] 那所以如果說銅價上漲
[3173.50-3174.78] 反而對我們是
[3175.04-3176.32] 相對更有利的
[3176.82-3177.84] 是
[3178.10-3181.68] 對因為這些銅老實講可以算是
[3182.46-3183.48] 沒有什麼成本
[3183.74-3187.84] 從電子廢棄物來去所以這邊的話銅我們可以
[3188.86-3193.72] 得到更多的銅在電子廢棄物的回收跟後續銅價的上漲
[3193.98-3196.02] 對我們來講會有更大的一個益助
[3197.82-3199.36] 所以我們現在知道的
[3199.66-3202.22] 比如說一年的回收桶
[3202.98-3205.54] 或者鋁這個大概有多少的
[3206.06-3206.82] 量嗎
[3207.34-3207.84] 多少公分
[3208.10-3209.90] 這邊的量我可能
[3210.40-3211.94] 暫時沒辦法給你這個數字
[3212.46-3212.96] OK
[3216.30-3217.58] 那所以那個
[3218.08-3219.62] VR PV現在
[3219.88-3221.16] 營收還是很低
[3222.18-3222.96] 對大概
[3223.46-3225.26] 如果以今年
[3225.52-3229.10] 如果以全年來估啦他都已經上限了
[3229.66-3231.20] 大概我想現在的
[3231.96-3234.52] 現在的這個營收大概在
[3235.04-3236.56] 可能翻一倍吧
[3237.08-3239.64] 就是比如說現在1000萬到2000萬
[3240.16-3241.68] 的一個一個營收貢獻
[3244.50-3248.60] 1000萬是舉例嗎還是說是真實的數據
[3248.86-3254.48] 剛剛有提到就台灣這邊五個案場其實大概一年的一個營收大概就是1000萬左右
[3255.52-3256.02] OK
[3258.84-3259.36] 那這個
[3259.66-3260.68] Gross Margin
[3260.94-3261.44] 怎麼樣
[3262.48-3265.04] 剛剛有提大概在四成到五成之間
[3266.32-3266.82] 了解
[3270.66-3273.74] 所以這個如果看到未來幾年
[3274.00-3275.28] 有沒有說大概
[3275.78-3279.12] 可以達到什麼樣的這個營收目標
[3280.14-3286.02] 這邊應該是說我們預計在三年內想要把案場的
[3286.28-3287.82] 裝置容量的一個
[3288.08-3288.84] 數量
[3289.40-3292.72] 大概是到五到六個
[3293.76-3295.28] 五到六個那個
[3296.06-3296.82] MegaWatt
[3299.90-3302.72] 現在大概是大概1.7嘛
[3303.22-3309.36] 對因為新的大陸廠還沒蓋好了現在大概是1.7左右
[3310.64-3313.46] 所以應該還可以再翻個兩到三倍
[3314.24-3315.00] OK
[3319.40-3322.22] 不好意思那個
[3322.72-3327.08] 財務長我剛可能是理解錯誤我是說那個
[3328.36-3328.88] 那個
[3330.16-3332.46] 新的那個建材可能不是
[3332.72-3337.84] 可能不是要問VRPB那個就是我們不是有那個用CLGM
[3338.08-3341.68] CLGM對那個營收貢獻大概多少
[3342.18-3345.76] 其實他今年應該還不會有太大的貢獻
[3346.02-3349.36] 因為他去年建好了產業
[3349.66-3350.16] 好的
[3350.42-3351.20] 會有 resonates
[3351.70-3352.86] 就是別人那種
[3353.24-3353.60] 低的時候
[3353.84-3354.52] 不你看得太清楚
[3354.78-3356.32] 我剛才跟斎波各市那一些
[3356.82-3357.08] Americans
[3358.36-3359.12] 那種
[3359.64-3360.62] 經濟 לכ
[3360.92-3361.68] 不是
[3361.94-3363.22] 那中間也不一樣
[3363.48-3365.78] 等下
[3366.04-3366.36] ution
[3366.36-3366.82] 期間
[3367.06-3367.38] 會被
[3367.64-3368.08] 修正
[3368.34-3369.88] 對
[3370.14-3370.64] 整理
[3371.16-3371.68] 要做什麼
[3371.92-3372.44] 對
[3372.96-3373.98] 妳要 wheelchair
[3374.48-3375.58] 那
[3376.02-3377.30] 來說
[3377.56-3378.08] radial
[3378.32-3379.04] T streams
[3379.04-3381.40] 不會是在我現在就是說剛才講的
[3381.74-3385.34] 飛貴的這個營收的占比
[3385.74-3387.94] 我雖然現在說我們已經預計
[3388.10-3391.80] 今年度可能有機會拉到大概15-20左右
[3392.04-3394.54] 那CLG其實在今年並不會
[3395.04-3396.48] 並不會在這個
[3396.88-3399.58] 飛貴營收中去貢獻太多了
[3399.84-3401.74] 他的比例是一定是效益
[3402.00-3404.58] 我可能飛貴裡面的1%不到
[3405.20-3406.00] 嗯
[3406.30-3408.30] 那我飛貴主要還是剛才提到了
[3408.30-3410.26] 從廢物金
[3410.26-3414.06] 一些這個電子廢棄物回收處理費
[3414.06-3414.86] 然後
[3415.16-3418.44] 這些零件清洗的加工
[3418.44-3421.56] 清洗費服務費經驗費
[3422.14-3423.34] 跟太陽能這邊
[3423.54-3426.60] 去構成我這個飛貴的這邊的一些組成
[3427.34-3428.14] 嗯
[3429.26-3432.50] 所以這個飛貴的今年的成長
[3433.20-3435.86] 可能有很大一塊是來自於那個
[3436.54-3437.46] 飛
[3437.94-3438.26] 飛貴的
[3438.56-3440.36] 那個金屬的那個價格上漲
[3441.56-3443.90] 而應該處理量的增加
[3444.06-3445.60] 哦處理量的增加
[3445.60-3448.44] 是是今年預計在飛貴就是
[3448.90-3452.80] 就是廢置在這邊一些電子廢棄物的處理量
[3452.86-3454.80] 哦應該是相對會增加的
[3456.86-3459.96] 那為什麼今年的處理量會增加
[3460.04-3460.84] 這個
[3462.54-3465.10] 是因為整個景氣的關係嗎
[3465.10-3467.94] 還是也不是這個其實跟我們
[3467.94-3471.50] 在過去兩年所做的事情是有關的
[3471.50-3474.40] 當然一個是我們積極去去化我們
[3474.40-3476.90] 啊以前就是過去也許
[3477.40-3480.70] 10年是10多年所累積的一些庫存
[3480.70-3482.28] 去做一些去化
[3482.50-3486.28] 那這邊大概已經排排定一些既有的行程
[3486.28-3489.04] 那同時我們在這個
[3489.04-3493.24] 啊就是這兩年幫我們的這個人才跟團隊建立起來之後
[3493.24-3497.20] 其實現在我們在擴大對外的一個接單的部分
[3497.94-3502.74] 對所以在這邊的一些相關的效益就是說我們預期
[3502.74-3507.00] 當這些所謂的接單的量可以增加的部分
[3507.00-3509.90] 它的處理量也會相對應來做一個增加
[3509.90-3512.10] 所以變成今年度它會
[3512.10-3515.10] 蠻大一塊是依註在今年的一些
[3515.10-3517.30] 不管是營收跟獲利上面
[3517.30-3518.48] 嗯
[3519.74-3521.90] 那處理費本身有
[3522.38-3524.00] 價格有調張嗎
[3525.54-3527.60] 呃這邊
[3527.94-3530.70] 還講其實case by case
[3530.70-3531.60] 哦
[3531.60-3534.64] 有些是可以漲有些是沒有辦法漲
[3534.64-3537.74] 就是說這邊雖然我們想要漲
[3537.74-3539.94] 但是還是跟客戶有一些
[3539.94-3541.94] 啊所謂的商業談判的部分
[3541.94-3543.94] 哦
[3543.94-3547.04] 因為有一些同業可能
[3547.04-3550.04] 不不全然完全相同的同業
[3550.04-3553.44] 他們的那個處理費價格都是
[3553.44-3555.44] 都是往上漲的
[3555.44-3557.94] 那是現在民間的一些
[3557.94-3559.94] 就是廢棄物的處理
[3559.94-3562.94] 那個價格也都越來越高
[3562.94-3563.94] 那
[3563.94-3566.94] 所以所以我不知道說我們公司這邊
[3566.94-3569.94] 可能是還沒有
[3569.94-3571.94] 跟一些比較大客戶往來
[3571.94-3574.94] 所以比較不容易調漲這樣子嗎
[3574.94-3577.94] 呃有一些真的是叫做大客戶啦
[3577.94-3578.94] 那有一些
[3578.94-3582.94] 呃我想跟我們現在的產能利用率也有關係啊
[3582.94-3585.94] 或許我們現在比較積極的想要再擴大
[3585.94-3587.60] 就開源的部分去增加
[3587.60-3590.60] 增加一些新的訂單來
[3590.60-3592.60] 來提高我們的一些產能利用率
[3592.60-3594.60] 所以在價格的一些
[3594.60-3598.60] 這個調整上面或許會放的比較寬鬆啦
[3598.60-3601.60] 那當然就是說如果未來當我們的
[3601.60-3604.60] 產能利用率達到一定的一個水準以上
[3604.60-3607.60] 那可能就會有你剛剛講的這些考量
[3607.60-3610.60] 再去做價格調整
[3610.60-3611.60] 是
[3611.60-3615.60] 所以我們現在產能利用率是大概多少啊
[3615.60-3617.60] 這個有一個數字
[3617.60-3620.60] 可能目前沒有但是呃可以
[3620.60-3623.60] 因為沒有沒有特別去針對
[3623.60-3628.60] 這個個別的一些一些去統計這些資料
[3628.60-3629.60] 目前的話就是說
[3629.60-3635.60] 我自己的一個看法是產能利用率還還蠻低的
[3635.60-3640.60] ok
[3640.60-3642.60] 所以這個產能利用率的瓶頸
[3642.60-3644.60] 他主要是在
[3644.60-3646.60] 是在什麼地方
[3647.60-3649.60] 那個廠房的那個
[3649.60-3652.60] capacity嗎還是說
[3652.60-3655.60] 呃應該不是應該會是
[3655.60-3657.60] 有一部分是因為是拆解
[3657.60-3659.60] 他如果是廢資債
[3659.60-3662.60] 他要經過所謂拆解分選的過程
[3662.60-3665.60] 那個中間是要透過人工的部分
[3665.60-3667.60] 所以會有人的部分
[3667.60-3670.60] 那廠房的部分因為我們在2017年蓋的新的
[3670.60-3672.60] 這一個就是房科廠這邊的一個總部
[3672.60-3675.60] 其他的產能是建置的還蠻大的
[3675.60-3677.60] 所以產能的
[3677.60-3680.60] 就廠房的或者設備的一些產能部分倒是不是瓶頸
[3680.60-3683.60] 可能會是在人的部分
[3683.60-3689.60] ok
[3689.60-3692.60] 那財務長對今年有那個
[3692.60-3696.60] 營收跟獲利的該等式嗎
[3696.60-3702.60] 呃我想今年其實還是往所謂的
[3702.60-3703.60] 呃
[3703.60-3705.60] 但我們已經好幾年了
[3705.60-3707.60] 都希望拼所謂的
[3707.60-3711.60] 所以今年當然還是往這個目標來做邁進
[3711.60-3718.60] 不過大概上半年或許還不會有太好的一個呃這個這個數字
[3718.60-3722.60] 因為我想上半年還是在我們調整的一個末段的部分
[3722.60-3725.60] 但是下半年我覺得應該會有一些比較明顯的
[3725.60-3731.60] 因為包括我們現在在呃通過一些可能新客戶的一些認證的部分
[3731.60-3735.60] 在今年上半年大概都會有一些底定的部分
[3735.60-3744.60] 所以在這個下半年我覺得會有相關的一些新的客戶跟新的訂單的營收的挹注
[3744.60-3749.60] 所以在一些獲利的部分應該下半年會優於上半年
[3749.60-3752.60] 對那營收我覺得是差
[3752.60-3755.60] 應該應該就是大概維持在現在的
[3755.60-3759.60] 也許這這幾年的一個數字差不多了
[3759.60-3761.60] ok
[3761.60-3763.60] 剛提到的那個新客戶
[3763.60-3764.60] 呃
[3764.60-3765.60] 可能是
[3765.60-3768.60] 哪哪一個哪一種類型的客戶
[3768.60-3771.60] 呃上第三類半導體的客戶
[3771.60-3773.60] ok
[3773.60-3781.60] 呃所以我們是跟他們下談說一些貴金屬的清洗這些生意
[3781.60-3783.60] 對就從零件清洗開始
[3783.60-3790.60] 然後洗完的貴金屬我們會幫他做一些呃回收跟精煉提存
[3790.60-3794.60] 那後續也幫他們再轉換成他們所需要的材料
[3794.60-3795.60] 喔比如說剛才講的
[3795.60-3800.60] 像預設經驗或者是把柴或者是正度採的一些相關應用
[3800.60-3801.60] 嗯
[3801.60-3803.60] ok
[3803.60-3805.60] 好謝謝謝謝
[3805.60-3806.60] 哎謝謝你的提問
[3811.60-3814.60] 還有其他投資先進有要提問的嗎
[3814.60-3815.60] 嗯
[3815.60-3816.60] 嗯
[3816.60-3817.60] 嗯
[3817.60-3818.60] 嗯
[3818.60-3819.60] 嗯
[3819.60-3820.60] 嗯
[3820.60-3821.60] 嗯
[3821.60-3822.60] 嗯
[3822.60-3823.60] 嗯
[3823.60-3824.60] 嗯
[3824.60-3825.60] 嗯
[3825.60-3826.60] 那如果沒有提問的話
[3826.60-3830.60] 我們今天佳榮科技的線上法人說明會呢就到此結束
[3830.60-3834.60] 非常感謝財務長以及各位投資先濟的參加
[3834.60-3837.60] 在此敬祝各位身體健康萬事如意投資順利
[3837.60-3838.60] 謝謝
[3838.60-3839.60] 好
[3839.60-3840.60] 謝謝謝謝大家好
[3840.60-3841.60] 謝謝原富這邊的協助
[3841.60-3842.60] 謝謝拜拜
[3842.60-3843.60] 來頭長謝謝
[3843.60-3845.60] 來
[3854.60-3884.58] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
