[0.00-4.00] 我們在座我們有總經理我們紀先生在這邊
[2836.04-2837.04] 對
[2837.04-2838.04] 尤其在4月份
[2838.04-2840.04] 4 5月營收的
[2840.04-2841.04] 可能就是有
[2841.04-2843.04] 外來比較高級的廠商
[2843.04-2845.04] 可能就是因為有這樣一個
[2845.04-2846.04] 提前拉貨的狀況
[2846.04-2847.04] 對
[2847.04-2848.04] 有比較
[2848.04-2849.04] 對 沒有錯
[2849.04-2850.04] 就像你提到的
[2850.04-2851.04] 可能90天後這邊
[2851.04-2852.04] 這些中間那邊
[2852.04-2853.04] 像還是有提前
[2853.04-2855.04] 比較強勢的氣象
[2855.04-2856.04] 因為你現在拉差不多了
[2856.04-2857.04] 你4月5月拉了
[2857.04-2859.04] 你現在6月基本上已經快到了
[2859.04-2860.04] 所以這個基本上
[2860.04-2861.04] 大概已經
[2861.04-2862.04] 已經反下來
[2862.04-2863.04] 拉貨這比較
[2863.04-2865.04] 平常是社會版還是PCM的
[2865.04-2866.04] 還是NV的
[2866.04-2867.04] 這樣的
[2867.04-2869.04] 我們大概感覺應該是
[2869.04-2870.04] 大概
[2870.04-2872.04] 滿全面的
[2872.04-2874.04] 沒有特別說針對什麼
[2874.04-2875.04] 對
[2875.04-2876.04] 對
[2876.04-2879.04] 一般的客戶大概都有
[2879.04-2881.04] 再請教一下
[2881.04-2882.04] 剛剛你提到
[2882.04-2885.04] NV我覺得幫我的主辦部
[2885.04-2887.04] 它是運用在社會
[2887.04-2889.04] 還是NV的PCM
[2889.04-2891.04] 它主要是在PCM這一邊
[2891.04-2892.04] 主機板這一邊
[2892.04-2893.04] 對
[2893.04-2895.04] 那臺灣我們跟記者會議
[2895.04-2896.04] 我們跟記者會議也有合作
[2896.04-2897.04] 我們跟技剛
[2897.04-2900.04] 我們也是有賣他們的社會
[2900.04-2902.04] 我們也是他們的代理商
[2902.04-2904.04] 目前這塊幫你主辦的量
[2904.04-2906.04] 大概是
[2906.04-2909.04] 這個
[2909.04-2911.04] 我心中有數量
[2911.04-2913.04] 不曉得我可以講
[2913.04-2915.04] 這不錯
[2915.04-2917.04] 但基本上就是說
[2917.04-2918.04] 我們當然是
[2918.04-2919.04] 我們的目標就是
[2919.04-2921.04] 我們AMD CPU
[2921.04-2923.04] 事實上如果假設
[2923.04-2924.04] 我們現在
[2924.04-2927.04] 在AMD的三層
[2927.04-2929.04] 那基本上
[2929.04-2930.04] 應該
[2930.04-2932.04] Market share是五層
[2932.04-2933.04] 假設Market share是五層
[2933.04-2935.04] 然後我們是三層
[2935.04-2936.04] 那這樣一個比例來講
[2936.04-2938.04] 我們希望最起碼就是技嘉主機板
[2938.04-2939.04] 一定minimal
[2939.04-2941.04] 是這樣的一個標準
[2941.04-2942.04] 所以這個
[2942.04-2943.04] 目前來講
[2943.04-2946.04] 這個進步感覺是可以的
[2946.04-2947.04] 感覺是可以的
[2947.04-2948.04] 這樣
[2948.04-2949.04] 謝謝
[2952.04-2953.04] 主席你知道這個
[2953.04-2954.04] AISO的這個
[2954.04-2956.04] 這個CPU是用
[2956.04-2957.04] 這部分
[2957.04-2958.04] 因為CPU它是用intel
[2958.04-2959.04] 或是用AMD的
[2959.04-2960.04] 這個
[2960.04-2961.04] 這一塊你們區別得出來
[2961.04-2965.04] 它跟一般的CPU相同
[2965.04-2966.04] 應該是指那個
[2966.04-2967.04] PC那個東西
[2967.04-2969.04] AI的部分是吧
[2969.04-2970.04] 對
[2970.04-2971.04] 那HGX是過去
[2971.04-2972.04] 現在就NGX的那個
[2972.04-2974.04] MBL72
[2974.04-2975.04] 我們是分片的
[2975.04-2976.04] OK
[2976.04-2977.04] 因為我知道
[2977.04-2978.04] AIDA US它拉很多HGX
[2978.04-2979.04] 因為它的
[2979.04-2980.04] 它的那個
[2980.04-2981.04] DC主
[2981.04-2982.04] DC
[2982.04-2983.04] 那個CPU core
[2983.04-2984.04] 對
[2984.04-2986.04] 那個intel跟AMD是不同的
[2986.04-2987.04] 是可以分別出來的
[2987.04-2988.04] OK
[2990.04-2992.04] 而且可以分辨到它哪一個platform
[2992.04-2993.04] Ego stream
[2993.04-2994.04] Gogy stream
[2994.04-2995.04] 都可以分辨出來
[2995.04-2996.04] 那AMD是哪一套的
[2996.04-2997.04] 了解
[2999.04-3001.04] 所以我們算得出來
[3001.04-3004.04] 我們現在跟AI相關的比重
[3004.04-3006.04] 大概
[3006.04-3007.04] 大概是算得出來
[3007.04-3008.04] 算得出來
[3008.04-3009.04] 對
[3009.04-3010.04] 臨時場相AI就是大概
[3010.04-3011.04] 10 20幾成
[3011.04-3012.04] 是不大
[3012.04-3013.04] 我們是全部都有
[3013.04-3015.04] 不好意思
[3015.04-3016.04] 這個
[3016.04-3017.04] AI
[3017.04-3018.04] 12 Super
[3018.04-3019.04] AI Server
[3019.04-3020.04] 專門對AI Server
[3020.04-3021.04] 對
[3021.04-3022.04] 分母
[3022.04-3023.04] 分母是
[3023.04-3025.04] 分母是整體的Server
[3025.04-3026.04] 整體Server
[3026.04-3027.04] 大概15個Meter
[3027.04-3028.04] 15個單單組
[3028.04-3029.04] 對
[3029.04-3030.04] 全球的15Meter
[3030.04-3031.04] 大概12到15
[3031.04-3032.04] 今年大概
[3032.04-3033.04] 大概15個Meter
[3033.04-3034.04] 整體Server
[3034.04-3035.04] 對
[3035.04-3036.04] 更重的起來
[3036.04-3037.04] 像
[3037.04-3038.04] 像我們
[3038.04-3039.04] 我們在這個
[3039.04-3040.04] 我們在這個
[3040.04-3041.04] 我們在這個
[3041.04-3042.04] 我們在這個
[3042.04-3043.04] 更重的起來
[3043.04-3044.04] 像目前最夯的
[3044.04-3045.04] 像NVIDIA
[3045.04-3046.04] NVIDIA N272
[3046.04-3047.04] 對
[3047.04-3048.04] 那我們你有問到Power
[3048.04-3050.04] 我們搶了搶了
[3050.04-3054.04] 我們是GB200這個DC Power
[3054.04-3057.04] Invely是主要的Source
[3057.04-3058.04] 那一個櫃
[3058.04-3059.04] 你看有多少個
[3059.04-3061.04] 然後它現在寫的PDP
[3061.04-3063.04] 我們有Invely
[3063.04-3066.04] 有好幾條產品都在領域
[3066.04-3068.04] 然後Post-Apply部分也是一樣
[3068.04-3070.04] 那個Invely
[3070.04-3071.04] Reshare
[3071.04-3072.04] 各個Post-Apply的產品線
[3072.04-3073.04] 基本上都在
[3073.04-3074.04] 都在供應鏈裡面
[3074.04-3075.04] 所以是非常的多
[3075.04-3076.04] 在Post-Apply部分
[3076.04-3077.04] 在AI Server上面
[3077.04-3078.04] 我們剛好Server這一塊
[3078.04-3079.04] 公司幾條產品線都不錯
[3079.04-3080.04] 對
[3080.04-3081.04] 像Latis也是幾乎所有的板子上面
[3081.04-3082.04] 就一定
[3082.04-3083.04] 幾乎是Dominant
[3083.04-3084.04] 幾乎是Dominant
[3084.04-3085.04] 然後我們還有一條產品線
[3085.04-3086.04] 我們沒講
[3086.04-3087.04] 那個Molex
[3087.04-3088.04] 那個Socket
[3088.04-3089.04] 跟那個Cable
[3089.04-3090.04] 你用一看那個
[3090.04-3091.04] 那個NV72
[3091.04-3092.04] 那個裡面
[3092.04-3093.04] 那個Molex
[3093.04-3094.04] 那個Socket
[3094.04-3095.04] 跟那個Cable
[3095.04-3096.04] 你用一看那個
[3096.04-3097.04] 那個MV72
[3097.04-3098.04] 那個MV72
[3098.04-3099.04] 裡面
[3099.04-3100.04] 裡面
[3100.04-3102.04] 裡面很多東西的
[3102.04-3103.04] 而且它
[3103.04-3104.04] 他們
[3104.04-3106.04] 他們會跟
[3106.04-3107.04] 就是會做一些
[3107.04-3109.04] 一旦Design in以後
[3109.04-3110.04] 那個就是很Denig的東西
[3110.04-3113.04] 所以其實Molex的機會
[3113.04-3114.04] 我覺得這個
[3114.04-3116.04] 對我們公司來講
[3116.04-3117.04] 我們Cable就非常看重
[3117.04-3118.04] 進步發展
[3118.04-3119.04] 不只在台灣
[3119.04-3121.04] 然後在大陸這一塊
[3121.04-3122.04] 因為我們都
[3122.04-3124.04] 像這個未來機會都蠻大的
[3124.04-3125.04] 都蠻大的
[3125.04-3126.04] 這一塊如果是C-Con Combine
[3126.04-3128.04] 或是那個GarantyTry的話
[3128.04-3129.04] 跟我們這一塊
[3129.04-3130.04] 代理會有什麼
[3130.04-3131.04] 有些相關
[3131.04-3132.04] 都沒有
[3132.04-3133.04] 還有什麼
[3133.04-3134.04] 對
[3134.04-3135.04] 是總經營
[3135.04-3136.04] 剛才講那個是
[3136.04-3137.04] Infinio會有
[3137.04-3138.04] 是Socket
[3138.04-3139.04] 對
[3139.04-3140.04] 是Socket
[3140.04-3141.04] 像那個GPU的Socket
[3141.04-3142.04] 或者是Baseboard的Socket
[3142.04-3143.04] 那個這樣都很大
[3143.04-3144.04] 還有那個機構鍵
[3144.04-3145.04] 還有Cable
[3145.04-3146.04] 在AI生活上
[3146.04-3147.04] 也都
[3147.04-3148.04] GPU的Socket
[3148.04-3149.04] 你指CPU
[3149.04-3150.04] 下面那個
[3150.04-3151.04] OAM
[3151.04-3152.04] 就是那個比亞
[3152.04-3153.04] 那個就是比亞
[3153.04-3154.04] 插上去的
[3154.04-3155.04] 那個什麼
[3155.04-3156.04] Bianca
[3156.04-3157.04] 那個MI3
[3157.04-3158.04] 那個上面
[3158.04-3159.04] 所以像
[3159.04-3160.04] 有在做
[3160.04-3162.04] 有在做這個GPU的
[3162.04-3164.04] 其實我們大概一個數量
[3164.04-3166.04] 就是我們多少都掌握的
[3166.04-3168.04] 因為那個上面一定要用網塞
[3168.04-3169.04] 我們出多少
[3169.04-3171.04] 我們算一算大概就知道
[3171.04-3174.04] 例如像那個NVIDIA H200
[3174.04-3175.04] 它是在
[3175.04-3178.04] 它的整個GPU的Module是在鴻海
[3178.04-3179.04] 對
[3179.04-3181.04] 如果是它Module做好之後
[3181.04-3182.04] 它要大成Despo的話
[3182.04-3185.04] 基本上會在那個有個創
[3185.04-3187.04] 然後會有NVIDIA
[3187.04-3189.04] 然後甚至連GPU也有
[3189.04-3190.04] 因為它MD
[3190.04-3192.04] 它都會領到那個Modules
[3192.04-3193.04] 嗯
[3193.04-3194.04] 再殺一個
[3201.04-3202.04] 所以我們今年這一塊
[3202.04-3204.04] 跟伺服器相關的成長性
[3204.04-3206.04] 我們會不會抓太保守
[3206.04-3207.04] 16%
[3209.04-3210.04] 16.2%
[3210.04-3211.04] 但是伺服
[3211.04-3212.04] 但是伺服
[3212.04-3213.04] 你看伺服本身其實
[3213.04-3215.04] 它的數量其實是還好
[3215.04-3216.04] 對
[3216.04-3218.04] 在我們營收比重
[3218.04-3220.04] 因為那個只是量
[3220.04-3222.04] 如果就營收的角度
[3222.04-3224.04] 所以其實如果就營收角度
[3224.04-3226.04] 因為在你們等於是54%裡
[3226.04-3228.04] 或者三成
[3228.04-3231.04] 你才輸16%左右
[3231.04-3234.04] 所以今年只成長16%
[3234.04-3236.04] 大概比多個
[3236.04-3239.04] 今年到了18% 19%
[3239.04-3241.04] 差不多嘛
[3241.04-3242.04] 差不多
[3242.04-3243.04] 16 17 10%
[3243.04-3244.04] 差不多
[3244.04-3246.04] 這樣感覺不到AI社會有帶動你的
[3246.04-3247.04] 對
[3248.04-3250.04] 就是我還是強調就是說
[3250.04-3253.04] 因為主要主流市場
[3253.04-3255.04] 我們大概剛好
[3255.04-3257.04] 我們都有一個對的產品
[3257.04-3258.04] 是
[3258.04-3261.04] 所以能夠跟上這樣的一個市場
[3261.04-3262.04] 對
[3262.04-3264.04] 那剛好這個
[3264.04-3267.04] 這個代理的這個公司也都是算
[3267.04-3268.04] 還算
[3268.04-3270.04] 角色上面都還算滿厲害的
[3270.04-3273.04] 所以這可能就是我們主要的機會
[3273.04-3274.04] 對
[3278.04-3280.04] 那你也請問一下
[3280.04-3282.04] 剛才請到裡面有那個
[3282.04-3284.04] 我們代理的一個產品
[3284.04-3286.04] 是造育創新的
[3286.04-3287.04] 那我看到東西
[3287.04-3288.04] 哪一個
[3288.04-3289.04] Giga device
[3289.04-3290.04] Giga device
[3290.04-3291.04] 就是說它的
[3291.04-3293.04] 我們面對的是哪一些客戶
[3293.04-3294.04] 會用它的東西
[3294.04-3295.04] 因為它的東西
[3295.04-3297.04] 基本上臺灣都有
[3297.04-3298.04] 或者你們其他的
[3298.04-3299.04] 原廠的也有
[3299.04-3302.04] 我們目前主要都是notebook
[3302.04-3304.04] 我們現在主要的銷售對象
[3304.04-3306.04] 大概都是notebook的客人
[3306.04-3308.04] Flash
[3308.04-3310.04] 因為它的flash memory為主
[3310.04-3311.04] OK
[3311.04-3312.04] 提示
[3312.04-3313.04] 提示
[3313.04-3315.04] 它在蘋果公立的時候
[3315.04-3316.04] 在蘋果公立
[3316.04-3317.04] 蘋果公立
[3323.04-3324.04] 這塊
[3324.04-3326.04] 算穩定
[3326.04-3327.04] 這塊算穩定
[3327.04-3328.04] 對
[3333.04-3334.04] 是
[3334.04-3335.04] 請問一下
[3335.04-3336.04] 就是剛才你們說
[3336.04-3338.04] 四五月份的客戶都有決定性的吧
[3338.04-3340.04] 那之後是不是有綁下來
[3340.04-3342.04] 那是哪些產品比較會掉下來
[3345.04-3346.04] 應該就是大概
[3346.04-3347.04] 沒有很特別吧
[3347.04-3349.04] 就是你就感覺上
[3349.04-3351.04] 就那個整個的一個
[3351.04-3354.04] 一個那個強度就是慢下來
[3354.04-3356.04] 就是因為關稅它可能就是
[3356.04-3357.04] 應該是
[3357.04-3358.04] 我想應該是
[3358.04-3359.04] 對
[3359.04-3361.04] 因為現在看起來
[3361.04-3362.04] 大家問第三季
[3362.04-3363.04] 就主要就是大概
[3363.04-3364.04] 該拉的拉一拉
[3364.04-3365.04] 第三季現在大家
[3365.04-3367.04] 顏色上普遍
[3367.04-3368.04] 大概應當都
[3368.04-3369.04] 都比較保守
[3369.04-3370.04] 所以說
[3370.04-3371.04] 一般來講
[3371.04-3372.04] 第三季是旺季
[3372.04-3373.04] 對
[3373.04-3374.04] 所以就提前
[3374.04-3375.04] 對
[3375.04-3376.04] 所以現在就是上下半年
[3376.04-3377.04] 現在大家很
[3377.04-3378.04] 上下半年
[3378.04-3380.04] 現在的看法就是
[3380.04-3381.04] 可能上半年會比
[3381.04-3383.04] 下半年要好
[3383.04-3384.04] 要高一點
[3384.04-3386.04] 所以請問一下你們覺得什麼上下這個比
[3386.04-3389.04] 我自己覺得應該差不多五五
[3389.04-3390.04] 五四五
[3390.04-3391.04] 那之前的話感覺是什麼
[3391.04-3393.04] 有人看到六四
[3393.04-3395.04] 有人看得很不好
[3395.04-3396.04] 有人看得很不好
[3396.04-3397.04] 但六四很不好
[3397.04-3398.04] 六四就蠻慘的
[3398.04-3400.04] 六四蠻難
[3400.04-3403.04] 如果介於五五到五十
[3403.04-3404.04] 我覺得這就不錯
[3404.04-3406.04] 這就相當不錯
[3406.04-3407.04] 你說上半年大
[3407.04-3408.04] 下半年小一點
[3408.04-3411.04] 最容易覺得
[3411.04-3412.04] 在我們的業績
[3412.04-3414.04] 這樣的機率是超過一半
[3414.04-3416.04] 上半年比下半年好
[3416.04-3419.04] 雖然我們對下半年有點擔心
[3419.04-3420.04] 所以我們現在覺得
[3420.04-3421.04] 我覺得一半
[3421.04-3422.04] 我記得說百分之五十
[3422.04-3424.04] 百分之五十的機會
[3424.04-3425.04] 下半年
[3425.04-3426.04] 五五啦
[3426.04-3427.04] 你這樣五五
[3427.04-3428.04] 你問我們嘛對不對
[3428.04-3431.04] 業績我認為大概應當是上半年
[3431.04-3433.04] overall整個電子行業來講
[3433.04-3435.04] 我覺得上半年會比較好
[3435.04-3437.04] 我覺得會比較好
[3437.04-3439.04] 我們來講我們可能
[3439.04-3442.04] 就是看看啦
[3442.04-3444.04] 可能還有機會吧
[3454.04-3456.04] 我不曉得你們的看法
[3456.04-3459.04] 就是上下半年的看法
[3459.04-3462.04] 有人覺得上半年會
[3462.04-3465.04] 下半年會比較好
[3465.04-3467.04] 按成比賣的東西
[3467.04-3468.04] 對嘛
[3468.04-3469.04] 所以你回過頭都是
[3469.04-3472.04] 都是變成你的東西對不對
[3472.04-3473.04] 對不對
[3473.04-3474.04] 你有沒有做到這個
[3474.04-3476.04] 這個現在成長的市場
[3476.04-3479.04] 那如果以普遍來講
[3479.04-3480.04] 大概我覺得四塊五
[3480.04-3482.04] 感覺上應該就是我剛講的
[3482.04-3483.04] 嗯
[3483.04-3484.04] 謝謝大家
[3484.04-3485.04] 謝謝大家
[3486.04-3487.04] 那現在看就只有
[3487.04-3490.04] ASIC的AI server會比較好
[3490.04-3493.04] 那你現在NVIDIA這一掛GPU的
[3493.04-3494.04] 現在順
[3494.04-3496.04] 可能下半年也會相對
[3496.04-3498.04] 相對來講會比上半年好
[3498.04-3500.04] 所以還是AI的先關比較好
[3500.04-3501.04] 是
[3501.04-3502.04] 沒錯
[3502.04-3504.04] 其他你講聯合品啦
[3504.04-3506.04] 然後
[3506.04-3509.04] 工業運用
[3509.04-3510.04] 其他都
[3510.04-3511.04] 我是覺得你要有那個東西
[3511.04-3513.04] 都不可能說一個很
[3513.04-3515.04] 很大幅度的一個變化
[3515.04-3518.04] 所以還是主要還是AI相關
[3518.04-3519.04] AI相關
[3519.04-3524.04] 那機器人的部分其實我稍微講
[3524.04-3526.04] 機器人其實我們主要是大陸為主
[3526.04-3528.04] 機器人那個部分也是我們是
[3528.04-3530.04] 因為你這個火車頭帶著我們在家
[3530.04-3533.04] 因為現在大陸其實機器人做的
[3533.04-3536.04] 我認為是比台灣還快
[3536.04-3537.04] 做的還多
[3537.04-3539.04] 像很多機器口什麼的
[3539.04-3540.04] 他們做的都已經
[3540.04-3541.04] 都做得非常的
[3541.04-3543.04] 已經商業化了
[3543.04-3544.04] 那這一塊
[3544.04-3547.04] 主要大陸很多人都是在做
[3547.04-3549.04] 反正你從
[3549.04-3551.04] 是從腦然後到手臂的運用
[3551.04-3553.04] 然後這種模
[3553.04-3555.04] 做這種相對的這種模組
[3555.04-3557.04] 這種滿多的
[3557.04-3558.04] 這種滿多的
[3558.04-3561.04] 那我們這一塊是看起來是成長很大
[3561.04-3563.04] 主要是我們那個base還滿小的
[3563.04-3566.04] 我們那一年也不夠幾百萬美金而已
[3566.04-3568.04] 但是今年基本上我們大概應當
[3568.04-3571.04] 在這一塊比較去年來講
[3571.04-3573.04] 應當成長幅度應當會不錯啦
[3574.04-3576.04] 那你往後幾年這一塊也是我們
[3576.04-3578.04] 機器人也是我們有在看的
[3578.04-3580.04] 的一塊市場
[3580.04-3582.04] 請問是影視一年的
[3582.04-3585.04] 主要公寓還是mcu都有
[3585.04-3586.04] 這個公寓都有
[3586.04-3587.04] 都會有
[3587.04-3588.04] 對
[3594.04-3596.04] 因為那還是mcu而已
[3596.04-3597.04] 對它有sensor
[3597.04-3599.04] sensor跟那個lada都有
[3599.04-3600.04] 它還滿完整
[3600.04-3601.04] 還有泡
[3601.04-3602.04] 還有micro
[3602.04-3603.04] 它還滿完整的
[3604.04-3612.04] 沒有 Madrid
[3612.04-3612.32] 然後還有 西ท
[3612.32-3613.04] 還有大 Butler
[3613.04-3614.04] Arkansas
[3614.04-3622.02] 然後還有 Mother
[3622.02-3624.04] absolute
[3624.04-3625.04] then的話
[3625.04-3626.04] 還有這個
[3626.04-3627.04] 材料
[3627.04-3629.04] 還有第一集
[3629.04-3633.04] 最後有
[3633.04-3634.04] 要見到說
[3634.04-3637.04] 你講說 第一線只有幾百萬美金
[3637.04-3640.04] 新來的這一塊會多一點
[3645.04-3648.04] 今年整體大概 站公司營業的應當
[3648.04-3650.04] 3.5%
[3654.04-3656.04] 充電裝 BMS
[3657.04-3659.04] 3%左右
[3660.04-3662.04] 3% 2.8
[3664.04-3667.04] 100個咪 絕對有
[3668.04-3670.04] 1億美金
[3670.04-3672.04] 大概有1億美金
[3692.04-3694.04] 台價就比較高
[3694.04-3696.04] 就是第二季的匯兌
[3696.04-3698.04] 毛對毛利率
[3698.04-3700.04] 跟我們這個業外的屬意
[3700.04-3703.04] 大概是怎麼樣
[3707.04-3708.04] 因為現在來看
[3708.04-3711.04] 如果匯率跟我們敏感度的
[3711.04-3713.04] 走向分析上來看
[3713.04-3715.04] 因為我們基本上
[3715.04-3717.04] 匯率會影響兩塊
[3717.04-3718.04] 一塊就是說
[3718.04-3719.04] 我們在市場上面的
[3719.04-3720.04] 每一個市場裡面
[3720.04-3722.04] 在部位的這一塊
[3722.04-3724.04] 那基本上呢
[3724.04-3726.04] 通貨商就是
[3726.04-3730.04] 因為融資比例會相對比較高
[3730.04-3733.04] 所以我在美美借款跟
[3733.04-3734.04] 印度賬款這一塊來講
[3734.04-3737.04] 基本上當台幣在升值的時候
[3737.04-3738.04] 美美相對會有事
[3738.04-3740.04] 因為我的借款它會是美金
[3740.04-3741.04] 美金會租
[3741.04-3743.04] 印度賬款也是美金的
[3743.04-3744.04] 所以我是偏偏要做產生的
[3744.04-3746.04] 正向的退換
[3746.04-3747.04] 退換會員
[3747.04-3748.04] 那這個部分
[3748.04-3750.04] 這個部分大概
[3750.04-3753.04] 如果說以現在來看
[3753.04-3756.04] 應該超過一億的
[3756.04-3758.04] 這種Gap會有機會
[3758.04-3760.04] 但是這個會隨著時間
[3760.04-3761.04] 會縮短
[3761.04-3762.04] 會縮小
[3762.04-3763.04] 因為當我今天
[3763.04-3764.04] 今天AP完掉
[3764.04-3765.04] 我弄完掉
[3765.04-3766.04] 重新再借回來的時候
[3766.04-3768.04] 重新再進貨的時候
[3768.04-3769.04] 那個就是已經
[3769.04-3770.04] 就是新的匯率
[3770.04-3771.04] 順進了
[3771.04-3772.04] 所以那個Gap
[3772.04-3774.04] 就會慢慢的退縮
[3774.04-3775.04] 這個是在我們美美資產部
[3775.04-3776.04] 在上面來講
[3776.04-3778.04] 的那個部位的問題
[3778.04-3780.04] 另外如果說你是回到
[3780.04-3782.04] 是說是講到所謂的
[3782.04-3784.04] 對貿易影響處
[3784.04-3785.04] 這種東西
[3785.04-3786.04] 這樣子來看
[3786.04-3787.04] 因為基本上
[3787.04-3790.04] 就要看你的存貨的水位
[3790.04-3793.04] 存貨的水位相對於平均的匯率是多少的
[3793.04-3794.04] 這樣子
[3794.04-3795.04] 那不過我的這個
[3795.04-3796.04] 這一塊
[3796.04-3797.04] 這一塊當台幣在升值
[3797.04-3798.04] 就通路上來講
[3798.04-3800.04] 一定會會壓縮貿易
[3800.04-3802.04] 一定會壓縮貿易
[3802.04-3803.04] 那目前我大概去不算
[3803.04-3804.04] 應該
[3804.04-3805.04] 應該你每
[3805.04-3806.04] 大概每升值一個的升值
[3806.04-3807.04] 對我來講
[3807.04-3808.04] 影響存在應該大概
[3808.04-3809.04] 大概0.1
[3809.04-3811.04] 0.2的百分點左右
[3811.04-3812.04] 大概
[3812.04-3815.04] 大概是這樣的一個水準
[3815.04-3817.04] 所以這個部分是對於
[3817.04-3820.04] 對所有的對貿易的這個壓縮
[3820.04-3823.04] 對貿易的壓縮是這樣子
[3823.04-3824.04] 所以基本上
[3824.04-3826.04] 這樣的水位上面來講
[3826.04-3827.04] 就看你整個的
[3827.04-3829.04] 整個的匯率的話是怎麼樣
[3829.04-3830.04] 因為你的
[3830.04-3834.04] 你的存貨這一邊一定是
[3834.04-3835.04] speed up
[3835.04-3837.04] 我一定是要加速處理
[3837.04-3838.04] 等到新的進貨進來
[3838.04-3839.04] 等到新的進貨進來
[3839.04-3840.04] 就是新的匯率
[3840.04-3842.04] 再去做平均也是一組
[3842.04-3844.04] 所以我剛才講的就是說
[3844.04-3845.04] 當你今天在做
[3845.04-3846.04] 看出的匯率敏感度分析的時候
[3846.04-3847.04] 當你今天假設說
[3847.04-3848.04] 我先升值一個分身
[3848.04-3849.04] 我剛才講說
[3849.04-3850.04] 大概影響數大概是0.15的百分點左右的話
[3850.04-3851.04] 那就看你的那個效果的速度
[3851.04-3852.04] 跟在進貨再進來
[3852.04-3853.04] 你整個來平均下去
[3853.04-3854.04] 整個未來的走向
[3854.04-3855.04] 所以是整個
[3855.04-3856.04] 那個非常只能講說
[3856.04-3857.04] 其他狀況假設不變
[3857.04-3858.04] 我現在去去化我的庫存
[3858.04-3859.04] 的時候會產生的
[3859.04-3860.04] 的貿易影響數
[3860.04-3861.04] 大概是
[3861.04-3862.04] 大概是這個
[3862.04-3863.04] 所以我現在就想說
[3863.04-3864.04] 我現在就想說
[3864.04-3865.04] 我現在就想說
[3865.04-3866.04] 我現在就想說
[3866.04-3867.04] 我現在就想說
[3867.04-3868.04] 我現在就想說
[3868.04-3871.04] 所以整體來看會變成
[3871.04-3872.04] 我剛才提到是說
[3872.04-3874.04] 從資產負債表去看
[3874.04-3876.04] 美領資產美額負債
[3876.04-3877.04] 這個部分對現在來講
[3877.04-3878.04] 對我為見來講
[3878.04-3879.04] 通路上來講
[3879.04-3880.04] 如果是美領借款多的
[3880.04-3881.04] 因為我是美領借款多
[3881.04-3882.04] 我的應募帳號也是美的
[3882.04-3883.04] 因為我的供應商局
[3883.04-3884.04] 我的原廠局
[3884.04-3885.04] 都是歐美體系
[3885.04-3886.04] 所以我一定是美金技嘉
[3886.04-3887.04] 所以這邊來講
[3887.04-3888.04] 大家看我的
[3888.04-3890.04] 我的部位的缺口觀念上面來講
[3890.04-3891.04] 我大概這個是對於
[3891.04-3892.04] 我的原廠局
[3892.04-3893.04] 以用的價值來講
[3893.04-3894.04] 我總共是
[3894.04-3895.04] 對於負責的負責的賺錢
[3895.04-3896.04] 所以我現在就是
[3896.04-3897.04] 我現在就是
[3897.04-3900.08] 大概就是對你的獲利是正向的
[3900.20-3901.74] 對獲利是正向的
[3901.84-3903.74] 但是對毛利就會有壓縮
[3903.84-3904.88] 對毛利就會有壓縮
[3904.98-3906.88] 因為毛利會反映在水平的部分
[3906.98-3907.84] 那一開始剛才講的
[3907.94-3909.24] 如果一對外就跑到夜晚來
[3909.34-3912.40] 一半到夜晚來是這樣子
[3912.50-3916.34] 所以整體上的水平大概是這樣
[3916.44-3917.94] 以稅來看就是說
[3918.04-3919.74] 我們第一季的所獲中環分數
[3919.84-3921.34] 大概75天
[3921.44-3924.18] 所以你這樣子來看的話
[3924.28-3926.48] 應該不到一季的時間
[3926.48-3928.04] 想說會不會有太大變化
[3928.14-3931.42] 大概影響我們的毛利就是一季
[3931.52-3932.48] 可以這樣看
[3932.58-3933.58] 還是說第三
[3933.68-3936.08] 可以這樣去看待它
[3936.18-3938.12] 因為大概就是看你轉的速度
[3938.22-3938.72] 所以我剛才講說
[3938.82-3942.48] 你量是非常有固定的這種趁後
[3942.58-3944.64] 那當然這個也要看下游的點量
[3944.74-3945.78] 我們覺得怕是都關稅不確定
[3945.88-3947.84] 理論上是
[3947.94-3948.88] 對
[3948.98-3951.18] 你的影響大概可能會兩年到三年
[3951.28-3953.04] 一個company大概是這樣
[3953.14-3954.64] 或是是這樣
[3956.48-3958.44] 所以會再度度的
[3958.54-3960.32] 好像也要降一個級別
[3960.42-3961.18] 而是 carga上面
[3961.28-3961.96] 他說你要不要記下
[3962.06-3963.40] 但是你再下もと
[3963.50-3968.10] estaba mucho
[3968.18-3970.28] 對
[3970.38-3972.08] 有個問題
[3972.18-3975.48] electron
[3975.58-3977.92] 頭生的
[3978.02-3980.38] 下雪
[3980.48-3982.24] 想要來試拳
[3982.34-3983.80] 像我們看一下
[3983.90-3985.24] 其實我們都是
[3985.34-3986.14] 不是
[3986.14-3989.94] 現在是有庫存 然後會議在一兩個禮拜之內
[3989.94-3992.94] 你忙那麼大個電話 哪有誰收的了
[3992.94-3994.24] 不可能
[3994.24-3997.54] 你出去 你賣出去 美金出去 你收回來
[3997.54-4000.94] 這一定是成功 對你的毛利就一定有一定的影響
[4000.94-4002.74] 所以絕對是不公平的
[4002.74-4007.14] 因為我們現在只有公布第一季的財報
