[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-32.62] 问题结束后也将开放现场提问
[3260.18-3262.18] 大家对资料中心设立相关的费用
[3262.18-3264.18] 或计划蛮感兴趣的
[3264.18-3267.18] 所以想请长官们再回答一下
[3267.18-3270.18] 跟IDC相关的一些事项
[3270.18-3271.18] IDC的费用
[3271.18-3272.18] IDC的计划
[3272.18-3274.18] 有很多人问了很多问题
[3274.18-3276.18] 那你对这方面的讨论
[3276.18-3278.18] 能够解释一下吗
[3278.18-3280.18] 那你对这方面的讨论
[3280.18-3281.18] 能够解释一下吗
[3281.18-3282.18] 那你对这方面的讨论
[3282.18-3284.18] 能够解释一下吗
[3311.18-3312.18] 嗯
[3312.18-3316.72] 好啊,那IDC費用的話,請我們的Raffi回答一下。
[3321.12-3325.50] 好,那我們今年其實IDC正在持續就是建制當中,
[3325.86-3329.52] 那以今年一次,今年總共投入的資本支出,
[3329.60-3331.54] 目前我們預估是會在兩億以內,
[3332.18-3334.38] 但因為這個是一個廠房的建制,
[3334.38-3338.16] 所以其實相關的費用它會是可以走多年攤提的狀態,
[3338.16-3342.48] 所以對今年的我們每個月的費用的影響率,
[3342.48-3344.92] 我們初步判定是不會到太大。
[3345.18-3348.60] 然後IDC這塊因為是今年是第一次建制,
[3348.60-3352.60] 所以會有一些初期建制的一些費用。
[3352.78-3354.28] 那一樣是回到我剛剛說,
[3354.28-3357.48] 其實每個月的費用就我們內部的資訊來看,
[3357.48-3361.16] 對我們的營收佔比其實還不算重大影響。
[3367.34-3368.14] 혹시 추가的,
[3368.16-3371.88] 好,再一題的話呢,
[3371.88-3380.30] 我想跟大家報告一下海外境外相關的問題。
[3380.30-3386.98] 因為大家想知道現在我們已經做韓國的跨境做了一段時間,
[3386.98-3390.38] 想知道現在是以什麼樣的速度在成長,
[3390.38-3393.38] 那下一個階段跨境的策略是什麼?
[3393.38-3397.34] 對,一度最後的問題就要出來了,
[3397.34-3398.14] 有一個關於這個的問題,
[3398.16-3400.78] 所以我想要問一下。
[3400.78-3405.08] 首先,我們在韓國旅遊公司做了一些時間的預算,
[3405.08-3407.66] 我們想問一下現在的成長程度是如何,
[3407.66-3409.34] 是否正在成長,
[3409.34-3411.94] 我們想問一下這些問題。
[3411.94-3415.70] 然後如果韓國的成長程度好,
[3415.70-3417.60] 接下來的目標是怎麼樣,
[3417.60-3419.98] 或者是有什麼新的策略,
[3419.98-3422.06] 我們想知道這些問題。
[3422.06-3425.16] 所以我想請大家回答這些問題。
[3426.74-3427.34] 好的,
[3428.16-3430.16] 謝謝,我回答你。
[3430.16-3433.16] 好的,這題一樣也是由我們的董事長自己來回覆。
[3433.16-3436.16] 首先,我們為了建立韓國市場,
[3436.16-3438.16] 其實我們沒有任何成功,
[3438.16-3441.16] 我們花了一年時間的努力。
[3441.16-3442.16] 雖然我們花了一年時間,
[3442.16-3444.16] 但這一點在市場上並沒有顯示出來。
[3444.16-3447.16] 但現在是2025年開始,
[3447.16-3452.16] 所以我們可以說是正在進行成功的時期。
[3452.16-3454.16] 而且現在在韓國市場內,
[3454.16-3456.16] LinePay的使用者的擴張,
[3456.16-3457.16] 主要是大型品牌,
[3457.16-3458.00] 大型品牌的使用者,
[3458.00-3460.00] 都是在品牌中心的,
[3460.00-3463.00] 而我們正在建立了合作關係
[3463.00-3464.00] 與主要的商業者,
[3464.00-3465.00] 主要的行業者,
[3465.00-3467.00] 這些人的最受歡迎的行業。
[3467.00-3469.00] 而且在各個行業中,
[3469.00-3474.00] 我們的行業成長和成長都非常好。
[3474.00-3475.00] 原因是,
[3475.00-3479.00] 韓國是台灣的旅遊者,
[3479.00-3481.00] 他們是非常受歡迎的國家,
[3481.00-3486.00] 而他們是LinePay的非常活躍的使用者,
[3486.00-3487.00] 所以他們的使用者,
[3488.00-3490.00] 他們是在韓國的主要的旅遊者,
[3490.00-3493.00] 他們在LinePay的開放中,
[3493.00-3495.00] 他們的積極的消費,
[3495.00-3497.00] 也正在發生得更好。
[3497.00-3499.00] 我們都在推銷LinePoint 、
[3499.00-3502.00] 所以他們的商品,
[3502.00-3503.00] 也就是韓國的品牌,
[3503.00-3505.00] 都非常享受LinePay的使用,
[3505.00-3508.00] 並且他們的交易成長也非常好。
[3508.00-3509.00] 而且,
[3509.00-3512.00] 那些品牌也有很好的結果,
[3512.00-3514.00] 因為他們的積極的推銷,
[3514.00-3516.00] 他們的使用者,
[3516.00-3518.00] 他們的消費,
[3518.00-3520.00] 也有很好的成長。
[3520.00-3521.00] 其實,
[3521.00-3522.00] 今天我們在發表的節目中,
[3522.00-3524.00] 我們也有拍到一些照片的片段,
[3524.00-3525.00] 但是,
[3525.00-3526.00] 我們覺得,
[3526.00-3527.00] 我們不太能夠把照片展示給大家,
[3527.00-3528.00] 所以我們有點不滿。
[3546.00-3548.00] 然後這邊 160 個老闆,
[3548.00-3549.00] 就是一位國家,
[3549.00-3553.00] 請您做我們 П وجfather的長頭,
[3553.00-3555.00] 謝謝 queries
[3555.00-3560.60] urg keep
[3561.00-3565.00] 这个 content
[3565.00-3567.50] ue
[3568.00-3570.00] können
[3570.00-3572.00] کہ
[3572.00-3573.00] dor k immigration
[3573.00-3574.00] carbon
[3574.00-3575.70] Korean
[3576.00-3577.58] 多以来的这样子的
[3577.58-3579.36] 努力之下呢
[3579.36-3580.72] 我们的交易量
[3580.72-3582.62] 现在是逐步的在提升
[3582.62-3584.66] 然后那个成果是非常好的
[3584.66-3585.88] 那因为呢
[3585.88-3587.26] 韩国是台湾的游客
[3587.26-3588.74] 本来就很喜欢去
[3588.74-3590.60] 拜访造访的国家
[3590.60-3592.40] 那刚好就是造访
[3592.40-3594.86] 韩国的这个游客们呢
[3594.86-3597.04] 也都是很喜欢使用
[3597.04-3597.98] LiPay的用户
[3597.98-3598.90] 那所以呢
[3598.90-3602.04] 我们现在在韩国的交易量呢
[3602.04-3604.34] 其实是持续的在提升的
[3604.34-3605.82] 那特别是我们这些用户呢
[3605.82-3607.40] 一听到我们在韩国
[3607.40-3609.32] 已经开始可以进行
[3609.32-3610.64] 用LiPay进行支付以后呢
[3610.64-3611.64] 他们也是很
[3611.64-3613.60] 就是踊跃地去使用LiPay
[3613.60-3614.66] 在韩国消费
[3614.66-3615.34] 那同时呢
[3615.34-3616.20] 我们也为了促进
[3616.20-3617.60] 使用着这样的消费呢
[3617.60-3619.86] 在韩国的跨境的
[3619.86-3621.52] 提供了很多的优惠活动
[3621.52-3623.30] 然后提供了LiPoints
[3623.30-3624.96] 作为这样子的活动的回馈
[3624.96-3627.68] 那在我们以及就是
[3627.68-3629.44] 韩国支付品牌
[3629.44-3631.00] 韩国支付据点的
[3631.00-3632.02] 共同努力下呢
[3632.02-3632.56] 那他们
[3632.56-3634.78] 那个韩国的品牌方们呢
[3634.78-3635.76] 都觉得我们这样子的
[3635.76-3637.26] 跨境为他们带来的
[3637.26-3638.74] 业绩成长这样的效果
[3638.74-3640.12] 是非常满意的
[3640.12-3641.40] 那也因为他们
[3641.40-3642.66] 很满意这样的成果呢
[3642.66-3643.94] 韩国的品牌方呢
[3643.94-3645.56] 也非常积极地去提供
[3645.56-3646.74] 各种的优惠活动
[3646.74-3649.24] 给我们台湾的使用者
[3649.24-3650.42] 那就是
[3650.42-3651.98] 今天我们在
[3651.98-3653.20] 我们的简报中呢
[3653.20-3654.40] 也有去分享一部分
[3654.40-3656.82] 我们在跨境领域的
[3656.82-3657.84] 一些照片呢
[3657.84-3659.78] 还有我们现在的成果
[3659.78-3660.96] 但是很可惜
[3660.96-3662.00] 因为时间上的关系
[3662.00-3662.86] 我们没有办法
[3662.86-3664.12] 把所有的内容
[3664.12-3665.22] 都分享给大家
[3665.22-3666.08] 但是呢
[3666.08-3667.02] 可以跟大家说
[3667.02-3667.72] 很肯定地说
[3667.72-3668.96] 我们现在在韩国
[3668.96-3670.02] 已经是有取得的
[3670.02-3671.04] 非常亮眼的成果
[3755.22-3761.88] 在这个数码节目里
[3761.88-3763.06] 我们有提供
[3763.06-3764.14] 通过新潮跑出 addressing
[3764.14-3765.36] 全个运动组
[3765.36-3766.58] 我们America
[3766.58-3767.14] 互动 Role
[3767.14-3768.18] 我个人听说
[3768.18-3769.10] 也有听说
[3769.10-3769.52] Scarlett
[3769.52-3770.54] 她她有一项
[3770.54-3771.80] 战略 tenemos
[3771.80-3773.12] Mau Pa modelo
[3773.12-3773.92] 那她真的是
[3773.92-3774.72] 冰冻类似的
[3774.72-3776.18] 獨藏 白雪
[3776.18-3776.80] 那么،你觉得
[3776.80-3777.74] 问题很多吗
[3777.74-3778.56] 只是我个人
[3778.56-3779.70] 我觉得
[3779.70-3780.34] 这个现在生里面
[3780.34-3781.58] 英文 accuracy
[3781.58-3782.36] 我 sequel
[3782.36-3784.80] 想 hoch山
[3784.80-3785.08] 是形态的 sorgen
[3785.22-3786.60] 就是合作伙伴的领域
[3786.60-3788.52] 那刚才简报中有提到
[3788.52-3790.02] 我们就是也跟另外一间
[3790.02-3791.54] 就是韩国主要的发卡行
[3791.54-3794.32] 现代卡区已经有合作了
[3794.32-3796.40] 但是这边想要再跟大家说的是
[3796.40-3797.70] 就是未来假如说
[3797.70-3799.32] 我们能够顺利地取得
[3799.32-3800.82] 电子支付的执照
[3800.82-3803.76] 那其实未来我们合作伙伴的领域
[3803.76-3806.66] 就不仅仅仅限于发卡行
[3806.66-3808.40] 这样子的金融合作伙伴
[3808.40-3810.32] 我们可以合作的对象
[3810.32-3813.32] 其实是会变得更加广泛的
[3813.32-3814.86] 那刚刚有人问到说
[3814.86-3816.72] 那我们除了韩国之外呢
[3816.72-3819.28] 有没有想要再推到其他的国家
[3819.28-3821.20] 那首先先跟大家说明一下
[3821.20-3823.94] 我们之所以选定韩国
[3823.94-3825.82] 对我们跨境的第一站呢
[3825.82-3827.50] 它是有它的背景在的
[3827.50-3829.38] 因为韩国本身是一个
[3829.38-3831.92] 信用卡使用率非常高的国家
[3831.92-3833.60] 然后再加上因为我们在韩国
[3833.60-3835.90] 有我们的子公司Lipe Plus
[3835.90-3839.40] 那在多重因素的考量下呢
[3839.40-3841.14] 我们认为就是先拓展
[3841.14-3844.28] 韩国市场对我们是比较有利的
[3844.28-3844.68] 那
[3844.68-3847.96] 其实我们在跨境事业的下一步呢
[3847.96-3849.84] 并不仅仅只是仅限于
[3849.84-3852.56] 我们那个支付的平台的发展
[3852.56-3854.32] 刚刚前面也有回答说
[3854.32-3855.42] 也有提到说呢
[3855.42-3857.52] 我们想要致力于提供给
[3857.52-3858.84] 不仅仅是台湾
[3858.84-3861.36] 包括海外的合作伙伴
[3861.36-3862.70] 海外的合作店家
[3862.70-3864.10] 我们想要提供的是一个
[3864.10-3866.10] 完整的行销解决方案
[3866.10-3868.26] 那我们前面有提到说
[3868.26-3870.22] 我们现在已经跟韩国的品牌方合作
[3870.22-3871.66] 创造出了很好的成果
[3871.66-3872.94] 那我们会把这样子
[3872.94-3874.60] 跟韩国品牌方合作的案例
[3874.68-3876.00] 以及良好的成果呢
[3876.00-3878.08] 去推展到其他国家
[3878.08-3879.22] 那如果呢
[3879.22-3881.48] 我们之后能够顺利地取得电子执照的话
[3881.48-3882.98] 未来我们会想要
[3882.98-3885.58] 优先去跨组的国家呢
[3885.58-3887.68] 当然是会先打算是
[3887.68-3889.50] 推到日本跟泰国的部分
[3889.50-3891.90] 但是假设如果我们的电子执照取得
[3891.90-3893.04] 没有那么顺利
[3893.04-3895.22] 又或者是比较晚才拿到的话
[3895.22-3896.88] 那我们会优先考虑的是
[3896.88-3898.70] 就是推广
[3898.70-3900.86] 把我们的跨境事业推广到其他
[3900.86-3902.32] 就是也是使用
[3902.32-3904.64] 信用卡频率非常高的国家
[3904.68-3910.62] 好那刚刚这是最后一题
[3910.62-3913.28] 可是我刚刚接受到一题
[3913.28-3915.24] 跟电子支付相关
[3915.24-3919.42] 然后那个内容蛮完整具体的
[3919.42-3921.14] 所以想再加一题
[3921.14-3925.72] 第十二个这个题目是
[3925.72-3929.56] 台湾电子支付属于金管会监管
[3929.56-3932.22] 分控内控相对上
[3932.22-3934.06] 营运成本比较高
[3934.06-3934.66] 那么电子支付是什么样的
[3934.68-3938.56] 那目前市场上各家电子都尚未获利
[3938.56-3941.00] 所以想请问我们拿到执照后
[3941.00-3943.22] 将如何创造获利
[3943.22-3945.34] 为了不影响现在的获利率
[3945.34-3947.44] 会有什么样的策略
[3947.44-3949.92] 最后一个问题是
[3949.92-3952.22] 关于EPI的问题
[3952.22-3954.24] 很多人都很想知道
[3954.24-3957.24] 所以我会再提出一个问题
[3957.24-3958.96] 第十二个问题是
[3958.96-3961.34] 台湾的EPI企业
[3961.34-3962.84] 他们在FSC之下
[3962.84-3963.82] 非常高的
[3963.82-3964.54] 强度的
[3964.54-3966.58] 高度的管理
[3966.58-3968.90] 包括风险管理和执照
[3968.90-3970.68] 这些都会在执照的费用上
[3970.68-3972.74] 会有所调整
[3972.74-3975.20] 但是现在在台湾市场上
[3975.20-3976.58] EPI公司
[3976.58-3979.70] 现在没有看到利益
[3979.70-3981.70] 所以在我们公司的情况下
[3981.70-3983.82] 获得EPI的资金后
[3983.82-3985.82] 我们很想知道
[3985.82-3988.32] 如何创造利益
[3988.32-3990.02] 还有在利益创造的
[3990.02-3991.62] 没有影响的角度上
[3991.62-3993.46] 会有什么策略
[3993.46-3994.54] 我们很想知道
[3994.54-3996.58] 所以这部分
[3996.58-3998.90] 我们想要回答
[3998.90-4007.08] 这个有董事长亲自回答
[4007.08-4011.44] 请问
[4011.44-4013.48] 以预料的方式
[4013.48-4016.04] 以预料的方式
[4016.04-4018.86] 以预料的方式
[4018.86-4020.14] 我们认为
[4020.14-4021.42] 预料的方式
[4021.42-4022.70] 是不可避免的费用
[4022.70-4024.50] 首先呢这个EPI这件事情呢是
[4024.54-4026.58] 必须要投资的
[4026.58-4028.90] 要有成本的一个项目
[4028.90-4030.68] 但我们觉得这个费用必须要支出的话
[4030.68-4037.34] 我们就必须要有效的支出这个费用
[4037.34-4040.66] 但我们觉得这个费用必须要支出的话
[4040.66-4044.00] 我们就必须要有效的支出这个费用
[4044.00-4045.02] 幸运的是
[4045.02-4046.56] EPI的行业中
[4046.56-4049.12] 需要的费用
[4049.12-4051.68] 现在我们LINE PAY在现行的行业中
[4051.68-4052.70] 都在拥有的
[4052.70-4053.98] 在Infra 中发生的
[4053.98-4055.26] 要求的费用
[4055.26-4058.58] 但好还好因为我们的这些不管是
[4058.58-4060.38] 内控啊还是什么
[4060.38-4064.98] 风险 风控啊这些都是我们现在LINE PAY做的非常好的事情
[4064.98-4067.30] 所以这些费用已经在发生
[4067.30-4069.86] 已经在我们的Infra是存在的
[4069.86-4072.16] 所以不会有什么额外的
[4072.16-4074.46] 费用在这个领域发生
[4074.46-4077.02] 所以LINE PAY现在我们的费用
[4077.02-4079.06] 我们现在LINE PAY现在有的费用
[4079.06-4080.10] 我们希望能够更加的
[4080.10-4081.12] 更加的
[4081.12-4082.14] 更加的
[4082.14-4083.68] 支出费用
[4083.68-4085.22] 我们会有效的去
[4085.22-4088.80] 去盘算这些费用的支出
[4088.80-4092.64] 所以基于这一点呢我们觉得我们不会有更
[4092.64-4095.20] 很多的额外的支出发生
[4095.20-4097.24] 我们会有效的去
[4097.24-4100.58] 去盘算这些费用的支出
[4100.58-4102.88] EPI的LICENSE基本上
[4102.88-4104.16] TSP的LICENSE
[4104.16-4105.44] 是可以做的
[4105.44-4106.46] 比较多的
[4106.46-4107.24] 广泛的
[4107.24-4108.00] 业务的
[4108.00-4108.76] 执行的
[4108.76-4109.54] 执行的
[4109.54-4110.30] 执行的
[4110.30-4111.08] 执行的
[4111.08-4111.84] 执行的
[4111.84-4112.36] 执行的
[4112.36-4113.12] 执行的
[4113.12-4124.12] 採取 arrested
[4124.12-4142.44] 养相科医
[4142.44-4142.82] 你
[4142.82-4143.08] appointed
[4143.08-4153.90] 所以基于刚刚所说
[4153.90-4157.58] 我们费用会有效地做支出
[4157.58-4159.62] 然后我们透过新的功能
[4159.62-4162.82] 来创造出新的获利的话
[4162.82-4164.24] 我们公司觉得
[4164.24-4165.96] 这个电子支付这个事业
[4165.96-4167.22] 对我们整体来讲
[4167.22-4169.82] 是一个正的而不是负的
[4169.82-4171.92] 再加上我们这十年
[4171.92-4173.80] 第三方支付这个业务
[4173.80-4175.02] 也本来是一个
[4175.02-4176.76] 很难赚钱的一个生意
[4176.76-4178.24] 但是我们做到了
[4178.24-4179.32] 那我们相信
[4179.32-4180.46] 我们日后拿到
[4180.46-4182.20] 电子支付执照以后
[4182.20-4184.18] 可以做得更好
[4184.18-4186.12] 好 以上 谢谢
[4186.12-4188.40] 好 那今天
[4188.40-4190.40] 今天谢谢我们
[4190.40-4191.66] LiPay的经营团队
[4191.66-4192.92] 也谢谢各位贵宾
[4192.92-4194.36] 所提出的宝贵意见
[4194.36-4195.98] 今天的法人说明会
[4195.98-4197.22] 在此告一个段落
[4197.22-4198.98] 感谢各位贵宾的参与
[4198.98-4201.08] 最后敬祝各位身体健康
[4201.08-4201.90] 投资顺利
[4201.92-4202.44] 谢谢
