[0.00-8.00] 各位长官
[3433.36-3437.20] 所以现在所谈到的现在最大的问题就是
[3437.20-3439.00] 人力越来越
[3439.00-3441.30] 越少而且越贵
[3441.30-3442.58] 那很多
[3442.58-3445.90] 各位如果说你们家也有那种保全人员的话
[3445.90-3448.98] 很多人都很希望说我夜班不要有人
[3448.98-3451.28] 可是夜班要怎么没人
[3451.28-3452.56] 怎么没人
[3452.56-3454.10] 这个就很大的问题
[3454.66-3456.20] 夜班要没人
[3456.20-3460.04] 你如果说你晚上有发生紧急状况的时候
[3460.04-3462.34] 你打到管制中心没人怎么接
[3462.34-3465.42] 你这种接的话一定要转传到另外一个地方
[3465.42-3468.74] 到一个管制中心24小时的另外一个管制中心
[3468.74-3472.06] 那甚至对讲机或者什么都要上云
[3472.06-3473.86] 那个其实是可以做
[3473.86-3474.88] 所以我们现在
[3474.88-3479.50] 也在整合一些像刚刚讲的对讲机要整合VOIP
[3479.50-3482.30] 那其实他只是在我们的系统里面
[3482.30-3483.34] 他一个节点跟某一个找一个合理的组合
[3483.34-3484.10] 一个组合的组合
[3484.66-3487.74] 一个无事的这个VOIP来做一些整合就可以做得到
[3487.74-3491.06] 所以现在的保全的需求应该是说
[3491.06-3492.08] 不要说需求啦
[3492.08-3492.86] 趋势
[3492.86-3495.66] 他未来一定会走向这种
[3495.66-3496.70] 无人化
[3496.70-3500.28] 就是说他的不要说完全无人人数会减少
[3500.28-3502.58] 甚至会或者他们有
[3502.58-3504.88] 他们有个专业名字叫半少
[3504.88-3508.72] 半少也就半少意思就是白天有人晚上没人
[3508.72-3512.56] 因为因为有很多的一些成本等等的考量
[3512.56-3514.62] 所以当你要做到这些的时候都要辅助到
[3514.66-3516.46] 辅助这些相关的科技
[3516.46-3521.82] 当然保全他们也提到了说什么什么机器人巡逻那个我想这个是等后面
[3521.82-3524.14] 其实这块其实中国大陆他走的蛮快
[3524.14-3526.70] 只是台湾还有其他地方可能还没有到
[3526.70-3527.72] 所以
[3527.72-3532.06] 只有在这一块起码会先把那块先做一个整合
[3532.06-3535.90] 那这个部分会让某一些保全公司有一些不错的一些
[3535.90-3536.94] 差异性
[3536.94-3540.52] 这样他才市场上台币就有一些延续跟竞争性
[3540.52-3542.82] 目前我们有在洽谈
[3542.82-3544.10] OK
[3544.10-3544.62] 好
[3544.66-3546.70] .
[3546.70-3549.26] 刚好时间控制的很好
[3549.26-3550.30] 刚好58分
[3550.30-3554.14] 那我想下一场他们要马上进行
[3554.14-3555.66] 那后续就
[3555.66-3559.50] 若有什么问题我们会后可以再讨论
[3559.50-3563.10] 那我们谢谢今天各位的历史
[3563.10-3564.12] 好 谢谢
