[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-33.02] 好 线上的各位投资先进午安
[33.02-38.10] 谢谢大家今天上线参加中国货柜的线上法人说明会
[2861.98-2865.98] 我們就有做出這個超額分配的情形
[2865.98-2878.98] 那這張圖表是2025年第一季跟2024年第一季的
[2878.98-2882.98] 合幣解尾損益表還有合幣營收的比重圖
[2882.98-2885.98] 那左方的這個圓餅圖呢
[2885.98-2889.98] 是今年第一季的合幣營收的占比
[2889.98-2892.98] 那右方的圓餅圖是去年第一季合幣營收的占比
[2892.98-2895.98] 那下方是合幣解尾損益表
[2895.98-2899.98] 那我們先看到左方的圓餅圖
[2899.98-2905.98] 那今年第一季的合幣營收的比重的話
[2905.98-2907.98] 公司主要有三大項的業務
[2907.98-2909.98] 一塊是碼頭裝卸
[2909.98-2913.98] 一塊是貴廠的裝卸業務還有其他業務
[2913.98-2915.98] 那碼頭裝卸的占比是最高
[2915.98-2917.98] 大約是87%
[2917.98-2918.98] 那其次是貴廠的業務大約是87%
[2919.98-2924.98] 那其他的收入的話是大約6%
[2924.98-2927.98] 那右方圓餅圖是去年第一季
[2927.98-2932.98] 那可以看得到占比大約都相同
[2932.98-2934.98] 沒有太大的變動
[2934.98-2937.98] 只有微幅的變化而已
[2941.98-2944.98] 那這一張呢是今年的第一季
[2944.98-2949.98] 跟去年第四季合幣營收的比重
[2949.98-2952.98] 那同樣各位可以看到
[2952.98-2957.98] 三項主要業務的比重也沒有太大的變動
[2957.98-2959.98] 給各位參考
[2964.98-2968.98] 那接下來呢進行第四部分是其他揭露事項
[2968.98-2973.98] 那其他揭露事項主要是揭露一些主要股東的資訊
[2973.98-2978.98] 那各位可以看到右邊的上方這個
[2979.98-2983.98] 是我們主要的四大股東
[2983.98-2986.98] 保能股東持股的比率
[2986.98-2989.98] 那持股5%以上的主要股東呢
[2989.98-2990.98] 主要有四個
[2990.98-2994.98] 那持股比例大約在44.88%
[2994.98-2997.98] 跟去年第一季的49.74%呢
[2997.98-3000.98] 減少大約4.86%
[3000.98-3002.98] 那減少的主要原因是因為我們的
[3002.98-3006.98] 這可以看到第二大股東就是富旺投資
[3006.98-3008.98] 他們因為這家公司有一些財務規劃
[3008.98-3010.98] 所以他們減少持股
[3013.98-3018.98] 那另外各位可以看到左手邊這張圖喔
[3018.98-3022.98] 這是我們法人個人跟外資的持股的比重
[3025.98-3028.98] 那法人的持股比重大約會降
[3028.98-3030.98] 從66降到60
[3031.98-3035.98] 那個人跟外資的佔比就因為法人持股的變化
[3035.98-3037.98] 而有比較
[3038.98-3040.98] 微幅的增加喔
[3040.98-3045.98] 個人就由32.7成長到36.5
[3045.98-3050.98] 那外資的話有一點微幅增加到2.7%
[3050.98-3055.98] 那剛提到就是法人股東主要減少就是我們第二大股東富旺投資
[3055.98-3058.98] 還有做一些財務規劃
[3058.98-3060.98] 所以早日減少持股數字
[3060.98-3067.98] 好以上就是中貴今年第一季的法人說明會
[3067.98-3071.98] 那說明會到此結束
[3071.98-3075.98] 那接下來請各位先進如果有問題要提問
[3075.98-3078.98] 麻煩以文字的方式提出
[3078.98-3081.98] 那接下來我把時間交給主持人
[3081.98-3082.98] 謝謝
[3082.98-3084.98] 謝謝 謝謝經營團隊
[3084.98-3086.98] 那各位投資先進
[3086.98-3088.98] 如果對公司有任何問題的話
[3088.98-3092.98] 麻煩還是以文字的方式在我們聊天室這邊
[3092.98-3094.98] 輸入你的問題
[3094.98-3096.98] 那公司會為您做詳細的說明
[3097.98-3099.98] 那同時如果各位線上投資先進
[3099.98-3101.98] 如果會後想要再提問的話
[3101.98-3103.98] 也可以直接寄到富邦吳小姐的信箱
[3103.98-3105.98] 同時在聊天室有留下資訊
[3105.98-3107.98] 你們也可以會後再寄給富邦吳小姐
[3107.98-3109.98] 這邊會幫你們做會診之後給公司
[3109.98-3111.98] 由公司用email的方式做回覆
[3111.98-3113.98] 那現在我們就來看看
[3113.98-3115.98] 我們現在在這個時間
[3115.98-3117.98] 我們有一個很重要的問題
[3117.98-3119.98] 我們有一個很重要的問題
[3119.98-3121.98] 我們有一個很重要的問題
[3121.98-3123.98] 我們有一個很重要的問題
[3123.98-3125.98] 我們有一個很重要的問題
[3125.98-3126.98] 我們有一個很重要的問題
[3126.98-3128.98] 請問線上有先進可提問嗎
[3128.98-3130.98] 我們現在請了 télé vielen James
[3130.98-3132.90] 我們在電視第一個
[3132.90-3134.98] 菜板上有產生過問題
[3134.98-3136.98] 在他舉的那個題材裡面
[3136.98-3138.98] 他 min凡 피�攻的部分
[3138.98-3140.98] 他在測數過量
[3140.98-3142.98] 他們用的是 partner
[3142.98-3143.98] 他們用的是 partner
[3143.98-3144.98] 跟анныеtik tok
[3144.98-3147.94] 显示的我:" helplessness
[3147.94-3149.98] verbs 저DER gew這個動作
[3149.98-3151.98] 超過到的人體ícios
[3151.98-3153.98] 它無論在一個 Нам方 Saturday
[3153.98-3156.98] 或者是在其它人體構成的
[3156.98-3162.54] 那如果没有提问
[3162.54-3164.64] 我是不是把说明会就到此
[3164.64-3166.24] 好
[3166.24-3169.08] 那如果各位线上投资先进
[3169.08-3169.98] 对于公司
[3169.98-3172.48] 如果说有后续有想到任何的问题
[3172.48-3174.72] 也欢迎将问题寄到
[3174.72-3176.32] 富邦吴小姐的信箱
[3176.32-3178.98] 那这边由富邦会作为协助
[3178.98-3181.50] 那如果各位投资先进
[3181.50-3182.98] 线上如果没有问题的话
[3182.98-3186.08] 那我们今天的法人说明会
[3186.08-3187.68] 是不是就到此告一段落
[3187.68-3191.96] 蒋协理跟副总
[3191.96-3193.60] 各位投资先进好像
[3193.60-3196.04] 目前暂时没有任何问题
[3196.04-3198.02] 那会后如果说有问题的话
[3198.02-3200.64] 我这边会协助会诊之后给公司
[3200.64-3201.36] 方便吗
[3201.36-3202.70] 好谢谢
[3202.70-3204.94] 感谢各位先进
[3204.94-3205.68] 感谢
[3205.68-3207.74] 谢谢那还是要非常谢谢
