[0.00-3.84] 我們非常歡迎惠陽來參加我們的台新論壇
[2693.60-2697.60] 有加一些升值的這個燃料
[2697.60-2701.60] 造成我全年的密度降低
[2701.60-2702.60] 有沒有可能
[2702.60-2703.60] 有可能
[2703.60-2704.60] 所以呢
[2704.60-2706.60] 它這個不是跟著你來碳排
[2706.60-2707.60] 它只要你達到一個水準
[2707.60-2709.60] 就不會被罰款
[2709.60-2712.60] 所以這個東西其實在傳統和豬家
[2712.60-2714.60] 怎麼來處理這個問題上
[2714.60-2717.60] 造成了一些不確定性
[2717.60-2719.60] 但是整體來看的話呢
[2719.60-2720.60] 經濟的角度來看
[2720.60-2722.60] 它的Petalogy
[2722.60-2723.60] 目前看起來大概是
[2723.60-2726.60] 你想的是百分之十一左右
[2726.60-2728.60] 也不能算是很高
[2728.60-2729.60] 大概是這樣
[2729.60-2731.60] 但因為它不一定會有
[2731.60-2733.60] 它要看你的全年營運
[2733.60-2735.60] 所以呢比較複雜一點
[2738.60-2739.60] 那最近其實又有一個
[2739.60-2741.60] 談到IMO也要有一個新規定
[2741.60-2742.60] 那個又也是一樣很複雜
[2742.60-2745.60] 所以計算都比較麻煩
[2745.60-2746.60] 因為整體來看的話呢
[2746.60-2748.60] 我們覺得這一項航保規定
[2748.60-2750.60] 其實它並不是
[2750.60-2753.60] 讓船舶航運業會無法經營
[2753.60-2755.60] 或是成本暴增
[2755.60-2756.60] 是不會
[2756.60-2758.60] 但是就很麻煩
[2758.60-2760.60] 所以呢如果你已經了解這個狀況了
[2760.60-2762.60] 就會比較容易
[2762.60-2764.60] 所以可以說是一種產業障礙
[2764.60-2766.60] 就是越來越麻煩
[2766.60-2769.60] 要合規就真的是很麻煩
[2769.60-2771.60] 所以我覺得這個
[2771.60-2772.60] 這件規定大概是這樣
[2772.60-2774.60] 但是要說對船舶規定會不會很大的衝擊
[2774.60-2776.60] 這些新的規定會不會造成
[2776.60-2778.60] 這個船舶大量減少
[2778.60-2779.60] 我想是不會
[2779.60-2781.60] 但是會鼓勵
[2781.60-2784.60] 新規格的船舶被開發出來
[2784.60-2787.60] 所以應該是有一個鼓勵科技革新的效果
[2787.60-2791.60] 但是針對於現成的船
[2791.60-2793.60] 是不是會造成一個很大的衝擊
[2793.60-2795.60] 以目前來看的話呢
[2795.60-2796.60] 我們認為是不會
[2796.60-2798.60] 就是會增加大家營運成本
[2798.60-2801.60] 但是營運成本增加到會不會是一個
[2801.60-2803.60] 可以把大家趕出市場的
[2803.60-2804.60] 那以目前這些數據
[2804.60-2806.60] 就是燃油的什麼十幾八個
[2806.60-2808.60] 是應該不至於的
[2809.60-2811.60] 那之後還有的變化會不會一樣
[2811.60-2812.60] 那麼另外就是說呢
[2812.60-2814.60] 我們在面對這樣的狀況
[2814.60-2817.60] 除了我們自己本身繼續做我們這個
[2817.60-2818.60] 租業的安排
[2818.60-2820.60] 然後跟住家長期的合作之外
[2820.60-2822.60] 那我們也是會進行一些船舶的處分
[2822.60-2824.60] 所以我們2024年的時候賣了四條船
[2824.60-2826.60] 2025年目前看起來的話
[2826.60-2828.60] 準備也知道賣幾幾隻
[2828.60-2830.60] 目前 目前也準備四條船
[2830.60-2831.60] 那各位也看得到
[2831.60-2832.60] 2020年是一整年
[2832.60-2833.60] 2025年的話
[2833.60-2835.60] 我們現在才五月而已
[2835.60-2837.60] 所以我們覺得整體來講的話
[2837.60-2839.60] 2025年的買賣水平
[2839.60-2840.60] 我想有可能是
[2840.60-2843.60] 會比2024年還要稍微多一些的
[2843.60-2844.60] 那麼2025年的話
[2844.60-2849.60] 整體雖然我們整個市場的運費水準
[2849.60-2850.60] 是掉了很多
[2850.60-2852.60] 不過其實二手船方面的話
[2852.60-2854.60] 價格還算是平穩
[2854.60-2855.60] 所以我們認為
[2855.60-2859.60] 現在來討論這些船舶的處分
[2859.60-2862.60] 是對公司來講算是可以的
[2862.60-2865.60] 不是一個很不好的事情
[2865.60-2867.60] 那所以基本上也都還有賺錢
[2867.60-2868.60] 那我們認為透過這樣子
[2868.60-2871.60] 可以更增加我們整個船隊的
[2871.60-2873.60] 那個環保效率
[2873.60-2876.60] 然後提高這個競爭力
[2876.60-2880.60] 那另外就是在財務風險上面來講的話
[2880.60-2881.60] 各位看得到
[2881.60-2883.60] 因為其實我們面對財務風險
[2883.60-2884.60] 其實最大就是
[2884.60-2886.60] Bad end sheet上面的利率問題
[2886.60-2887.60] 跟匯率問題
[2887.60-2889.60] 利率問題因為美金利率很高
[2889.60-2891.60] 所以這個當然就是
[2891.60-2894.60] 吃掉我們不少收入
[2894.60-2897.60] 那為了要減少美金的利率
[2897.60-2898.60] 這個利率對我們的影響
[2898.60-2899.60] 我們就開始借其他的幣給
[2899.60-2900.60] 借的是幣啊
[2900.60-2902.60] 最近又借的是法
[2902.60-2904.60] 借這種其他的幣給
[2904.60-2905.60] 因為我們的收入是以美金為主
[2905.60-2907.60] 所以就會有些匯率的風險
[2907.60-2908.60] 所以我認為對我們來講
[2908.60-2911.60] 是一個利率和匯率風險的一個選擇
[2911.60-2913.60] 要適當的去配置
[2913.60-2915.60] 那但是有一個不敗的方法
[2915.60-2916.60] 就是減低負債
[2916.60-2919.60] 所以我們從2020年的67.9%
[2919.60-2921.60] 一度降到現在45.3%
[2921.60-2923.60] 所以整體來講
[2923.60-2926.60] 伴隨著我們CAPEX的溫和
[2926.60-2928.60] 溫和的這個CAPEX
[2928.60-2930.60] 所以我們負債比就比較降低
[2930.60-2932.60] 所以我們認為現在我們
[2932.60-2934.60] 利率匯率風險不是沒有
[2934.60-2935.60] 還是有還是很重要
[2935.60-2937.60] 但是相對來講就沒那麼大
[2937.60-2939.60] 那我覺得在這個背景之下
[2939.60-2942.60] 除了救船也是一個降低負債比的方式
[2942.60-2944.60] 這都是我們這幾年在做的事情
[2944.60-2946.60] 所以我們認為我們現在的財務狀況
[2946.60-2949.60] 是可以接受市場的衝擊
[2949.60-2952.60] 那我們現在目前有13角新團訂單
[2952.60-2954.60] 大部分的話就交船的情況是
[2954.60-2956.60] 可以看得到的
[2956.60-2957.60] 2025年交的很少
[2957.60-2959.60] 明年差不多有7條
[2959.60-2961.60] 後年的話就是4條
[2961.60-2964.60] 其實都是以我們過去一年交十幾條來講
[2964.60-2965.60] 這個其實都是不算多的
[2965.60-2967.60] 那之後會不會有機會
[2967.60-2971.60] 進行比較大規模的這個資本支出的計畫
[2971.60-2973.60] 然後再看一下市場的後續
[2973.60-2977.60] 因為現在開始很多船廠會談一些雙載料船
[2977.60-2979.60] 那我們認為這些技術都不成專
[2979.60-2981.60] 而且規格也不清楚
[2981.60-2985.60] 所以我們目前是沒有去訂到
[2985.60-2988.60] 雙載料船的計畫
[2988.60-2991.60] 那麼以上是我們今天簡報的內容
[2991.60-2994.60] 不知道大家有沒有什麼問題
[2994.60-2996.60] 不好意思
[2996.60-2999.60] 因為那個Q&A應該有的好像不夠
[2999.60-3002.60] 不過如果有什麼問題的話
[3002.60-3004.60] 就是大家有問題
[3004.60-3006.60] 我等一下遞麥克風給你
[3006.60-3008.60] 房間不是很大
[3008.60-3010.60] 直接講就可以了
[3010.60-3011.60] 來請說
[3011.60-3012.60] 廖長你好
[3012.60-3013.60] 先請教一下
[3013.60-3014.60] 第一個問題是
[3015.60-3017.60] 因為我們這邊有提到
[3017.60-3021.60] 有處分那個船舶的部分
[3021.60-3025.60] 那因為這邊大概show的是大概是估計
[3025.60-3026.60] 大概一千
[3026.60-3028.60] 也處分大概一千百萬左右
[3028.60-3030.60] 但如果我們按照公告
[3030.60-3034.60] 四月份跟五月份的估計的過於數字
[3034.60-3036.60] 好像比這數字比較高
[3036.60-3038.60] 這中間的差異是誰
[3038.60-3040.60] 第二個就是順著這個問題
[3040.60-3041.60] 大家有請教就是
[3041.60-3043.60] 這三個部分的處分
[3043.60-3045.60] 大概會
[3045.60-3046.60] 在什麼時候
[3046.60-3048.60] 或者說目前洽談的狀況
[3048.60-3050.60] 還是說這個只是一個很rough的
[3050.60-3053.60] 因為我大概基本上目前還沒有這個底
[3053.60-3054.60] 那剛才您也提到
[3054.60-3057.60] 因為現在中國製的船舶比較多
[3057.60-3060.60] 都是屬於非中國製的
[3060.60-3062.60] 所以這部分我們在受成的
[3062.60-3066.60] Premium上面是不是也有比較好的出售的對話
[3066.60-3069.60] 那之前您有過去今年的總體對話
[3069.60-3070.60] 大概是10艘
[3070.60-3073.60] 那這個目標是不是還是有改變
[3073.60-3075.60] 然後再來請教就是
[3075.60-3077.60] 因為剛剛也提到
[3077.60-3079.60] 我們有一些匯率風險
[3079.60-3081.60] 那比較可惜是三四月的本業期
[3081.60-3082.60] 我們有上來
[3082.60-3084.60] 但是都是因為匯率的因素
[3084.60-3085.60] 那剛剛您也提到就是
[3085.60-3089.60] 我們會以可能會降低負債比來緩衝這個衝擊
[3089.60-3091.60] 所以今年的利息
[3091.60-3092.60] 全年度的利息費用
[3092.60-3095.60] 或者是負債比有沒有一個目標
[3095.60-3097.60] 然後最後大概就是
[3097.60-3099.60] 就是還是請教
[3099.60-3101.60] 要朝長就對於
[3101.60-3103.60] 比如說目前大概第二季或是下半年
[3103.60-3105.60] 大概應該會有
[3105.60-3109.60] 主力傳行這部分的市場展望
[3109.60-3110.60] 謝謝
[3110.60-3111.60] 好 謝謝你的問
[3111.60-3112.60] 不好意思
[3112.60-3113.60] 如果我有別的問題
[3113.60-3114.60] 那我先再麻煩你
[3114.60-3115.60] 首先呢
[3115.60-3117.60] 針對我們公告的這個
[3117.60-3119.60] Disposal的這個利潤的計算
[3119.60-3121.60] 那應該是我們同仁去做
[3121.60-3123.60] 等一下我會再請他再公佈一下
[3123.60-3124.60] 那不過這個其他問題
[3124.60-3125.60] 我可以先回答
[3125.60-3126.60] 我先跟你們回答
[3126.60-3129.60] 第一個就是我們董事會的公告
[3129.60-3132.60] 是董事會通過了這個案子之後
[3132.60-3133.60] 我們就公告
[3133.60-3135.60] 所以呢這個案子公告之後
[3135.60-3137.60] 這個簽約不一定
[3137.60-3138.60] 然後呢
[3138.60-3141.60] 所以他的公告並不是一個當地
[3141.60-3142.60] 簡單講是這樣
[3142.60-3144.60] 所以有可能董事會的公告
[3144.60-3146.60] 後來沒有成功沒有執行
[3146.60-3148.60] 所以這是有可能的
[3148.60-3150.60] 那我們在這邊寫的呢
[3150.60-3153.60] 這裡如果看到你的數字是沒有掛號
[3153.60-3155.60] 就表示是有簽約而且已經交傳了
[3155.60-3157.60] 我這邊算給大家基本上是有當地
[3157.60-3158.60] 就是已經決定
[3158.60-3159.60] 事情是有分三個嘛
[3159.60-3162.60] 一個買賣傳基本上分三個階段
[3162.60-3164.60] 第一個階段是我們要合可這個交易
[3164.60-3165.60] 我們會公告
[3165.60-3166.60] 做第一次董事會的公告
[3166.60-3168.60] 然後第二個階段是簽約
[3168.60-3169.60] 這個我們不會公告
[3169.60-3170.60] 可是這邊就當地
[3170.60-3172.60] 這個案子就基本上是定
[3172.60-3175.60] 因為有簽約沒有簽約的話都不算嘛
[3175.60-3177.60] 對方跑了我們也沒辦法
[3177.60-3179.60] 那如果是有簽約的話呢
[3179.60-3182.60] 對方跑了我們至少可以跟他追償這個訂金
[3182.60-3184.60] 所以基本上在第二個階段
[3184.60-3186.60] 我們就可以說這個應該算是滿確定
[3186.60-3187.60] 第三個階段是交傳
[3187.60-3190.60] 因為簽約完之後不會馬上就賣
[3190.60-3191.60] 還要等傳播
[3191.60-3193.60] 比如開了一兩個月兩三個月
[3193.60-3194.60] 然後才交傳
[3194.60-3195.60] 所以這是第三個階段
[3195.60-3198.60] 然後我們的認列收入是在第三個階段
[3198.60-3199.60] 就是交傳都才會發生
[3199.60-3201.60] 那以這樣表來看的話呢
[3201.60-3203.60] 那一和二是表示這些都已經交傳
[3203.60-3206.60] 那那個掛號是表示要交傳
[3206.60-3208.60] 這是還沒交
[3208.60-3209.60] 今天交了沒
[3209.60-3211.60] 好像是這兩天要交了兩天
[3211.60-3212.60] 所以這個
[3212.60-3215.60] 這個很有可能都是
[3215.60-3217.60] 有些是就是在五月
[3217.60-3219.60] 這個是針對時間上
[3219.60-3221.60] 先跟你做一個作用
[3221.60-3222.60] 那再來的話
[3222.60-3223.60] 你有問到說
[3223.60-3225.60] 這個新船是不是在二手船的premium是比較好
[3225.60-3226.60] 其實是的
[3226.60-3227.60] 那只是說呢
[3227.60-3229.60] 它差別到多少
[3229.60-3233.60] 會跟它的年份還有這個什麼時間是有關係的
[3233.60-3234.60] 簡單講呢
[3234.60-3235.60] 越老的差
[3235.60-3237.60] 目前來講越老的差越多
[3237.60-3239.60] 但這幾年如果是新船來說的話呢
[3239.60-3242.60] 因為中國的這個傳播的marketability
[3242.60-3244.60] 是有一點比較提升的
[3244.60-3247.60] 就是以前大家可能認為中國船超過十年以後就很難用
[3247.60-3249.60] 現在可能沒那麼差
[3249.60-3250.60] 所以呢
[3250.60-3252.60] 這個價差
[3252.60-3256.60] 應該是說二手船的價差稍微有比較減小
[3256.60-3258.60] 可是對於傳領比較久的船
[3258.60-3260.60] 我想這個還是有的
[3260.60-3261.60] 至於到底是幾%
[3261.60-3262.60] 這其實不一定
[3262.60-3266.60] 因為傳播的船礦差也很大
[3266.60-3270.60] 那跟市場的狀況差也很大
[3270.60-3273.60] 所以呢比較沒有辦法有人清楚的說是多少
[3273.60-3275.60] 而且再來就是因為我們公司很少中國船
[3275.60-3278.60] 所以我們也沒有一個第一手的觀察
[3278.60-3279.60] 可以告訴您說
[3279.60-3281.60] 這兩個究竟差多少
[3281.60-3282.60] 我沒有辦法
[3282.60-3283.60] 不好意思
[3283.60-3284.60] 我錯過了
[3286.60-3290.60] 所以比較沒有辦法明確的跟您講大概什麼狀況
[3290.60-3293.60] 再來的話您問到就是說關於展望的部分
[3293.60-3295.60] 坦白講呢今年到現在為止的話
[3295.60-3299.60] 我們覺得市場還是不太活躍
[3299.60-3302.60] 那我們比較擔心的就是馬上要進入暑假
[3302.60-3303.60] 所以呢我們覺得
[3303.60-3308.60] 如果到七月沒有什麼明顯改善的話
[3308.60-3309.60] 可能就要到九月了
[3309.60-3311.60] 傳統來講的話會是這樣
[3311.60-3317.60] 所以呢最近我們對於這些貿易就是關稅的這些談判
[3317.60-3318.60] 其實也都是
[3318.60-3320.60] 我覺得都是跟我們蠻有密切相關的
[3320.60-3324.60] 所以是不是能夠川普總統能夠在他第一次第一波講出來的九天之內
[3324.60-3326.60] 把這件事情都處理好
[3326.60-3330.60] 這個給傳播航運業帶來一個強新增
[3330.60-3331.60] 這我們不知道
[3331.60-3334.60] 不過我想這個會是一個比較緊密相關的
[3334.60-3336.60] 再來您問到這個時候呢
[3336.60-3338.60] 這個因為現在這個事況的關係
[3338.60-3340.60] 所以我們有這個預約會議的問題
[3340.60-3342.60] 其實這個預約會議的問題我們有很久了
[3342.60-3344.60] 所以我們會認為說
[3344.60-3347.60] 我們現在這個負債比的這個策略
[3347.60-3349.60] 其實是一個長期的事情
[3349.60-3351.60] 他不是說我今年特別要做
[3351.60-3353.60] 而是我們其實這幾年一直在做
[3353.60-3355.60] 我們要跟大家報告說其實我們這幾年一直在做
[3355.60-3358.60] 其實我們早期有將近70%的時候
[3358.60-3361.60] 每次來投資人就問說啊你負債比那麼高到底要降到哪裡
[3361.60-3363.60] 那我們也只能講說我們努力
[3363.60-3364.60] 那我們現在努力才會有成果
[3364.60-3365.60] 所以跟大家報告
[3365.60-3366.60] 可是到底要降到多低呢
[3366.60-3368.60] 坦白講我覺得市場已經是蠻低了
[3368.60-3369.60] 因為傳播航運業呢
[3370.60-3372.60] 我們是靠財富局在做生意
[3372.60-3374.60] 我們就是跟央借錢來
[3374.60-3377.60] 然後來賺一個比較大的金額
[3377.60-3378.60] 這是一個價差
[3378.60-3379.60] 所以如果有多錢
[3379.60-3382.60] 我應該要把銀行通還清嗎
[3382.60-3383.60] 也未必是這樣
[3383.60-3384.60] 所以各位可能也知道
[3384.60-3387.60] 像我們今年鼓勵政策其實是比較有餘裕的
[3387.60-3390.60] 我們一部分就是在於覺得說
[3390.60-3395.60] 我們也不是要追求一個負債無限的往零趨近
[3395.60-3397.60] 那不然的話我幹嘛換股東
[3397.60-3398.60] 我還要換銀行不就好
[3398.60-3400.60] 可是這樣子對股東太難受
[3400.60-3401.60] 那股東是最好的嗎
[3401.60-3402.60] 其實未必嘛
[3402.60-3404.60] 所以我覺得這還是一個Bad and sad
[3404.60-3405.60] 那我個人的看法
[3405.60-3407.60] 我認為市場已經很健康了
[3407.60-3409.60] 在低是不是很有必要
[3409.60-3412.60] 那至於利息支出的數字來講的話
[3412.60-3415.60] 坦白講我們沒有做什麼特定的東西
[3415.60-3417.60] 因為這就是看市場基準利率怎麼走
[3417.60-3421.60] 不過我個人並沒有非常樂觀
[3421.60-3426.60] 因為美元看起來在短期內大降息的機會是很大的
[3426.60-3428.60] 所以我們現在有時候會做的事情就是
[3428.60-3430.60] 用一些比如說瑞士房子
[3430.60-3432.60] 或是馬達來取代美金借款
[3432.60-3435.60] 這樣的話就可以做到一個降低利息的效果
[3435.60-3438.60] 那但是我覺得以今年來看的話
[3438.60-3444.60] 利息支出我認為就是穩定可以再偏少一點點
[3444.60-3447.60] 這個是我個人的看法
[3447.60-3449.60] 就是應該是我這個方向
[3449.60-3451.60] 當然不會大降
[3451.60-3453.60] 這是我的感覺
[3453.60-3455.60] 那至於你剛講到說
[3455.60-3457.60] 這個1100萬跟之前加的我不要
[3457.60-3458.60] 我就要問一下
[3458.60-3459.60] 阿行
[3460.60-3463.60] 就是因為我們5月23公告的那張傳
[3463.60-3464.60] PVT是現做的
[3464.60-3466.60] 所以它沒有涵蓋在這裡面
[3466.60-3468.60] 對對對
[3468.60-3470.60] 所以是前面公告的
[3470.60-3472.60] 對前面公告的
[3472.60-3476.60] 那目前現在5月份可能會降4.3
[3476.60-3478.60] 目前5月份會認定
[3478.60-3480.60] 並且交差就是3條
[3480.60-3481.60] 就3條
[3481.60-3482.60] 就是4月份3條
[3482.60-3483.60] 對
[3483.60-3486.60] 然後每幾天就3條
[3486.60-3488.60] 因為我們比較好奇
[3488.60-3490.60] 因為1月30萬以內
[3490.60-3491.60] 是MV
[3491.60-3494.60] 那所以就是根據上面的
[3494.60-3495.60] 就是另外2條
[3495.60-3497.60] 另外2條
[3497.60-3498.60] 3條的話
[3498.60-3502.60] 就是每個團都是各一條
[3502.60-3506.60] 應該說這4條就是1月的1艘
[3506.60-3508.60] 跟5月我們已經交談的3艘
[3508.60-3510.60] 總共4條這樣子
[3510.60-3513.60] 然後因為我們5月23號有在另外公告1條
[3513.60-3514.60] 但那個就是公告
[3514.60-3516.60] 因為它連接在5月
[3518.60-3519.60] 5月23公告
[3519.60-3521.60] 就是還沒有
[3521.60-3523.60] 還沒有7月的
[3526.60-3528.60] 所以如果法例還算進去
[3528.60-3529.60] 還會再算起來
[3529.60-3530.60] 可是因為那個還沒有
[3530.60-3531.60] 還不算一個當地有落
[3531.60-3535.60] 沒有把它放在法國會的套通院上面
[3535.60-3536.60] 那其實坦白講
[3536.60-3538.60] 還沒有這個財務還沒公告
[3538.60-3539.60] 我們也是有偵查過
[3539.60-3540.60] 到底有沒有放
[3540.60-3542.60] 不過因為這個是一個公開的法措會
[3542.60-3544.60] 所以我們認為放之不會有什麼問題
[3544.60-3546.60] 所以我們就把這個正式對行的服務
[3546.60-3547.60] 那但是到6月的
[3547.60-3550.60] 比如說上次第三個營業日的話
[3550.60-3551.60] 我們
[3551.60-3552.60] 您應該可以看得到
[3552.60-3555.60] 裡面的一部分這個傳統買賣的存益
[3555.60-3558.60] 會進到5月的直接報表裡面
[3558.60-3562.60] 以上還有其他問題嗎
[3562.60-3565.60] 請問一下現在紅海有多少人
[3565.60-3567.60] 沒有人敢過
[3567.60-3568.60] 還是一樣
[3568.60-3570.60] 還是大家不太會去過這樣
[3570.60-3572.60] 所以呢現在有人比較
[3572.60-3574.60] 比較會有人問的是俄國能不能去
[3574.60-3576.60] 那紅海這部分的話
[3576.60-3579.60] 我們自己是還比較少碰到人家才會
[3579.60-3582.60] 所以紅海我們覺得目前是不安全的
[3582.60-3585.60] 我們在這方面一定不會是衝第一個
[3585.60-3587.60] 一定是當很多人走我們才會走
[3587.60-3590.60] 因為這是一個風險管控的問題
[3590.60-3592.60] 我們公司的這個規模來講
[3592.60-3594.60] 沒有必要去衝這個東西
[3594.60-3597.60] 所以紅海部分我們不會這麼快就走
[3597.60-3598.60] 但是以目前來看的話
[3598.60-3600.60] 我們的理解是還是蠻危險的
[3600.60-3602.60] 我們的租家族也沒有在我們那邊排
[3602.60-3604.60] 我們監督人跨越也比較少
[3604.60-3606.60] 反而是俄國比較
[3606.60-3608.60] 會有一些
[3608.60-3610.60] 還有人想去
[3612.60-3613.60] 其他還有
[3613.60-3614.60] 請說
[3614.60-3617.60] 請問一下油價對我們這個
[3617.60-3619.60] 成本上的影響的敏感度
[3619.60-3622.60] 大概不一定是這個幾小時的平均
[3622.60-3624.60] 假如說以如果比
[3624.60-3628.60] 這個它美元的一個變動來講的話
[3628.60-3629.60] 大概是
[3629.60-3632.60] 其實我們油價占我們比重是不大
[3632.60-3633.60] 因為我們傳燒的油
[3633.60-3635.60] 我們跟container不太一樣
[3635.60-3636.60] container他們自己在
[3636.60-3637.60] 營運
[3637.60-3638.60] 我們都交給租家營運
[3638.60-3640.60] 所以我們油價都是租家在付
[3640.60-3641.60] 所以整體來講
[3641.60-3643.60] 油價占我們營收比重
[3643.60-3645.60] 大概是4%到5%左右
[3645.60-3646.60] 5%
[3646.60-3649.60] 現在是到0.7了
[3649.60-3651.60] 最近這個月
[3651.60-3653.60] 但是都很5%以內
[3653.60-3656.60] 所以其實是我們對油價影響是很小
[3656.60-3659.60] 因為以前自營多了之後
[3659.60-3661.60] 我們油價的比重就會上升
[3661.60-3662.60] 現在自營剛講只有6艘
[3662.60-3664.60] 所以營收也當上蠻低的
[3664.60-3666.60] 所以其實油價的波動就很大了
[3666.60-3667.60] 所以我們不太影響
[3667.60-3668.60] 而且呢
[3668.60-3669.60] 過去的經驗
[3669.60-3670.60] 如果油價波動的話
[3670.60-3672.60] 大部分可以轉嫁到運費上面
[3672.60-3674.60] 所以其實油價高的時候
[3674.60-3677.60] 散裝船公司是不壞的
[3677.60-3679.60] 就是我們是OK的
[3679.60-3682.60] 我們不像container或者是航空公司
[3682.60-3684.60] 他們還有一段時間要自己吃熱血力
[3684.60-3685.60] 我們大部分他們一來
[3685.60-3687.60] 我們其實反應的速度都還蠻快的
[3687.60-3690.60] 所以我們不怕油價漲
[3690.60-3693.60] 其他不知道有沒有人
[3693.60-3694.60] 哪有朋友有問題
[3694.60-3695.60] 沒有的話我們3點左右
[3695.60-3697.60] 不怕他們都要趕
[3697.60-3700.60] 那我們今天時間到這裡
[3700.60-3702.60] 我們掌聲謝謝慧洋團隊
