[0.88-3.50] 各位投资以及媒体先进大家好
[3386.76-3388.76] 一个可能的安排
[3388.76-3394.76] 它把某些东西在不同的国家做
[3394.76-3398.76] 那透过这样子的安排
[3398.76-3401.76] 来降低整体的关税
[3401.76-3404.76] 那这些都在发生中
[3404.76-3411.76] 我想这个接下来你可以朝这个方向
[3411.76-3413.76] 来去求证
[3413.76-3416.76] 您关心的这个客人
[3416.76-3419.76] 他到底采用什么样的方法
[3419.76-3421.76] 了解
[3421.76-3422.76] 好那谢董事长
[3422.76-3423.76] 那这个第二个问题
[3423.76-3425.76] 我是刚刚有听到说
[3425.76-3429.76] 有这个就是ASIC这个server嘛
[3429.76-3431.76] 那可不可以请教一下
[3431.76-3434.76] 就是公司在这方面是做level 10还是level 10
[3434.76-3439.76] 那这个客人是不是也是北美这些大型的CSP
[3439.76-3442.76] 那另外就是说也是AI的伺服器
[3442.76-3445.76] 我看到就是说公司有投资在这个Houston
[3445.76-3448.76] 那我可不可以请董事长
[3448.76-3451.76] 或者说这个东西是不是应该是
[3451.76-3453.76] 也是做AI server
[3453.76-3454.76] 这些前段的组装
[3454.76-3457.76] 那因为这是我自己想法
[3457.76-3458.76] 我不知道董事长
[3458.76-3460.76] 或许你对产业比较熟
[3460.76-3465.76] 就是说因为美国现在需要的是把这些制造拿回去美国
[3465.76-3467.76] 那TSMC也在美国
[3467.76-3470.76] 可能未来会生产比较高阶的晶片
[3470.76-3473.76] 那是不是说整个比较重要的一个客人
[3473.76-3476.76] 把所有的高阶晶片往亚利桑那这边生产
[3476.76-3481.76] 然后直接在美国做比较前端的打板
[3481.76-3483.76] 打板就是before L6
[3483.76-3486.76] 那这可能会在两三年之内就发生
[3486.76-3488.76] 所以就想请教董事长
[3488.76-3490.76] 这是我第二个问题
[3490.76-3491.76] 好
[3491.76-3492.76] 好
[3492.76-3494.76] 有关于在美国做什么
[3494.76-3496.76] 你的逻辑是正确的
[3496.76-3501.76] 就是在那边的这个IC
[3501.76-3503.76] 当然在那边做成module
[3503.76-3507.76] 在那边做成这个PCBA
[3507.76-3510.76] 然后在那边组装成server
[3510.76-3512.76] 然后就变成level
[3512.76-3513.76] 变成机柜
[3513.76-3515.76] 变成level11
[3515.76-3518.76] 所以这个逻辑是对的
[3518.76-3520.76] 至于这个问题
[3520.76-3521.76] 我看来
[3521.76-3523.76] 对于这个顺序还有时间
[3523.76-3532.76] 就是看这个整个厂商供应链ready的程度
[3532.76-3537.76] 所以那个方向大概是没错的
[3537.76-3540.76] 那有关于你刚提到ASIC
[3540.76-3544.76] 确实是我们指的是CSP的客户
[3544.76-3547.76] 你也知道CSP客户他都有
[3547.76-3549.76] 都有开发自己的ASIC
[3549.76-3556.76] 那大概所指的就是他们的这个
[3556.76-3560.76] 这个CSP客户的ASIC
[3560.76-3562.76] 会做到level10
[3562.76-3565.76] 好
[3565.76-3567.76] 那现在是3点59分
[3567.76-3568.76] 我们开放最后一个问题
[3568.76-3571.76] 我们请这个Marquari的Kalin来提问
[3571.76-3573.76] Kalin请
[3573.76-3575.76] Kalin有听到吗
[3575.76-3576.76] Kalin有听到
[3576.76-3577.76] Kalin有听到
[3577.76-3578.76] Kalin有听到
[3578.76-3580.76] Kalin有听到吗
[3580.76-3581.76] 喂
[3581.76-3583.76] 请问听得到我的声音吗
[3583.76-3584.76] 可以
[3584.76-3585.76] 请说
[3585.76-3586.76] 你好
[3586.76-3588.76] 董事长财务长James们好
[3588.76-3593.76] 我想问一下关于我们下调2025年的营收展望
[3593.76-3595.76] 但是如果看产品别的话
[3595.76-3598.76] 我们的箭头方向其实没有什么调整
[3598.76-3600.76] 那我想要问一下
[3600.76-3605.76] 请问我们这一次的调整是因为汇率的关系
[3605.76-3608.76] 全面调整所有产品线的展望还是什么样的
[3608.76-3614.76] 还是说我们有看到哪些产品线可能downside会比较大
[3614.76-3615.76] 好
[3615.76-3617.76] 你的猜想是对的
[3617.76-3618.76] 是因为汇率
[3618.76-3620.76] 那汇率
[3620.76-3623.76] 这个台币对美金的汇率
[3623.76-3628.76] 我们也不知道它到底会低到什么程度
[3628.76-3633.76] 所以在这边我们一直在强调的
[3633.76-3638.76] 我们是比较审慎的来看汇率的可能性
[3638.76-3640.76] 我们也没有看到有可能的变化
[3640.76-3642.76] 那也因为这个样子
[3642.76-3645.76] 因为它可能的变化
[3645.76-3648.76] 所以我们对于营收
[3648.76-3652.76] 台币的营收的展望是下调的
[3652.76-3655.76] 那美金营收展望
[3655.76-3660.76] 可能跟我们没有看到有这个其他的变化
[3664.76-3666.76] 那现在时间是4点01分
[3666.76-3667.76] 那你就这个
[3667.76-3670.76] 今天法事会就到这个地方为止
[3670.76-3672.76] 谢谢各位的一个参与
[3672.76-3673.76] 那如果各位投资人
[3673.76-3675.76] 媒体有想要进一步询问的地方
[3675.76-3678.76] 那也欢迎跟我们的IR跟PR团队来联系
[3678.76-3679.76] 谢谢大家
[3679.76-3680.76] 再见
[3680.76-3681.76] 谢谢
