[0.00-9.38] 欢迎各位同事签订参加
[3157.64-3159.64] 可是很發展的情況
[3159.64-3161.64] 我們這邊它
[3161.64-3164.64] 重好我們非非要往上
[3164.64-3165.64] 還有時間去
[3165.64-3166.64] 因為畢竟它
[3166.64-3170.64] 不是我們自己在公司內自己在經營的
[3170.64-3173.64] 所以我們的散戶比例其實過高
[3173.64-3175.64] 所以我們需要比較往上
[3175.64-3176.64] 時間去
[3176.64-3179.54] 帶進成為中心的
[3179.54-3181.30] 我剛剛我想質疑一下
[3181.30-3183.64] aerial AI採取的問題
[3183.64-3184.64] 其實你是 Bladeoff比較可能
[3184.64-3185.64] 至少比比 кан賓銀소리體的
[3185.64-3187.64] 投入� prehe也不贏
[3187.64-3195.52] 能不打得到
[3195.52-3196.64] 我現在 organizations
[3196.64-3202.64] 包括MILM
[3202.64-3204.64] 也是相關的
[3204.64-3205.64] 突破中心
[3205.64-3206.64] 产品的造成
[3208.24-3209.04] 谢谢你关注
[3209.58-3212.34] 第一个假如把汇率全部还原的话
[3212.34-3216.24] 其实相对汇率其实还是提升的
[3216.24-3218.54] 所以这个因素其实大家
[3220.20-3222.44] 跟所有别的对手大概是一样的问题
[3222.44-3225.64] 这边就用这个还原的方式来解释
[3225.70-3226.50] 那第二个是
[3228.00-3231.28] 第一个设计上面用自己主板自己设计的
[3231.30-3233.34] 那起一个最简单的演讲
[3233.34-3238.14] 假如工厂他申请生产1万片或2万片
[3238.14-3239.54] 或是何外的工资
[3240.54-3244.34] 要是我们的生产人员的固定费用
[3244.34-3245.94] 是都一样的乔价
[3246.34-3251.34] 看到每一个主板或者每一个系统上面的费用
[3251.34-3252.84] 其实就不一样了
[3253.34-3257.64] 但是对单一机台的成本的成本来讲的话
[3257.64-3258.84] 就有变化了
[3259.10-3260.84] 因为他会在
[3261.60-3263.24] 分析电压乔价
[3263.34-3267.34] 整体主板的台到每台的制造费用会降低
[3267.34-3268.64] 这是第一点
[3268.64-3269.64] 第二点是
[3270.24-3272.24] 要指标准备号过高的话
[3272.54-3274.34] 他会让支付点高
[3275.14-3279.64] 所以在订单在创办的前景下面
[3279.84-3287.04] 这些做法发生的同时会让成本相对的降低
[3287.04-3291.24] 那换句话说就是他的高利率会相对的高一些
[3291.94-3293.34] 所以就是在
[3293.34-3295.34] 在市场上就会完全
[3295.34-3300.34] 那我们以后的标准化的一个程度会越来越高吗
[3300.34-3301.34] 还是说
[3301.34-3303.34] 先阶段的一个走向
[3303.34-3304.34] 毕竟
[3304.34-3306.34] 对客户来讲
[3306.34-3310.34] 这些外观的差异化是他们的竞争力
[3310.34-3312.34] 所在的一个差异
[3312.34-3314.34] 所以我们也许会有一个高度的差异化
[3314.34-3317.34] 但是我们也许会有一个高度的差异化
[3317.34-3319.34] 因为我们的生产人员的费用
[3319.34-3321.34] 我们的生产人员的费用
[3321.34-3322.34] 我们的生产人员的费用
[3322.34-3324.34] 是我们的所在的条件
[3324.34-3329.34] 所以我们不会一味的做到标准化的电子音乐
[3329.34-3331.34] 我们的标准品
[3331.34-3333.34] 那标准品对我来讲
[3333.34-3335.34] 当然是所谓的成本
[3335.34-3337.34] 像这一季的旗帜
[3337.34-3340.34] 但是这一点从客户角度来讲
[3340.34-3342.34] 其实是完蛋了
[3342.34-3344.34] 所以他必须得拿
[3344.34-3346.34] 哪些部分是可以用的话
[3346.34-3350.34] 哪些部分必须要
[3350.34-3352.34] 客户的心声力
[3352.34-3354.34] 要先来做出发表
[3354.34-3356.34] 而不是很单纯的做法
[3356.34-3358.34] 这也是我们来讲
[3358.34-3360.34] 因为毕竟工业是折磨的
[3360.34-3361.34] 要是没有竞争力
[3361.34-3363.34] 我们是没有办法收入进取的
[3374.34-3375.34] 请问一下你们
[3375.34-3377.34] 我这边想回到
[3377.34-3379.34] 这个主缘投稿一下
[3379.34-3381.34] 我还有一个问题就是说
[3381.34-3382.34] 请问你有没有一个
[3382.34-3384.34] 今年领袖的成长预感
[3384.34-3388.34] 上半年领袖还是很乐观
[3388.34-3389.34] 然后
[3389.34-3390.34] 在这个月领袖
[3390.34-3392.34] 让来的领袖是很幸运
[3392.34-3395.34] 这方面你觉得今年领袖的成长率
[3395.34-3398.34] 简单的讲
[3398.34-3399.34] 从百分比上来讲
[3399.34-3402.34] 我想应该是牛
[3402.34-3407.34] 但是最近太多不确定的领袖了
[3407.34-3408.34] 所以比较近期的部分
[3408.34-3409.34] 我们很有信心
[3409.34-3410.34] 比较有信心的部分
[3410.34-3411.34] 比较远的部分
[3411.34-3414.34] 我们还是要直接保留
[3414.34-3416.34] 但是讲整体上来看
[3416.34-3417.34] 整点来看
[3417.34-3418.34] 百分比
[3418.34-3422.34] 应该是非常有信心
[3422.34-3424.34] 所以目前的进步
[3424.34-3425.34] 也很几三
[3425.34-3427.34] 没错
[3427.34-3428.34] 原因是因为
[3428.34-3431.34] 现在没有缺掉
[3431.34-3433.34] 比方2021年缺掉
[3433.34-3435.34] 2020年缺掉了
[3435.34-3438.34] 在上下Crowe
[3438.34-3440.34] 大部分Crowe的作业
[3440.34-3442.34] 也有一个领袖
[3442.34-3443.34] 就是在8周的时候
[3443.34-3445.34] 就把我们自然下载
[3445.34-3447.34] 所以都进度
[3447.34-3449.34] 到进度率
[3449.34-3452.34] 但是刚刚有提到
[3452.34-3454.34] 也要让我们
[3454.34-3456.34] 我们的指标
[3456.34-3458.34] 所谓的抓岸数
[3458.34-3460.34] 因为它需要时间准备
[3460.34-3464.34] 所以这是一个预见指标
[3464.34-3466.34] 那如果就是
[3466.34-3468.34] 因为上头也拿了
[3468.34-3469.34] 上里面的话
[3469.34-3471.34] 这个经验的整体
[3471.34-3473.34] 那你直接顺风也算是下跪杉
[3473.34-3474.34] 所以我只好结束
[3474.34-3476.34] 如果就是事情顺利的话
[3476.34-3477.34] 你觉得说
[3477.34-3479.34] 今天你收了一个机会
[3479.34-3481.34] 去去挑战2020年
[3481.34-3482.34] 对那个高点
[3482.34-3483.34] 那2020年
[3483.34-3484.34] 你感觉是如何
[3484.34-3485.34] 是如何的
[3485.34-3486.34] 我觉得
[3487.34-3489.34] 我想第一个是
[3489.34-3490.34] 在你受问
[3490.34-3492.34] 我才希望规律高一点
[3492.34-3493.34] 所以对象数字
[3493.34-3495.34] 我当然会有一些记录
[3495.34-3497.34] 但是比较重要一点是
[3497.34-3498.34] 因为我们现在在
[3498.34-3501.34] 资源有限的情况下
[3501.34-3503.34] 那我们希望尽可能
[3503.34-3505.34] 让我们把记录更高一点
[3505.34-3506.34] 所以我们会比较在乎
[3506.34-3508.34] 所谓的毛利额的部分
[3508.34-3511.34] 还有较生出来的EPS
[3511.34-3512.34] 这时候我们需要在乎
[3512.34-3514.34] 而不是说
[3514.34-3517.34] 有地单的一些公司
[3517.34-3519.34] 可能都满足
[3519.34-3521.34] 会有些选择
[3521.34-3522.34] 那
[3522.34-3523.34] 那因为市场上
[3523.34-3525.34] 毕竟现在的金锐手
[3525.34-3526.34] 全世界都有
[3526.34-3528.34] 有一些地价其中的美国人
[3528.34-3532.34] 就会比较保守一点
[3532.34-3534.34] 因为这个对资源的投放率
[3534.34-3536.34] 而讲的话是比较有负面
[3538.34-3540.34] 那首先再问一个
[3540.34-3541.34] 关税的问题
[3541.34-3542.34] 就是说
[3542.34-3544.34] 因为如果是用这种关税的话
[3544.34-3545.34] 好像是说
[3549.34-3550.34] 像这里
[3550.34-3551.34] 那不然我们
[3551.34-3553.34] 走向实用有限公司的
[3553.34-3554.34] 这种关税的话
[3554.34-3555.34] 其实
[3555.34-3557.34] 其实说美国去设办税
[3557.34-3558.34] 有这个可能性吗
[3558.34-3560.34] 另外一个问题是说
[3560.34-3561.34] 就是
[3561.34-3562.34] 最近第47套金
[3562.34-3564.34] 美国小伙子的订单都很好
[3564.34-3565.34] 想问说
[3565.34-3566.34] 有没有可能
[3566.34-3567.34] 这个为了订款税
[3567.34-3568.34] 比较大
[3568.34-3570.34] 到不为是
[3570.34-3572.34] 因为毕竟都是
[3572.34-3574.34] 每一家的资金都这么雄厚
[3574.34-3575.34] 他们
[3575.34-3577.34] 所谓建必要的扩展
[3577.34-3579.34] 另外一个考量是
[3579.34-3581.34] 他们对
[3581.34-3583.34] 我们现在小伙子的出租来讲
[3583.34-3585.34] 其实觉得还蛮有兴趣的
[3585.34-3586.34] 所以后面那个
[3586.34-3588.34] 对了关键的部分
[3588.34-3589.34] 因为
[3589.34-3591.34] 很包不清这一阵子
[3591.34-3593.34] 在
[3593.34-3596.34] 几个国家跟国家之间的
[3596.34-3599.34] 征税或不征之间
[3599.34-3600.34] 反反复复
[3600.34-3602.34] 是蛮多变化的
[3602.34-3603.34] 所以这点上
[3603.34-3604.34] 要把它做一些假设
[3604.34-3606.34] 到不征回到
[3606.34-3607.34] 对手
[3607.34-3608.34] 比如说我们希望把
[3608.34-3609.34] 整个
[3609.34-3610.34] 经济高利率
[3610.34-3611.34] 然后再
[3611.34-3612.34] 对整个新生率
[3612.34-3614.34] 当然是相对的高
[3614.34-3616.34] 那没有办法是绝对的
[3616.34-3618.34] 所以相对的高
[3618.34-3623.34] 因为时间关系
[3623.34-3624.34] 所以我们
[3624.34-3625.34] 现在来分享最后一个
[3625.34-3630.34] 想先请教一下就是说
[3630.34-3632.34] 在这个第一人生事的这个page
[3632.34-3634.34] 我们是有看到
[3634.34-3635.34] 每一个客户
[3635.34-3636.34] 他特别选择
[3636.34-3639.34] 台湾的供应商
[3639.34-3643.34] 他这个供应商的这个角色的份额
[3643.34-3644.34] 就比较难
[3644.34-3645.34] 相对其他
[3645.34-3647.34] 中国或者是
[3647.34-3652.34] 或者是公司上
[3652.34-3654.34] 因为这个ID里面是有软
[3654.34-3655.34] 所以其实是
[3655.34-3657.34] 有一些国家
[3657.34-3659.34] 但我们知道在客户的
[3659.34-3660.34] 实际上的回馈
[3660.34-3662.34] 是不是也有这样的情况
[3662.34-3664.34] 有
[3664.34-3667.34] 以前有客户就直接
[3667.34-3668.34] 开售命令
[3668.34-3669.34] 也会这样子要求
[3669.34-3671.34] 对就是包括问负
[3671.34-3672.34] 在台湾的
[3672.34-3674.34] 在之类的
[3674.34-3676.34] 这个货币的比例多少
[3676.34-3677.34] 但是是一个有必须到考量的
[3677.34-3680.34] 不是很单纯的
[3680.34-3682.34] 把本来买进来
[3682.34-3683.34] 然后在台湾做
[3683.34-3684.34] 所以我们
[3684.34-3685.34] 做一个融资
[3685.34-3687.34] 然后这样出口到美领
[3687.34-3689.34] 我们从设计开始
[3689.34-3692.34] 所以这一点上面的确有
[3692.34-3695.34] 但是毕竟这个市场很大
[3695.34-3696.34] 所以各种商业体育
[3696.34-3698.34] 很多的竞争都有
[3698.34-3700.34] 甚至有很多这样子
[3700.34-3703.34] 针对比较竞争
[3703.34-3705.34] 然后我们就会
[3705.34-3706.34] 就刚刚讲过的
[3706.34-3707.34] 比较高的收入
[3707.34-3709.34] 因为毕竟他们对
[3709.34-3711.34] 这样客户上面的
[3711.34-3712.34] 不是我们
[3712.34-3714.34] 不太可惜的
[3714.34-3715.34] 所以问题是
[3715.34-3717.34] 要划解的部分
[3717.34-3719.34] 因为议题的制造
[3719.34-3720.34] 有时候会有想的
[3720.34-3721.34] 对其中的问题
[3721.34-3723.34] 但是议题的意思就是说
[3723.34-3724.34] 比如说
[3724.34-3726.34] 美国大陆
[3726.34-3727.34] 他讲这有很多
[3727.34-3728.34] 有很多的
[3728.34-3729.34] 有很多的
[3729.34-3730.34] 有很多的
[3730.34-3731.34] 有很多的
[3731.34-3732.34] 有很多的
[3732.34-3733.34] 他讲这比如说
[3733.34-3734.34] 我们大型的
[3734.34-3735.34] 那些数字
[3735.34-3736.34] 已经做了
[3736.34-3737.34] 业证
[3737.34-3739.34] 他可能现在加工
[3739.34-3740.34] 继续打工
[3740.34-3741.34] 我们的话
[3741.34-3742.34] 接着是入去
[3742.34-3743.34] 现在议证过程
[3743.34-3744.34] 效率很好
[3744.34-3745.34] 他目前
[3745.34-3747.34] 推动
[3747.34-3748.34] 这个是
[3748.34-3749.34] 不得了
[3749.34-3750.34] 找到人
[3750.34-3751.34] 所以说提升效率的话
[3751.34-3752.34] 其实在
[3752.34-3753.34] 还有照询所
[3753.34-3754.34] 还有说这个真的是有用的
[3754.34-3756.34] 那我现在要全美要
[3756.34-3757.34] 全部反正全美国
[3757.34-3758.34] 全部要打工
[3758.34-3759.34] 在全美国有
[3759.34-3760.34] 这个数字
[3760.34-3761.34] 昨天也要去
[3761.34-3762.34] 一位都加工
[3762.34-3763.34] 在打工的速度
[3763.34-3764.34] 就是说
[3764.34-3765.34] 我们会有这些
[3765.34-3766.34] 打工的
[3766.34-3767.34] 的
[3767.34-3768.34] 的
[3768.34-3769.34] 的
[3769.34-3770.34] 的
[3770.34-3771.34] 的
[3771.34-3772.34] 的
[3772.34-3773.34] 的
[3773.34-3774.34] 的
[3774.34-3775.34] 的
[3775.34-3776.34] 的
[3776.34-3777.34] 的
[3777.34-3778.34] 的
[3778.34-3779.34] 的
[3779.34-3780.34] 的
[3780.34-3781.34] 的
[3781.34-3782.34] 的
[3782.34-3783.34] 的
[3783.34-3784.34] 的
[3784.34-3785.34] 的
[3785.34-3786.34] 的
[3786.34-3787.34] 的
[3787.34-3788.34] 的
[3788.34-3789.34] 的
[3789.34-3790.34] 的
[3790.34-3791.34] 的
[3791.34-3792.34] 的
[3792.34-3796.14] 那
[3796.14-3797.34] 那
[3797.34-3798.34] 那
[3798.34-3799.34] Wolf
[3799.34-3799.98] 就
[3805.50-3806.54] 他oss整个握了。
[3806.54-3806.94] 他
[3806.94-3807.34] 当然是
[3807.34-3808.34] 手 gravy
[3808.34-3809.34] 腿
[3809.34-3810.34] 我
[3810.34-3811.22] 是
[3812.22-3812.74] ilippine
[3812.74-3813.34] social
[3814.34-3816.34] 对
[3816.34-3817.10] ינו
[3817.10-3817.54] 这
[3817.54-3817.74] omat
[3818.02-3818.42] ricci
[3818.42-3819.06] 流
[3819.06-3819.34] 吹
[3819.34-3819.90] 你
[3819.90-3820.18] 点
[3820.18-3820.34] 点
[3820.34-3821.14] 一直
[3821.14-3821.46] 我
[3821.46-3822.14] 以
[3822.14-3829.54] 但是你只有這裡出去說去年後來後來下半年開始其實都沒有
[3829.54-3830.54] 都是
[3830.54-3831.54] 我們
[3831.54-3832.54] 我們
[3832.54-3833.54] 他們做起來
[3833.54-3834.54] 就確認他們
[3834.54-3835.54] 另外
[3835.54-3836.54] 比較
[3836.54-3837.54] 不是
[3837.54-3838.54] 這些加盟組織是連鎖店
[3838.54-3839.54] 他們的店其實其實有相當的標準
[3839.54-3840.54] 其實
[3840.54-3841.54] 就是
[3841.54-3842.54] 就是
[3842.54-3843.54] 就是
[3843.54-3844.54] 就是
[3844.54-3845.54] 就是
[3845.54-3846.54] 就是
[3846.54-3847.54] 就是
[3847.54-3848.54] 就是
[3848.54-3849.54] 就是
[3849.54-3850.54] 就是
[3850.54-3851.54] 就是
[3851.54-3853.54] 就
[3853.54-3854.54] 就是
[3872.54-3873.66] 怎麼
[3873.66-3874.74] 的
[3874.74-3875.64] 現在
[3876.46-3878.46] disadvantage
[3878.50-3879.50] 其實
[3879.50-3880.50] 家
[3880.50-3881.54] 家
[3881.54-3883.54] 在前面的码头
[3883.54-3885.54] 是这样的
[3887.54-3889.54] 谢谢
[3889.54-3891.54] 感谢
[3891.54-3893.54] 感谢
[3893.54-3895.54] 感谢
[3895.54-3897.54] 感谢
[3897.54-3899.54] 感谢
[3899.54-3901.54] 感谢
[3901.54-3903.54] 感谢
