[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 订阅 转发 打赏支持明镜与点点栏目
[60.00-89.98] 订阅 转发 打赏支持明镜与点点栏目
[90.00-119.98] 订阅 转发 打赏支持明镜与点点栏目
[120.00-149.98] 订阅 转发 打赏支持明镜与点点栏目
[150.00-179.98] 订阅 转发 打赏支持明镜与点点栏目
[180.00-209.98] 订阅 转发 打赏支持明镜与点点栏目
[210.00-212.00] 订阅 转发 打赏支持明镜与点点栏目
[212.00-216.00] 订阅 转发 打赏支持明镜与点点栏目
[216.00-220.00] 订阅 转发 打赏支持明椿izing 后期股段
[220.00-226.04] 订阅 转发 打赏支持明镜与点点栏目
[226.04-229.80] 订阅 转发 打赏支持明镜与点点栏目
[229.80-233.92] 订阅 转发 打赏支持明镜与点点栏目
[233.92-237.00] 订阅 转发 打赏支持明�Type 人和愛美社区
[237.00-237.90] 订阅 转发 打赏支持明镜与点点栏目
[237.90-242.04] 在前瞻法規創下了歷史新高的一個局面
[3037.28-3041.28] 所以我不仅是资产增加的快
[3041.28-3043.28] 我净值增加的也很快
[3043.28-3045.28] 所以我的
[3045.28-3047.28] 我的自由资本比率都没有改
[3047.28-3049.28] 没有很大的波动
[3049.28-3051.28] 这个
[3051.28-3053.28] 这个应该没错
[3053.28-3055.28] 我应该是全国保险公司里面
[3055.28-3057.28] 自由资本比率最高的一家
[3057.28-3059.28] 接近一半
[3059.28-3063.28] 这是我们的这个自由资本比率
[3063.28-3065.28] 大约才是横向
[3065.28-3067.28] 另外一个是我们的
[3067.28-3069.28] 就是我最常提的RBC
[3069.28-3073.28] 我们公司也是全国RBC最高的
[3073.28-3076.28] 那时候之前还到1000
[3076.28-3079.28] 再介绍一下
[3079.28-3082.28] 这边掉到681就是房地产的影响
[3082.28-3084.28] 房地产1000
[3084.28-3085.28] 我们又跳到1000块
[3085.28-3087.28] 又跳到1000
[3087.28-3088.28] 那746
[3088.28-3089.28] 这个就是我们刚刚讲的
[3089.28-3091.28] 债宝太贵
[3091.28-3093.28] 我不想买那么贵
[3093.28-3095.28] 所以我把我的债宝几额买小一点
[3095.28-3097.28] 那它就寄贴了
[3097.28-3099.28] 然后我自己的风险资本就会变大
[3099.28-3101.28] 就会抵扣到我的RBC
[3101.28-3105.28] 这个掉下来就跟那个无关
[3105.28-3106.28] 跟业务选择无关
[3106.28-3109.28] 那个就是政府寄贴RBC的标准
[3109.28-3110.28] 即使是这样
[3110.28-3112.28] 我相信我们的RBC在同业里面
[3112.28-3114.28] 应该还是数一数二
[3114.28-3116.28] 所以说这第一个
[3116.28-3119.28] 我刚讲我们的自由资本比率高
[3119.28-3122.28] 我们的股本最大
[3122.28-3124.28] 然后不减
[3124.28-3127.28] 自由资本又比较高
[3127.28-3129.28] 然后现金也不为你多
[3129.28-3131.28] 然后我的资产又干净
[3131.28-3136.28] 就是没有放在很高风险的这个投资资产里面
[3136.28-3143.28] 那这都会成就在我的这个RBC的一个计算范围内
[3147.28-3148.28] OK
[3148.28-3151.28] 好 以上是我的报告
