[0.00-11.26] 大家好
[3256.90-3258.90] 其实很多都是针对这个SR
[3258.90-3259.90] 那我可以请教一下
[3259.90-3262.90] 就是说我们未来产能扩充的规模
[3262.90-3264.90] 大概会从怎么样的数字
[3264.90-3266.90] 变到怎么样
[3266.90-3268.90] 或是这个幅度的一个概念
[3268.90-3270.90] 那以及每一阶段扩充时间点
[3270.90-3273.90] 大概会扩多少的%数
[3277.90-3278.90] 这是一个
[3278.90-3279.90] OK
[3279.90-3281.90] 以面积来讲
[3281.90-3282.90] 你可以看到
[3282.90-3284.90] 做AI的东西
[3284.90-3287.90] 或者是做HDI的信息版厂
[3287.90-3290.90] 很少他会去谈到产能
[3290.90-3293.90] 所以你看到我们在过去的几年
[3293.90-3295.90] 我们越来越少谈到产能
[3295.90-3299.90] 是因为不管是HDI或者是AI相关的东西
[3299.90-3302.90] 它的层数是高的
[3302.90-3304.90] 变化是大的
[3304.90-3307.90] 然后它的制程来讲也比起来的复杂
[3307.90-3308.90] 所以在这一面来讲
[3308.90-3311.90] 很难单独的从面积
[3311.90-3314.90] 或者是你可以做到多少来看
[3314.90-3316.90] 因为尤其客人端的设计
[3316.90-3317.90] 这样的叠构
[3317.90-3319.90] 这样的复杂的流程
[3319.90-3323.90] 所以你也许不是从第一站到最后一站
[3323.90-3325.90] 都是对等的产能
[3325.90-3327.90] 这就是所谓的产能弊根
[3327.90-3328.90] 实际上它是有变化
[3328.90-3329.90] 所以有的时候
[3329.90-3332.90] 某些客人他特殊的设计
[3332.90-3335.90] 会使得我们的产出会受限
[3335.90-3338.90] 所以我们应该来讲说
[3338.90-3340.90] 在我们的想法里面来讲
[3340.90-3342.90] PCB的想法里面来讲
[3342.90-3345.90] 我们就是把我们的工厂的flow space
[3345.90-3348.90] 尽可能的把它atomize
[3348.90-3349.90] 把它融化
[3349.90-3351.90] 装进越多
[3351.90-3353.90] 可能会有
[3353.90-3355.90] 瓶颈的制程
[3355.90-3357.90] 那我自己说产能产值
[3357.90-3359.90] 这个完全跟客人的设计
[3359.90-3361.90] 有很大的关系
[3361.90-3362.90] 但是不管怎么样
[3362.90-3364.90] 我们的货厂都是朝向
[3364.90-3369.90] 营收增加的目标去执行的
[3371.90-3374.90] 那慢慢在最后一位
[3374.90-3376.90] 事件的关系中
[3376.90-3385.90] 还是一个 warriors
[3385.90-3396.90] 是如何给予的攻击是
[3396.90-3398.90] 他们这个人为什么需要
[3398.90-3399.90] 这么多点劲来把我们的
[3399.90-3400.90] 厂家的成分
[3400.90-3406.10] 就是 раньше的
[3406.10-3406.90] 东西
[3406.90-3410.90] 所以我們沒有辦法透露我們的後腹的數字
