[0.00-6.66] 大家早安
[2942.64-2944.64] 來安排
[2944.64-2946.64] 那我們當然會有我們的建議
[2946.64-2948.64] 所以我剛剛說其實會連
[2948.64-2950.64] 印度印尼都一起動到嘛
[2950.64-2952.64] 不見得
[2952.64-2954.64] 我們的
[2954.64-2956.64] 我們自己在我們的聯報也是寫嘛
[2956.64-2958.64] 印度也是漸漸要建立中階鞋型的
[2958.64-2960.64] 難度的
[2960.64-2962.64] 所以這些
[2962.64-2964.64] 也會考慮印度才會可以
[2964.64-2966.64] 承接的鞋子
[2966.64-2968.64] 我只是說
[2968.64-2970.64] 這個討論當中
[2970.64-2972.64] 確實沒有把越南46%
[2972.64-2974.64] 當作一個最大的判斷
[2974.64-2976.64] 因為實際上絕大部分的鞋子
[2976.64-2978.64] 都在越南
[2978.64-2980.64] 都是在越南生產的
[2980.64-2982.64] 那依照品牌商的話
[2982.64-2984.64] 他會不會說以後啊
[2984.64-2986.64] 就像特朗普一樣的想法
[2986.64-2988.64] 說啊我這個鞋子要
[2988.64-2990.64] 例如有沒有可能
[2990.64-2992.64] 自動化還有沒有可能搬
[2992.64-2994.64] 你亞洲區
[2994.64-2996.64] 來到了墨西哥啊
[2996.64-2998.64] 或者是哪裡去生產的
[2998.64-3000.64] 這種議題
[3000.64-3002.64] 品牌商有考慮嗎
[3004.64-3006.64] 你剛剛講有沒有搬到墨西哥
[3006.64-3008.64] 這個Nike在
[3008.64-3010.64] Hobie之前
[3010.64-3012.64] 幾年開始
[3012.64-3014.64] Nike曾經跟偉創立
[3014.64-3016.64] 這幾年而已
[3016.64-3018.64] 跟偉創立在墨西哥有
[3018.64-3020.64] 設一個要做鞋子自動化的
[3020.64-3022.64] 工廠
[3022.64-3024.64] 那時候其實風他還幫了很多忙
[3024.64-3026.64] 我們提供技術的
[3026.64-3028.64] 技術的
[3028.64-3030.64] 技術的那裡的資源
[3030.64-3032.64] 那可是我忘記
[3032.64-3034.64] 具體是繞了幾年
[3034.64-3036.64] 最後是宣告
[3036.64-3038.64] 失敗了
[3038.64-3040.64] 最後是Nike直接在
[3040.64-3042.64] 這個在媒體上就說
[3042.64-3044.64] 這個這個這個
[3044.64-3046.64] 這個案子是close
[3046.64-3048.64] 是沒有成功的這樣子
[3048.64-3050.64] 那所以品牌商應該都知道
[3050.64-3052.64] 呃
[3052.64-3054.64] 這個
[3054.64-3056.64] 跑到墨西哥設廠應該是非常難
[3056.64-3058.64] 因為現在連到印度設廠
[3058.64-3060.64] 這個供應鏈都很難
[3060.64-3062.64] 很難串起來
[3062.64-3064.64] 因為沒有材料廠商在印度嘛
[3064.64-3066.64] 那何況是在墨西哥
[3066.64-3068.64] 所以
[3068.64-3070.64] 那所以我想
[3070.64-3072.64] 最後應該還是供應鏈
[3072.64-3074.64] 以
[3074.64-3076.64] 以協業來說啦應該還是說
[3076.64-3078.64] 不要供應鏈能不能支持
[3078.64-3080.64] 然後
[3080.64-3082.64] 還有勞工勞工的
[3082.64-3084.64] 他還是蠻需要
[3084.64-3086.64] 大量勞工的一個產業
[3086.64-3088.64] 對可是依照
[3088.64-3090.64] 美國的一個關稅的一個想法
[3090.64-3092.64] 裡面他們也有要求
[3092.64-3094.64] 就是說
[3094.64-3096.64] just in case你非得在越南生產
[3096.64-3098.64] 可是呢你有一些
[3098.64-3100.64] 供應鏈的部分
[3100.64-3102.64] 不可以一直從中國嘛
[3102.64-3104.64] 那目前的話公司接收到的
[3104.64-3106.64] 訊息還有就是
[3106.64-3108.64] 呃 印的方式是什麼
[3110.64-3112.64] 基本上我很多材料廠商
[3112.64-3114.64] 都是在越南跟印度
[3114.64-3116.64] 他都有有辦法公佈
[3116.64-3118.64] 所以他不
[3118.64-3120.64] 我沒有比率啦我只是說
[3120.64-3122.64] 不太會
[3122.64-3124.64] 我們現在從中國來這個中國的材料
[3124.64-3126.64] 佔比大概多少
[3126.64-3128.64] 嗯我呃
[3128.64-3130.64] 我記得這個佔比喔
[3130.64-3132.64] 不過他因此影響到
[3132.64-3134.64] 生產的
[3134.64-3136.64] 部分是會有限
[3136.64-3138.64] 因為中國的材料
[3138.64-3140.64] 因為只有某一些特殊的東西是要中國的
[3140.64-3142.64] 中國來生產
[3142.64-3144.64] 所以是有限
[3144.64-3146.64] 因為很多材料供應商
[3146.64-3148.64] 他在越南跟印度都已經有生產
[3148.64-3150.64] 不過
[3150.64-3152.64] 不過確實有一些是
[3152.64-3154.64] 是limity在中國生產
[3154.64-3156.64] 只是我沒有我不太記得
[3156.64-3158.64] 他的佔比是多少
[3158.64-3160.64] 那些東西一定要中國生產
[3160.64-3162.64] 嗯
[3164.64-3166.64] 我沒有記得
[3166.64-3168.64] 比較具體的材料
[3168.64-3170.64] 不過我所知道的像
[3170.64-3172.64] 確實啦
[3172.64-3174.64] 這個鞋面他
[3174.64-3176.64] 應該主要的供應就是在中國的
[3176.64-3178.64] 生產的地方
[3178.64-3180.64] 對不過這裡我沒有update
[3180.64-3182.64] 我並沒有一個資訊
[3182.64-3184.64] update就是一個資訊啦
[3184.64-3186.64] 這個部分的處理
[3186.64-3188.64] 嗯
[3188.64-3190.64] 嗯
[3190.64-3208.64] 是
[3208.64-3210.64] 恩
[3210.64-3212.64] 籃球鞋跟
[3212.64-3214.64] 我會把籃球鞋跟桌子
[3214.64-3216.64] 可能不可以給放在一起
[3216.64-3218.64] 然後呢放一起看
[3218.64-3223.64] 所以JODAN也有很多是休閒用的
[3223.64-3225.64] 不過我把這兩個放在其他
[3225.64-3227.64] 那這兩個占比
[3227.64-3230.64] 我也不方便說明確的占比
[3230.64-3234.64] 只是說它算是蠻大的占比
[3234.64-3236.64] 沒有到五成啦 不可能到五成
[3236.64-3238.64] 只是說它也是蠻重要的占比
[3238.64-3244.64] 那這幾年它確實是我們Focus的重點
[3244.64-3248.64] 也是我們比較能夠展現我們的開發能力的部分
[3248.64-3251.64] 所以應該說更能展現我們開發能力的部分
[3251.64-3256.64] 所以會是我們藍球鞋跟JODAN
[3256.64-3260.64] 都是我們主要的 主要都是的系列
[3266.64-3270.64] 我打鼓了有五萬公司
[3270.64-3272.64] 第一名
[3272.64-3274.64] 第一名
[3274.64-3276.64] 銀售比重
[3276.64-3277.64] 銀售比重
[3277.64-3279.64] 蕭美銀售比重
[3279.64-3281.64] 蕭美的銀售比
[3281.64-3285.64] 我們蕭美的銀售比重應該有接近四成
[3285.64-3287.64] 大概四成左右上下
[3287.64-3293.64] 好像跟Nike它自己的市場的銷售區間有類似
[3297.64-3301.64] 有提問SOLARMAN金米有木管收占比嗎
[3303.64-3304.64] 金米
[3304.64-3307.64] 銀售占比我就不方便講目標了
[3307.64-3310.64] 只是說我們去年是6%
[3310.64-3314.64] 那我們今天預計是有一些雙位數會上漲
[3318.64-3320.64] 好 謝謝JODAN
[3324.64-3327.64] JODAN有同學提問
[3327.64-3333.64] 請問公泰二五年第一季直接員工數目YY約當多少
[3333.64-3337.64] 然後今年下半年是否還有新增員的計劃
[3337.64-3343.64] 剛剛是問員工人數YY
[3343.64-3345.64] 我 對
[3345.64-3346.64] OK
[3346.64-3349.64] 不好意思因為我沒有計數員工人數
[3349.64-3352.64] 不過基本上應該是
[3354.64-3356.64] 應該是降低的
[3356.64-3361.64] 因為我們從2024年剛剛我講過我沒有一次性Layoff員工嘛
[3361.64-3362.64] 所以我們是
[3362.64-3364.64] 用自然流
[3364.64-3367.64] 就是自然的離子率
[3367.64-3369.64] 那離子我們就一確不比
[3369.64-3371.64] 我就沒有補嘛
[3371.64-3378.64] 就是讓流失率來讓這個人力跟生產可以配合
[3378.64-3383.64] 所以應該人數是應該是沒有增加
[3383.64-3388.64] 但是我沒有去提是多少的百分比
[3388.64-3390.64] 不好意思
[3390.64-3396.64] 好 那請問今年下半年還有增員的計劃嗎
[3396.64-3401.64] 不好意思 請你再講一次你的問題
[3401.64-3405.64] 今年下半年會有增員的計劃嗎
[3405.64-3410.64] 我們除了在新廠的
[3410.64-3412.64] 就是2024有兩個新廠
[3412.64-3414.64] 它今年還是繼續有擴限
[3414.64-3417.64] 就是一個易度的新廠一個遠遠的新廠
[3417.64-3419.64] 在這兩個工廠還會
[3419.64-3422.64] 因為擴限會增加人員嘛
[3422.64-3427.64] 那但不過這個這部分的擴限
[3427.64-3432.64] 我覺得其實也是不會很快啦
[3432.64-3436.64] 所以除了在這兩個廠有增加其他的我們不會
[3436.64-3440.64] 基本上我們就是預卻不足啦
[3440.64-3442.64] 這樣子
[3442.64-3445.64] 好 謝謝主委
[3445.64-3446.64] 謝謝主委
[3449.64-3452.64] 謝謝
[3452.64-3454.64] 我之前進過還有提問的話
[3454.64-3456.64] 請把握時間 謝謝
[3479.64-3486.64] 好的 如果沒有提問的話
[3486.64-3487.64] 提問
[3487.64-3489.64] 你好
[3489.64-3494.64] 已經沒有投資先進做提問了
[3494.64-3496.64] 有有有
[3496.64-3501.64] 請問Nike有提到關稅會以提高消費售價
[3501.64-3504.64] 因而引退我們提高代工
[3504.64-3507.64] 我們會提高代工價格嗎
[3507.64-3508.64] 謝謝
[3509.64-3511.64] 嗯
[3511.64-3512.64] 應該是不會啦
[3512.64-3513.64] 應該是不會
[3513.64-3516.64] 因為這個應該是
[3516.64-3517.64] 對其實是不會
[3517.64-3520.64] 因為我剛剛有講說我們在年度
[3520.64-3523.64] 我們在這個這個議價的機制
[3523.64-3527.64] 其實我們會去一起討論說
[3527.64-3532.64] 怎麼去大家一起去分攤這部分的不同的成本嘛
[3532.64-3534.64] 那所以
[3534.64-3538.64] 所以這裡也應該不會因此去提高我們的
[3538.64-3540.64] 對客戶的售價
[3545.64-3546.64] 好 謝謝
[3568.64-3571.64] 好的
[3571.64-3572.64] 好的
[3572.64-3573.64] felicia
[3573.64-3574.64] 對
[3574.64-3575.64] 好的
[3575.64-3576.64] 謝謝
[3576.64-3577.64] 謝謝
[3577.64-3578.64] 謝謝
[3578.64-3579.64] 謝謝
[3579.64-3580.64] 謝謝
[3580.64-3581.64] 謝謝
[3581.64-3582.64] 謝謝
[3582.64-3583.64] 謝謝
[3583.64-3584.64] 謝謝
[3584.64-3585.64] 謝謝
[3585.64-3586.64] 好的
[3586.64-3589.64] 如果沒有投查人提問的話
[3589.64-3591.64] 我們都會投資先進的提問
[3591.64-3595.64] 那今天公派企業股份有限公司
[3595.64-3598.64] 線上訪人說明會將票提到一段落
[3598.64-3603.34] 我們再次感謝徐方維主任特別跟大家做交流
[3603.34-3605.84] 也謝謝各位先進的談語
[3605.84-3606.84] 謝謝
[3607.84-3609.34] 謝謝各位 謝謝
[3609.34-3610.74] 謝謝主任
[3610.74-3611.74] 拜拜
[3612.14-3613.34] 拜拜
