[0.00-4.24] 好,今日歡迎各位參加凱基證券與IR Trust的
[4.24-8.00] 舉辦2025世界新經濟秩序趨勢論壇
[3098.74-3101.74] 新的生產基地還有配合客戶的動作
[3101.74-3103.74] 就是我們稍早就有規劃的
[3103.74-3107.74] 有沒有哪些新的動作是最新的動作
[3107.74-3111.74] 是因應川普新關稅然後才做的
[3111.74-3112.74] 應該這樣子講
[3112.74-3115.74] 其實川普要選第二任的時候
[3115.74-3116.74] 我們就已經擔心
[3116.74-3119.74] 因為第一他的川普0.1的時候
[3119.74-3121.74] 我們就吃了很大的虧
[3121.74-3124.74] 就是我講吃很大的虧的原因就是因為
[3124.74-3127.74] 我本來當時他沒當選之前我的規劃是北美
[3127.74-3129.74] 我除了成立廣泰之外
[3129.74-3132.74] 我單獨從中國運到北美的
[3132.74-3135.74] 我應該會從3000萬美金的年餘額
[3135.74-3137.74] 衝到5000萬以上
[3137.74-3139.74] 那個時候如果他第一任不當選的話
[3139.74-3142.74] 我相信到現在為止沒有發生這個事情的話
[3142.74-3147.74] 我北美的出口量應該5000萬美金是最低額的
[3147.74-3148.74] 寶額的
[3148.74-3149.74] 我當時是認為
[3149.74-3153.74] 但沒想到這個1.0他來的時候就真的確實重傷
[3153.74-3157.74] 但是我們雖然有受到受傷的情況
[3157.74-3159.74] 但是我們運氣也蠻好的
[3159.74-3162.74] 我們沒有落到那個加25%的關稅
[3162.74-3167.74] 我們反而是落到這個14要扣一般就是7加5
[3167.74-3168.74] 5點多的關稅
[3168.74-3172.74] 所以我們一直以來我們出口北美都是保持在12點多
[3172.74-3174.74] 將近13的關稅
[3174.74-3176.74] 在這樣的13的關稅裡面
[3176.74-3179.74] 我們還一直保持著當將近30幾%的毛利
[3179.74-3181.74] 這也是因為為什麼就是說
[3181.74-3185.74] 中國的車市卷是因為車出的多
[3185.74-3186.74] 車款出的多
[3186.74-3187.74] 變化不足
[3187.74-3188.74] 車款出的多變化
[3188.74-3189.74] 你要跟得上
[3189.74-3192.74] 反而美國這幾年從疫情之後
[3192.74-3196.74] 所有的車廠他的這個量有在增加
[3196.74-3199.74] 但是他的新車型並沒有開發那麼快
[3199.74-3200.74] 我舉個例子
[3200.74-3203.74] 像我現在還在做的這個大切若幾
[3203.74-3204.74] 就是格倫切拉皮
[3204.74-3208.74] 這個是2009年我們開始量產的
[3208.74-3211.74] 他到後來這個model一直都沒有大改換
[3211.74-3213.74] 都是小改小改小改
[3213.74-3216.74] 甚至於我現在做出口的
[3216.74-3218.74] 克萊斯勒的車型
[3218.74-3222.74] 最新拿到的項目量產還在三年前
[3222.74-3229.74] 但這些車現在他們美國還是決定要把它延長到2029年到2030年
[3229.74-3231.74] 只做小開款
[3231.74-3234.74] 所以我們現在手上這幾套模具
[3234.74-3238.74] 基本上那些模具都每一套都用了100萬磨尺以上
[3238.74-3243.74] 所以其實反而我們做北美的這些部分反而就更穩定
[3243.74-3245.74] 而且這個毛利又高
[3245.74-3248.74] 所以說這個關稅的影響
[3248.74-3254.74] 其實我們很早那時候的準備包含穆辛格買土地這一塊
[3254.74-3259.74] 都是為了以後這個北美獨立市場在做準備
[3259.74-3260.74] 是這樣子
[3260.74-3262.74] 在美國社廠的話
[3262.74-3266.74] 你可以評估一下在美國勞動力成本的上升
[3266.74-3268.74] 7倍
[3268.74-3270.74] 這是我最近算出來的
[3270.74-3273.74] 很多人都以為是3倍4倍
[3273.74-3274.74] 您可以試試看
[3274.74-3276.74] 你把勞動力成本來算
[3276.74-3280.74] 就是說我們公司要付出的來講至少7倍你跑不掉
[3280.74-3287.74] 所以我們從來沒有思考到說要在北美設所謂的製造工廠
[3287.74-3289.74] 組裝工廠是可以設的
[3289.74-3290.74] 為什麼
[3290.74-3292.74] 因為組裝工廠我可以利用自動化
[3292.74-3298.74] 昨天我跟瑞去拜訪另外一個有提到說最近台灣重傷很重的這個螺絲業者
[3298.74-3301.74] 他們在美國已經有了工廠
[3301.74-3303.74] 那我們只有一個建議就是
[3304.74-3306.74] 高附加自動化
[3306.74-3308.74] 整個工廠不要超過200人
[3308.74-3310.74] 你只能這樣子做而已
[3310.74-3312.74] 要不然的話你工會成立了
[3312.74-3314.74] 再加上你的員工勞工多了
[3314.74-3316.74] 尤其美國那邊是很麻煩的
[3316.74-3318.74] 美國只有一樣我覺得非常好的就是
[3318.74-3320.74] 裁人很方便
[3320.74-3323.74] 裁人你不用給他一年一個月啊
[3323.74-3325.74] 這種亂七八糟的
[3325.74-3326.74] 為什麼
[3326.74-3328.74] 因為美國的福利是他們有事業救濟金
[3328.74-3331.74] 如果資方不簽那個是我把你裁掉的
[3331.74-3333.74] 他領不到這個救濟金
[3334.74-3339.74] 所以我們在北美的辦公室如果今天要辭掉一名員工
[3339.74-3343.74] 給他兩個禮拜到三個禮拜的工資就差不多了
[3343.74-3344.74] 好一點就給他一個月
[3344.74-3346.74] 讓他去找工作
[3346.74-3349.74] 他最重要的就是要拿到你手上來一張
[3349.74-3351.74] 但是工會是很兇的嘛
[3351.74-3352.74] 對啊
[3352.74-3353.74] 所以說
[3353.74-3355.74] 你說到北美成立工廠
[3355.74-3358.74] 其實如果你需要的動力越多
[3358.74-3360.74] 你會很頭痛
[3360.74-3361.74] 非常頭痛
[3361.74-3363.74] 台積電就是一個例子啊
[3363.74-3365.74] 但是你自動化又太高
[3365.74-3367.74] 你也很頭痛
[3367.74-3369.74] 當地的人會來跟你抗議
[3369.74-3371.74] 你剝奪他們的工作權
[3371.74-3372.74] 也很麻煩
[3372.74-3376.74] 因為麥當勞曾經不知道在哪個中
[3376.74-3379.74] 有一個示範工廠就是全部都沒人
[3379.74-3383.74] 只有幕後有兩個工程師在操作著無人的電
[3383.74-3387.74] 開不到兩個禮拜這個當地的這個就來抗議
[3387.74-3390.74] 所以你剝奪他們的工作權
[3390.74-3392.74] 所以那個電又關掉了
[3393.74-3397.74] 所以以我們長期在北美的經驗是很痛苦
[3397.74-3399.74] 墨西哥也很痛苦
[3399.74-3400.74] 但是也比他好多了
[3400.74-3403.74] 因為墨西哥是墨西哥的勞動力
[3403.74-3409.74] 原來大家都認為墨西哥的勞動力是中國的大概70%左右
[3409.74-3411.74] 我現在可以告訴大家一半
[3411.74-3412.74] 為什麼
[3412.74-3417.74] 尤其是你們的能工需要一些有技術型的工種
[3417.74-3420.74] 那個是絕對是很痛苦的
[3420.74-3421.74] 為什麼
[3421.74-3422.74] 通常他們
[3422.74-3424.74] 今天教教會了明天他又不會了
[3424.74-3426.74] 而且是大學生
[3426.74-3431.74] 因為墨西哥優秀的他們的志向就是要到美國去
[3431.74-3436.74] 那變相的以後留在墨西哥的一些大學畢業生還留著的
[3436.74-3438.74] 他的薪資不會比美國少
[3438.74-3440.74] 美國的這種工程師少
[3440.74-3442.74] 但是能力確實差很多
[3442.74-3445.74] 所以你看到墨西哥設工廠的
[3445.74-3447.74] 不管是台商也好
[3447.74-3449.74] 大陸的廠商也好
[3449.74-3452.74] 他們工廠裡一定有一大堆的這個大陸人跟台灣人
[3452.74-3454.74] 那日本公司也是一樣
[3454.74-3455.74] 要派很多
[3455.74-3456.74] 甚至派工人過去
[3456.74-3459.74] 我們的客戶叫和熙的就在我們對面
[3459.74-3462.74] 他裡面定期有50個日本派來的工種
[3462.74-3466.74] 在每個部門裡面都要有日本人在那邊
[3466.74-3469.74] 所以墨西哥大家都要去
[3469.74-3470.74] 而且是必須要去
[3470.74-3473.74] 但是一去的時候一開始都會很痛苦
[3473.74-3476.74] 你要撐過這三年
[3476.74-3478.74] 你要習慣他們的一個做法以後
[3478.74-3480.74] 你才會比較看到
[3480.74-3481.74] 對
[3482.74-3484.74] 我們在美國是設組裝廠的
[3484.74-3489.74] 我們07年就在美國成立了一家公司
[3489.74-3492.74] 裡面是有所有的倉庫還有物流
[3492.74-3496.74] 還有我們的這個項目管理跟質量都在那裡
[3496.74-3499.74] 只是沒有生產工廠
[3499.74-3503.74] 後來我們把一些組裝的就擺進到那個公司裡面去
[3503.74-3506.74] 例如要裝氛圍燈啊什麼都在那邊做
[3506.74-3508.74] 那我現在的想法是
[3508.74-3512.74] 美國我要盡量就是說不以重型設備在那裡
[3512.74-3514.74] 除非你的這個利潤好
[3514.74-3520.74] 要不然其實我們美國在底特律是周圍有很多美國人開的這個成型工廠
[3520.74-3523.74] 我去年去參觀過的大概七八家吧
[3523.74-3527.74] 他們都是屬於一間公司裡面大概就是五六台成型機
[3527.74-3531.74] 老外就是美國人都是那種工程師在操作的
[3531.74-3534.74] 所以那些資源其實都可以用起來
[3534.74-3538.74] 所以有了墨西哥我們擴大的生產基地
[3538.74-3540.74] 再加上如果必須到美國的話
[3540.74-3541.74] 那我的組裝
[3541.74-3544.74] 因為我有很多的組裝的東西
[3544.74-3546.74] 甚至於極光雕刻的東西
[3546.74-3549.74] 這些的話不需要用到大量的人力
[3549.74-3552.74] 我就可以考慮在我們北美公司那邊去做
[3552.74-3555.74] 所以現在的做法是比較彈性的
[3555.74-3559.74] 但是首先你必須要看這個川普這一波
[3559.74-3562.74] 到底他會到了一個什麼樣的結果
[3562.74-3564.74] 對其實我認為他現在也很痛苦
[3564.74-3568.74] 因為現在這兩個禮拜我們基本上每天開會啊
[3568.74-3571.74] 就跟北美的這個Gordon這邊就是那邊狀況
[3571.74-3572.74] 怎麼樣
[3572.74-3573.74] 那邊狀況怎麼樣
[3573.74-3575.74] 其實他受的壓力也很大
[3575.74-3578.74] 對因為你像這些車廠也照樣的抗議啊
[3578.74-3579.74] 照樣給你停工啊
[3579.74-3581.74] 一停工這些員工就沒事幹了
[3581.74-3584.74] 沒事幹了反正就上街頭吧
[3584.74-3586.74] 要不然就到Costco去搶東西嘛
[3586.74-3587.74] 對啊
[3587.74-3589.74] 就差不多就是這樣子一個情況
[3589.74-3590.74] 對
[3592.74-3595.74] 剛剛的表達到你們的墨西哥廠是用美加
[3595.74-3598.74] 是用美加墨的系列關稅莫名
[3598.74-3600.74] 那是不是關稅是零
[3600.74-3601.74] 是零
[3601.74-3603.74] 那你剛剛有提到那怎麼7加3是
[3603.74-3605.74] 那是哪個系列
[3605.74-3607.74] 13%的
[3607.74-3608.74] 5加7的
[3608.74-3611.74] 那個5加7那個是從中國過去啊
[3611.74-3617.74] 美加墨的這個協定也是這個川普在1.0的時候他簽的嘛
[3617.74-3621.74] 他們總共討論了兩年最後才美加墨這個定下來啦
[3621.74-3625.74] 原來他這個為什麼我說川普吸不過就這樣
[3625.74-3630.74] 他原來東吼西吼就是非要給加拿大跟墨西哥25%25%
[3630.74-3633.74] 一直喊要用延期延期
[3633.74-3637.74] 然後呢這一次對等關稅出來的時候就補了一句嘛
[3637.74-3642.74] 美加墨的這個這個協定要做到26年底完嗎
[3642.74-3645.74] 就是協定的期限到了再來談嘛
[3645.74-3649.74] 但是整車25%還是生效的
[3649.74-3653.74] 金屬鋼鐵25%也是生效的
[3653.74-3656.74] 加拿大最反對的一點就是金屬
[3656.74-3659.74] 因為加拿大那邊是大量的這個金屬跟鋁
[3659.74-3665.74] 是從加拿大進到這個美國來的
[3665.74-3667.74] 所以加拿大對這個非常的反感
[3667.74-3674.74] 那墨西哥的整車25%其實沒有打到那個日系的車廠
[3674.74-3677.74] 反而打到北美三大
[3677.74-3679.74] 福特、同盟跟克萊斯勒
[3679.74-3682.74] 因為墨西哥跟加拿大有很多他們的總裝廠
[3682.74-3685.74] 而且他沒有分豪車或不豪車
[3685.74-3688.74] 連F150那麼大量的車在墨西哥也有總裝廠啊
[3689.74-3692.74] 所以對他來講他是打到自己的
[3692.74-3695.74] 所以後來他們現在才有一個就是說
[3695.74-3701.74] 後來在禮拜六晚上不是他們宣布了一個20%的美國價值嗎
[3701.74-3705.74] 當時的解讀是說是為了要把蘋果手機找一個出口
[3705.74-3709.74] 要不然如果這樣子稅率一加的話蘋果手機進不了美國啦
[3709.74-3713.74] 對那美國價值是有形跟無形的價值都可以算啦
[3713.74-3717.74] 簡單的講就是你提出申請他來批就對了啦
[3717.74-3719.74] 那美國的價值是有形跟無形的價值都可以算啦
[3719.74-3723.74] 那美國的價值在蘋果手機裡面例如他的這個軟件
[3723.74-3727.74] 例如他的設計例如他的這些都是在美國完成的
[3727.74-3729.74] 這就是美國價值
[3729.74-3733.74] 那這個價值能不能佔你的這個整體銷售的20%
[3733.74-3735.74] 我想很好邊吧
[3735.74-3737.74] 裡面軟件賺錢
[3737.74-3739.74] 那我們的話就剛好相反是什麼
[3739.74-3743.74] 我們實實在在的就是我一個售價
[3743.74-3747.74] 我的材料成本就大概佔了我大概30%到40%啦
[3747.74-3753.74] 那我的材料從三年前我們就已經不從中國買材料
[3753.74-3755.74] 不從亞洲買材料
[3755.74-3757.74] 我們就跟當地的美國的買材料
[3757.74-3761.74] 包括是塗料還有是膠料
[3761.74-3763.74] 那我們為什麼會這樣做呢
[3763.74-3765.74] 也是一樣的啦
[3765.74-3767.74] 因為中國很多塗料廠膠料廠也跑到美國設廠啦
[3767.74-3769.74] 最大的就像金發
[3769.74-3771.74] 金發在德州就有工廠啦
[3771.74-3773.74] 那普利特也有工廠啦
[3773.74-3775.74] 那塗料就更不用講了
[3775.74-3777.74] 本來這些都是Global用的塗料嘛
[3777.74-3779.74] 所以現在回過來看
[3779.74-3781.74] 廣泰用的材料90%都是美國
[3781.74-3783.74] 不是墨西哥生產的喔
[3783.74-3785.74] 是美國生產的
[3785.74-3789.74] 所以我不知道兩三年前大概有什麼印象
[3789.74-3791.74] 當時氣候變得很奇怪
[3791.74-3793.74] 德州突然下雪結冰
[3793.74-3797.74] 後來整個包括我們廣泰就沒有膠料啦
[3797.74-3799.74] 為什麼
[3799.74-3801.74] 我才知道原來所有的膠料廠都設在德州
[3801.74-3803.74] 因為那邊有石油嘛
[3803.74-3805.74] 所以他們說我們要用石油
[3805.74-3807.74] 那時候一結冰的話管一塞起來
[3807.74-3809.74] 整整要一個月的時間去處理
[3809.74-3815.74] 整個我們的汽車體系裡面的膠料都癱瘓掉了
[3815.74-3817.74] 那個時候還緊急的
[3817.74-3821.74] 金發還緊急從中國空運膠料到美國來
[3821.74-3823.74] 要不然就不行了
[3823.74-3827.74] 所以這一塊20%的美國價值在廣泰早就不是問題啦
[3827.74-3829.74] 所以這點我們還是滿有信心的
[3829.74-3833.74] 好那因為時間關係我們現場開放最後一個問題
[3833.74-3835.74] 好那因為時間關係我們現場開放最後一個問題
[3835.74-3837.74] 好那因此 今天的訪說會就到這邊結束
[3837.74-3839.74] 好那因為時間關係我們現場開放最後一個問題
[3839.74-3841.74] 好 那以後的投資 Cena 아니還是可以跟的相關教學
[3841.74-3843.34] 好那以後的投資 Cena 아니還是可以跟的相關教學
