[0.00-2.82] 各位投資先進
[3630.24-3633.24] 我們希望能夠提供一個具競爭性的
[3633.24-3635.24] dividend year 股息殖利率
[3635.24-3637.24] 那其實我們如果跟今年
[3637.24-3641.24] 所有金控同業因為大家都宣布了
[3641.24-3645.24] 今年大家平均的配奧是53%
[3645.24-3652.24] 那我們48%其實是相對還是有點略低一點
[3652.24-3655.24] 但是這個如果是在我們未來接軌人壽
[3655.24-3657.24] 接軌這個IFRS17之後
[3657.24-3660.24] 其實未來的這個等於可預測性
[3660.24-3663.24] 因為是做ALM可預測性提高
[3663.24-3667.24] 那這方面其實是有相當這個正向的
[3667.24-3671.24] 對於股息的配發率可以等於接軌之後
[3671.24-3675.24] 其實是提升的話是很正面的看法
[3678.24-3681.24] 好請問現場的先進了沒有還要再提問的
[3687.24-3689.24] 那線上呢
[3694.24-3697.24] 線上有法人先進問到說
[3697.24-3699.24] 川普關稅政策發布之後
[3699.24-3704.24] 我們在忍受的資產配置上面有沒有一些調整
[3704.24-3707.24] 那調整的策略是怎麼樣
[3707.24-3722.24] 還有一題是就是第一季以來整個股匯在勢的波動
[3722.24-3724.24] 是不是影響接軌
[3724.24-3726.24] 那對於我們之前有提到說
[3726.24-3730.24] CSM釋放到水利的計畫會不會有所改變
[3730.24-3738.24] 好那個第一季以來我們整個因為川普的關係
[3738.24-3742.24] 原則上長期的資產配置老實說並沒有改變
[3742.24-3747.24] 包含避險的策略包含因為畢竟我們還是ALM
[3747.24-3751.24] 所以這個基本上包含固定收益的資產等等
[3751.24-3753.24] 這些我們是沒有改變
[3753.24-3756.24] 長期的這些策略是完全沒有改變
[3756.24-3762.24] 但是短期有短期我們確實增加了流動性
[3762.24-3769.24] 就我們確實把一些短期我們覺得整個流動性是把它提高了
[3769.24-3773.24] 所以我們到目前為止現金水位我們是大幅拉高
[3773.24-3778.24] 我們到昨天為止我們的現金水位
[3778.24-3781.24] 不是財報那個就真的是類似銀行現金
[3781.24-3786.24] 銀行水位可以那個大概已經差不多4400億的台幣
[3786.24-3789.24] 是一個蠻高的量
[3789.24-3792.24] 那這個大概是我們短期因應到目前為止
[3792.24-3796.24] 我們做的一個比較短期短暫的一個措施
[3796.24-3798.24] 就提高流動性
[3798.24-3802.24] 那其他所有長期的配置的策略原則上
[3802.24-3804.24] 我們是一個長期的資金
[3804.24-3808.24] 那也是做重長期的資產負債管理
[3808.24-3811.24] 所以長期的策略上我們並沒有改變
[3811.24-3814.24] 那第二個有關這個接軌的部分
[3814.24-3817.24] 到目前為止so far so good
[3817.24-3820.24] 就沒有做任何假設的改變
[3820.24-3825.24] 就是我們整個接軌還有包含我們過去講的這些CSM release
[3825.24-3827.24] 包含CSM的這些數字
[3827.24-3830.24] 我們目前是沒有做任何更改
[3830.24-3833.24] 那但是這個變動會怎麼樣
[3833.24-3834.24] 因為還沒有到年底
[3834.24-3837.24] 這整個未來的波動包含股市
[3837.24-3840.24] 包含匯率包含利率
[3840.24-3842.24] 這可能都還有波動
[3842.24-3844.24] 所以我們還是需要
[3844.24-3846.24] 為什麼我們很多人說
[3846.24-3848.24] 我們現在可不可以公佈這些數字
[3848.24-3850.24] 當然現在都還太早
[3850.24-3852.24] 就是因為整個市場的波動
[3852.24-3854.24] 其實我們之前就說
[3854.24-3857.24] 這個今年的波動一定是大的
[3857.24-3861.24] 所以到目前為止我們沒有做任何假設的改變
[3861.24-3866.24] 我們也沒有去調我們之前的這些開帳數的這些影響
[3866.24-3867.24] 那但是到年底
[3867.24-3871.24] 因為這整個波動還沒有辦法完全掌握
[3871.24-3875.24] 所以當然我們還是有可能會視狀況
[3875.24-3877.24] 來做最後的調整
[3877.24-3879.24] 那等做完這些到
[3879.24-3882.24] 所以我們之前是說我們預計到第四季
[3882.24-3884.24] 比較接近到年底的時候
[3884.24-3887.24] 整個金融市場我們覺得比較明確一點
[3887.24-3889.24] 我們會公佈我們整個接軌影響
[3889.24-3891.24] 相關的這些數字
[3891.24-3893.24] 以上
[3899.24-3901.24] 有媒體朋友提到說
[3901.24-3903.24] 就是受險公會應該也有跟金管
[3903.24-3905.24] 會在匯率變動上面
[3905.24-3908.24] 然後受險公會也有跟金管會做一些提案
[3908.24-3912.24] 那可不可以談一談說這個對受險業者的幫助
[3912.24-3924.24] 我覺得這個部分可能就很正式
[3924.24-3928.24] 因為很多東西其實都只是在discussion的階段
[3928.24-3932.24] 所以正式到底會是什麼樣
[3932.24-3938.24] 我覺得一切還是以金管會公佈的這些方案在做討論
[3938.24-3940.24] 那目前因為我們
[3940.24-3943.24] 我也不曉得你講的是哪一個方案
[3943.24-3946.24] 那這個很多東西都
[3946.24-3949.24] 引起於很多同業大家想的一些想法
[3949.24-3951.24] 然後有一些討論
[3951.24-3954.24] 但是這個可能都還不是實際上
[3954.24-3959.24] 最後真正會成案的這個階段
[3959.24-3961.24] 所以目前我對這個部分
[3961.24-3964.24] 我想整個受險同業上面
[3964.24-3966.24] 還有整個受險公會
[3966.24-3969.24] 因應這個川普的這個狀況
[3969.24-3972.24] 我想盡了很多心力
[3972.24-3976.24] 希望讓整個大家能夠
[3976.24-3979.24] 能夠順利的在因應這一波的這些波動上
[3979.24-3983.24] 不管在匯率上在資本市場上面
[3983.24-3986.24] 那當然最近波動比較大是匯率
[3986.24-3988.24] 所以確實有一些提案
[3988.24-3990.24] 希望針對這個匯率上面
[3990.24-3994.24] 能夠有一些穩定的一些措施
[3994.24-3997.24] 不過這個部分我想最終還是等金管會公佈
[3997.24-4000.24] 最後的版本再做評論
[4000.24-4003.24] 目前大概我們針對這個沒有特別的評論
[4007.24-4012.24] 還有一些有關匯率跟投資的問題
[4012.24-4016.24] 就是我們申請那個外匯價格變動準備金新制
[4016.24-4019.24] 那有多少的這個金額可以再轉到
[4019.24-4021.24] 外匯價格變動準備金
[4021.24-4026.24] 然後另外是說就是海外的投資策略會怎麼樣調整
[4026.24-4030.24] 會不會大舉轉移到國內做投資
[4030.24-4036.24] 那今年國壽有沒有計畫再發海外債
[4042.24-4046.24] 我們外匯準備的新制的話
[4046.24-4050.24] 我們可以轉大約是146億台幣
[4050.24-4057.24] 那所以已去4月底的數字305加加146
[4057.24-4059.24] 也就是說如果我們申請新制
[4059.24-4064.24] 我們大約會有451億的外匯準備可以來運用
[4064.24-4067.24] 這個是第一個
[4067.24-4069.24] 那海外投資我想我剛剛有特別提到
[4069.24-4074.24] 我們整個海外投資上面的這個長期的策略並沒有
[4074.24-4076.24] 並沒有太大的改變
[4076.24-4079.24] 還是一樣著重在資產負債管理
[4079.24-4082.24] 那當然匯率的這個部分
[4082.24-4085.24] 因為我們大部分發的都是現在新契約
[4085.24-4088.24] 我們主要現金流量的來源是美元保單
[4088.24-4094.24] 我們公司在這個currency mismatch上我們是逐步在降低的
[4094.24-4101.24] 因為我們現在新的這些錢其實都是完全就是完全currency match的
[4101.24-4104.24] 那個不match的部分台幣保單的部分
[4104.24-4109.24] 其實我們現在的新增的量其實是在outflow的
[4109.24-4113.24] 就我們新的這些新契約的部分
[4113.24-4117.24] 尤其像儲蓄型的這些利變的商品
[4117.24-4121.24] 我們基本上那個量已經非常非常少了
[4121.24-4128.24] 我們主要的台幣都是來自於這個ANH或是保障型的這些終身受險的量
[4128.24-4133.24] 那儲蓄型或類保障的這種台幣利變型
[4133.24-4136.24] 我們的量非常非常少
[4136.24-4144.24] 因為我們的策略就是我們要希望減少currency mismatch
[4144.24-4148.24] 因為這個部分不管從哪個角度你都沒有辦法控制
[4148.24-4152.24] 然後未來這個匯率風險如果這個部位再持續增加
[4152.24-4157.24] 在ICS底下這個匯率風險其實都會一直再增加
[4157.24-4161.24] 所以這個部分我們希望能夠control這個部分
[4161.24-4167.24] 那因此我們整個海外的這個配置上面原則上也不會有太大
[4167.24-4172.24] 因為我們大部分都收美元的我們是發美元保單收美元資產
[4172.24-4177.24] 所以投資在美元的固定的尤其是主要是公司在上面
[4177.24-4181.24] 所以這個部分長期的策略我們並不會做改變
[4181.24-4187.24] 那要這個資金回台灣我想這個都是我們覺得
[4187.24-4194.24] 如果台灣有好的投資標的不管包含股票上面包含固定收益上面
[4194.24-4198.24] 甚至包含一些公共建設或基礎建設的基金等等
[4198.24-4204.24] 或是現在可能有在思考怎麼樣把台灣的一些公建
[4204.24-4207.24] 是不是可以做成證券化然後來投資
[4207.24-4212.24] 只要這些有投資機會我們都一定會投資
[4212.24-4217.24] 這個我想這個是我們的一貫的這個部分是沒有改變的
[4217.24-4220.24] 那今年我們沒有發在計畫
[4220.24-4225.24] 因為目前不管RPC還有ICS這個我們都相當的充足
[4225.24-4232.24] 這個不只是現在這個狀況就是未來幾年內我想我們的資本市儲其實是蠻穩健的
[4232.24-4236.24] 所以短期我們是沒有任何增資計畫
[4236.24-4242.24] 還有一個跟人壽投資相關的問題就是
[4242.24-4248.24] 有沒有計畫說就是因為目前的美元的債券都是美元計價的
[4248.24-4252.24] 那有沒有計畫說要分散到其他的幣別
[4256.24-4262.24] 我剛剛提到就是我們這個美元的這個diversify
[4262.24-4270.24] 我想其實不只是現在這個部分當然我們在原本在投資的時候
[4270.24-4276.24] 這個部分本來就要注意到但是他不只是就是說我們在考慮到這個配置的時候
[4276.24-4280.24] 其實要考慮到主要是要來自於資產負債
[4280.24-4284.24] 就是你要考慮到你的負債端是什麼我剛剛特別提到
[4284.24-4288.24] 我們現在主要的保單是來自於美元保單
[4288.24-4296.24] 所以你美元保單不太可能我去買非美元的資產其實他本身就造成了currency mismatch
[4296.24-4303.24] 那唯一有的就是台幣保單的這個部分新增的這個部分或是台幣保單
[4303.24-4311.24] Beggap台幣保單當初這些美債的固定收益資產到期之後
[4311.24-4319.24] 或者收到了期這些東西重新的reinvestment到底要放在美元還是其他幣
[4319.24-4326.24] 那但是這個部分就一樣有你要考慮到不只是currency本身的問題
[4326.24-4334.24] 你還要考慮到是收益率的問題還要考慮到市場未納的問題等等這些要一起考慮進去
[4334.24-4342.24] 你如果把這些一起考慮進去真正你能投的地區跟量實際上不會太多
[4342.24-4349.24] 因為收益率以現在來講固定收益corporate全世界corporate你還要考慮到credit
[4349.24-4355.24] 全世界的credit上面大部分主要的公司還是集中在美國的corporate
[4355.24-4365.24] 其他國家的corporate其實相對的競爭力跟這些信用平等也不見得比美國好
[4365.24-4375.24] 那再加上你要考慮到現在真的收益率要比美國corporate來的高的是不是存在等等這些一併考慮進去
[4375.24-4384.24] 所以這個部分我們當然長期都有考慮但短期上面你把我剛剛考慮的這些因素加在一起中和考慮
[4384.24-4392.24] 這個部分我想他真正能夠轉移的部分其實是相當相當有限短期二年大概是這樣
[4395.24-4405.24] 接下來是銀行的問題就是今年對於放款還有淨利差的展望跟上一季比較有沒有一些改變
[4405.24-4410.24] 然後另外一個就是海外獲利佔比有沒有一個目標
[4410.24-4422.24] 有關放款跟淨利的展望我想我剛剛一直重複在講今年的市場真的不確定性很高
[4422.24-4428.24] 我們現在還是維持在上次收回的展望那放款量還是high single stage
[4428.24-4434.24] 淨利的部分希望還能維持在去年的水準上面
[4434.24-4442.24] 那有關海外獲利我們並沒有內部定一個特別的目標就是努力再審慎的來看發展各個市場
[4453.24-4461.24] 銀行的cost to income ratio我們希望能夠回到大概二三年左右的大概這種的水位大概
[4462.24-4470.24] 大概那個時候的水位大概是這樣因為去年特別好那今年的話我們大概是回到二三年的水位
[4475.24-4480.24] 以上大概就是線上媒體跟投資先進的提問
[4480.24-4485.24] 謝謝那不曉得現場的先進的朋友有沒有發生一部提問的
[4485.24-4488.24] 來這邊請中間這裡來
[4491.24-4498.24] 我幾個小問題補充請教一下這個在銀行的部分可以請教一下請賢副總
[4498.24-4507.24] 我們的那個今年的淨利息收入我們預估YOY是多少然後手續費收入YOY又大概是多少
[4507.24-4514.24] 那另外還有一個問題是我自己很疑惑的是就今年以來銀行的獲利動能是很穩健的
[4514.24-4519.24] 然後金管會也有好多常常都各家銀行在爭取深設海外分行
[4519.24-4526.24] 銀行裡面像中信富邦也都很積極可是我們國泰好像在這一部分就很少聽到這方面的消息
[4526.24-4532.24] 為什麼我們對於海外的那個拓展還有布局感覺上是比較相對保守的
[4532.24-4540.24] 好那人壽的部分那個想請教一下那個交停支付就您剛剛有提到就是因為我們國收一直都是
[4540.24-4546.24] 專家嘛那你有提到我們有逐步增加雜幣的部位讓那個
[4546.24-4555.24] PROXY HEDGE更提高它的有效性那這個的概念是說我們增加了韓元新幣的量更大還是說
[4555.24-4563.24] 除了韓元新幣之外也有其他的亞洲主要貨幣來就是增加就是說怎麼去增加它的有效性
[4563.24-4571.24] 那另外您有提到就是說我們五月份那個損益表上不會有那個FX的GANNAND LOSS
[4571.24-4578.24] 那這個這句話的意思是說因為我們常常每個月在寫獲利的時候都會關心說你的單月的匯兌損益
[4578.24-4585.24] 就是包括你從外準金裡面去回充的還有你的那個比如說你NDF因為我們買的比較便宜嘛
[4585.24-4591.24] 我們會有評價利益還有避險合約的成本跟未實現的那個損失這整個合起來
[4591.24-4596.24] 我們五月份可以預估的是大概是損平是這個概念嗎好謝謝
[4597.24-4604.24] 那有關銀行的部分有關放款的經歷其實我剛剛有提到就是量的部分大概HIGH SINGLE DIGIT
[4604.24-4612.24] 維持跟我們上次把說的目標是一樣另一部分就維持在去年全年的一個水位這也是目前我們維持的一個目標
[4612.24-4617.24] 那FIENCON剛剛有提到過大概全年還是看一個HIGH SINGLE DIGIT
[4617.24-4626.24] 最主要是真的是未來不確定性蠻高關稅匯率跟川普的一些動作還有美國債券的一些看法
[4626.24-4632.24] 那我想說這些目前我們都是維持在跟上次法說會的這個目標是一致
[4632.24-4640.24] 那海外的部分我想大家應該知道我們已經拿到了金管會對於我們印度那邊設分行的一個執照
[4640.24-4644.24] 那目前我們正在申請當中也等在印度那邊的核准
[4644.24-4652.24] 那其他部分我想國內事劃在整個東南亞的布局算是非常完整幾乎每個東南亞部分
[4652.24-4659.24] 每個國家我們大概都有一些可以幫助台商的一些地點都存在
[4659.24-4663.24] 那其他部分我們就會審慎的評估以上
[4665.24-4673.24] 第一個問題就是避險的有效性提高當然主要就是拉高這些雜幣的部位
[4673.24-4682.24] 包含你剛剛提到這些幣別那還包含其他主要國家的幣別都有
[4682.24-4689.24] 那但是詳細的那個我大概沒辦法透露這個基本上我們確實增加了不少雜幣的部位
[4689.24-4692.24] 這是第一個就從今年年初一直到現在
[4692.24-4700.24] 那第二個我要澄清一下那個觀念我講的是因為匯率變動的這些未實現的這些變動
[4700.24-4708.24] 就包含兌換損益包含評價利益因為這些可以100%全部被FX REZERVE吸收
[4708.24-4716.24] 所以你只要FX REZERVE夠那基本上不會有這些未實現的變動對你當月損益表的影響
[4716.24-4722.24] 但是你要固定比如說你做傳統型衍生商品你固定每個月要支出你又要繳保費
[4722.24-4727.24] 你的保費那個當然不會那個保費繳不會拿FX REZERVE來充它
[4727.24-4733.24] 所以是不會所以你固定該繳的保費那還是要繳啊不會因為這樣被你豁免
[4733.24-4737.24] 所以你該繳保費那個是跟你交易對手做的這個部分的成本
[4737.24-4743.24] 所以這個當然還是會存在所以你當然還是有避險成本只是避險成本就固定了
[4743.24-4752.24] 他不會隨著比如說台幣升了5%升了6%原則上如果不是新制的話你還有40%的這個變動
[4752.24-4761.24] 就像我剛剛講我在4月份只有54億因為這個FX的變動產生的不是代表我避險成本只有54億
[4761.24-4770.24] 我避險成本還要再加上這個54億之外還要加上我每個月要固定攤提出去的傳統衍生性商品的成本
[4770.24-4777.24] 這個部分還要加上去那這個部分當然每個月還是會存在的這個這個觀念大概是這樣
[4782.24-4789.24] 好請問哪位先進台的請你補題這邊來
[4793.24-4794.24] 喂
[4795.24-4802.24] 經營團隊你們好這邊是復華投信主要兩個問題請教第一個是在IFS17接軌之後
[4802.24-4810.24] 負債mark to market的情況下那會產生一些跟現在負債的一個差額請問這個差額我們會如何去
[4810.24-4820.24] 在資產負債表上面之後會如何去做平衡那第二個問題是假設之後這個覆蓋法取消之後我們股票投資會
[4820.24-4829.24] 主要會重分類到FBOCI嗎那如果是這樣的話會不會這個現金股利的收入會不會對於授權公司的重要性會提高那
[4829.24-4835.24] 授權公司之後股票投資會不會轉向就是高股息的這個策略以上兩個問題謝謝
[4835.24-4850.24] 這個就是在接軌那其實不是接軌啦就是這中間這有一點複雜我想我今天如果講那個會會讓你昏掉啦所以我不打算在這邊講
[4850.24-4858.24] 因為那個不是那麼簡單只是4號跟17號公報兩個的差異而已那還牽涉到比如說今年開帳1月1號就已經開帳
[4858.24-4873.24] 那那個開帳又牽涉到你成績訊Messer你有所謂的FBA法你有MRA法FRAA法一大堆然後他那個東西灌到1月1號然後從1月1號要滾到10月30號有很多變化
[4873.24-4888.24] 所以我大概沒有辦法再跟你講這個細節對但是大部分大的觀念是對的就是那個差額負債部分的差額他會跑到保留銀但不是完全跑到保留銀他有一部分是今年1月1號
[4888.24-4914.24] 那個部分的差額大部分是有在保留銀但是到今年年底的部分有一些東西的利率變動這個也會影響到那數字他就不是跑到保留銀他會跑到OCI向下所以這個有有不太不太一定他不是只有保留銀那但是在明年1月1號開始實施反正這個部分就一次就是我們要轉換影響數他就一次就解決了
[4914.24-4944.24] 那這個就是全部因為你不能只看負債的部分還包含你的資產部分也會重分類包含比如說你的固定收益資產絕對不可能像現在全部都放AC你還是會保可能有蠻多的部分你會跑到FBOCI當然還是會有部分會放在AC然後這整個就會在OCI向下也會有一些影響數那整個綜合起來影響數他就會對進職會有保留銀影響數OCI裡面資產
[4944.24-4974.24] 那OCI裡面的負債等等這些東西那最後你的進職會是什麼樣這個就但那個就是day one就結清了那未來就是隨著這個公報就是你就開始損利表開始在那邊滾啊然後一樣利率的波動會有一些在OCI向下有一些在負債有一些在資產整個這樣一次去滾大概是這樣那這中間會牽涉到就這裡面哪一些東西你可能要提特別運工機或是
[4974.24-4984.06] 還有我們現在還有一些技術上什麼保價差額特別運工機這個還有一點複雜這個這個部分可能有一些東西到底這個怎麼提
[4984.60-4988.36] 這個這個部分其實現在他那個規定還沒有完全定案
[4988.80-4995.48] 就這個也要等到年底的時候這整個才會比較全部的部分才會定案這是第一個
[4995.96-4998.36] 那第二個你問到就是說
[4998.72-5001.48] 對我們股票的部分因為我們公司我們
[5001.84-5007.96] 因為沒有overlay了所以我們股票不會放FBGPO絕大部分的股票絕大部分
[5008.60-5010.64] 都會放到FBOCI所以
[5011.48-5016.80] 在因為股票放FBOCI的關係所以你所收到的現金股利
[5017.80-5019.72] 只有現金股利會進損益表
[5020.24-5025.00] 那資本利得就不會進損益表就會跑到保留盈餘向下
[5025.40-5027.60] 可分配但是不會進損益表
[5027.96-5033.36] 所以你剛剛提到說是不是這樣子所以高股息的部分大家就可能就
[5034.24-5038.16] 因為這個公報實施的關係所以大家就會更加碼
[5038.92-5042.76] 我想這個這個部分不是現在他才發生
[5043.72-5050.88] 過去幾年這個大家早就知道這件事情會發生了所以實際上你說高股息的配置
[5051.40-5055.04] 應該是每一家公司都有在積極佈建
[5055.44-5060.80] 因為這個畢竟是未來會進損益表所以這個部分的部分本來大家在過去
[5061.36-5068.36] 你會看到受損公司其實台股很多會去買比較高股息的這個這個東西確實是
[5069.04-5071.60] 存在的確實但他不會
[5072.24-5076.76] 是等到接軌才有他是過去其實就已經在發生了那當然
[5077.84-5084.76] 大家買這個還是要還是會以偷偷履秤的觀點去但是相對而言大家有有需要
[5085.20-5088.48] 提高履科院一而的時候尤其在未來損益表
[5089.28-5095.00] 的這個投資收益主要的部分就是來自於這些履科院一而
[5095.68-5101.24] 然後可能有剩下一部分是真的你要只能分類到fbtpl那些資產
[5101.68-5107.44] 的資本利得比如說基金你如果沒有儲備掉他只能放fbtpl那一部分的
[5108.00-5115.28] 這個這個資本利得或者是他拿到了洗等等就全部會進去但那個相對的部位是比較小的
[5115.64-5119.28] 絕大部分當然就是來自於利息收入鼓勵收入
[5120.00-5124.04] 跟不動產的租金收入這個是比較大的部分
[5125.04-5127.52] 好請問還有哪位先進要提問的
[5127.52-5132.00] 好非常感謝現場或線上的投資朋友
[5132.52-5136.00] 那如果你有進一步的問題再請跟我們來聯絡謝謝
