[0.00-4.22] 好
[3344.38-3347.38] 那第二个我们
[3347.38-3349.38] 当然这刚来远还有
[3349.38-3350.38] 南美洲啊
[3350.38-3351.38] 中美洲啊
[3351.38-3353.38] 还有日本啊
[3353.38-3354.38] 那日本呢
[3354.38-3356.38] 他受到
[3356.38-3357.38] 钢铝课税的问题
[3357.38-3359.38] 那也许他这边
[3359.38-3361.38] 他的产量会不会受影响
[3361.38-3362.38] 如果他受影响
[3362.38-3364.38] 那是不是费刚这边
[3364.38-3366.38] 是不是又多出来的空间
[3366.38-3368.38] 这也是一种变化
[3368.38-3370.38] 所以他
[3370.38-3371.38] 他其实在美国这边
[3371.38-3373.38] 你要去担心他
[3373.38-3375.38] 是是可以担心
[3375.38-3376.38] 没错
[3376.38-3379.38] 但是日本这边也有可能不一样的表现
[3380.38-3381.38] 所以没办法
[3381.38-3384.38] 没办法去推估整年的一个变动
[3384.38-3386.38] 只能够说这两个国家可能
[3386.38-3389.38] 可能在这边费刚供应
[3389.38-3391.38] 可能会有截然不同的表现
[3391.38-3392.38] 不一定
[3392.38-3396.38] 以上是我的说明
[3396.38-3404.38] 那请问我们卖到
[3404.38-3408.38] 美国或者是墨西哥加拿大
[3408.38-3410.38] 有相关的比重吗
[3410.38-3414.38] 刚才几乎没有
[3414.38-3416.38] 你说我们公司吗
[3416.38-3417.38] 对
[3417.38-3418.38] 几乎没有
[3418.38-3420.38] 我要跟你说明一下
[3420.38-3424.38] 台湾销美国的最主要都是板材的一个不锈钢
[3424.38-3426.38] 这个在中钢的
[3426.38-3429.38] 中钢这些板卷类的应该走
[3429.38-3432.38] 都有相关的一个资料
[3432.38-3435.38] 这个我想你们可以参考他们
[3435.38-3438.38] 那这一次的钢铝课税比较特别是
[3438.38-3440.38] 他把下游产品
[3440.38-3442.38] 加进去
[3442.38-3443.38] 加进去这个不是全部加
[3443.38-3445.38] 他加进去的就是螺丝绒帽
[3445.38-3447.38] 这螺丝绒帽是被加进去的
[3447.38-3450.38] 也就是说在三月之前
[3450.38-3452.38] 螺丝绒帽销美国是
[3452.38-3454.38] 就是最惠国待遇
[3454.38-3457.38] 他有一个固定的关税
[3457.38-3459.38] 那三月以后
[3459.38-3461.38] 他的关税就会加25%
[3461.38-3463.38] 这是全世界都受影响
[3463.38-3465.38] 那中国大陆呢
[3465.38-3466.38] 会多10%
[3466.38-3469.38] 那台湾销美国的一个
[3470.38-3473.38] 数量记得
[3473.38-3475.38] 好像
[3475.38-3477.38] 60几万吨应该有吧
[3477.38-3478.38] 螺丝绒帽
[3478.38-3480.38] 蛮大比例的
[3480.38-3482.38] 我们是他第一个最大的一个
[3482.38-3484.38] 进口国
[3484.38-3485.38] 所以
[3485.38-3487.38] 对台湾的扩建是
[3487.38-3490.38] 是有这方面的影响
[3490.38-3492.38] 但是他这个影响伴随的是
[3492.38-3494.38] 美国对中国大陆又额外
[3494.38-3496.38] 扣了一个10%的税
[3496.38-3499.38] 所以同样的时间点来看的话
[3499.38-3501.38] 中国大陆是
[3501.38-3503.38] 叠加了10%的税
[3503.38-3505.38] 所以
[3505.38-3507.38] 如果用去年跟今年来比较的话
[3507.38-3510.38] 那应该是中国大陆跟我们的差距会
[3510.38-3512.38] 就是价格会拉近的
[3512.38-3515.38] 这个关税差异
[3515.38-3517.38] 有拉近的
[3517.38-3518.38] 所以说
[3518.38-3520.38] 虽然对台湾厂商来说是特税的
[3520.38-3523.38] 但是用整体全球的竞争力看起来
[3523.38-3525.38] 他好像
[3525.38-3528.38] 跟中国大陆比应该是变得
[3528.38-3530.38] 比较有利才对的
[3530.38-3534.38] 那除非美国那边的需求是由美国当地生产
[3534.38-3536.38] 不过这个
[3536.38-3538.38] 应该
[3538.38-3539.38] 应该
[3539.38-3540.38] 应该
[3540.38-3541.38] 应该
[3541.38-3542.38] 应该
[3542.38-3543.38] 应该
[3543.38-3544.38] 应该
[3544.38-3545.38] 应该
[3545.38-3546.38] 应该
[3546.38-3547.38] 应该
[3547.38-3548.38] 应该
[3548.38-3549.38] 应该
[3549.38-3550.38] 应该
[3550.38-3551.38] 应该
[3551.38-3552.38] 应该
[3552.38-3553.38] 应该
[3553.38-3554.38] 应该
[3554.38-3555.38] 应该
[3555.38-3556.38] 应该
[3556.38-3557.38] 应该
[3557.38-3584.38] 应该
[3584.38-3586.18] 还是说哪一个产品
[3586.18-3588.08] 哦 条线啊
[3588.08-3590.64] 所以指的就是扣件业值是吗
[3590.64-3594.08] 对啊 你钢筋那个随着你的钢筋涨价
[3594.08-3596.14] 它也是有这种这种变化嘛
[3596.14-3599.22] 不过我刚刚比较要特别说明的
[3599.22-3601.58] 都是真的去年处于
[3601.58-3602.82] 第四季以后处于一个
[3602.82-3605.58] 比较悲观的一个市场氛围
[3605.58-3607.68] 那现在相对没那么悲观
[3607.68-3612.42] 甚至有部分的积极一点的是比较乐观
[3612.42-3615.02] 那像那个
[3615.02-3616.32] 其实去年相反你到现在
[3616.32-3618.18] 其实好像那个
[3618.18-3620.12] 机器人这一块好像需求也很好
[3620.12-3621.76] 那这一块应该也会用到
[3621.76-3624.22] 我们条线的部分吧
[3624.22-3627.86] 嗯 所以
[3627.86-3629.26] 所以你要问的问题是
[3629.26-3631.82] 我的意思是说这边这部分有看到
[3631.82-3635.46] 有什么订单比较明显的提升吗
[3638.28-3640.66] 我也是只能跟你说有啦
[3640.66-3642.22] 但是不能够告诉你
[3642.22-3642.38] 有这种订单的提升
[3642.38-3642.42] 但是不能够告诉你有这种订单的提升
[3642.42-3644.18] 多少比例跟增加多少
[3644.18-3646.46] 事实上也是有
[3646.46-3648.32] 那刚刚有提到就是说
[3648.32-3651.36] 第一季条线大概会比去年同期
[3651.36-3654.08] 大概就是持平或小增嘛
[3654.08-3657.86] 那有比较有可能会在第二季看到
[3657.86-3661.98] 量会比去年增加吗
[3661.98-3664.58] 其实它不是
[3664.58-3665.98] 它挑战还蛮大的
[3665.98-3667.86] 因为去年第二季整个的
[3667.86-3669.52] 整个的氛围是好的
[3669.52-3671.86] 我们如果去看到我们
[3671.86-3672.38] 前几季
[3672.38-3676.78] 的法车会可以看到我们去年第二季其实出货量是不错的
[3676.78-3679.84] 那它出货量不错是我刚刚有报告说
[3679.84-3683.98] 在2023年的第四季我们有一个涨价
[3683.98-3686.78] 然后那时候国际市场氛围相对不错
[3686.78-3692.32] 所以在去年上半年条线客户的下单量跟他们的接单量都不错
[3692.32-3695.02] 所以去年上半年表现是好
[3695.02-3699.08] 那我今年要去挑战去年上半年的一个
[3699.08-3702.34] 一个表现当然也是要来自于
[3702.34-3706.10] 我的客户的需求要提升
[3706.10-3711.54] 我刚刚讲说他们需求提升来自于我刚报告的那些国际因素
[3711.54-3713.80] 所以那些因素如果是朝正向的走
[3713.80-3719.94] 那当然我有机会去去去复制去年的一个走势
[3719.94-3723.08] 所以我也当然是期期待
[3723.08-3729.58] 因为但是多空因素都有我不能够现在就马上看到第二季会有这样子的一个
[3729.58-3730.80] 很强的表现
[3730.80-3737.50] 但是你说做至少就说他应该是从第四季到现在应该是
[3737.50-3739.10] 没有那么悲观的
[3739.10-3745.50] 我要去挑战去年第二季的乐观一点的需要国际因素的一个配合
[3745.50-3748.40] 所以我只能够慢慢看
[3748.40-3751.10] 谢谢
[3751.10-3752.10] 谢谢
[3760.80-3790.80] 
[3790.80-3820.80] 
[3820.80-3824.02] 
