[0.00-5.64] 好的
[3208.06-3210.06] 前一年的這個除貨結價
[3210.06-3212.06] 除貨的損失
[3212.06-3214.06] 我們在2023年把它回沖了
[3214.06-3216.06] 所以毛利率有在提高
[3216.06-3218.06] 所以其實今年
[3218.06-3220.06] 應該說去年的
[3220.06-3222.06] 7點多的毛利率
[3222.06-3224.06] 大概還在我們的合理範圍之內
[3224.06-3226.06] 大概就在7、8%
[3226.06-3228.06] 之間的這一個
[3228.06-3230.06] 毛利率範圍
[3230.06-3232.06] 那大家其實可以
[3232.06-3234.06] 更關注我們的
[3234.06-3236.06] 所謂的營業費用
[3236.06-3238.06] 我們的營業費用其實是
[3238.06-3240.06] 趨勢是可以往下的就是說
[3240.06-3242.06] 因為我們的營業費用基本上就是
[3242.06-3244.06] 人力成本
[3244.06-3246.06] 就是薪水跟這個
[3246.06-3248.06] 雷夢的酬勞的部分
[3248.06-3250.06] 那這個部分相對應的是
[3250.06-3252.06] 相對應的比較固定
[3252.06-3254.06] 就是說
[3254.06-3256.06] 我們每一個人
[3256.06-3258.06] 每一個業務員
[3258.06-3260.06] 跟這個Sales Team的成員
[3260.06-3262.06] 他每一個人的人均
[3262.06-3264.06] 營收是可以逐步增加的
[3264.06-3266.06] 可是人的
[3266.06-3268.06] 用人的費用不用同步
[3268.06-3270.06] 隨著營收量的幅度去增加
[3270.06-3272.06] 所以我們在營業費用
[3272.06-3274.06] 會享有一個所謂的
[3274.06-3276.06] 精細規模的效益
[3276.06-3278.06] 所以OPEX
[3278.06-3280.06] 就是營業費用是可以有一個趨勢往下的
[3282.06-3284.06] 大概是這樣
[3284.06-3286.06] 我們的營業淨利率
[3286.06-3288.06] 大概營業淨利大概差不多
[3288.06-3290.06] 維持在3.5%
[3290.06-3292.06] 上下這樣子的一個範圍
[3294.06-3296.06] 那長期的ROE
[3296.06-3298.06] 我們是希望維持在
[3298.06-3300.06] 至少11、12%以上
[3300.06-3302.06] 就是都finish
[3302.06-3304.06] 可能是幾趴
[3304.06-3306.06] 這樣的一個ROE的一個目標
[3308.06-3310.06] 那大概到這裡
[3310.06-3312.06] 今天這個以上是我今天的一個簡報
[3312.06-3314.06] 那謝謝各位投資獻金
