[0.00-8.20] 各位贵宾早安
[2524.88-2526.20] 陆陆续续交船
[2526.20-2528.28] 所以接下来几年的话
[2528.28-2531.92] 这些这些船会陆陆续续的开始交船
[2531.92-2536.16] 那过去各位看得到
[2536.16-2539.92] 这个刚刚也是讲这个新船量和老船量的差距
[2539.92-2541.60] 在2015年的时候
[2541.60-2543.28] 可以看到大家冒起来造船
[2543.28-2544.52] 但是老船其实也没那么多
[2544.52-2546.36] 所以造船的话就容易
[2546.36-2548.96] 景气就会有点跟工序失衡
[2548.96-2550.96] 会有点over supply
[2550.96-2552.80] 那当然over supply完以后
[2552.80-2553.84] 大家就不敢造
[2553.84-2555.68] 然后老船再继续增加
[2555.68-2558.72] 然后大家又觉得市场又比较好一点
[2558.72-2559.76] 然后又再造
[2559.76-2561.32] 那现在是在这个
[2561.92-2562.48] 取短
[2562.48-2565.56] 所以过去这几年比较常是有
[2565.56-2569.00] 订单不太多的这种状况
[2569.00-2571.48] 那当然这有部分这跟景气
[2571.48-2573.28] 在疫情当中
[2573.28-2575.48] container非常好
[2575.48-2576.56] 这有一定的关系
[2576.56-2577.52] container很好的时候
[2577.52-2578.76] 他们拿了很多订单
[2578.76-2580.40] 所以对于船厂来说的话
[2580.40-2582.48] 他们接了很多container的订单
[2582.48-2584.48] 散装船造就比较少
[2584.48-2586.16] 所以那个时候的数据变成
[2586.16-2587.96] 这个两个有大差异
[2587.96-2590.96] 那后来我们发现散装船的订单变减少了
[2590.96-2591.92] 所以然后
[2591.92-2593.68] 跟散货船增加
[2593.68-2596.32] 所以我们觉得有可能是有部分的订单
[2596.32-2597.52] 被转成
[2597.52-2598.16] 赛报
[2598.16-2600.04] 这是有可能的
[2600.04-2601.24] 就是大家发现说
[2601.24-2604.52] 这个container有造了太多
[2604.52-2605.64] 但是是不是这样
[2605.64-2608.16] 当然我们光从这些数字
[2608.16-2609.76] 没有办法
[2609.76-2610.72] 去证明
[2610.72-2613.08] 这是一个猜测而已
[2613.08-2614.96] 那这个也是各船舶的失况
[2614.96-2616.04] 一年交了几条船
[2616.04-2617.48] 然后卖掉几条scrap
[2617.48-2620.80] 然后这些的会有些差异
[2620.80-2621.84] 那每一年来讲
[2621.92-2624.28] 其实大部分的时候
[2624.28-2626.44] 各年的整个船舶运输量的成长
[2626.44-2627.88] 大概3%左右
[2627.88-2629.56] 那我们认为这个数字
[2629.56-2631.84] 越来越其实是市场可以消化的
[2631.84-2632.84] 没有太高
[2632.84-2635.00] 因为整体来讲的话
[2635.00-2638.52] 航运的需求每年大概还是有一些
[2638.52-2640.56] 温和的成长
[2640.56-2641.76] 到底多少的game
[2641.76-2642.56] 我们没办法去
[2642.56-2644.56] 很难去做一个准确的计算
[2644.56-2645.92] 因为实在太多了
[2645.92-2646.80] 各种货物
[2646.80-2649.60] 然后很难去做计算
[2649.60-2650.92] 比较常见的计算
[2650.92-2651.80] 都会用
[2651.92-2653.84] 铁矿砂
[2653.84-2654.64] 煤炭
[2654.64-2656.52] 跟其他的谷物
[2656.52-2657.24] mine and bone
[2657.24-2659.32] 这些来做一个参考
[2659.32-2661.64] 但是也不完整
[2661.64-2663.12] 就是这个数字
[2663.12-2664.12] 没办法非常完整
[2664.12-2665.52] 就是要跟大家报告
[2665.52-2668.40] 这个数字上的一些限制
[2668.40-2669.80] 然后拆船的情形的话
[2669.80-2671.56] 目前因为2025年刚开始
[2671.56-2673.12] 所以其实拆的是不多
[2673.12-2673.40] 对不对
[2673.40-2676.24] 到2024其实拆的是比较少一点
[2676.24-2678.36] 早期在市场比较差的时候
[2678.36-2679.28] 可以拆的比较多
[2679.28-2681.60] 这样2025就不好
[2681.92-2684.04] 因为疫情当中很差
[2684.04-2685.04] 所以不好
[2688.24-2689.76] 我们最后一个部分的话
[2689.76-2692.60] 就要在这个产业的最后一部分
[2692.60-2694.72] 我们跟大家来讨论一下法规的部分
[2694.72-2698.16] 其实船舶虽然是一个非常传统的产业
[2698.16-2700.00] 我们存在几千年了
[2700.00-2704.24] 从大家去大洋洲冒险开始
[2704.24-2706.24] 地中海的北宁基的
[2706.24-2708.80] 都是做船舶产业
[2708.80-2710.40] 但是近几年大家就说
[2710.40-2711.64] 我们船舶更安全
[2711.92-2714.04] 这个船舶也船舶在中国产业
[2714.04-2714.80] 不要环保
[2714.80-2715.96] 尤其现在环保一致抬头
[2715.96-2717.64] 船舶是污染源很厉害
[2717.68-2718.76] 这个是我们attend
[2718.76-2721.00] 其实我们觉得如果是旧美顿货物来讲的话
[2721.00-2722.20] 我觉得说我们很污染
[2722.20-2723.44] 这个是很愿望
[2723.44-2726.04] 因为我们其实就是载薪费的货物很多
[2726.04-2729.32] 所以你如果算载运的美顿货物的污染
[2729.32-2730.84] 其实没有那么高
[2730.88-2734.56] 但是的确船舶是有很多环保上的改善空间
[2734.76-2735.76] 所以我们这几年
[2735.76-2738.00] 从淡氧化物排放还要减少
[2738.00-2740.24] 压汽水处理系统是要减少
[2740.24-2741.84] 有化物的排放是要减少
[2741.84-2748.50] 那個我不講了,因為是舊的,如果各位有興趣的話,可以去參與我們前幾年的法治會資料,就有這些東西。
[2748.50-2755.54] 那我們現在的話,現在比較新一點,然後對市場比較衝擊比較大的,還是在碳排。
[2755.54-2764.46] 當然我們不曉得川普總統上任之後,巴黎的這個他也不管,是不是會影響,我們不知道。
[2764.46-2771.66] 但是呢,其實川普在聯合國的成績來講的話,我們推動碳排放計量減少,這一直在發生。
[2771.66-2776.08] 而且呢,其實歐盟在這方面,他的腳步是沒有停的。
[2776.08-2783.38] 講實在的,我個人覺得歐盟這個做法有點,其實有點,他們自己沒準備好,我會這麼認為。
[2783.38-2787.86] 但是會造成很多麻煩,但是沒關係,市場就是這樣,我會去適應。
[2787.86-2792.58] 那這個我會跟大家藉這個機會分享,簡單的分享一下。
[2792.58-2801.54] 第一個是碳排的部分,在整個聯合國的部分,比較主要就是針對川普設計上的Energy Efficiency Index。
[2801.66-2805.42] 就是說你這個船舶的設計出來,你到底排放量是怎麼樣。
[2805.42-2811.90] 那如果是太高,像一些比較老船,當初他的能源消耗的指數就不好,效率不好。
[2811.90-2817.78] 那他的這個EEDI就會超標,然後他就要減速,或者是加裝一些別的東西。
[2817.78-2819.62] 現在目前大部分就是減速。
[2819.62-2824.22] 這個EEXI出來之前,然後大家說,哇,那這船舶是以後都要減速。
[2824.22-2828.28] 其實第一個是說,很多船舶本來就不是用全速在跑的。
[2828.28-2830.36] 我現在講的全速是85%啦。
[2830.36-2831.50] 85%處理不是100%。
[2831.50-2833.34] 100%沒有人長期跑的。
[2833.34-2838.84] 85%其實是船舶一般的所謂的正常的full speed。
[2838.84-2845.38] 但是其實很多都可能只有跑在60幾%、70%、省電油。
[2845.38-2850.38] 所以其實這個EEXI我們後來覺得在市場上的影響,其實有限。
[2850.38-2853.30] 只是說有限船就是再也跑不上來了。
[2853.30-2857.74] 他就是必須要用一個比較低的轉速來跑。
[2857.74-2860.20] 所以實際上對於船舶運力的影響。
[2861.50-2866.50] 沒有辦法去準確的去計算。
[2866.50-2868.50] 但是看起來好像還好。
[2868.50-2871.50] 這是我們受到EEXI的影響的部分。
[2871.50-2873.50] 因為我們的船舶比較新。
[2873.50-2877.00] 所以我們在125條船裡面呢,有受到EEDI的影響。
[2877.00-2880.00] 必須要減速超過10%的其實才兩倍而已。
[2880.00-2882.50] 這是比較舊的船,這種入口區的一個部分。
[2882.50-2887.00] 那另外一個就是Cover Intensity Indicator,就是一個CII的計算。
[2887.00-2889.00] 這個東西都是一些指數啦。
[2889.00-2891.34] 就是說你去年載了這麼多盾。
[2891.34-2894.34] 載了這麼多盾的貨物,要跑這些地方。
[2894.34-2895.34] 然後你排放了這麼多碳。
[2895.34-2898.34] 它來幫你計算一個你到底有沒有符合標準。
[2898.34-2899.84] 然後幫你分ABCDE。
[2899.84-2903.34] 可是這個東西有點目前還是屬於比較接近止老虎的狀態。
[2903.34-2905.34] 因為它的法則不清楚。
[2905.34-2907.34] 然後它也沒有就一定要幹嘛。
[2907.34-2909.84] 跟這個比EEXI差一點。
[2909.84-2914.34] 因為EEXI至少會說你沒有達到止,就要減速。
[2914.34-2918.84] 那CII目前是還不太清楚的東西。
[2918.84-2920.84] 但是從這些東西我們可以看得到。
[2921.34-2927.34] 因為我們國際全球在針對船舶的環保要求上是有一個升級。
[2927.34-2931.34] 然後從不同的方向,從船舶的設計,從你實際上的排放量。
[2931.34-2936.34] 然後等一下還會講說從你航程都要來算。
[2936.34-2938.34] 不同的方法來計算你的碳排放。
[2938.34-2940.34] 所以我們現在的報告要求變多很多。
[2940.34-2942.34] 就有點像這樣。
[2942.34-2946.34] 所以呢,現在講到歐盟,剛剛是聯合國等級。
[2946.34-2949.34] 現在是歐盟。歐盟就是這方面走最前面。
[2949.34-2950.34] 它第一個要做的就是碳稅。
[2951.34-2954.34] 就是你要台碳,就是要交一個碳權。
[2954.34-2956.34] 你要買碳權,交給歐盟。
[2956.34-2961.34] 然後呢,它可能是,你如果是都在歐盟跑的話,就要交百分之百。
[2961.34-2964.34] 如果你從歐盟以外的地方到歐盟的話,交百分之五十。
[2964.34-2966.34] 大約是這樣子。
[2966.34-2969.34] 然後呢,它有一個約略的升級。
[2969.34-2974.34] 就是你一開始可能只要交40%,後來70%,後來慢慢就100%。
[2974.34-2975.34] 大概是這樣。
[2975.34-2977.34] 那我們這個影響到底多大呢?
[2977.34-2978.34] 我們大概可以看一下。
[2978.34-2979.34] 如果我們用每一噸的油費,大概是500%。
[2979.34-2980.34] 如果我們用每一噸的油費,大概是500%。
[2980.34-2981.34] 如果我們用每一噸的油費,大概是500%。
[2981.34-2982.34] 如果我們用每一噸的油費,大概是580來計算的話,
[2982.34-2983.34] 如果我們用每一噸的油費,大概是580來計算的話,
[2983.34-2985.34] 約略算起來,大概就是580變727。
[2985.34-2987.34] 以2025的要求而已。
[2987.34-2989.34] 所以等於油費加了百分之25。
[2989.34-2993.34] 這個是歐盟碳稅在經濟上有比較實際的影響。
[2993.34-2995.34] 那reporting很麻煩,這個跟各位沒有關係。
[2995.34-2997.34] 這是我們要處理的。
[2997.34-3000.34] 但是對各位投資人可以參考一下,就是這個加了5%。
[3000.34-3002.34] 那25%對會員有什麼影響呢?
[3002.34-3003.34] 非常小。
[3003.34-3007.34] 因為我們的燃油是租家在付的。
[3007.34-3009.34] 我們剛剛講的這種電極輸出。
[3010.34-3013.34] 租方要負責指定這船從哪邊開到哪邊。
[3013.34-3015.34] 所以燃油是他們要負責。
[3015.34-3020.34] 那燃油之外,如果你要叫我去歐盟要產生的碳稅,也是租家要負責。
[3020.34-3022.34] 所以其實對我們的直接衝擊是小的。
[3022.34-3026.34] 但是對船的marketability是有一定程度的影響。
[3026.34-3029.34] 因為你越節能的船,租家就會發現說,
[3029.34-3033.34] 噢,我省很多,因為本來只能省一噸省580,
[3033.34-3035.34] 現在可以省727。
[3035.34-3037.34] 到明年開始會省790。
[3037.34-3039.34] 關係會有點不太一樣。
[3039.34-3040.34] 那當然,
[3040.34-3043.34] EUA的價格,它覺得價格一直變化,
[3043.34-3047.34] 所以這個只是以目前的市價給大家做一個參考。
[3047.34-3052.34] 所以我們認為這些歐盟的規定慢慢的會被綁架。
[3052.34-3060.34] 然後對具有節能的效率比較好的船舶是一個經營上的優勢。
[3060.34-3063.34] 那這個新的Fuel-EU Maritime又不太一樣。
[3063.34-3064.34] 它處理的方式是,
[3064.34-3067.34] 它是說我們不是只針對你碳排放去收水,
[3067.34-3069.34] 我們是要鼓勵你用一個
[3069.34-3073.34] 不同的燃料,用低碳排的燃料。
[3073.34-3079.34] 所以你可以用什麼電,或是真值燃料,一堆都可以。
[3079.34-3085.34] 但是呢,它的狀況是它會先抓你這艘船有沒有符合能源的GHG,
[3085.34-3088.34] Greenhouse Gas Intensity,有沒有超過這個東西。
[3088.34-3092.34] 這個各位有興趣,自行研究,我們不是化學系的,
[3092.34-3094.34] 所以我們沒辦法講得太多。
[3094.34-3097.34] 有沒有超過這個能源的這個強度的要求。
[3097.34-3101.34] 如果碳排太多,那你就要被罰款。
[3101.34-3102.34] 簡單講就是這樣。
[3102.34-3107.34] 那罰款的計算呢,就是大概會是11%。
[3107.34-3109.34] 比剛剛那個稍微少一點點。
[3109.34-3113.34] 那但是呢,這個Fuel-EU跟剛剛碳排還不太一樣是,
[3113.34-3116.34] 碳排是不管3,7,20,10,你就要交碳稅。
[3116.34-3120.34] 但是這個東西它是一個用懲罰來鼓勵的。
[3120.34-3121.34] 所以你可以用一些別的方法,
[3121.34-3123.34] 比如說你可以去買一些生殖燃油來加。
[3123.34-3126.34] 那你只要全年呢,可以讓整個Greenhouse Gas Intensity,
[3126.34-3129.34] 低於這個數字。
[3129.34-3131.34] 那你就不用罰。
[3131.34-3134.34] 所以呢,你可以與其去交這個11%的罰款,
[3134.34-3138.34] 你不如拿5%去買這些生殖燃油等等。
[3138.34-3145.34] 就是鼓勵這些Oternative Fuel,就是或另類燃油有點奇怪。
[3145.34-3147.34] 就是新燃油,新能源的一些發展。
[3147.34-3149.34] 所以它的概念是這樣。
[3149.34-3151.34] 但是呢,它的流通也是很麻煩。
[3151.34-3154.34] 不過對我們來講,它的Labelle也是,
[3154.34-3157.34] 原則上是住家要付。
[3157.34-3159.34] 這個大家可以跟各位分享一下。
[3159.34-3161.34] 然後另外呢,就是為了這個東西,
[3161.34-3165.34] 所以現在除了這些生燃油以外,
[3165.34-3166.34] 也多了一些pooling。
[3166.34-3169.34] 就有些公司就說,好,我們現在做一個pool。
[3169.34-3171.34] 你可以,你們公司的船加入我們,
[3171.34-3173.34] 他們的船加入我們。
[3173.34-3176.34] 我們負責安排一些這些生燃油,
[3176.34-3181.34] 讓我們這些人的能源消耗都符合規定。
[3181.34-3182.34] 但是你要投錢。
[3182.34-3183.34] 也有這樣的業務。
[3184.34-3186.34] 所以我們發現呢,
[3186.34-3188.34] 這類的環保要求,
[3188.34-3194.34] 其實他們是催生了一些professional assistance provider,
[3194.34-3197.34] 就是越來越多的這些公司專門在處理,
[3197.34-3201.34] 如何幫你節省碳稅,
[3201.34-3203.34] 如何幫你節省這個罰款,
[3203.34-3205.34] 這樣的一個產業。
[3205.34-3207.34] 所以我們覺得對整個環境的影響來講,
[3207.34-3208.34] 它是有在的。
[3208.34-3211.34] 那再來就是我們陸陸續續的,
[3211.34-3212.34] 可能就是處分船,
[3212.34-3213.34] 2024年我們處分,
[3213.34-3214.34] 不好意思,
[3214.34-3215.34] 就把它移掉。
[3215.34-3216.34] 我們處分了四艘,
[3216.34-3218.34] 然後2025年我們目前處分一艘,
[3218.34-3220.34] 我們希望還可以再繼續處分,
[3220.34-3222.34] 但是當然要看市場的情況。
[3222.34-3225.34] 那我們希望隨著這個市場慢慢回到正軌,
[3225.34-3226.34] 我們可以繼續處分一些舊船,
[3226.34-3227.34] 增加營運效率。
[3227.34-3229.34] 但是其實我們這個營運,
[3229.34-3232.34] 其實對整體的這個營收影響是有,
[3232.34-3234.34] 但是有限了。
[3234.34-3237.34] 那我們未來的策略,
[3237.34-3239.34] 我們還是要繼續強化財務結構。
[3239.34-3240.34] 各位可以看得到,
[3240.34-3242.34] 我們其實這幾年負債比例降非常多了。
[3242.34-3243.34] 因為我們其實前幾年,
[3244.34-3245.34] 營運動畫不錯,
[3245.34-3246.34] CAPEX不多,
[3246.34-3247.34] 所以我們拿來還錢,
[3247.34-3248.34] 所以現在影響的比較多。
[3248.34-3250.34] 但是我們在匯率和利率的風險上,
[3250.34-3252.34] 還是要持續的小心,
[3252.34-3255.34] 因為美金的利率當然是比較高。
[3255.34-3257.34] 所以我們希望在這方面,
[3257.34-3261.34] 可以利用分散這款貨幣的方式,
[3261.34-3264.34] 來減少美金的利率支出,
[3264.34-3266.34] 利息支出。
[3266.34-3269.34] 那新造船訂單目前是13條,
[3269.34-3273.34] 也可以在我們的網站上參考。
[3273.34-3276.34] 那我現在還在時間二十四分了,
[3276.34-3278.34] 所以在這時間,
[3278.34-3280.34] 不曉得大家有什麼問題,
[3280.34-3282.34] 我們可以藉這個機會來交流。
[3292.34-3296.34] 多一個推中國集的這個船隻的費用,
[3296.34-3298.34] 幫到應付環境的事情。
[3298.34-3299.34] 謝謝你的問題,
[3299.34-3301.34] 這個也是一個很多人大家在談的,
[3301.34-3302.34] 我們產業界也有。
[3302.34-3303.34] 坦白講,
[3303.34-3305.34] 我覺得這個在實行上的難度還蠻高的,
[3305.34-3307.34] 影響也不小。
[3307.34-3308.34] 因為呢,
[3308.34-3309.34] 不是中國集而已喔,
[3309.34-3312.34] 我只知道的話目前講是中國造的。
[3312.34-3314.34] 所以中國造的不一定是中國集,
[3314.34-3315.34] 因為巴拿馬騎什麼,
[3315.34-3316.34] 德國機巴拉都有,
[3316.34-3317.34] 中國集的還沒那麼多。
[3317.34-3319.34] 但是中國造的船,
[3319.34-3322.34] 其實中國大概從建造海盜之後吧,
[3322.34-3325.34] 大概就是世界造船第一位,
[3325.34-3327.34] 所以他造的船是非常多。
[3327.34-3331.34] 那當然川普總統他講的都是講的很大,
[3331.34-3334.34] 所以非常有大目標,
[3334.34-3336.34] 大方向的一位領導人。
[3336.34-3337.34] 他講的很大,
[3337.34-3339.34] 那個金額其實還蠻不小的,
[3339.34-3341.34] 我們認為是實際上會衝擊到的。
[3341.34-3342.34] 但這個東西呢,
[3342.34-3344.34] 在船舶的營運上,
[3344.34-3346.34] 如果它真的能夠被實行的話,
[3346.34-3348.34] 首先我要先講的是,
[3348.34-3350.34] 我們為什麼覺得實行有困難,
[3350.34-3353.34] 因為我們覺得在法的角度來講,
[3353.34-3355.34] 這好像有點難度。
[3355.34-3357.34] 但是我想這不是我們要擔心的問題,
[3357.34-3360.34] 這是川普總統他的執政團隊要去煩惱的事情。
[3360.34-3361.34] 但是,
[3361.34-3363.34] 要做是不難的,
[3363.34-3365.34] 因為每一條船船其實是很清楚的,
[3365.34-3367.34] 他一報說我這個船要靠港,
[3367.34-3369.34] 你所有的資料就清清楚楚。
[3369.34-3373.34] 所以要做這個附加費,
[3373.34-3376.34] 他在技術上的難度是不高的,
[3376.34-3378.34] 他難是在法律上的挑戰,
[3378.34-3380.34] 你可不可以去這樣子,
[3380.34-3382.34] 不要說歧視,
[3382.34-3383.34] 就是說你就是中國造的,
[3383.34-3384.34] 你就要多貴,
[3384.34-3386.34] 這個我們比較不確定,
[3386.34-3389.34] 我覺得他一個比較難題在這裡。
[3389.34-3390.34] 然後,
[3390.34-3392.34] 他如果真的成真的話,
[3392.34-3393.34] 我想很有可能的狀況,
[3393.34-3395.34] 在大部分的租約裡面,
[3395.34-3397.34] 這個會是由租家負擔,
[3397.34-3400.34] 租家的話就會把這個東西加在,
[3400.34-3403.34] 只要靠港美國的時候會加在運費裡面,
[3403.34-3406.34] 所以最後也是會反映到物品的售價上,
[3406.34-3408.34] 這是一個大的方向,
[3408.34-3409.34] 可是對各散裝船公司,
[3409.34-3412.34] 那我就覺得會有剛剛碳稅的效果。
[3412.34-3414.34] 我們講碳稅是租家負,
[3414.34-3416.34] 那所以你好船爛船有什麼差別?
[3416.34-3419.34] 差在租方願不願意租你這條船,
[3419.34-3422.34] 你這條船要不要附加費就差很多,
[3422.34-3424.34] 所以我們的判斷是,
[3424.34-3426.34] 如果有這樣情形的話,
[3426.34-3428.34] 對於非中國造的船是有利的,
[3428.34-3429.34] 那很不巧,
[3429.34-3431.34] 我們公司的船幾乎都是日本造的,
[3431.34-3434.34] 這是我們長期以來的這個策略,
[3434.34-3435.34] 我們幾乎都是日本造的船,
[3435.34-3437.34] 有些中國造的也是日商的,
[3437.34-3438.34] 那會不會會課稅,
[3438.34-3440.34] 還是很有可能會被課稅,
[3440.34-3441.34] 因為就碰到了,
[3441.34-3444.34] 但是大部分的船我們是日本造的,
[3444.34-3446.34] 所以我們覺得這個事情呢,
[3446.34-3448.34] 我聽起來,
[3448.34-3450.34] 我第一個反應是覺得,
[3450.34-3451.34] 哇,有這種事喔,
[3451.34-3453.34] 我很surprise,
[3453.34-3455.34] 沒有到天方夜台那麼surprise,
[3455.34-3456.34] 但是有點surprise,
[3456.34-3457.34] 但是如果發生的話,
[3457.34-3460.34] 我認為對我們公司是沒有壞處的,
[3460.34-3462.34] 那但是這個東西可以持續多久,
[3462.34-3463.34] 不知道,
[3463.34-3465.34] 因為這種附加費就是,
[3465.34-3466.34] 隨時要,
[3466.34-3467.34] 他要加就加,
[3467.34-3468.34] 要停就停,
[3468.34-3470.34] 所以我想這個是,
[3470.34-3473.34] 曾經對市場會有一些動盪,
[3473.34-3478.34] 但是我不曉得川普總統的執政團隊會怎麼看待,
[3478.34-3480.34] 這個經濟上的影響,
[3480.34-3482.34] 不過您的問題是一個我們目前還觀察,
[3482.34-3484.34] 我前兩天還收到Ivan City的報告,
[3484.34-3487.34] 說這個部分他們現在整理的是怎樣,
[3487.34-3489.34] 那這個是一個agoing的issue,
[3489.34-3490.34] 沒有一個定論,
[3490.34-3491.34] 目前來講,
[3491.34-3493.34] 謝謝您的問題,
[3493.34-3495.34] 那不曉得還有其他,
[3508.34-3511.34] 還有任何問題嗎?
[3515.34-3518.34] 想請教剛剛延續的問題,
[3518.34-3520.34] 川普講過話之後,
[3520.34-3522.34] 造船的費用有沒有提高,
[3522.34-3524.34] 現在造一艘船要多久,
[3524.34-3525.34] 多多少錢,
[3525.34-3526.34] 好的,
[3526.34-3527.34] 謝謝你的問題,
[3527.34-3531.34] 針對造船的費用有沒有提高,
[3531.34-3533.34] 造船的金額其實這樣,
[3533.34-3534.34] 它不太透明,
[3534.34-3537.34] 然後所以我們沒有一個市場,
[3537.34-3538.34] 可以馬上提高,
[3538.34-3539.34] 他一講這個話就馬上提高,
[3539.34-3540.34] 這是沒辦法,
[3540.34-3542.34] 那造船的價格呢,
[3542.34-3545.34] 近期這一兩年是在往上走,
[3545.34-3547.34] 因為成本越來越高,
[3547.34-3550.34] 所以講到造船的價格,
[3550.34-3552.34] 現在我認為是蠻高的,
[3552.34-3553.34] 這樣,
[3553.34-3555.34] 那還會不會再提高,
[3555.34-3558.34] 如果運費變得比較好的話,
[3558.34-3559.34] 那我覺得就不會掉下來,
[3559.34-3561.34] 它會再往上走,
[3561.34-3562.34] 這樣,
[3562.34-3564.34] 但是這個是不是因為川普總統講的話,
[3564.34-3567.34] 我覺得沒有這麼快啦,
[3567.34-3568.34] 這個是,
[3568.34-3570.34] 這是針對船價的部分,
[3570.34-3571.34] 那針對交期的部分,
[3571.34-3572.34] 我們如果現在談的話,
[3572.34-3575.34] 大概都要到2028年去,
[3575.34-3578.34] 所以約是三年左右,
[3578.34-3581.34] 就是如果是日本船廠的話,
[3581.34-3583.34] 那有些船廠它為什麼沒有那麼大,
[3583.34-3585.34] 它沒有那麼多的presale,
[3585.34-3586.34] 其實它就會,
[3586.34-3587.34] 它可以更快,
[3587.34-3588.34] 因為船是這樣走,
[3588.34-3589.34] 它真正造船的時間,
[3589.34-3592.34] 其實大概10到14個月,
[3592.34-3594.34] 從0到有是可以造的出來,
[3594.34-3596.34] 但是它如果要去定鋼板,
[3596.34-3597.34] 然後定主機,
[3597.34-3598.34] 這些東西,
[3598.34-3600.34] 它又有它各有各的lead time,
[3600.34-3601.34] 所以一般來講,
[3601.34-3602.34] 我們合作船廠,
[3602.34-3605.34] 就是所謂這種比較first tier船廠,
[3605.34-3606.34] 它就是業務很穩定,
[3606.34-3607.34] 它不會亂搞,
[3607.34-3609.34] 它比較穩健地在走的,
[3609.34-3612.34] 大部分它都會預賣三四年後的船,
[3612.34-3613.34] 船部位,
[3613.34-3616.34] 然後它如果自己沒辦法填滿的話,
[3616.34-3620.34] 它會找一個SPV來接這條船,
[3620.34-3621.34] 然後之後再賣出,
[3621.34-3623.34] 但是大部分的船廠,
[3623.34-3625.34] 它都會確保兩三年內,
[3625.34-3626.34] 它的物位,
[3626.34-3630.74] 是相對來講是比較充就是訂單是充足的
[3630.74-3634.14] 所以船舶訂單大約要三四年這個是
[3635.58-3636.58] 目前也是這樣子
[3638.10-3638.60] 謝謝
[3641.14-3644.64] 因為時間緣故我們開放最後一個問題
[3644.64-3658.28] 你好 剛剛看到有一張就是關於船的SPA的數字
[3658.28-3660.64] 25年是正0.6
[3660.64-3664.04] 這個比前幾年都要來得低一點
[3664.04-3667.60] 但是因為現在可以價相對來講是比較低的
[3667.60-3671.24] 我不知道就是說後面Scarping的數字會不會比較高
[3671.24-3674.08] 今年甚至到明年
[3674.08-3674.64] 你看
[3674.64-3678.54] 是不是應該是前面幾年的水準
[3678.54-3680.34] 好的 謝謝你的問題
[3680.34-3680.88] 首先呢
[3680.88-3685.14] 針對2025年這個市況會不會繼續這麼差
[3685.14-3686.84] 我認為是不太會
[3686.84-3688.28] 因為就像剛剛講的
[3688.28-3690.34] 我覺得現在今年這個第一季
[3690.34-3692.50] 尤其到二月一直不好
[3692.50-3694.40] 其實這個是延續去年的狀況
[3694.40-3696.18] 然後川普總統上任之後
[3696.18-3698.84] 大家期待說我們應該要比較多的Certainty
[3698.84-3699.90] 好像也沒有
[3699.90-3702.34] 因為他其實他很多狀況是
[3702.34-3704.08] 像他這個關稅他還是說
[3704.08-3704.60] 我在
[3704.60-3705.44] 他延一個月
[3705.44-3707.10] 他也沒有說要取消也沒有說什麼
[3707.10-3709.40] 但是這個東西叫做確定性嗎
[3709.40-3711.70] 我們是覺得還沒有到這個情況
[3711.70-3714.50] 所以有點延續這個情形
[3714.50-3715.10] 但是呢
[3715.10-3716.20] 他慢慢市場
[3716.20-3718.30] 但慢慢適應了這個狀況之後
[3718.30-3719.66] 他就是慢慢還是會回來
[3719.66-3722.84] 就是剛講因為已經半年多市場是比較低迷
[3722.84-3723.40] 所以呢
[3723.40-3729.90] 我們覺得接下來這段時間應該是有機會就是不運之前這段時間沒有運到的東西
[3729.90-3730.76] 所以整體來講
[3730.76-3734.20] 我們2025年是比較稍微會比較樂觀
[3734.20-3735.80] 不會像現在那麼差了
[3735.80-3738.10] 當然你又沒有說要達到21年的標準
[3738.10-3739.90] 這個我覺得也不太容易
[3739.90-3741.30] 講實在的
[3741.30-3744.70] 那再來就是說這東西會不會造成Scriber
[3744.70-3747.00] 那是傳播的淘汰增加
[3747.00-3748.90] Again就是要回到說
[3748.90-3750.80] 那如果市場照我們所講的
[3750.80-3752.00] 哎很不錯
[3752.00-3755.20] 那拆船的比率就不會很高
[3755.20-3757.36] 如果市場不是像我講的
[3757.36-3759.96] 就是哦大家其實真的很低迷很差
[3759.96-3761.90] 那拆船就會變多
[3761.90-3764.00] 所以我覺得這兩個是有點有點連動的
[3764.20-3765.40] 所以呢市場好的時候的話
[3765.40-3768.00] 我們就會期待運力再持續久一點
[3768.00-3770.80] 那如果市場差的時候運力的消失就會快一點
[3770.80-3772.80] 大概大概是這樣
[3772.80-3774.90] 那針對於說
[3774.90-3777.40] 不好意思你剛再來的問題是
[3778.90-3786.70] 就是最後有關Supply的部分是未來一兩年還是可以維持過去的水準
[3786.70-3788.20] 好的Supply的部分
[3788.20-3789.60] 過去未來一兩年回來
[3789.60-3790.70] 維持現在的水準
[3790.70-3791.60] 我認為是沒有問題
[3791.60-3792.70] 因為像剛剛佐講的
[3792.70-3794.10] 我們其實現在要再開始
[3794.20-3802.14] 有的就是的車通車
[3802.14-3804.14] 避難所有的環境
[3804.14-3818.40] 事情問 Schnter
[3818.40-3820.20] 成 л
[3820.20-3822.30] 現在又是時數的ور
[3822.30-3822.90] 大陸重點很大
[3822.90-3823.40] 同時GU modeling
[3823.40-3823.90] Discord
[3823.90-3827.50] 再有出现很多container default要转单
[3827.74-3829.50] 但是以目前container的财务状况
[3829.50-3830.46] 我想应该不至于
[3830.90-3834.14] 而且其实他的市场也是有点up and down
[3834.14-3835.34] 没有说一直往下走
