[0.00-2.72] 欢迎参加维影科技线上座谈会
[3290.94-3296.94] 這個二月的這個營收的確就反映了這個十二月的這個高存貨
[3296.94-3299.94] 那我想這個這個這個存貨數字目前是一個很大的一個高存貨數字
[3299.94-3305.94] 目前看起來在已經從十二月三十一號一直到今天為止
[3305.94-3308.94] 我想多少我沒有直接證據
[3308.94-3311.94] 但一定跟關稅我認為有關係
[3311.94-3315.94] 那因為這個關係其實存貨的水位是有比較再高一點
[3315.94-3317.94] 比十二月三十一號還要再高
[3317.94-3320.94] 那那他所代表的存貨高
[3320.94-3323.94] 那但是也反映出我們的營收也在助推高
[3323.94-3329.94] 那所以我如果回答您的問題就是針對從水
[3329.94-3332.94] 存貨水平的部分目前是高的
[3332.94-3335.94] 但現在目前是三月的中間的一天
[3335.94-3337.94] 那我也不知道這個未來
[3337.94-3342.94] 但我們的方向當然是希望這個這個流轉的這個速度是越是要快的
[3342.94-3348.94] 這個這個工廠墨西哥做完了這個趁現在沒有沒有關稅的時候
[3348.94-3352.94] 趕快再用力的出到美國的這個不管是資料中心還是激活廠
[3352.94-3355.94] 那這個是我們要努力去做的
[3355.94-3359.94] 那那到三月三十一號的時候水位到底會增加還是上升
[3359.94-3361.94] 那這個一樣的都是變數
[3361.94-3365.94] 我現在沒有辦法這個這個承諾或是看得到
[3365.94-3368.94] 然後兩個簡單問題
[3368.94-3375.94] 第一個就是你去年還是有說那個比如說整體次季度AI佔整體營收
[3375.94-3378.94] 那個時候預判是百分之五十嗎
[3378.94-3385.94] 可不可以說一下這個這個指標比如說去年次季度整體之後AI是佔比多少
[3385.94-3389.94] 然後今年一季度或者二零二五年有沒有大概的這個
[3389.94-3392.94] 這個這個數字的質疑
[3392.94-3397.94] OK好我想這個
[3397.94-3400.94] 微影的這個營收佔比這個
[3400.94-3406.94] 我剛也有回答就是說在AI的部分應該還是會大於AI
[3406.94-3412.94] 那就是微影的這個基礎已經是這樣的情形
[3412.94-3418.94] 那去年的第四季的時候這個基礎我們第四季也創了這個季度的新高的營業額
[3418.94-3425.94] 增加的確實是在這個這個這個general computer的部分還在增加
[3425.94-3430.94] 那這個的情形是因為即便AI的這個增長
[3430.94-3434.94] 它其實我們觀察到了以2024年一整年的情形
[3434.94-3437.94] 它AI跟non AI並沒有互次的關係
[3437.94-3439.94] 而是相輔相成的關係
[3439.94-3445.94] 所以non AI其實是因為因為AI的這個算力的這個增長
[3445.94-3448.94] 然後帶出更多的應用跟訊息
[3448.94-3449.94] 那這個需要
[3449.94-3453.94] 那我們的數字如果從基底就已經是non AI大了
[3453.94-3455.94] 它又繼續又有成長
[3455.94-3459.94] 所以其實它稀釋了這個AI的這個佔比的部分
[3459.94-3465.94] 那第四季的結果是不到50%但是有接近50%
[3465.94-3467.94] 單季的效果
[3467.94-3471.94] 那我們也不會就是說我們是中性看待這樣子的發展
[3471.94-3474.94] 就是一方面是這是客戶的需求
[3474.94-3475.94] 那二方面這個這個它所帶來對公司的這個經營的需求
[3475.94-3476.94] 那二方面這個這個它所帶來對公司的這個經營的需求
[3476.94-3477.94] 那二方面這個這個它所帶來對公司的這個經營的需求
[3477.94-3480.94] 或是這個財務上面的貢獻
[3480.94-3485.94] 其實不會因為AI或non AI的有所差別
[3485.94-3489.94] 就是我們還是回歸到這個財務上面的貢獻
[3489.94-3494.94] 我們也就不會去刻意說把它當成一個指標
[3494.94-3498.94] 要去達到或是超越這個AI佔比
[3498.94-3504.94] 我們就是以客人的這個需求為基礎去做這樣子
[3504.94-3505.94] 明白
[3505.94-3506.94] 最後一個問題啊
[3506.94-3507.94] 去年
[3507.94-3509.94] 我們那個毛利率比較好
[3509.94-3512.94] 其中一個原因是因為很多NRE的這種收入
[3512.94-3513.94] 然後高毛利
[3513.94-3516.94] 如果你預判今年整體這種NRE
[3516.94-3520.94] 現在看到的整體的這個收入規模
[3520.94-3524.94] 可能會增長速度對比去年會下降嗎
[3524.94-3528.94] 還是說就是今年還是有挺多NRE的這種收入
[3528.94-3532.94] 在可見的那個時間表面
[3532.94-3536.94] 我想NRE的部分就是產品的部分
[3536.94-3538.94] 我剛也提了就是我們的營業費用裡面
[3538.94-3540.94] 最大的就是在開發新產品
[3540.94-3543.94] 那這些產品開發我們不會停止
[3543.94-3549.94] 去跟客人爭取的這個決心也不會停下來
[3549.94-3552.94] 但是它在這個財務報表上面
[3552.94-3558.94] 就像剛剛講的這個non AI會稀釋AI的營收佔比一樣
[3558.94-3561.94] 這個硬體的量產出貨的金額越大
[3561.94-3564.94] 它越稀釋了這個NRE的利潤貢獻度
[3564.94-3565.94] 所以從這個角度來講
[3565.94-3567.94] 所以從這個趨勢看來
[3567.94-3569.94] 從一二月的這個營收的展望
[3569.94-3572.94] 這趨勢看來還繼續在發生的
[3572.94-3575.94] 就是硬體的這個出貨營收是在增加的
[3575.94-3580.94] 所以我相信在從財務會計的這種毛利率
[3580.94-3583.94] 這個margin ratio的這個數字來算的話
[3583.94-3586.94] 對這個ratio是有這個下降的這個影響
[3586.94-3591.94] 因為NRE的貢獻會被Hardware的這個revenue給稀釋掉
[3591.94-3594.94] 明白 謝謝Eric 謝謝Anthony
[3595.94-3598.94] 謝謝Harry以及Natalie的分享
[3598.94-3601.94] 也謝謝線上投資先進熱情的參與
[3601.94-3602.94] 由於時間的關係
[3602.94-3605.94] 本次會議的Q&A環節到此結束
[3605.94-3607.94] 如果各位先進還有其他問題
[3607.94-3608.94] 未能於會中答覆
[3608.94-3611.94] 歡迎隨時和維銀的YL團隊
[3611.94-3613.94] 或者是我花旗的Carrie聯繫
[3613.94-3614.94] 再次感謝大家
[3614.94-3615.94] 祝各位週末愉快
[3615.94-3617.94] 我們下次見 謝謝
[3625.94-3627.94] 謝謝
[3655.94-3656.94] 謝謝
[3685.94-3686.94] 謝謝
