[0.00-28.82] 接下來很榮幸能邀請到華擎的許龍倫總經理
[3022.90-3024.90] 那现在我们来看
[3024.90-3029.70] 现在看到今年那个股息的payout是
[3029.70-3031.90] 大概跟过往有比较不一样
[3031.90-3033.70] 那可能是因为高成长
[3033.70-3035.70] 就是说刚刚你提到就是说
[3035.70-3037.90] 那个晶片的价值都相当的高
[3037.90-3039.10] 那以后是不是
[3039.10-3041.10] 因为过往的payout是蛮高的
[3041.10-3044.10] 那以后的payout是不是大概就是会维持
[3044.10-3046.50] 因为今年好像看起来大概五成左右这样子
[3046.50-3049.70] 那以后是不是大概就是维持一个比较低payout
[3049.70-3052.70] 还是说可能我们用筹资的方式去补足
[3052.90-3054.30] 这个所需要的资本
[3054.30-3058.30] 那payout可能有机会也许会稍微改善一点
[3060.10-3063.10] payout ratio应该今年的话是比较特别主要
[3063.10-3064.90] 因为刚才提到的
[3064.90-3067.70] 其实营运资金的需求动能其实还蛮强的
[3067.70-3068.30] 各位可以看到
[3068.30-3070.10] 其实从第四季来讲的话
[3070.10-3072.30] 就开始有一些短期银行借款
[3072.30-3075.50] 这其实是在公司过往来讲比较少的
[3075.50-3078.70] 那整个AI的需求还是在持续
[3078.70-3081.30] 所以这部分的资金动能还是会在持续
[3081.30-3082.00] 还是在
[3082.00-3082.70] 那所以
[3082.90-3085.10] 再加上去年来讲的话
[3085.10-3089.30] 其实我们去年第四季也在美国新买一个厂办
[3089.30-3092.70] 那目前来看我们在未来的话
[3092.70-3094.40] 可能在对一些投资
[3094.40-3096.90] 我们也有可能有一些潜在的投资案的
[3096.90-3098.20] 一些机会在
[3098.20-3102.10] 所以可能这一次的话就跟董事会
[3102.10-3103.60] 报告提到一个
[3103.60-3107.10] 比较需要保留比较多一点营运资金在身上
[3107.10-3109.40] 那未来来讲的话
[3109.40-3112.00] 除非是有一些
[3112.00-3113.70] 比较明朗的投资计划
[3113.70-3116.40] 不然我们应该还是相对应的
[3116.40-3119.70] 不一定会维持那么低的payout
[3119.70-3123.00] 以后未来往上提升payout ratio的几率
[3123.00-3124.30] 应该相对的比较高一点
[3124.30-3128.00] 另外一个就是
[3128.00-3132.20] 目前来讲跟银行融资主要是永勤的部分
[3132.20-3135.40] 那如果按照我们的计划
[3135.40-3137.30] 如果永勤有顺利IPO的话
[3137.30-3141.10] 他应该IPO前可以筹资一部分
[3141.10-3143.60] 看那边筹资的金额
[3143.60-3147.50] 还有他生意成长的状况
[3147.50-3149.60] 那另外就是华勤本身
[3149.60-3151.10] 刚刚我们早早有讲了
[3151.10-3155.30] 就是说我们这今年payout比较少
[3155.30-3158.10] 明后年要看情况
[3158.10-3159.60] 包括看我们今年赚的钱
[3159.60-3161.80] 各方面还有整个现金流
[3161.80-3164.50] 还有再来就是说
[3164.50-3166.70] 有没有一些机会
[3166.70-3170.60] 那我们还有考虑就是说
[3170.60-3172.40] 确实有一些想法
[3172.40-3175.30] 所以可能短期这几年会payout稍微
[3175.30-3176.60] 维持在这个水准
[3176.60-3177.20] 这是有可能
[3177.20-3181.60] 但希望后面还是回到70% 80%的payout ratio
[3181.60-3186.90] 这是目前的想法
[3186.90-3189.40] 然后Expo到那个USA的
[3189.40-3191.70] 就是不分产品线的话
[3191.70-3194.50] overall这个比例是多少
[3194.50-3197.40] 就是整个用华勤的consolidate
[3197.40-3199.30] 就是made in China的product
[3199.30-3200.40] 然后shipped到USA的商品线的话
[3200.60-3202.40] 这个部分
[3202.40-3203.60] 如果以合并报表来看
[3203.60-3204.80] 对对
[3204.80-3207.20] 我觉得如果以合并报表来看
[3207.20-3208.90] 应该less than 10%的revenue
[3208.90-3209.90] less than 10%
[3209.90-3211.40] 对应该我没有仔细算过了
[3211.40-3213.60] 但是因为华勤本身出到
[3213.60-3215.40] 华勤本身的产品出到美国
[3215.40-3217.10] 目前来讲都没有税的问题
[3217.10-3218.60] 是我都已经移开了
[3218.60-3220.70] 那就是我刚刚有跟各位报告
[3220.70-3221.80] server有一部分
[3221.80-3223.30] 然后IPC可能有一部分
[3223.30-3225.20] 那这一部分都是属于traditional
[3225.20-3226.30] 不是AI server
[3226.30-3228.00] traditional server
[3228.00-3229.70] 那个部分占比不是那么大
[3229.70-3230.40] 所以就是说他
[3230.60-3233.40] 5月如果真的课下去的话
[3233.40-3235.40] 就是说对我们的影响就是
[3235.40-3236.90] 就是最多就是10%
[3236.90-3237.40] 对不对
[3237.40-3238.20] 应该不到
[3238.20-3238.60] 应该不到
[3238.60-3240.50] 因为5月那个45%我们也撑不住
[3240.50-3241.20] 好OK好
[3241.20-3242.30] 还是得
[3242.30-3242.80] 对
[3244.10-3246.00] 不好意思因为时间的关心
[3246.00-3248.40] 那我们这场次在scout一段落
[3248.40-3250.20] 那有还有疑问的贵宾
