[0.00-5.00] 好各位
[2519.86-2523.22] 那以刚刚Jay Wu所说的
[2523.22-2523.66] Whose Code
[2523.66-2524.46] 它其实是一个
[2524.46-2525.62] 非常壮健的比喻
[2525.78-2527.86] 虽然去年广告营收不好
[2527.86-2529.70] 可是它还是稳定获利
[2529.70-2532.46] 那今年开始
[2532.46-2533.86] 应该说从去年开始
[2533.86-2535.90] 慢慢的不管是自己
[2535.90-2539.50] 现在我们既有Whose Code的市场以外
[2539.50-2540.74] 还有一些
[2540.74-2544.34] 其他可能不是Whose Code的市场
[2544.34-2546.14] 可是它可能透过当地的
[2546.14-2548.74] 景证电信商或者是银行
[2548.74-2551.10] 也继续把Whose Code推到
[2551.10-2552.34] 我们其他的主要的
[2552.34-2553.78] 非主要的一些市场
[2553.78-2555.30] 那今年大家会看到
[2555.30-2558.78] 有不同的一个区域的一个振长
[2558.78-2562.18] 那以获利成长来看的话
[2562.18-2564.58] 土壁该说企业端
[2564.58-2565.86] 不如说企业端
[2565.86-2567.70] 土壁跟土区只是一块
[2567.70-2569.26] 金融个体只是一块
[2569.26-2571.46] 它过去其实都是靠Whose Code
[2571.46-2572.38] 比喻在一样
[2572.38-2573.54] 可是以今年来看
[2573.54-2576.06] 这两个不能成为卖价值
[2576.06-2577.26] 这两个也要互利
[2577.26-2578.94] 所以以今年我们低级
[2578.94-2580.62] 可以明显看到这两个比喻
[2580.62-2581.74] 也慢慢在成长
[2581.74-2584.42] 所以以获利成长的动能
[2584.42-2585.14] 大概是用在这里面
[2585.30-2586.50] 让市场的这个振长
[2586.50-2587.86] 开始继续清醒
[2587.86-2590.54] 好谢谢两位的说明
[2590.54-2593.14] 第二个投资人提问是
[2593.14-2594.94] 想请教美国的对冷关税
[2594.94-2596.46] 对公司的影响有何一部分
[2596.46-2597.58] 那另外一个是
[2597.58-2599.06] RB的升值
[2599.06-2601.10] 对我们影响是又是如何的
[2601.10-2608.30] 我再讲关税的部分
[2608.30-2609.50] 然后等一下可以讲
[2609.50-2611.02] 对卖力升值的部分
[2611.02-2612.58] 我就是不知道
[2612.58-2614.26] 目前进来看
[2615.30-2616.66] 是否有什么影响
[2616.66-2617.98] 所以从纯卖体公司
[2617.98-2618.62] 我可以看到
[2618.62-2619.98] 虽然我们做很多台湾市场
[2619.98-2621.06] 但是这一块对我们的
[2621.06-2622.46] 影响其实很强
[2622.46-2623.66] 然后大家还是要知道
[2623.66-2624.14] 一些情况
[2624.14-2625.34] 所以毕竟它面对的
[2625.34-2626.34] 其实是我们看到
[2626.34-2627.86] 已经是重新面
[2627.86-2628.50] 所以我们还是会
[2628.50-2629.78] 非常仔细去观察
[2629.78-2631.46] 这个重新面的市场变化
[2631.46-2633.66] 因为大家都在整个辞职
[2633.66-2634.74] 对第二点
[2634.74-2636.02] 就是刚刚也有提到
[2636.02-2638.50] 其实私安这个产业有个特性
[2638.50-2640.86] 它反而是比较抗情绪喧哗的
[2640.86-2641.82] 而且我们可以看到
[2641.82-2644.58] 当国际的冲突越来越多的时候
[2644.58-2645.10] 然后美国家也会有这个特性
[2645.30-2646.26] 但是事实上
[2646.26-2647.34] 当国际的冲突越来越乱的时候
[2647.34-2649.02] 其实是账店是变多的
[2649.02-2649.54] 对
[2649.54-2651.26] 这我们自己最近都观察到
[2651.26-2652.46] 不管从Facebook
[2652.46-2653.62] 各个各样社区媒体
[2653.62-2654.18] 电话
[2654.18-2654.78] 学习
[2654.78-2655.46] 账店
[2655.46-2656.82] 但是事实上是越来越多
[2656.82-2657.82] 所以我们认为
[2657.82-2658.82] 对国内来讲
[2658.82-2660.62] 虽然就是也是爱情无邪
[2660.62-2662.22] 因为一定当事业越乱
[2662.22-2663.66] 这件事情大家都不乐见
[2663.66-2665.58] 但事实上就是这个时候
[2665.58-2666.94] 很多大企业
[2666.94-2668.02] 然后各个产业
[2668.02-2669.46] 其实会去想要去寻衡
[2669.46-2671.54] 不过它不会因为景气不好
[2671.54-2673.74] 然后或关税账单的消失
[2673.74-2674.58] 当然我们看到
[2674.58-2676.46] 这个需求也越来越增长
[2676.46-2677.02] 对
[2678.46-2679.82] 关税卖给身份
[2679.82-2680.30] 身份
[2680.30-2681.10] 台币身份
[2681.74-2682.90] 对我想这是
[2682.90-2685.82] 这一个越大最关注的议题
[2685.82-2688.14] 尤其台湾出口到下
[2688.14-2688.82] 那
[2688.82-2691.42] 有机会看到我们的财报
[2691.42-2693.06] 通常也会看到有一定的
[2693.06-2694.62] 部位的这个美元
[2694.62-2695.78] 所以直觉就会认为
[2695.78-2697.46] 我们或许会受到
[2697.46-2699.46] 这个台币升值影响
[2699.46-2700.82] 那实际上是对我们影响
[2700.82-2701.46] 其实非常小
[2701.46-2702.26] 原因是
[2703.70-2704.46] 我们第一个
[2704.46-2706.18] 我们没有做美国市场的生意
[2706.18-2709.82] 我们在海外市场的话
[2709.82-2712.22] 目前是55%的营收来自于台湾
[2712.22-2713.78] 所以我们算很积极做台湾市场
[2713.78-2715.82] 海外市场目前占45%
[2715.82-2716.62] 尤其金融科技
[2716.62-2718.94] 我们单纯就做台湾市场
[2718.94-2720.54] 那海外市场部分
[2720.54-2721.98] 以whosco为主
[2721.98-2725.02] 主要是透过apple跟google收费
[2725.02-2727.42] 那这些服务的计价
[2727.42-2729.74] 是用当地币别来计价的
[2729.74-2730.78] 所以我们刚才讲
[2730.78-2731.74] 我们如果台湾以外
[2731.74-2733.14] 就是比如说泰国
[2733.14-2734.90] 日本这些地区
[2734.90-2738.22] 其实你当地的币别计价之后
[2738.22-2739.02] 转成美元
[2739.02-2741.46] 然后以apple跟google把美元给我们
[2741.46-2745.98] 所以它原本的涨幅
[2745.98-2748.10] 已经反映在我们的当地币别里面了
[2748.10-2751.86] 所以从片内容角度的话
[2751.86-2753.66] 唯一可能有影响的是
[2753.66-2754.98] 在业外的部分
[2754.98-2756.54] 因为我们持有美元
[2756.54-2758.06] 当时间比较长之后
[2758.06-2760.02] 至于有没有在账上
[2760.02-2761.54] 必须认列的风险
[2761.54-2763.10] 当然这个部分相对是
[2763.14-2763.74] 有这个空的
[2763.74-2764.66] 我们当时有美元
[2764.66-2766.86] 我们现在有月多还没有支出
[2766.86-2767.74] 我们就把它花掉
[2767.74-2769.10] 甚至就马上换台币
[2769.10-2772.10] 其实这个相对于业外部分
[2772.10-2775.06] 汇率的损益是容易控制的
[2775.06-2777.22] 那从本业上面其实没有影响
[2777.22-2779.14] 甚至可能对我们讲会有一点利益
[2779.14-2779.82] 为什么呢
[2779.82-2780.98] 我们是一个软体公司
[2780.98-2784.78] 所以我们有很大宗的成本跟费用
[2784.78-2788.02] 刚刚有讲到成本的最重要部分
[2788.02-2790.74] 就是apple跟google的present cut
[2790.74-2792.10] 那我们就是赴美金
[2792.10-2792.46] 好
[2792.46-2793.10] 那当然
[2793.14-2795.50] 我们有个账号的费用跟成本
[2795.50-2796.54] 那这些我们AWS
[2796.54-2798.26] 基本上就是我们美元计价的付贷
[2798.26-2799.34] 但就是很简单
[2799.34-2799.94] 就是没有
[2799.94-2802.18] 所以相对于从政治角度
[2802.18-2803.26] 我们汇率在这些账号
[2803.26-2807.10] 我们其实都费用都会有一些
[2807.10-2809.34] 会更少
[2809.34-2812.14] 就整个服务是
[2812.14-2814.90] 如果是在台湾整个服务是台币计价
[2814.90-2817.38] 所以台币变大
[2817.38-2818.74] 付出去变少
[2818.74-2821.30] 所以有可能在最后结算的时候
[2821.30-2822.18] 其实是一个
[2823.14-2825.18] 我也尝尽观察
[2825.18-2826.90] 我还是希望可以求稳定
[2826.90-2828.66] 好
[2828.66-2830.02] 谢谢三位的解释
[2830.02-2834.66] 下一个投资人的提问是想请问今年的费用预估的情形
[2834.66-2835.70] 大概是如何的
[2835.70-2836.74] 好
[2836.74-2837.54] 我听回答
[2837.54-2845.18] 刚才有点把我稍微踢倒
[2845.18-2848.86] 就是我们最大宗就是人事的费用
[2848.86-2850.42] 大概去年大概4亿多
[2850.42-2852.46] 大概在宜州的百分之十几左右
[2852.46-2855.30] 我们预期这种人力的结构
[2855.30-2857.10] 今年是不会太大变动
[2857.10-2860.66] 所以原本大概占到百分之五十
[2860.66-2862.50] 因为去年的营收大概8亿多
[2862.50-2864.10] 已经来看的话
[2864.10-2865.98] 可以明显降到百分之五十以下
[2865.98-2867.78] 可能到15%
[2867.78-2869.10] 差不多这样的一个区间
[2869.10-2872.18] 另外这个变化比较大
[2872.18-2873.14] 就是市场费用
[2873.14-2878.38] 刚刚有稍微提到我们因为户口跟代理金融
[2878.38-2880.74] 在个别市场已经到一定的
[2880.74-2881.90] 差距了
[2882.46-2888.46] 我们发现其实不再需要更多的
[2888.46-2891.14] 太多的行销费用来去支撑人力来成长
[2891.14-2894.66] 所以我们比如说我们在这个趋势在去年已经看得
[2894.66-2897.58] 我们前年之前2013年之前
[2897.58-2900.58] 行销费用可能都还占到预收到30%以上
[2900.58-2902.18] 去年已经低于30
[2902.18-2905.18] 我觉得今年我们会看到可能会接近20%
[2905.18-2906.02] 甚至更低
[2906.02-2909.86] 最后就是研发的费用
[2909.86-2911.82] 在Google Look里面
[2912.46-2916.70] 我们也很重视innovation这件事情
[2916.70-2919.14] 所以我们有一个team专门有一个team
[2919.14-2920.26] 就在做研发
[2920.26-2921.58] 我们就叫Day1
[2921.58-2923.58] 它一直在做新的工程
[2923.58-2927.22] 新的产品跟功能
[2927.22-2933.26] 我们基本上会控制大概都是在每一年的营收的10%
[2933.26-2934.78] 随着营收的成长
[2934.78-2936.34] 它可能会稍微小一点点
[2936.34-2939.34] 对我们大概8-10%这样的一个确定
[2939.34-2940.50] 好 以上
[2940.50-2942.22] 好 谢谢一言说明
[2942.46-2944.54] 下一个投资人提问是
[2944.54-2947.54] 代主金融要做到损益平衡
[2947.54-2949.38] 主要的关键点有哪些
[2949.38-2950.94] 我们的策略是什么
[2950.94-2952.38] 是不是也能够说明一下
[2952.38-2954.82] 企业端服务的损贫变呢
[2958.82-2959.66] over来看
[2959.66-2960.82] 刚刚Jake也带得到
[2960.82-2963.50] 我们整个不同的产品线
[2963.50-2967.14] Who's Call已经是货地状况非常好的一个实验体
[2967.14-2972.30] 随着代主金融的流量成长
[2972.30-2976.26] 更重要的是怎么样把流量流向到BTC
[2976.26-2979.22] 我们今年很重要的方向就是
[2979.22-2984.22] 原本代主是一个金融商业推荐的平台
[2984.22-2986.42] 我们主要客户来自于金融机构
[2986.42-2990.34] 主要是金融机构税务科的预算
[2990.34-2991.58] 做我们的营收来源
[2991.58-2996.94] 我们今年从低级已经才可以看得出来
[2996.94-3000.14] 我们慢慢把这样的一个流量可以导向非金融机构
[3000.14-3000.98] 这样的话
[3000.98-3001.42] 它的营收来源局面上是什么样的流量呢
[3001.42-3002.26] 这样的话它的营收来源局面上是什么样的流量呢
[3002.30-3005.02] 其实就更多元更广泛
[3005.02-3008.18] 所以我们相信这样的一个流量变现能力
[3008.18-3011.18] 在今年这样调整之后其他越来越好
[3011.18-3016.26] 所以我们会看到这个实验体
[3016.26-3018.42] 特别要达回第一份的话
[3018.42-3020.54] 今年的话会很接近
[3020.54-3023.42] 明年的话基本上都没有问题
[3023.42-3026.18] 再来就是这个企业份的部分
[3026.18-3029.54] 企业份的部分基本上就是人力了
[3029.54-3031.42] 人员为主
[3031.42-3034.14] 我们自己的推估的话
[3034.14-3042.18] 目前的话以今年的成长的这样的一个方式的话
[3042.18-3044.30] 其实今年就非常有机会
[3044.30-3048.06] 我们大概觉得大概一亿到多一点点的营收
[3048.06-3050.46] 其实就其实它有机会
[3050.46-3051.82] 怎么迷雾是一个Brain even
[3051.82-3052.78] 一亿到一亿之间
[3052.78-3055.22] 好
[3055.22-3055.86] 谢谢
[3055.86-3058.42] 下一个投资人提问是请教企业端目前需求和推进的问题
[3058.42-3058.94] 请教企业端目前需求和推进的问题
[3058.94-3059.54] 请教企业端目前需求和推进的问题
[3059.54-3060.02] 请教企业端目前需求和推进的问题
[3060.02-3060.54] 请教企业端目前需求和推进的问题
[3060.54-3061.66] 请教企业端目前需求和推进的问题
[3061.66-3061.82] 请教企业端目前需求和推进的问题
[3061.82-3063.86] 请教企业端目前需求和推进的问题
[3063.86-3064.02] 好
[3064.02-3068.06] 那我刚刚跟各位分享的是企业份整体成长的主旋律
[3068.06-3070.30] 就是每个国家跟机器进发
[3070.30-3072.18] 我现在在深入这个点
[3072.18-3074.78] 就是其实大家现在看到我们企业份的营收
[3074.78-3076.94] 其实主要来自于一个东西叫
[3076.94-3078.46] Antiseptic
[3078.46-3082.78] 讲简单一点就是我们授权我们拥有的销户跟App
[3082.78-3084.10] 然后给企业
[3084.10-3085.90] 然后供应给他的客户
[3085.90-3087.26] 就白台的收盖
[3087.26-3088.46] 这是目前最主要的
[3088.46-3089.90] 然后我分享两个
[3089.90-3090.46] 其实
[3090.46-3091.22] 像刚刚一样
[3091.22-3092.50] 我们叫A1
[3092.50-3093.86] 我们一直在创新
[3093.86-3098.02] 其实我们有两个服务都是从一站创新过来的
[3098.02-3101.94] 其中一个就是我们刚刚一样讲到市站
[3101.94-3103.26] 中间叫什么
[3103.26-3104.34] 主站
[3104.34-3105.30] 然后就是赌
[3105.30-3106.38] 然后再赌站
[3106.38-3107.42] 赌站
[3107.42-3109.62] 但是我们政府用的
[3109.62-3110.58] 市站
[3110.58-3112.18] 主站跟赌站
[3112.18-3113.50] 那我先讲
[3113.50-3114.82] 前面那个叫市站
[3114.82-3118.50] 其实市站也是我们第一年在1800新产业的一个挖权
[3118.50-3119.70] 那挖权的方式我可以推的
[3119.70-3120.02] 其实是
[3120.02-3120.42] 我跟大家讲
[3120.42-3121.18] 这是数据
[3121.18-3122.98] 这也是最历年统计出来的
[3122.98-3124.78] Google自己出了一个报告
[3124.78-3126.82] 就是建AI被用来
[3126.82-3128.10] 他的misuse
[3128.10-3130.66] 就是number one misuse of建AI
[3130.66-3132.46] 叫做 impersonation
[3132.46-3133.98] 就是冒名
[3133.98-3134.66] 对
[3134.66-3135.78] 这是非常厉害的
[3135.78-3137.34] 所以我说是别人做吧
[3137.34-3139.62] 就他就去冒企业的名牌
[3139.62-3140.70] 然后做价格农产
[3140.70-3142.26] 然后冒企业的高层
[3142.26-3144.74] 对像今天遇到财神去冒
[3144.74-3145.66] 做他们家的老板
[3145.66-3146.86] 是为什么冒名的
[3146.86-3148.26] 就是谢谢先生
[3148.26-3148.70] 对
[3148.70-3150.26] 那那挖权就是用的东西
[3150.26-3152.62] 用的就是我们在去年研发的
[3152.62-3153.98] 因为我们面子是有问题的
[3153.98-3155.02] 然后发表出来之后
[3155.02-3156.66] 都只是在台湾的发表的时候
[3156.66-3158.58] 为了甚至大颗物品挣掉的时候
[3158.58-3159.82] 那我们现在也看到说
[3159.82-3161.26] 其实在国东
[3161.26-3163.14] 对于这样子一个在广东市场
[3163.14-3165.42] 整个社区媒体里面去扫描
[3165.42-3166.82] 就是所有的冒名情况
[3166.82-3168.50] 它是虚头实在是变成这样的
[3168.50-3169.74] 但是说你行什么变
[3169.74-3170.82] 所以跟大家分享
[3170.82-3173.58] 这个产品也看到它虚头是变变验证
[3173.58-3174.34] 而且接下来我们想
[3174.34-3176.22] 整个世界的虚头越来越大
[3176.22-3179.14] 然后再来最后一个叫赌价
[3179.14-3179.82] 赌价我们说的东西叫做
[3179.82-3182.58] 我们叫试问识别识别系统
[3182.58-3184.62] 它客户基本上就是给他
[3184.62-3186.86] 然后他可以去避免那些杂骗户
[3186.86-3189.34] 或者我们可能投入进来去骗他
[3189.34-3192.50] 对那这东西接下来要进到台股
[3192.50-3193.70] 那我可以跟大家分享一个
[3193.70-3195.14] 一算松开消息
[3195.14-3198.22] 就是泰国青年的月中间
[3200.70-3201.90] 再找一个影片
[3201.90-3204.14] 对就是泰国青年的6月
[3204.14-3206.86] 会公布三张出贸名的
[3206.86-3209.74] 那是两三年前开了三件出贸名
[3209.82-3211.82] 对他们减卖
[3211.82-3212.82] 是
[3212.82-3213.82] 就是
[3213.82-3214.82] 是
[3214.82-3216.98] 银行外带交往
[3216.98-3217.98] 交往对
[3217.98-3220.66] 那那反正其实是一个欧巴美的地方
[3220.66-3223.02] 但你看到中央还是很多年线运营法
[3223.02-3224.74] 但泰国的欧巴美更多
[3224.74-3226.42] 有很多其实没有银行账报
[3226.42-3227.74] 然后这些服务就是因为
[3227.74-3231.10] 不这些比较偏远第二展现城市的
[3231.10-3232.74] 他们给我们的用户
[3232.74-3234.78] 今年6月到三档
[3234.78-3237.38] 那这些银行通常所面对最大困难是什么
[3237.38-3239.06] 是他怎么去协和
[3239.06-3239.66] 他怎么比
[3239.82-3240.82] 他开一个银行
[3240.82-3243.42] 所以现在可以看到的是
[3243.42-3246.50] 这里面这个我们讲最后赌价的这个系列
[3246.50-3248.26] 接下来会在泰国
[3248.26-3249.30] 我觉得会好
[3249.30-3252.62] 可以进行会还有三家那个数位银行
[3252.62-3255.42] 从接下来到在6月拿到牌子
[3255.42-3256.90] 然后花一年的时间
[3256.90-3259.38] 然后跟他们其实是一样
[3259.38-3261.46] 800光一年很少限
[3261.46-3262.34] 然后在这个过程当中
[3262.34-3263.62] 相信我们的这个
[3263.62-3264.86] 就是什么的
[3264.86-3267.22] 还跟这些这样子认真的方案
[3267.22-3267.94] 在东南亚
[3267.94-3269.62] 尤其是泰国都很好发展
[3269.82-3271.54] 就是对于两个新的
[3271.54-3273.22] 西方的服务跟大家做个说明
[3273.22-3276.22] 再融合一下刚刚那两题
[3276.22-3280.46] 刚好昨天也有对岸BAT的一个法说
[3280.46-3281.54] 刚好我也有去听
[3281.54-3282.98] 其实可以听得出来
[3282.98-3284.62] 就是整个的承担曲线
[3284.62-3285.90] 第一条第二条第三条
[3285.90-3288.78] 他用费伦的概念去做一个实现
[3288.78-3290.18] 其实我们公司也是
[3290.18-3292.26] 我们第一条实际上曲线是消费
[3292.26-3294.14] 消费者消费型的房价
[3294.14-3295.38] 像不是后台
[3295.38-3296.82] 让我们认为整个房价的一个整个诈骗的一个态度是什么呢
[3296.82-3297.82] 我们认为整个房价的一个整个诈骗的一个态度是什么呢
[3297.82-3300.10] 整个诈骗的一个态度是什么呢
[3300.10-3302.70] 永远用不够才是永远不够
[3302.70-3305.66] 所以我们做了第三条
[3305.66-3307.78] 第二条第三条在做过程当中
[3307.78-3310.90] 我们是一个很会做突袭的
[3310.90-3313.42] 尤其是突袭的一个服务的公司
[3313.42-3316.90] 我们也很会把他们的服务带到全世界去
[3316.90-3319.30] 所以当第一条已经非常有见识的时候
[3319.30-3321.02] 在做第二条第三条的时候
[3321.02-3322.90] 这时候就要看第二条第三条
[3322.90-3324.70] 时候可以获利
[3324.70-3327.78] 所以让我们自己看我们从去年
[3327.78-3330.06] 第四季是到今年第一季
[3330.06-3333.26] 整体在这二三条曲线的一个状况
[3333.26-3336.74] 我们认为今年是蛮好的一个获利
[3336.74-3340.34] 整体的一个爆发的一个很好的一个时间点
[3340.34-3341.50] 好
[3341.50-3343.30] 谢谢三位的补充
[3343.30-3347.50] 我们现在把现场的问题开放
[3347.50-3347.98] 好吧
[3347.98-3349.94] 就是刚刚工作人员准备一下
[3349.94-3352.26] 如果有任何情况投身
[3352.26-3354.18] 希望我们就上的话
[3357.78-3363.66] 谢谢
[3363.66-3364.78] 对
[3364.78-3366.54] 今天真的很exciting
[3366.54-3368.10] 我想问一下就是说
[3368.10-3371.50] 你们有没有看到什么样的商业风险
[3371.50-3372.50] 对你们来讲
[3372.50-3373.74] 为什么我刚刚跟你们讲
[3373.74-3375.22] 你企业端假设是sales
[3375.22-3376.66] 你的service
[3376.66-3377.74] 那房价
[3377.74-3379.54] 如果他们还是被诈骗之后
[3379.54-3379.86] 的话
[3379.86-3381.86] 你们会不会有什么样的法律责任
[3381.86-3383.38] 或者说分享责任
[3383.38-3387.58] 这是我主要对于风险的问题
[3387.78-3389.50] 好
[3389.50-3392.54] 首先第一个其实他们在提供服务管制服务
[3392.54-3395.22] 免费版还是订阅版
[3395.22-3395.98] 我们其实都讲
[3395.98-3399.18] 我们提供的是一个资讯供你做
[3399.18-3400.30] 就是资讯服务
[3400.30-3400.58] 对
[3400.58-3402.62] 所以到最后你看这样的资讯
[3402.62-3403.78] 最后会发生财损
[3403.78-3406.66] 行动媒体还有很多的包括个人判断
[3406.66-3408.26] 还有很多行为面的东西
[3408.26-3410.34] 这一方面我们其实是无法负责的
[3410.34-3413.10] 所以我们只是提供资讯服务给你做参考
[3413.10-3413.38] 对
[3413.38-3416.22] 所以它这方面的风险其实是较低的
[3416.22-3417.66] 我们自己也在思考的就是说
[3417.66-3420.22] 我们想要去考虑什么其他的风险
[3420.22-3420.70] 对
[3420.70-3422.94] 那这边你们如果有想到什么
[3422.94-3424.94] 也可以去进行一些补充
[3424.94-3430.06] 那对我来讲说这个防诈链题目最大的风险
[3430.06-3432.46] 我反而会认为是
[3432.46-3434.98] 现在其实是最大的差别
[3434.98-3436.62] 就是这种东西
[3436.62-3436.82] 对
[3436.82-3439.18] 就是对AI这件事情出来
[3439.18-3440.02] 作为一个替代
[3440.02-3442.18] 要我们想做什么新的东西
[3442.18-3442.50] 对
[3442.50-3445.06] 我觉得现在所有公司都在思考风险
[3445.06-3446.78] 那当然我们自己会过多的时机
[3446.78-3447.62] 我们自己认为
[3447.62-3449.38] 我们产业最重要的是
[3449.38-3450.46] 怎么降低风险
[3450.46-3450.66] 对
[3450.66-3451.66] 不能讲投入风险
[3451.66-3453.42] 我觉得那个大部分就是
[3453.42-3454.10] 嗜好
[3454.10-3456.46] 我觉得任何产业面对应该要有认识
[3456.46-3458.30] 我们重点是如何把资料
[3458.30-3460.26] 因为AI在这个资料
[3460.26-3461.42] 就像大家现在在讲
[3461.42-3462.54] 所谓叫领域共享
[3462.54-3463.54] 最为值得一个AI
[3463.54-3464.94] 你跟ChangeVT
[3464.94-3466.02] 只管你赢了
[3466.02-3468.38] 就说就是在你那个专业领域资料口
[3468.38-3470.30] 我们自己有专业专业领域资料
[3470.30-3470.74] 就是什么
[3470.74-3473.34] 就是想送自己有的电话号码资料
[3473.34-3475.06] 然后我们运动Sanitizer进来
[3475.06-3476.46] 网易网磁的资料
[3476.46-3477.90] 然后我们先建议Watchman
[3477.90-3480.06] 这样的服务在网路上含蓄
[3480.06-3481.30] 所有的诈骗网告
[3481.30-3483.58] 所有的诈骗连结
[3483.58-3486.82] 然后大家怎么去描述一段文章去骗你
[3486.82-3490.14] 这些资料怎么怎么样去一直保存它
[3490.14-3490.42] 对
[3490.42-3492.26] 然后多维度的去收集它
[3492.26-3493.26] 然后去降低
[3493.26-3494.94] 当DIY这件事情越来越聪明
[3494.94-3496.54] 然后有一天我们讲
[3496.54-3497.22] AGI
[3497.22-3498.38] 通用很多智慧
[3498.38-3500.42] 你怎么比它还是聪明一点点
[3500.42-3502.46] 我觉得这是我们现在在思考的风险
[3502.46-3503.54] 我们透过
[3503.54-3505.38] 包括我们自己上面放行道
[3505.38-3506.42] 其实是外来的一些方式
[3506.42-3507.38] 进口的计划
[3507.38-3508.02] 我们去守住
[3508.02-3510.42] 我们永远永有对抗大便这些事情
[3510.42-3512.82] 最丰富的资料来降低这个风险
[3512.82-3513.82] 那某种程度
[3513.82-3514.38] 用来讲
[3514.38-3515.94] 我们如果更积极去面对这个风险
[3515.94-3518.02] 我们的生命就比DIY更精准
[3518.02-3518.54] 对
[3520.66-3523.74] 我观察其实就是Follow刚才Jeff讲的
[3523.74-3524.78] 其实是有关联
[3524.78-3526.02] 就是AI的部分
[3526.02-3526.66] 就是
[3527.86-3529.02] 其实在人力上面
[3529.02-3531.66] 我们过去前两年当市场热的时候
[3531.66-3532.94] 我们是抢人的风险
[3532.94-3534.14] 我们是抢不到人
[3534.14-3536.22] 这是人力不注装之下
[3536.22-3539.30] 现在这一年比较是反过来了
[3539.30-3540.46] 就是我们发现
[3540.46-3543.50] 我们内部其实做很多的自动化跟AI化
[3543.50-3546.34] 我们用RPA去做很多的形象流程自动化
[3546.34-3550.30] 我们这些写扣都透过Copilot这些AI方式来处理
[3550.30-3553.74] 相反来是我们怎么样去太弱处理
[3553.74-3556.54] 想留下那些可以适应AI环境的人
[3556.54-3560.30] 我觉得目前是我们在机构环境上
[3560.30-3561.74] 一个蛮大的风险
[3561.74-3564.50] 好
[3564.50-3566.06] 我再问一问
[3566.22-3570.58] 你们有全世界最完善的防诈资料库
[3570.58-3573.94] 那我讨论说这个可以解释多一点
[3573.94-3575.10] 因为这东西我们不知道
[3575.10-3575.46] 第一个
[3575.46-3577.54] 第二个说那这样Cover够了吗
[3577.54-3579.46] 还是说其实可能这个Service
[3579.46-3581.90] 你们可能只Cover到10%
[3581.90-3584.10] 那后面代表机会还是
[3584.10-3585.26] 再加一个问题
[3585.26-3588.26] 就是说你们在亚洲不是你们现在经营的市场
[3588.26-3590.42] 有没有一个直接的Compatible
[3590.42-3593.62] 或者说你们刚才提到美国那些上市的公司
[3593.62-3594.70] 会不会有那个风险
[3594.70-3595.34] 就是
[3595.34-3595.86] 嗯
[3596.22-3599.30] 我认为我们现在要去加一些Information
[3599.30-3602.54] 因为如果我是讲说我们是全世界最大的防诈资料库
[3602.54-3604.82] 这是这句话有冒泡吗
[3604.82-3608.66] 对所以我们要分出什么样的最完整的对
[3608.66-3611.02] 我觉得你最完整来讲
[3611.02-3612.10] 是比较好的
[3612.10-3614.18] 然后在市场上我会分几个资料
[3614.18-3618.02] 就是一我们在亚就是我们的插载上日本
[3618.02-3618.86] 然后韩国
[3618.86-3621.06] 那韩国新加拿大
[3621.06-3622.54] 然后其它东西国家
[3622.54-3625.34] 就是我们这四个世界上最完善的防诈资料库
[3625.34-3629.06] 就是我们这个区域最完整的插片电话指标库
[3629.06-3630.06] 这是确定的
[3630.06-3633.02] 因为在这个区域比较没有Global Original Play
[3633.02-3635.22] 对 例如说我们在泰国有一个竞争对手
[3635.22-3636.58] 对 他是在东南亚
[3636.58-3637.58] 对 他其实是一个
[3637.58-3640.38] 他这个作弊主义的跟我们完全商业模式不太一样
[3640.38-3642.02] 他就是持有日本的指标库
[3642.02-3643.74] 就是泰国 日本 对
[3643.74-3645.86] 然后整个在东南亚的是
[3645.86-3648.30] 我们是唯一一个做比较海外区域的
[3648.30-3649.90] 所以我们可以讲是东南亚
[3649.90-3652.22] 电话 插片电话号码的指标库
[3652.22-3653.10] 这是最大的
[3653.10-3654.90] 另外在欧美
[3654.90-3656.62] 我们当时并不跟ScanAdvisor
[3656.62-3659.06] 这也是我们当初为什么觉得非必不可原是
[3659.06-3662.54] 他是在这个区域有网语网词指标库
[3662.54-3665.58] 在欧美就是算最大的面子
[3665.58-3667.02] 所以我们讲是最完整的新闻
[3667.02-3668.74] 但是现在区域都是算最大的
[3668.74-3669.82] 所以当我们手在一起
[3669.82-3672.50] 把这些资产放在同一个公司里面的时候
[3672.50-3674.46] 我们是最完整的大面电话指标库
[3674.46-3676.10] 跟网语网词指标库
[3676.10-3678.14] 那我可以当中的主政会是什么
[3678.14-3679.46] 比如说ScanAdvisor
[3679.46-3682.22] 那他就是我只能证明他最大
[3682.22-3682.82] 至少
[3682.82-3683.10] 我们
[3683.10-3686.62] 现在可以看到说当Google在提供他的网语电视
[3686.62-3687.34] 帐户的时候
[3687.34-3689.82] 他认为ScanAdvisor是一个不可或缺的
[3689.82-3691.42] 但是于是就在这件事情里面
[3691.42-3694.78] 甚至最近有一个叫Tentalkon大片组织
[3694.78-3696.86] 那我们其实是方力会员之一
[3696.86-3699.54] 他跟Google做一个叫GSE
[3699.54-3703.50] 叫GlobalSignal Exchange
[3703.50-3703.70] 对
[3703.70-3706.50] 然后Signal意思就是大片讯号
[3706.50-3709.18] 然后这个GlobalSignal Exchange里面
[3709.18-3711.54] 我们也是当中一个很重要被Google
