[0.00-5.00] 請到滕輝來為大家舉辦法術會分享
[2351.44-2352.36] QOQ
[2352.36-2352.88] 對的話
[2352.88-2354.48] 大概是在1.8
[2354.48-2355.24] 那這個毛利率
[2355.24-2356.24] 增加的一個指標
[2356.24-2357.28] 我們已經
[2357.28-2361.36] 是
[2361.36-2363.12] 就是
[2363.12-2364.08] 就
[2364.08-2365.88] 我們有些加工費的費用
[2365.88-2367.28] 是
[2367.28-2368.92] 今年因為有份的
[2368.92-2370.16] 就是有各個
[2370.16-2371.24] 培工商的
[2371.24-2372.88] 有限的長期
[2372.88-2373.28] 所以
[2373.28-2374.64] 這個加工費
[2374.64-2375.84] 這個比例
[2375.84-2376.68] 相較於去年
[2376.68-2377.96] 還有假文化時期的
[2377.96-2378.24] 對
[2378.24-2379.12] 所以這個多個
[2379.12-2380.24] 就一致的
[2380.24-2380.48] 好
[2380.48-2381.28] 可以
[2381.28-2382.40] 所以這部分
[2382.40-2383.24] 要先加給
[2383.24-2385.08] 那再來
[2385.08-2385.72] 我們看一下
[2385.72-2387.96] 營收的狀況
[2390.32-2392.28] 我這麼遠有點看不到數字
[2392.28-2392.52] 好
[2392.52-2395.32] 不過大家可以看一下說
[2395.32-2398.00] 我們把它區分為一般材料
[2398.00-2399.92] 特殊材料跟其他
[2399.92-2400.88] 那一般材料
[2400.88-2402.96] 第一季來講的話
[2402.96-2404.36] 是無比於40%
[2404.36-2405.84] 大概30%
[2405.84-2408.56] 其實過去幾季
[2408.56-2410.64] 大概都已經低於50了
[2410.64-2410.84] 好
[2410.84-2414.64] 那現在大概就在40%上下左右
[2414.64-2414.84] 然後特殊材料的數字是多少呢?
[2414.84-2415.68] 然後特殊材料的數字是多少呢?
[2415.72-2417.00] 那現在就要看這個材料部分
[2417.00-2418.80] 超過的推薦
[2418.80-2420.32] 那這部分包含的是什麼?
[2420.32-2423.28] 包含了剛剛提到的三樣特殊材料
[2423.28-2425.60] 一個是PI906的基板
[2425.60-2427.68] 第二是不流膠PT
[2427.68-2429.56] 那當然包含了901膠細
[2429.56-2431.32] 還有很多其他膠細
[2431.32-2434.32] 包括剛剛提到的M6膠細
[2434.32-2436.64] 就是不流膠PT這個材料
[2436.64-2439.08] 然後另外一個是散熱材料
[2439.08-2440.88] 就是基礎基板的部分
[2440.88-2443.52] 因為我們有各式各樣不同的基礎基板
[2443.52-2445.52] 那加上
[2445.72-2448.80] 因為我們在海外有海外子公司
[2448.80-2452.80] 小智爺師跟台小招比較獨特的
[2452.80-2455.84] 我們做非核心產品的
[2455.84-2457.76] 我們做一些TREATING的材料
[2457.76-2460.96] 包括就是流木或者是設備之類的
[2460.96-2462.40] 但是也包含進來
[2462.40-2465.16] 總的加起來都是超過50
[2465.16-2467.64] 那如果我們自立來看單一化
[2467.64-2472.44] 不流膠PT大概現在暫時說是6到7%
[2472.44-2474.04] 那基板901基板的話
[2474.04-2475.56] 就是聽說好像房間好像是有很多的
[2475.72-2478.72] 大概也是6到7%左右
[2478.72-2482.32] 那高速的材料
[2482.32-2484.08] 就是高速Low Low的材料
[2484.08-2486.60] 大概是降低4%左右
[2486.60-2489.36] 那另外散熱材料大概是
[2489.36-2492.36] 這個30到30
[2492.36-2494.68] 因為他們都擴動好大一些
[2494.68-2496.72] 然後NCCl部分
[2496.72-2498.20] 就是非核心產品部分
[2498.20-2500.04] 現在大概降低8%
[2500.04-2505.56] 總共大概50到53%左右這樣子
[2505.72-2510.40] 那剩下就是其他的賣一些材料
[2510.40-2513.08] 賣一些材料飲料便利商品之類的
[2513.08-2517.36] 所以當然一做證理大概更多的報告以上
[2517.36-2519.12] 好我們看一下第一季的財報
[2519.12-2521.28] 其實公司的財務結構
[2521.28-2523.40] 其實相對簡單
[2523.40-2526.68] 那第一季的營收說不來說是
[2526.68-2528.04] 幾乎是持平
[2528.04-2530.48] 因為這有點匯率的指數
[2530.48-2532.92] 那毛利率剛有分部位報告過
[2532.92-2535.56] 那在營業費用部分有稍微
[2535.72-2537.24] 有稍微減少
[2537.24-2540.76] 那主要是因為第一季的營業薪數比較少
[2540.76-2542.68] 而且第一季的報告過
[2542.68-2544.32] 所以相較來講的話
[2544.32-2546.92] 費用率會稍微低一些
[2546.92-2549.24] 所以我們可以看到第一季
[2549.24-2551.08] 其實以營業利益來看的話
[2551.08-2553.32] 是優於去年第四季度
[2553.32-2555.48] 那只是說在業外部分
[2555.48-2557.16] 因為去年第四季
[2557.16-2559.72] 這個金對海利
[2559.72-2562.96] 還有就是人心對人力有比較大的一些
[2562.96-2564.32] 會對收益好
[2564.32-2565.32] 所以呢
[2565.32-2566.56] 今年第一季商量的時候
[2566.56-2567.32] 其實沒有那麼大
[2567.32-2568.40] 所以請業外的差異
[2568.40-2569.92] 可以不要太外
[2569.92-2570.92] 這個會對收益
[2570.92-2571.72] 大家可以看一下
[2571.72-2573.16] 我上傳的財報
[2573.16-2575.40] 所以在第一季來講的話
[2575.40-2578.56] 目前做到的金利是7200萬
[2578.56-2580.64] 第四季稍微熟一些
[2580.64-2584.36] 那美國人身份就有一點點的變化
[2584.36-2587.16] 那再來看一下
[2587.16-2590.00] 就是說等於中方來講的話
[2590.00-2593.00] 因為營收的變化
[2593.00-2594.64] 通動是還蠻十分的
[2594.64-2595.28] 其實我們的
[2595.32-2596.60] 資產貨幣在狀況上
[2596.60-2599.52] 相較來說是也是一家持穩
[2599.52-2602.88] 那只是說我們的現金目前部位比較高
[2602.88-2605.28] 主要是因為現在有一些
[2605.28-2607.44] 因為接下來要發放品品
[2607.44-2609.80] 大家都知道我們自己政策
[2609.80-2614.00] 基本上股利發的還算是可以的
[2614.00-2614.88] 所以呢
[2614.88-2617.48] 在目前的資金表現稍微高一點
[2617.48-2620.52] 那在7月發放股利之後
[2620.52-2622.24] 金錢又降了一些
[2622.24-2623.96] 不過目前來說
[2623.96-2625.28] 我們基本上是沒有錢的情況下
[2625.32-2626.92] 所以我們還是很期待
[2626.92-2628.52] 目前的資金表現是相對的不佳
[2628.52-2630.80] 因為現在公司的財務狀況
[2630.80-2632.08] 還算是蠻自信自己
[2632.08-2634.32] 我覺得有需要說的問題
[2634.32-2640.12] 那在股利政策的部分
[2640.12-2641.20] 今年金通過
[2641.20-2643.04] 就是3月期間通過了
[2643.04-2645.88] 那我們今年需要發3.35
[2645.88-2648.32] 是跟去年是持平的
[2648.32-2651.64] 雖然說去年的有死消耗的傳統值
[2651.64-2652.80] 不過就覺得說
[2652.80-2654.64] 因為目前現金都沒有到充裕
[2654.64-2657.64] 所以還是有收穫不可
[2657.64-2660.36] 那以上大概是財務上的說明
[2660.36-2663.64] 那因為有最近就是過完五一之後
[2663.64-2664.96] 對大陸五一之後
[2664.96-2667.84] 台股相較於美金的一個大幅的升值
[2667.84-2669.40] 其實應該是說美金大幅
[2669.40-2671.36] 變成了非歐元南周並比的狀況
[2671.36-2674.52] 就是相較於它是大幅的升值
[2674.52-2677.24] 那我們目前來講的部位
[2677.24-2679.44] 就我們的外資資產負債的部位
[2679.44-2681.12] 唯一有風險的其實是
[2681.12-2683.76] 是金融股息沒有持平在公司
[2684.64-2686.64] 所以我們預估說
[2686.64-2689.64] 第二季可能會有一些會成成
[2689.64-2690.64] 所以這樣子
[2690.64-2692.64] 那其他在trading方面的話
[2692.64-2694.64] 因為沒有美金資產上來
[2694.64-2696.64] 所以在目前看來
[2696.64-2698.64] 因為美金相較於美金來自
[2698.64-2700.64] 其實升值也算小的
[2700.64-2703.64] 所以就說這個不太想要影響
[2703.64-2706.64] 那以上大概的後維權的想法
