[0.00-7.50] 漢翔航空工業股份有限公司線上法人說明會即將會在兩分鐘之後開始
[3906.98-3909.98] 那就是我们持续努力当中
[3909.98-3916.98] 另外进罚款部分是否Q1既可支付完毕
[3916.98-3917.98] 这个应该没有吧
[3917.98-3919.98] 没有没有
[3919.98-3920.98] 秀燕说什么
[3920.98-3921.98] 秀燕说什么
[3921.98-3922.98] 是
[3922.98-3930.98] 因为罚款这部分是客户会从他的货款中直接扣除
[3930.98-3935.98] 所以你们说支付完成这个我就不是很清楚您的真正的问题
[3935.98-3940.98] 但是罚款我们还是会在第一季的时候
[3940.98-3949.98] 依照到3月31号公司可能有的预期的情况都要列记
[3949.98-3951.98] 这个罚款
[3951.98-3954.98] 作为就是是收入的一个减下
[3954.98-3959.98] 我不知道这样的一个说明是不是无符合到你的问题
[3959.98-3965.98] 还有其他的问题吗
[3965.98-3970.98] 不懂请问一下
[3970.98-3971.98] 那个电力岛的部分
[3971.98-3974.98] 在我们以马来西亚的法规来讲的话
[3974.98-3976.98] 他会有要求说什么
[3976.98-3978.98] 我如果说需要
[3978.98-3986.98] 我如果说需要在屋顶上或是需要在某一个民间的一个场所这边建制风力发电案场的时候
[3986.98-3988.98] 他需要什么相关的执照吗
[3988.98-3993.98] 这个我们还在跟额重痕联系当中
[3993.98-3995.98] 细部的整个规划
[3995.98-3997.98] 我们要进一步的了解
[3997.98-3998.98] 对
[3998.98-4000.98] 所以初步的法规这边的话
[4000.98-4002.98] 应该应该不是问题
[4002.98-4005.98] 只是我们要细部要知道怎么去突破或什么
[4005.98-4007.98] 应该因为各国都有不同的法规嘛
[4007.98-4010.98] 我想这就是我们要合作的那个方向
[4010.98-4012.98] 那台湾的这一边的法规
[4012.98-4014.98] 你有大概了解一下吗
[4014.98-4016.98] 台湾的法规应该
[4016.98-4018.98] 你要您指的是哪一方面的
[4018.98-4020.98] 比如说像建制太阳能的时候
[4020.98-4022.98] 他的那些使用执照
[4022.98-4024.98] 或是说除了暗场这一边的
[4024.98-4026.98] 他的那个使用执照的这状况
[4026.98-4029.98] 使用执照这个
[4029.98-4033.98] 使用执照这一块
[4033.98-4035.98] 这块我们
[4035.98-4037.98] 我们会后再做一个
[4037.98-4039.98] 这个我们了解
[4039.98-4044.98] 这个应该是有一定的那个厂商会去做申请
[4044.98-4046.98] 所以跟我们配合的厂商基本上
[4046.98-4049.98] 如果说我们今天要去做这个暗场的话
[4049.98-4052.98] 我们基本上这部分一定会循序
[4052.98-4054.98] 对对对
[4054.98-4055.98] 那个对
[4055.98-4056.98] 那承接的厂商
[4056.98-4058.98] 他要去负责申请的执照
[4058.98-4060.98] 所以法规不是问题
[4060.98-4061.98] 不是问题不是问题
[4061.98-4063.98] 这不是问题对不对
[4063.98-4064.98] 了解谢谢
[4064.98-4066.98] 不好意思因为字很小
[4066.98-4068.98] 然后看完之后
[4068.98-4071.98] 那个还有没有其他的问题
[4071.98-4078.98] 就那就这样子
[4078.98-4080.98] 再确认一次
[4080.98-4081.98] 还有没有其他各位先进
[4081.98-4083.98] 还有没有其他问题要澄清的
[4083.98-4085.98] 又来一个
[4085.98-4089.98] 2020年的国防业务的进取联系
[4089.98-4093.98] 目前还在持续努力当中
[4093.98-4095.98] 这个部分我们在持续争取
[4095.98-4099.98] 刚刚我们简报内的一些业务商机
[4099.98-4101.98] 我们大概都已经做了说明
[4101.98-4104.98] 刚刚简报的第二大段的部分
[4104.98-4106.98] 是
[4106.98-4109.98] 还有没有其他的问题
[4109.98-4114.98] 来是不是
[4114.98-4116.98] 再确认一下
[4116.98-4118.98] 还有没有其他的问题
[4118.98-4120.98] 是
[4120.98-4122.98] 口头直接问也可以
[4122.98-4124.98] 来不及打字的话
[4124.98-4127.98] 科技服务2025年成长看
[4127.98-4129.98] 2025年成长看
[4129.98-4131.98] 科技服务2025年
[4131.98-4134.98] 今年就是我们有很多标案
[4134.98-4136.98] 就是刚刚讲的stay calm的那个案子
[4136.98-4138.98] 然后我想大家应该知道
[4138.98-4141.98] 通宵台电我们都不会缺席
[4141.98-4149.98] 还有没有其他问题
[4149.98-4153.98] 这样子
[4153.98-4156.98] 还是第一机会办的
[4156.98-4157.98] 是的
[4157.98-4160.98] 如果各位投资先进已经没有问题
[4160.98-4162.98] 想要提问的话
[4162.98-4167.98] 汉祥本次汉祥公司本次的法人说明会就到此结束
[4167.98-4170.98] 很谢谢今天代表出席的经营团队
[4170.98-4173.98] 也很感谢各位贵宾的力领指教
[4173.98-4174.98] 谢谢大家
[4174.98-4175.98] 谢谢各位
[4175.98-4176.98] 谢谢各位先进
[4176.98-4177.98] 谢谢大家
[4177.98-4178.98] 谢谢大家
[4183.98-4184.98] 谢谢各位
