[0.00-4.00] 各位好 謝謝麻煩你們今天跑一趟了
[4.00-8.00] 然後今天的簡報內容
[3433.38-3436.38] 所以它大概我那天有跟印尼的總經理討論過
[3436.38-3439.38] 它應該7月份之前都已經試試樣
[3439.38-3444.38] 試量已經送到SONY的那個怨談場去組裝了
[3444.38-3448.38] 那現在如果說在這一次這段review沒有問題的話
[3448.38-3450.38] 應該7月就會正常交貨
[3450.38-3452.38] 請問一下
[3452.38-3453.38] 請問一下
[3453.38-3454.38] 請問一下
[3454.38-3456.38] 這次的美國關稅對你們有影響嗎
[3456.38-3457.38] 沒影響
[3457.38-3458.38] 沒影響
[3458.38-3460.38] 我比較怕經濟衰退而已
[3460.38-3462.38] 但是現在看起來好像還好
[3462.38-3463.38] 對
[3463.38-3465.38] 因為出貨沒有直接
[3465.38-3467.38] 我沒有直接出美國
[3467.38-3470.38] 因為零件的部分大概有交到美洲
[3470.38-3473.38] 是交到佛吉亞的墨西哥的中轉艙
[3473.38-3476.38] 那個佔我原來PETEC還沒合併之前
[3476.38-3477.38] 佔不到10%
[3477.38-3481.38] 然後那個BIGL它交給CGATE
[3481.38-3483.38] 因為中國這邊是交給Low Cost
[3483.38-3485.38] 就只有中國本地使用
[3485.38-3491.38] 泰國這邊是交CGATE它是全球的需求
[3491.38-3495.38] 所以它其實真正回美國的也不是你交給CGATE多少
[3495.38-3496.38] 它就全部都回美國
[3496.38-3499.38] 所以其實這一段我們目前沒有受到這一段的影響
[3499.38-3503.38] 那匯率的變動對財報有影響嗎
[3503.38-3505.38] 匯率的變動Q1有一點點
[3505.38-3508.38] 我們也有打算就是也在討論
[3508.38-3509.38] 不過還好
[3509.38-3510.38] 因為它幾乎自然避險
[3510.38-3511.38] 因為我們的收入
[3511.38-3512.38] 我們的收入
[3512.38-3516.38] 跟主要這一些零件的付款
[3516.38-3519.38] 就是大頭的這些就是CGATE指定用料的這些
[3519.38-3521.38] 其實它收付款主要是美金
[3521.38-3524.38] 所以它有一部分自然避險的效果
[3524.38-3526.38] 那我們也有針對說現金的部分
[3526.38-3528.38] 就金要不要這個時間點去做避險
[3528.38-3529.38] 其實蠻難的
[3529.38-3530.38] 真的很難
[3530.38-3533.38] 因為那個一個不小心兩邊都被扒
[3533.38-3537.38] 對這個我們那邊跟財務長兩個在那邊笑
[3537.38-3539.38] 說現在因為變動太快了
[3539.38-3540.38] 它這個變動太快
[3540.38-3542.38] 我們有一個很長期的趨勢變動
[3542.38-3543.38] 所以我們可以參考的時候
[3543.38-3546.38] 其實你隨意在這個時間點
[3546.38-3548.38] 要去下一個決定做事情的話
[3548.38-3550.38] 你帶來權利金的損失
[3550.38-3552.38] 那你到底是不是真的會做對邊
[3552.38-3553.38] 這個真的
[3553.38-3556.38] 我寧願這個時間點稍微保守一點觀察
[3556.38-3557.38] 對
[3565.38-3567.38] 大家如果沒有記憶或問題
[3567.38-3568.38] 我們今天訪問的時間到這邊
[3568.38-3570.38] 謝謝大家的參與
[3570.38-3571.38] 祝大家投資順利生日快樂
[3571.38-3572.38] 謝謝
[3572.38-3573.38] 謝謝
