[0.92-3.58] 各位投资以及媒体先进大家好
[3572.00-3576.00] 我觉得未来几季的出货量应该对鸿海来讲
[3576.00-3578.00] 大概不是太大的问题
[3578.00-3583.00] 那至于说Cowas减产对这个有什么
[3583.00-3586.00] 是代表什么讯号
[3586.00-3589.00] 那这个部分我们是不太清楚
[3589.00-3593.00] 可能这个要去问这个跟Cowas
[3593.00-3596.00] 或者是我们的跟NVIDIA
[3596.00-3598.00] 他们可能会比较清楚
[3598.00-3603.00] 那至于说这个在GB300
[3603.00-3606.00] 这个上面相关的这些问题
[3606.00-3613.00] 我觉得这个还是这个让我们的客户来回答
[3613.00-3615.00] 因为他们比我们清楚了
[3615.00-3621.00] 那至于在关税的问题上
[3621.00-3628.00] 那在我们其实陆陆续续大家也听到
[3628.00-3632.00] 这个我们在美国跟我们的客户
[3632.00-3638.00] 在几个州都会有一些
[3638.00-3643.00] 在美国生产的一些合作的计划
[3643.00-3649.00] 那这些计划我觉得应该会越来越多
[3649.00-3651.00] 应该会越来越多
[3651.00-3656.00] 所以陆陆续续当这些计划成熟的时候
[3656.00-3657.00] 我们都会
[3657.00-3660.00] 我们都会让大家知道
[3660.00-3667.00] 那这个关税上面的问题
[3667.00-3672.00] 一直都是现在我们客户CEO
[3672.00-3675.00] 他们非常头痛
[3675.00-3679.00] 而且非常这个整个专注
[3679.00-3681.00] 关注的一个问题
[3681.00-3686.00] 那未来会未来一年会怎么发展
[3687.00-3690.00] 那我们现在看到这个美国政府
[3690.00-3694.00] 对于关税的这些他的态度
[3694.00-3696.00] 还有他的做法
[3696.00-3699.00] 我觉得很难很难预测
[3699.00-3702.00] 所以我们只能这个静观其变
[3702.00-3704.00] 把我们能够做的做好
[3704.00-3711.00] 这才是我们的这个鸿海的一个态度
[3711.00-3714.00] 那至于在iPhone这边
[3714.00-3715.00] 我觉得这个苹果这边呢
[3715.00-3718.00] 我觉得这个苹果是一个非常好的公司
[3718.00-3721.00] 绝对不要看到他现在
[3721.00-3724.00] 好像因为整个市场的这个关系
[3724.00-3727.00] 市场上的一些竞争的关系
[3727.00-3731.00] 感觉起来好像iPhone
[3731.00-3736.00] 可能不如想象中的表现的好
[3736.00-3739.00] 但是我们对苹果非常非常有信心
[3739.00-3743.00] 我相信在这个深层式AI上面
[3743.00-3744.00] 他们一定会有信心
[3745.00-3748.00] 会有一些这个作为的
[3748.00-3752.00] 所以我们一定还会持续的跟
[3752.00-3755.00] 我们的这个客户
[3755.00-3759.00] 会维持这个深度的合作
[3759.00-3761.00] 并不会改变
[3761.00-3763.00] 以上
[3763.00-3767.00] 好那这个现在4点02分
[3767.00-3769.00] 那我们是接受最后的问题
[3769.00-3771.00] KGI的Angela提问
[3771.00-3773.00] Angela
[3775.00-3779.00] 请问有听到我的声音吗
[3779.00-3780.00] 请说
[3780.00-3784.00] 我有两个比较小的问题想请教一下
[3784.00-3786.00] 第一个就是刚刚董事长提到
[3786.00-3788.00] 我们今年的这个AI
[3788.00-3790.00] 应该会铁定超过一半
[3790.00-3792.00] 我们的4%收比重
[3792.00-3793.00] 那我可以先问一下
[3793.00-3794.00] 2024年这个比重
[3794.00-3796.00] 可以给我们大概update一下吗
[3796.00-3797.00] 这是第一个
[3797.00-3798.00] 然后第二个问题
[3798.00-3800.00] 其实比较跟财务有关
[3800.00-3803.00] 就是公司之前其实
[3803.00-3804.00] 刚刚有提到的就是
[3804.00-3805.00] 应该是刚刚有提到
[3805.00-3806.00] 我们的AI上来
[3806.00-3809.00] 可能对毛利率有一点点稀释的状况
[3809.00-3812.00] 可是对OP Margin应该还是正向
[3812.00-3814.00] 那我这边可能想要请教
[3814.00-3815.00] 这个正向的意思是说
[3815.00-3817.00] 跟我们的公司的平均值
[3817.00-3819.00] 比如说3%上下
[3819.00-3821.00] 这个OP Margin Level是不是
[3821.00-3823.00] 很接近这样的一个水位
[3823.00-3825.00] 那这是我比较follow up的问题
[3825.00-3826.00] 谢谢
[3827.00-3830.00] 第一题是我先来回答
[3830.00-3832.00] 那2024年AI资物线占比
[3832.00-3834.00] 约略在这个4%
[3834.00-3836.00] 40%到42%之间
[3836.00-3839.00] 先跟Andrea做一个参考
[3839.00-3841.00] 好的谢谢
[3841.00-3842.00] 好
[3842.00-3849.00] 那对于整个OPM的影响
[3849.00-3852.00] 就像我们刚才财务长讲的
[3852.00-3857.00] 那大概是
[3857.00-3861.00] 这个有相关的一些干感的效应
[3861.00-3863.00] 那这些效应呢
[3864.00-3866.00] 应该会让我们的OPM
[3866.00-3869.00] 跟今年超不了多少
[3869.00-3870.00] 跟去年
[3870.00-3873.00] 跟去年比率超不了多少
[3873.00-3876.00] 我们的预测大概是这个样
[3876.00-3878.00] 好
[3878.00-3879.00] 谢谢 非常有帮助
[3879.00-3880.00] 谢谢
[3880.00-3882.00] 好 谢谢Andrea
[3882.00-3884.00] 那现在时间是4点04分
[3884.00-3886.00] 那我想这个各位应该
[3886.00-3889.00] 已经获得了不少的答案跟提醒
[3889.00-3890.00] 那我们今天的访说会
[3890.00-3892.00] 就开到这个地方
[3892.00-3893.00] 我们要谢谢大家的一个参与
[3894.00-3895.00] 谢谢大家
[3895.00-3896.00] 好 谢谢
