[0.00-5.92] 好,各位投资先进、分析师朋友、媒体伙伴以及线上的同仁们大家好
[3306.92-3312.46] 不管所以現在我們美國的地方的人數
[3312.46-3314.26] 大概有到30人
[3314.26-3316.60] 這是其實滿大的一個團隊
[3316.60-3319.50] 可以在那邊就地服務客人
[3319.50-3321.92] 那這個所謂Switch TOR
[3321.92-3323.50] 就是這種Networking TOR
[3323.50-3324.72] 這一部分的客人
[3324.72-3327.56] 到Data Center Cable這部分的客人
[3327.56-3329.22] 確實是要就地服務的
[3329.22-3330.72] 是沒有辦法說
[3330.72-3332.72] 我們從台灣這邊來
[3332.72-3335.56] 因為台灣這邊做OEM、ODM做慣了
[3335.56-3339.88] 比較不能服務這種第二階的客人
[3339.88-3341.46] 所以我跟各位報告一下
[3341.46-3344.38] 我原本CSP的客人在2023、2024
[3344.38-3347.42] 就已經拿下百分之八、九十的
[3347.42-3349.22] 這些比較大型的CSP
[3349.22-3352.52] 那現在的話第二階、第三階的客戶
[3352.52-3355.76] 我們也就是那種所謂的算力公司
[3355.76-3357.88] 就是這類的算力公司在美國當地
[3357.88-3358.88] 我們是每一個客戶
[3358.88-3360.68] 每一個NVIDIA的Partner
[3360.68-3362.38] 我們都在裡面
[3362.38-3365.12] NVIDIA的Partner裡面有包括
[3365.12-3371.08] 新思、奕華、然後Cold Wave、到Lavda
[3371.08-3372.46] 我們是都在裡面
[3372.46-3375.18] K&K、K&K等我們都在當地
[3375.18-3379.04] 都是跟他們一起非常密切的合作的
[3379.04-3382.38] 這個也是一個很具不一樣的
[3382.38-3385.08] 跟我的競爭對手
[3385.08-3386.88] 當然我的競爭對手除了美國
[3386.88-3388.88] 那幾家非常Super很大的
[3388.88-3390.88] 如果講國內的話
[3390.88-3393.54] 大家在問我們說我們的Position
[3393.54-3394.64] 我們的位置在哪裡
[3394.64-3398.38] 我想我們應該是跑得更早更快
[3398.38-3401.18] 然後我們也其實很有經驗
[3401.18-3403.38] 我們做高速已經將近十年了
[3403.38-3406.38] 現在當然我們的追兵不少
[3406.38-3409.88] 但是我想如果他沒有做過40機、做100機
[3409.88-3412.38] 他現在就說直接跳400機
[3412.38-3415.38] 我們是認為這個其實是有
[3415.38-3418.88] 是要做一些累積的事情
[3418.88-3421.88] 不然跟客戶的累積還是技術累積
[3421.88-3423.88] 還是經驗的累積
[3423.88-3429.88] 我想這個部分有滿多的Factor在裡面
[3429.88-3434.88] 才可以在這個高速通訊傳輸上面
[3434.88-3439.88] 算是一個Player
[3439.88-3443.88] 我們往年大部分都是
[3443.88-3447.88] 是客戶的需求我們做
[3447.88-3448.88] 那現在呢
[3448.88-3450.88] 我們其實自己的Roadmap
[3450.88-3453.88] 不管是高壓電、高壓產品
[3453.88-3455.88] 不管Convector跟K-Po這個部分
[3455.88-3459.88] 我們其實進展的相當不錯了
[3459.88-3461.88] 光的產品的話
[3461.88-3463.88] 希望我們下一季就可以
[3463.88-3469.88] 看得到它其實滿不錯的成長
[3469.88-3470.88] 好
[3478.88-3481.88] 那還要再仔細問我的生產基地在哪裡
[3481.88-3485.88] 有關於GPU Server的主要產品生產基地
[3485.88-3487.88] 目前的話台灣也一個
[3487.88-3489.88] 台灣也能夠量產
[3489.88-3492.88] 然後南越跟北越都能量產
[3492.88-3496.88] 然後我們還有中國也可以量產
[3496.88-3498.88] 那這個是Depends我們怎麼交貨
[3498.88-3501.88] 如果說我要交貨到泰國
[3501.88-3505.88] 那我其實是從中國還是在出貨
[3505.88-3507.88] 然後我可能要交貨到我的SRF
[3507.88-3509.88] 在荷蘭
[3509.88-3510.88] 比如說我的大客戶
[3510.88-3511.88] CSP的客戶
[3511.88-3514.88] 他要求我出貨出到荷蘭
[3514.88-3516.88] 出貨出到捷克
[3516.88-3519.88] 就是他們要整個做成那個RAC系統的
[3519.88-3521.88] 那我目前都在交
[3521.88-3523.88] 他可以交到荷蘭、交到捷克
[3523.88-3527.88] 交到美國、交到新加坡、愛爾蘭
[3527.88-3529.88] 這些公司就是都是
[3529.88-3532.88] 那這個已經算是我們已經形成了整個的
[3532.88-3534.88] 跟客戶的Ecosystem
[3534.88-3535.88] 對
[3535.88-3536.88] 那我們其實是
[3536.88-3538.88] 那我們可以交貨交到這麼多點
[3538.88-3541.88] 那所以我就多國的生產地可以因應
[3541.88-3544.88] 因為關稅、因為速度
[3544.88-3546.88] 因為技術
[3546.88-3547.88] 我們就去做這樣的區分
[3547.88-3550.88] 這個部分我們算是比較早佈局
[3550.88-3551.88] 所以這個部分
[3551.88-3557.88] 我們公司這個部分的那種煩惱就比較少
[3557.88-3558.88] 對
[3558.88-3559.88] 對
[3559.88-3560.88] 對
[3560.88-3561.88] 對
[3561.88-3562.88] 對
[3562.88-3563.88] 對
[3563.88-3564.88] 對
[3564.88-3565.88] 對
[3565.88-3566.88] 對
[3566.88-3567.88] 對
[3567.88-3568.88] 對
[3568.88-3569.88] 對
[3569.88-3570.88] 對
[3570.88-3572.88] 對
[3572.88-3573.88] 對
[3573.88-3574.88] 對
[3574.88-3594.88] 是
[3595.88-3597.56] 我可能要开发两年
[3597.56-3600.78] 然后我可能要做市场的布局也两年
[3600.78-3602.94] 那这个部分就会看到
[3602.94-3606.54] 因为他还没有开发成本
[3606.54-3607.22] 对当然是
[3607.22-3609.86] 还有我们人力也正在增加
[3609.86-3611.80] 那其实多国的生产
[3611.80-3616.86] 确实我们的资源的布局就要更大
[3616.86-3619.28] 以前都在同一个生产的地方
[3619.28-3621.30] 就是有1000人
[3621.30-3623.84] 我们现在都布局到
[3623.84-3626.60] 每一个地方都是500人或300人
[3626.60-3627.72] 那这个的话
[3627.72-3630.82] 我们的资源就是有不一样的布局
[3630.82-3634.62] 所以这个可能会在这里稍微有一点点
[3634.62-3637.16] 但是整体来说
[3637.16-3640.08] 我还是看见2025年
[3640.08-3643.00] 毛利也是相对是还是蛮优良的
[3643.00-3644.76] 我们整个的东西都蛮优异的
[3644.76-3647.64] 我们的客户跟产品的匹配也蛮优异的
[3647.64-3649.42] 好
[3653.84-3683.82] 我们的预算是
[3683.84-3688.84] 今年我们至少开会的时候就
[3688.84-3690.76] 可以吗
[3690.76-3692.52] 可以吗
[3692.52-3695.74] 我想如果有法人稍微有一点
[3695.74-3701.22] 对我们的营业费用有一点看法的话
[3701.22-3704.68] 我想我们这个部分还好
[3704.68-3706.82] 我一切都做得对
[3706.82-3713.76] 我们自己也觉得这个还算很健康
[3713.76-3713.82] 我们也觉得这个还算很健康
[3713.84-3715.84] 我们也觉得这个还算稳定了
[3715.84-3716.84] 人力海外也是
[3716.84-3717.84] 对呀
[3717.84-3718.84] 人力是一个东西
[3718.84-3723.84] 我觉得以前我们可能是这样吧
[3723.84-3726.84] 10个客人就占我们的营收70%
[3726.84-3730.84] 那我们今年可能可以扩展到二阶的客人进来
[3730.84-3732.84] 我想二阶的客人有的毛利更好
[3732.84-3733.84] 应该这么讲好了
[3733.84-3735.84] 因为CSP的客人比较大
[3735.84-3737.84] 他跟我们买的采购量比较大
[3737.84-3738.84] 对不对
[3738.84-3741.84] 尤其最近大家有看到有一个客户吗
[3741.84-3743.84] 他做了什么新门的产品
[3743.84-3744.84] 对
[3744.84-3746.84] 就是stargate
[3746.84-3751.84] 就是这个客户其实也是我们原本的客户的组成在里面
[3751.84-3755.84] 然后目前他们在出AI
[3755.84-3759.84] 他们在建造data center的速度都非常的快速
[3759.84-3764.84] 我觉得这个对于我们现在forecast
[3764.84-3768.84] 他们也给的蛮清楚的蛮清晰的
[3768.84-3772.84] 所以对我们这个部分就以前就怕是都你买的材料
[3772.84-3773.84] risk buy
[3773.84-3775.84] 但是客户拉货没有那么快
[3775.84-3781.84] 那现在的话客户给的这个给的forecast都非常明确
[3781.84-3783.84] 甚至常常都是upside
[3783.84-3785.84] 就是说你背的还不够这样
[3785.84-3789.84] 所以这个部分我觉得是也蛮乐观的
[3789.84-3791.84] 那我想最后有一个问题
[3791.84-3795.84] 说整体业绩的展望我是乐观中性还是悲观
[3795.84-3797.84] 我想这个我们把它当做最后一个问题
[3797.84-3801.84] 其实我其实一直都要保持很谨慎吧
[3801.84-3804.84] 但是我的团队们都很乐观
[3804.84-3807.84] 我应该要很谨慎
[3807.84-3810.84] 因为我本来就要看的未来的另外一个三年
[3810.84-3815.84] 那我还要再做有关于光跟西光这一部分的投资
[3815.84-3820.84] 但是我的团队倒是很乐观
[3820.84-3827.84] 我们财务单位也蛮乐观
[3827.84-3830.84] 对对所以我就这样回答吧
[3831.84-3833.84] 我的团队比我还乐观
[3833.84-3836.84] 那我应该还要再看未来三年
[3836.84-3838.84] 那我想这个部分我们能够
[3838.84-3841.84] 因为其实在GTC我们就看到
[3841.84-3845.84] NVIDIA已经把road map讲到2028年了嘛
[3845.84-3848.84] 很清楚2029年它已经都讲完了
[3848.84-3851.84] 那其实它跟我们正在plan的也都非常的mapping
[3851.84-3856.84] 非常的合合就是我们也是往那个方向走啦
[3856.84-3861.84] 所以这个部分我们就觉得我们也不慌也不乱
[3861.84-3864.84] 所以这个部分是蛮好的
[3864.84-3870.84] 可以团队就只要把一些比如说R&D我们持续要增加
[3870.84-3874.84] 对那目前我也另外有一个比较好的消息跟大家分享
[3874.84-3881.84] 就是我合作的有一些人可能原本是我的竞争对手
[3881.84-3885.84] 比如说我可以看到我跟Zemtech合作
[3885.84-3887.84] 我跟3M合作
[3887.84-3890.84] 我跟IPEX合作
[3891.84-3892.84] 我跟上的大厂
[3892.84-3896.84] 他们原本可能都是竞争对手的可能性
[3896.84-3901.84] 可是我们本着公司嘛就是和互利两解就是共好
[3901.84-3904.84] 那他们也都很赞成我这个策略
[3904.84-3906.84] 所以我们的合作也越来越紧密
[3906.84-3909.84] 我很多案子也一直都往下开
[3909.84-3911.84] 这个也是一个蛮好的啦
[3911.84-3913.84] 就是我并不是希望都以各位
[3913.84-3918.84] 跟所有的公司场上竞争为敌互相杀家
[3918.84-3920.84] 我们是其实跟
[3920.84-3925.84] 几个公司都是国际上技术能力非常领先很好的公司
[3925.84-3934.84] 所以这个就我们就感觉到很有被empower
[3934.84-3939.84] 我们被empower到就是这些国际公司都愿意来跟我们合作
[3939.84-3940.84] 这个也蛮好
[3940.84-3942.84] 有些案子都已经开始在送样了
[3942.84-3943.84] 对呀
[3943.84-3946.84] 所以我们就可以提升我们产品的技术
[3946.84-3949.84] 服务到客户的痛点
[3949.84-3952.84] 有些客户就是因为在产品上非常非常的困难
[3952.84-3955.84] 所以可以服务给客户的痛点
[3955.84-3956.84] 然后也可以给他们
[3956.84-3960.84] 然后我们也提升我们自己的技术能力
[3960.84-3964.84] 好那我们今天就时间也到了
[3964.84-3966.84] 我再超过时间了
[3966.84-3970.84] 那整体业务我们是乐观吧很乐观啊
[3970.84-3973.84] 好OK谢谢大家了
[3973.84-3974.84] 谢谢大家参与
[3974.84-3977.84] 那如果有进一步的问题欢迎跟我联络
[3977.84-3979.84] 那我们加比奇的官网的右下方
[3979.84-3981.84] 右下角有我的邮箱
[3981.84-3983.84] 然后欢迎大家跟我联络谢谢
[3983.84-3985.84] 谢谢
