[0.00-8.34] 各位凱基的客户大家好
[3325.18-3326.76] 我们的成长
[3326.76-3328.70] 大概是成长
[3328.70-3330.92] 它大概抓将近
[3330.92-3333.54] 八成的一个成长
[3333.54-3335.32] 在电子非器物这一块
[3335.32-3342.42] 那比较明确的客户
[3342.42-3342.96] 可不可以
[3342.96-3343.80] 跟我们讲一下
[3343.80-3345.78] 在非贵的部分
[3345.78-3346.86] 不太方便讲
[3346.86-3350.18] 不方便讲
[3350.18-3351.46] 那市场现在排名
[3351.46-3353.10] 就是最大的
[3353.10-3354.94] 前三大是哪几家
[3354.94-3359.36] 你说因为我们的
[3359.36-3363.68] 如果要以资讯品来讲
[3363.68-3366.24] 这边好像比较
[3366.24-3367.88] 我想那个
[3367.88-3371.06] Hose你可以补充吗
[3371.06-3371.62] 你好
[3371.62-3372.94] 我想
[3372.94-3376.60] 这个市场可能要分几个部分来谈
[3376.60-3377.54] 第一个就是说
[3377.54-3381.04] 因为我们刚才讲CL建材这一部分的话
[3381.04-3385.42] 其实这个市场现在才真正要开始扩大
[3385.42-3386.40] 因为过去
[3386.40-3387.32] 据我的观察
[3387.32-3391.00] 台湾对于建材也好
[3391.00-3397.26] 或者很多文艺品部分的材料
[3397.26-3398.92] 并没有像国外一样
[3398.92-3401.22] 真的在追求说很多
[3401.22-3402.90] 要用很多的这个
[3402.94-3405.50] 回收的这个部分
[3405.50-3409.60] 最近我们是看到有一些合作伙伴
[3409.60-3411.38] 基于他们对环保的理念
[3411.38-3412.66] 跟我们一起合作
[3412.66-3415.48] 这部分我们现在还不太方便
[3415.48-3418.30] 透他们的名字
[3418.30-3421.38] 他们的分量未来应该会越来越大
[3421.38-3423.42] 因为我们是觉得
[3423.42-3426.74] 在CL部分的这个市场其实
[3426.74-3428.28] 未来很大
[3428.28-3431.62] 但是现在在台湾国内的话
[3431.62-3432.38] 基本还是比较少一点的
[3432.38-3432.90] 但是现在在台湾国内的话基本还是比较少一点的
[3432.94-3436.78] 另外那个车会长刚刚所谈到的
[3436.78-3442.42] 这个以这个我们的处理费为主
[3442.42-3443.70] 这些客户
[3443.70-3446.00] 其实他刚刚有提到就是说
[3446.00-3448.30] 第三类半导体里面
[3448.30-3452.90] 我们其实很多的这个营收是来自于
[3452.90-3454.70] 我们的这个处理费
[3454.70-3457.78] 而不是买断卖断贵金属
[3457.78-3459.30] 那这部分的话呢
[3459.30-3461.62] 其实他们用的场上并不多
[3461.62-3466.48] 那我们应该也是在
[3466.48-3469.04] 这个Top三个厂商之内
[3469.04-3470.58] 因为他们真正
[3470.58-3472.12] 选的厂商
[3472.12-3474.68] 其实以他们的标准来说并没有那么多
[3474.68-3476.98] 那这部分刚才车会长所说的
[3476.98-3478.78] 比较不会马上反映到
[3478.78-3480.30] 那个
[3480.30-3482.36] Revenue上面就是因为
[3482.36-3483.38] 我们赚的
[3483.38-3484.66] 基本上还是以
[3484.66-3485.42] 处理费为主
[3485.42-3486.70] Margin比较高
[3486.70-3487.74] 但是因为没有
[3487.74-3489.52] 贵金属的买卖所以
[3489.52-3490.80] 在这个Revenue上面
[3490.80-3491.58] 看得不太清楚
[3491.62-3494.94] 所以我这样回答你就是基本上
[3494.94-3496.48] 结论来说就是说
[3496.48-3499.30] 这个CL材料为主的话呢
[3499.30-3500.84] 这部分我
[3500.84-3501.86] 排名还不太清楚
[3501.86-3503.66] 我不太清楚
[3503.66-3505.70] 在国内是不是有其他家
[3505.70-3509.02] 有那么focus的在做这种回收材料
[3509.02-3509.80] 提供给
[3509.80-3511.84] 台湾的建商也好建材也好
[3511.84-3513.38] 这个我不是很确定
[3513.38-3514.66] 我们可能走在
[3514.66-3516.70] 有点前面但这个市场还
[3516.70-3518.50] 还在
[3518.50-3519.26] 成长之中
[3519.26-3521.58] 那另外以这个
[3521.62-3523.92] 手续费为主的这些
[3523.92-3525.98] 提供高
[3525.98-3527.50] 高的高
[3527.50-3528.78] 高端的这个
[3528.78-3530.84] 贵金属的材料或者
[3530.84-3533.14] 回收或者Parsing这部分
[3533.14-3534.42] 这部分的
[3534.42-3538.26] 市场我们相信会在继续成长那我们已经是在
[3538.26-3541.84] 基本上我应该是在Top3
[3541.84-3544.14] 场内
[3544.14-3545.68] 这个
[3545.68-3547.98] 业者之间的
[3547.98-3549.02] 这样可不可以
[3549.02-3551.06] 这样有没有回答您的问题
[3551.62-3553.42] 有的先感谢您
[3553.42-3553.92] 那
[3553.92-3557.00] 你提到先以这个GL来看的话
[3557.00-3561.34] 我们刚有提到我们年产的大家又可以处理200万吨的
[3561.34-3562.38] 电子
[3562.38-3564.16] 波线相关的废料
[3564.16-3566.22] 对不对
[3566.22-3566.98] 那
[3566.98-3569.54] 这个是24年底才竣工的
[3569.54-3573.12] 那在过程中是不是会有一些成长曲线啊
[3573.12-3574.92] 可以就是
[3574.92-3579.52] 就是说是什么样的就是学习曲线的方式还是
[3579.52-3580.80] 你们已经
[3580.80-3581.58] 达到了一个
[3581.58-3585.16] 一个成熟量产的阶段
[3585.16-3586.96] 现在是
[3586.96-3590.80] 第一个就是说去年建制这个所谓的
[3590.80-3593.86] 批量的一个产线这是建制完的
[3593.86-3597.96] 那其实今年来讲他还不会产生太大revenue
[3597.96-3602.58] 因为今年在主要在走的是所谓的验证
[3602.58-3604.62] 包括就是说我要把它变成一个
[3604.62-3606.42] 绿色的建材
[3606.42-3608.46] 或防火的建材
[3608.46-3611.28] 其实他大概就是会有一些相关的
[3611.28-3614.10] 一些不管是IP的部分
[3614.10-3617.42] 或者是一些验证的部分大概都会发生在今年
[3617.42-3618.20] 所以
[3618.20-3623.32] 真正在今年来讲他所贡献的这一个营收的部分基本上我们也
[3623.32-3625.62] 也不会抓太多
[3625.62-3626.38] 那
[3626.38-3627.66] 比较
[3627.66-3633.80] 就是说他比较会比较大的开发结果应该是在2026
[3633.80-3635.60] 甚至到2027了
[3635.60-3636.88] 因为他现在就是
[3636.88-3639.70] 这些验证测试
[3639.70-3640.46] 这个
[3640.46-3641.24] 这个IP的部分
[3641.24-3644.06] 都确认完了之后
[3644.06-3644.82] 那
[3644.82-3649.68] 再来下半年要去谈的是所谓跟一些所谓的这些厂商
[3650.72-3655.32] 这个做一些合作的部分因为刚才讲我们只是生产这些材料
[3656.08-3658.14] 就好像我们是在生产面粉
[3658.40-3662.48] 那面粉我们可以去把它生产叫中筋高筋低筋的面粉
[3662.74-3668.88] 但是我就要去卖给不同的这个厂商他可能需要是高筋中筋面粉
[3668.88-3671.20] 他要去做饼干他去做披萨他要去做什么
[3671.24-3672.78] 我们就卖这个原料
[3672.78-3675.34] 所以接下来就是我们要去找这些策略
[3675.60-3678.40] 厂商的合作但很多东西都是已经
[3678.66-3679.68] 在这个
[3680.20-3682.24] 在进行当中了
[3682.24-3682.76] 只是
[3683.02-3684.80] 他真正要变成
[3685.06-3685.84] 这个
[3686.60-3688.90] 把它变成我们的一个营收
[3689.16-3691.98] 的一个比较重要的比重的部分
[3691.98-3693.00] 至少
[3693.26-3695.04] 他会发生的一个
[3695.30-3700.42] 这个这个预估的一个年份会是在明年甚至到后年去了
[3701.24-3703.28] 所以我们就要去做这个
[3703.54-3707.90] 谢谢这样看条因为我们之前也有拜访一家公司
[3708.16-3711.48] 叫做可林味他下面有一家叫吉鼎
[3711.74-3715.06] 看起来我们的进度是比他们快一年以上
[3715.32-3716.34] 很不简单
[3716.60-3717.12] 对
[3717.36-3719.68] 谢谢对因为这个部分老实讲
[3720.18-3720.70] 其实
[3720.96-3721.72] 做了很久了
[3721.98-3722.48] 就说
[3722.74-3727.60] 早期我们把这些pcp powder加一些数值做成刚才讲工艺品
[3728.12-3730.68] 工艺品比较算是
[3730.68-3732.48] 对于艺术的喜好也许
[3732.98-3734.26] 每个人主观不同
[3734.52-3736.56] 所以他比较算是小众的市场
[3737.08-3738.36] 但现在我们把它
[3738.62-3742.72] Transform跟北科大产学合作之后
[3742.96-3745.02] 变成一个所谓的比较
[3745.28-3748.86] 可以大量运用在所谓的建材方面的一些
[3749.12-3751.42] 这个这个Greed material之后
[3751.68-3755.00] 其实就会比较多的一些应用会发生
[3755.52-3756.54] 所以这也是
[3756.80-3759.60] 目前来讲跟一些我们的策略伙伴在谈
[3759.86-3760.64] 就刚才讲的
[3760.94-3761.70] 他
[3761.96-3762.72] 比如说
[3762.98-3765.04] 刚刚有看到那个复合的板材
[3765.54-3766.82] 甚至一些
[3767.08-3770.40] 我觉得现在都有些企业的企业logo我们也在帮他去做
[3770.66-3771.68] 就是刚刚
[3771.94-3774.00] 讲说我们帮一些我们的
[3774.24-3776.56] 这个电子和半导体客户在回收
[3776.80-3779.36] 其实有一些是回收他的这个pcp的
[3779.62-3780.40] 报废的东西
[3780.90-3781.42] 我们
[3781.68-3784.24] 说我们可以帮你把这些PCB的powder
[3784.48-3787.30] 做成我们CLGM做成你的企业logo
[3787.56-3788.08] 形象墙
[3788.84-3790.12] 然后再回去
[3790.68-3794.78] 让他们可以去做一个我觉得跟ESG有关的一个demo
[3795.28-3797.34] 所以这个部分
[3798.36-3801.44] 可能现在还没办法讲太清楚说他未来
[3801.68-3804.76] 大概什么时间点会真的
[3805.02-3807.58] 比较大的爆发但是基本上就是
[3808.08-3811.42] 一步一步往再往前推进这边有蛮多的一些案子
[3811.68-3814.48] 一些进度都还是持续在往前
[3817.30-3818.08] 是的
[3818.32-3820.64] 但就是我们拜访的时候他提到
[3820.94-3823.24] 这些东西就是还是要有一些
[3823.50-3824.00] 学习曲线
[3824.26-3826.56] 所以刚好加龙是不是说
[3826.82-3829.12] 透过验证然后配合这个学习曲线
[3829.64-3831.18] 但是今年是不是就
[3831.44-3834.76] 就是贡献的数字就比较少在这个
[3835.02-3835.52] CLGM
[3835.78-3837.32] CLGM这边
[3837.84-3839.36] 的确是大概
[3839.62-3841.42] 其实营收应该我们
[3841.68-3844.74] 很保守其实都没有把他抓进来但是他现在有一些
[3845.52-3846.28] 工艺品
[3846.54-3848.08] 就是我们刚才看到那个那个
[3848.32-3849.86] 那个三角形的那个
[3850.12-3850.64] 指正的部分
[3850.94-3851.70] 已经
[3851.96-3853.76] 有一些企业在采购了
[3854.52-3855.28] 但是那个就是说
[3855.80-3862.96] 采购的数量也许还没有那么大所以他会产生一个一些小的一些营收但是基本上还不算
[3863.22-3863.74] 是
[3864.00-3866.30] 经常性的一些order
[3867.06-3868.08] 他可能就是一次
[3868.60-3870.64] 所以我们还是比较希望他未来
[3871.16-3875.52] 在所谓的建材建筑材料的这些绿色建材的
[3876.02-3876.54] 使用上
[3876.80-3878.32] 他可以比较大的放量
[3878.58-3880.38] 不是希望小的这些文艺品的部分
[3880.68-3881.70] 部分就会比较
[3882.22-3884.52] 看算是这个叫做什么
[3886.06-3888.10] 锦上添花的感觉
[3888.36-3889.12] 是比较另行
[3889.90-3890.40] 是
[3890.66-3892.72] 那可不可以再请教你像这个
[3892.96-3895.28] 杯柜的部分啊就是像
[3895.52-3896.04] 电子
[3896.30-3898.08] 电子废弃物这些
[3898.34-3899.88] 处理回收这边
[3900.14-3903.72] 是不是有一些地域性的问题啊就是变说你
[3903.98-3905.52] 假设我们佳龙是
[3905.76-3909.60] 在北部地区是以北部区域的厂商为主
[3909.86-3910.64] 会不会
[3910.94-3912.98] 就是不容易跨到南部
[3913.24-3915.54] 或者说这个没有这种限制
[3916.56-3919.12] 基本上就是我们的
[3919.38-3920.66] 电子废弃物
[3920.92-3923.22] 他大概来自于
[3923.48-3925.52] 几个source
[3926.04-3930.14] 一个就是说我们透过我们的通路商通路商就像比如说像7-11
[3930.64-3933.98] 像全家像莱尔富这种通路商或者是全联
[3934.48-3935.00] Costco
[3936.02-3939.86] 他们会去你如果报废一些比如说手机啊笔电
[3940.12-3941.14] 你可以拿去这些
[3941.40-3942.42] 这些通路点
[3942.68-3945.74] 然后去也许可以换一些可以兑换
[3946.00-3946.78] 他们要
[3947.02-3949.08] 比如说一些点数可以买东西
[3950.10-3951.38] 所以他们会有一些
[3951.64-3953.18] 通过这个通路商
[3953.42-3953.94] 来的
[3954.70-3958.04] 那这个通路商呢基本上他们去全台湾
[3958.30-3959.58] 他是全台湾收的
[3960.34-3962.14] 那他就会去建置一些
[3962.38-3962.90] 在
[3963.16-3967.26] 可能在比如说南部地区中部地区北部地区有一些hub厂
[3967.76-3969.56] 他所收的这些就会集中到那边
[3969.86-3970.62] 然后我们再用
[3970.88-3972.94] 我们的货车去
[3973.18-3973.96] 这些
[3974.22-3976.26] 这些hub厂去把它收回来
[3976.52-3978.56] 然后再去做所谓的后续的一些处理
[3978.82-3979.84] 或者是回收再利用
[3980.36-3981.64] 这是一个叫通
[3981.90-3983.42] 这个通路商的部分
[3983.68-3986.76] 那第二个就是所谓的品牌的
[3987.78-3988.30] 厂商
[3989.06-3991.36] 品牌厂商比如说
[3991.88-3993.92] 像Dell HP啊
[3994.18-3998.54] 比较大的这种品牌厂商他们也会报废一些电脑那这东西他就是
[3999.04-3999.56] 去
[3999.86-4001.66] 固定跟你签一个合约
[4001.90-4002.42] 然后
[4002.68-4005.24] 就是每个月他们有一个量他们就送给你
[4006.00-4006.52] 那是这样子
[4007.02-4008.56] 所以这个是第2个
[4008.82-4009.84] 那这是比较
[4010.10-4010.62] 但他们
[4010.86-4012.40] 所得到的应该是
[4012.66-4013.68] 也是他们在
[4013.94-4016.50] 台湾因为这些废弃物老实讲没办法去
[4017.26-4018.54] 就是从国外运进来
[4018.80-4021.62] 所以他也是从台湾这边的一些
[4021.88-4025.20] 报废的不管是这个探门甲或者是
[4025.46-4026.74] 这个印表机等等的
[4027.26-4028.28] 他就会集中
[4028.54-4029.56] 有量他就是
[4029.86-4030.38] 集中给你
[4031.66-4032.16] 那
[4032.94-4034.72] 第3个就是刚才讲的标案
[4034.98-4036.52] 标案就是说有些企业
[4036.78-4038.56] 我刚才讲金融机构
[4039.34-4040.10] 学校
[4040.62-4041.12] 医院
[4041.38-4042.92] 他会也许定期
[4043.18-4044.70] 或者不定期他们就有一些
[4044.96-4048.30] 这种3C电脑啊或者事务机啊这些报废
[4048.54-4049.06] 的部分
[4049.32-4052.14] 那他就会去开一个标案那我们也许就去标
[4052.38-4054.44] 也许有一些不去标案就是说
[4054.70-4055.72] 他就是觉得
[4055.98-4057.50] 你可以他就直接来接洽
[4058.02-4059.56] 所以大概会有这几
[4059.86-4060.88] 类的一些
[4061.14-4062.42] 来源的部分
[4062.68-4063.18] 所以
[4063.44-4067.02] 基本上我们的一些料源来源应该说全台湾都有
[4068.82-4072.14] 全台湾都有他比较不会局限说一定是只是
[4072.66-4073.42] 天北部
[4073.94-4076.24] 因为本身我们这个货车他只要能够
[4076.50-4080.08] 我们能够有我们的货车去载其实都没有什么太大问题
[4082.90-4083.42] 谢谢
[4083.66-4084.94] 这样了解所以这个
[4085.20-4085.98] 其实就是
[4086.22-4088.54] 今年这边业务的成长
[4088.78-4089.82] 你刚刚提到这样
[4090.12-4092.16] 基本上是有八成的增长吗
[4092.42-4094.46] 八成的增长应该
[4094.72-4095.74] 就有
[4096.00-4098.56] 这个市场的需求带动
[4109.82-4113.42] 我可以请问说下我们传统的那一块业务
[4113.92-4115.98] 他主要是
[4116.48-4117.00] 只有
[4117.26-4118.78] 算帮客户
[4119.30-4121.86] 处理的这个费用吗就是占
[4122.36-4123.64] 八成多的这个
[4123.90-4124.92] 贵金属
[4125.18-4126.20] 部分吗
[4126.46-4126.98] 对
[4127.22-4131.84] 讲一下就是贵金属的部分一个是贵金属的材料大概就是黄金
[4132.34-4134.66] 当然也有一些白银或者白金的部分
[4134.90-4137.46] 那另外一个是贵金属材料的经验
[4137.98-4141.30] 这是两个就是我们在帮客户去
[4141.56-4144.90] 回收处理还有包括我们这个电子配器回收处理
[4145.40-4145.92] 会
[4146.42-4147.46] 得到一些
[4147.46-4148.48] 贵金属
[4149.00-4150.78] 就是回收的过程中会
[4151.04-4152.06] 得到这些贵金属
[4152.32-4154.88] 这些贵金属我们累计一个量的时候我们就会把它做成所谓的
[4155.14-4155.66] 调定
[4156.16-4157.44] 我们就可以去做出售
[4158.46-4160.26] 那这就是一个叫做贵金属
[4161.02-4161.80] 的营收
[4162.06-4163.84] 那第二个就是说我们也会
[4164.10-4166.66] 因为我们有建制我们自己的经营产线
[4167.18-4167.94] 所以
[4168.20-4174.34] 我们也会去买贵金属的就是黄金的原料进来或者是客户来料
[4175.10-4176.14] 之后我们把它
[4176.38-4176.90] 进来
[4176.90-4177.92] 然后我们把它
[4178.18-4179.98] 透过我们产线去生产
[4180.22-4181.26] 所谓的工业经验
[4182.02-4186.38] 那工业经验大概一公斤大概是683克的黄金
[4186.88-4189.70] 所以我卖一公斤比如说现在这个市价
[4190.22-4192.52] 我今天卖了一公斤的经验
[4193.28-4194.06] 他的
[4194.30-4197.90] 他的这一个一公斤大概就200多万吧
[4199.42-4203.02] 我一个月如果卖个20公斤我大概就有4000万的营收
[4203.26-4203.78] 在
[4204.04-4204.80] 工业经验这边
[4204.80-4208.64] 像上个月应该大概
[4208.90-4210.44] 卖了20几公斤
[4210.68-4211.46] 的部分
[4211.72-4212.22] 大概就
[4212.48-4214.78] 一个月就贡献了4000多万快5000万的营收
[4215.04-4217.60] 那还有在刚刚讲我们透过我们的
[4218.12-4221.70] 制成回收得到的这些贵金属黄金的部分我们去把它做销售
[4223.48-4229.64] 那这就是我们的贵金属就主要过去来讲比较多的这个revenue
[4229.88-4230.92] come from
[4231.16-4232.20] 这些贵金属的部分
[4233.22-4233.72] 再加一点
[4233.98-4234.76] 你好
[4235.06-4236.60] 我是路易好我再加一点就说
[4236.84-4237.62] 这个也跟
[4237.88-4240.18] 之前的问题有点连接性就
[4240.44-4241.72] 这传统的
[4241.96-4243.50] 贵金属回收或者
[4243.76-4246.32] 传统的单纯的贵金属材料
[4246.58-4250.16] 这业务上的确跟先前的
[4250.42-4251.96] 先进所提到说
[4252.20-4253.24] 竞争是很大
[4253.48-4254.76] 竞争是真的蛮大的
[4255.02-4258.60] 那个只是单纯的把黄金提出来卖出去
[4259.38-4260.14] 这部分的
[4260.40-4260.92] 技术
[4261.16-4263.98] 很多家也有那只有卖金盐的话呢
[4264.24-4264.76] 除了我们以外
[4265.06-4267.36] 台湾也有其他家也在做
[4267.62-4269.92] 所以这里有一些部分的这个
[4271.20-4271.96] 价格的竞争
[4272.22-4273.00] 但刚才
[4273.24-4275.04] 财务长所说的就是我们
[4275.30-4277.34] 在转型的部分就是要提供
[4277.60-4278.12] 一个
[4278.88-4279.64] all in one
[4279.90-4282.46] 而且加上高科技的一个
[4282.72-4283.24] 这个
[4284.26-4285.80] 这个服务就表示说
[4286.30-4287.08] 因为这些
[4287.32-4289.12] 厂商他们可能有
[4289.38-4291.94] Apple可能有其他的国际品牌的要求
[4292.20-4293.98] 希望他们多用一点回收的材料
[4294.24-4295.26] 所以他们就说好
[4296.02-4300.90] 我们从他们回收的黄金要做成他们所需要的金盐或者
[4301.14-4302.42] 金板而且这些呢
[4302.68-4303.20] 还要比
[4303.46-4305.24] 他们传统用的4N
[4305.50-4307.30] 的这个规格要再高一点
[4307.54-4308.58] 因为他们未来的
[4308.82-4309.34] 这个产品
[4309.60-4310.36] 也越来越
[4310.62-4312.92] 规格要越来越高就更得上那个
[4313.18-4316.76] 国际品牌的要求那这部分就是我们能够跟其他竞争
[4317.02-4317.54] 对手
[4317.78-4320.60] 说有一个区别出来我们就是可以把
[4320.86-4321.88] 我们过去
[4322.14-4323.94] 所做的这些技术跟我们
[4324.24-4325.00] 未来
[4325.26-4326.54] 整合的技术把它
[4326.80-4329.62] 合起来做提供一个新的服务
[4329.86-4330.64] 那
[4330.90-4332.18] 这个服务之间呢
[4332.42-4334.98] 有些可能不会马上反映到
[4335.24-4338.82] revenue上面因为有些他是说这个黄金以后我就不是
[4339.08-4341.38] 直接卖断给你然后你拿去卖而反正
[4341.64-4345.48] 反正说我给你的你要还给我然后我们再付你多一点
[4345.74-4351.88] 那个处理费什么什么等等所以这部分我们的营收内容可能会有些变动但是我们
[4352.40-4353.68] 肯定就是说我们的
[4354.24-4357.06] 我们的这个毛利会越来越高而且这部分
[4357.30-4358.08] 就是会跟
[4358.34-4359.10] 之前
[4359.36-4360.38] 我们所
[4360.64-4361.14] 谈到的
[4361.40-4362.18] 那个
[4362.42-4363.46] 竞争对手
[4363.70-4365.24] 这部分就会越来越少
[4366.02-4367.30] 我这样子回答可以吗
[4369.34-4372.66] 了解就是现在会往比较高附加价值
[4373.18-4374.20] 做完之后再给客户
[4374.46-4375.22] 不会像之前
[4375.74-4377.78] 回收完然后提炼出来就直接卖
[4378.04-4378.56] 卖掉了
[4379.06-4380.86] 那个附加价值没有那么高
[4381.12-4383.94] 然后现在要往附加价值比较高的材料去做
[4384.24-4385.52] 谢谢
[4385.78-4387.06] 好谢谢
[4388.08-4391.92] 这就是全循环经济的模式啦其实我们要走的是
[4392.18-4393.96] 不是只是说半导的循环经济
[4394.22-4397.30] 过去说回收得到的黄金把它卖掉其实
[4397.54-4397.80] 很可惜
[4398.06-4398.82] 他后段
[4399.08-4400.10] 其他是来自于
[4400.36-4401.38] Green materials
[4401.64-4403.94] 做成所谓Green application materials
[4404.20-4404.72] 更好
[4405.22-4406.26] 这个是
[4406.50-4409.32] 半导体客户或者是电子客户他们最喜欢
[4409.58-4413.42] 的一个模式了所以我们现在也用这个模式在服务我们的客户
[4413.98-4418.58] 是了解然后财务长像我们如果说传统的那一块业务
[4418.84-4421.40] 就是跟金价是算
[4421.66-4422.42] 正相关的吗
[4422.68-4424.22] 就是如果看那一块的
[4424.48-4425.24] 对就是说
[4425.50-4427.04] 长叠
[4427.54-4428.32] 他第一
[4428.58-4431.38] 第一个会影响到我们的营收了营收计价因为他是
[4431.64-4432.16] 我们收
[4432.42-4433.70] 卖掉是卖美金
[4434.46-4434.98] 那
[4435.22-4436.00] 基本上
[4436.26-4440.34] 汇率的部分去乘以我卖出去的单价跟数量
[4440.86-4441.38] 所以
[4441.62-4443.94] 金价跟汇率其实都会影响到
[4444.24-4445.00] 我们的
[4445.26-4446.80] 这个营收的部分
[4449.86-4451.14] 但是对于获利
[4451.40-4452.94] 可能他的影响度
[4453.96-4455.50] 也会有但是就是说看
[4455.76-4457.04] 我们自己
[4457.30-4459.86] 去回收得到这些黄金的成本
[4460.36-4465.74] 也许这些得到的这些黄金也许是上个月的结果这个月金价涨很多
[4466.00-4466.76] 那我是不是
[4467.28-4469.84] 我就会比较多的一个profit在这个里面
[4470.86-4472.66] 所以他是会牵扯到一些
[4472.90-4473.68] 时间的
[4473.98-4477.06] 地盐性那跟你的一个金价的一个价格
[4477.30-4478.34] 的一些变化
[4478.84-4479.86] 的确是会是这样
[4481.40-4485.76] 是所以像台币升值的话就是对我们可能会比较
[4486.02-4486.78] 不利一些
[4487.54-4488.82] 营收会影响
[4489.08-4494.98] 但是获利因为我们没有太多的美元的一些资产跟外币营收账款
[4495.74-4498.56] 大部分都是台币因为我们卖的黄金
[4498.82-4499.58] 黄金
[4500.10-4501.62] 他的特性就是我卖的
[4501.88-4503.42] 当天或隔天再去收款
[4503.98-4505.00] 所以他也没有什么
[4505.26-4506.80] 太多的一个账款天气
[4507.06-4508.34] 收到之后其实我们
[4509.36-4513.46] 很大的部分我们会去因为我们透过所谓跟银行这边借料的
[4513.70-4514.48] 一个作业去
[4515.24-4516.52] 规避掉这些
[4516.78-4518.32] 价格波动的一些风险
[4518.82-4521.14] 所以我们收到的货款其实很快的
[4521.38-4521.64] 也许
[4521.90-4523.70] 当天或隔天我们就会去
[4523.94-4524.46] 跟
[4524.72-4527.78] 我们的借料的银行去做绝价就付掉了
[4528.04-4530.60] 所以帐上不会保留太多的这个美元资产
[4532.66-4533.16] 是
[4533.16-4536.24] 像回收是算我们是付
[4537.26-4538.54] 主要付都是付台币
[4539.04-4540.58] 收美金
[4540.84-4542.12] 也是付台美金吗
[4542.64-4545.20] 要看他卖什么东西卖到哪里去
[4546.22-4548.52] 如果卖变成黄金
[4548.78-4551.60] 他黄金大概就是卖到国外都会收美金
[4551.84-4556.46] 那你如果说一些像这一个这种基本金属啊塑胶啊
[4556.72-4558.50] 这些东西大概都卖国内的
[4558.76-4562.60] 就是说我们下下游的处理厂商的部分都会收台币
[4563.16-4566.48] 那我们大部分服务这些
[4566.74-4572.88] 电子工业台位是台湾的电子这个厂商的部分包括今年卖的时候我们也是都收台币
[4573.92-4575.20] 主要全部都是收台币
[4576.48-4576.98] 好
[4577.24-4578.52] 没问题了解了
[4579.80-4580.32] 好
[4580.82-4581.34] 好
[4581.60-4583.38] 那我的问题就到这边
[4583.64-4587.48] 那看看线上的客户还有没有问题要提出来的
[4593.16-4593.68] 好
[4594.18-4597.76] 如果没有的话就今天非常感谢以上的
[4598.02-4599.30] 投资人所提出的问题
[4599.56-4600.08] 是
[4600.58-4602.12] 我在耽误您的
[4602.38-4603.92] 时间不好意思
[4604.16-4605.20] 因为我们有
[4605.70-4608.78] 对我们前阵子也是透过这个就是
[4609.04-4610.32] 凯基啊有帮我们
[4610.56-4612.62] 办就是也是类似的这个
[4612.88-4616.96] 就是相关行业的公司拜访
[4617.22-4622.08] 那他里面就是有一家公司叫做大云永续啊
[4623.16-4626.74] 好像是说是可以做煤核废弃物处理
[4627.26-4630.58] 这个你有听过这种模式吗
[4633.40-4635.44] 这个我倒是比较少
[4635.96-4638.78] 就说去煤核这件事情
[4639.28-4642.62] 那除非是说这个厂商他找不到
[4643.12-4644.92] 找不到可以去帮他处理
[4645.18-4646.46] 不管是固态或者是
[4646.72-4647.74] 乙态的废弃物的
[4648.00-4649.02] 厂商
[4650.56-4653.12] 但是我觉得这些就是台湾的
[4653.42-4657.76] 这些相关的废弃物处理的厂商的资讯应该算是蛮
[4658.28-4659.04] 透明公开的
[4659.56-4661.10] 透明公开
[4661.36-4663.92] 那需要透过这样的一个煤核的角色的机率
[4664.16-4666.22] 机会我个人是认为
[4666.48-4666.98] 好像
[4667.76-4670.56] 不是那么大我不晓得那个coach有什么看法
[4671.60-4674.16] 可能有些特别的东西比如说
[4674.66-4677.48] 汽车的这个排废的他里面有些
[4677.74-4678.76] 白金他可能要
[4679.02-4679.78] 煤核一下
[4680.04-4681.06] 弄到海外
[4681.32-4682.34] 不然的话呢
[4683.42-4684.70] 可能就是有一些
[4685.46-4688.28] 他有点在打油机有些东西他自己做不了
[4688.54-4689.30] 看能不能
[4690.32-4691.60] 用他自己的
[4691.86-4696.72] 那个可能他有轻运的这个执照用轻的执照去找个
[4697.24-4698.52] 这个
[4699.04-4699.80] 处理厂商
[4700.06-4701.84] 那这样的话当然我不太清楚他们
[4702.36-4704.40] 这个分论要怎么谈
[4704.66-4707.48] 这不会是我们一个经常的一个
[4708.00-4710.56] 这个营运模式我们是
[4710.80-4712.34] 有轻运也有处理执照
[4712.60-4713.12] 那我们就
[4713.42-4714.70] 基本上都是提供
[4714.96-4717.00] 客户
[4717.52-4718.80] 一个total solution
[4719.04-4722.88] 那这个total solution也是我们认为未来能够提高我们的这个
[4723.40-4724.68] 价值的一个
[4724.94-4727.50] 模式所以我们会继续往这一部分走
[4727.76-4729.80] 那要说
[4730.32-4732.88] 分到说做传统的或者甚至说
[4733.12-4736.72] 利用轻运的这个执照来去煤核其他的话
[4736.96-4737.74] 我想这个
[4738.00-4739.28] 这个对我们来说
[4739.52-4740.04] 可能
[4740.30-4741.06] 不会是一个
[4741.32-4743.12] 考虑至少在过去的
[4743.42-4745.72] 经验说这部分的这个获利其实是
[4745.98-4747.26] 是有限的
[4749.30-4751.86] 是不是类似这种就是可能是
[4752.12-4752.64] 集单
[4752.88-4753.66] 或者是
[4753.92-4754.68] 就是
[4754.94-4760.32] 比较小众的产品才需要还是你们根本也没有
[4760.56-4762.62] 没有没有没有这种模式
