[0.00-13.48] 好那欢迎各位投资先进参加台湾聚合化学品股份有限公司
[3299.98-3302.28] 棲產地的問題我再請那個
[3302.80-3304.58] 柯明處長回答
[3304.84-3307.92] 那古雷的部分第一個先談他的
[3308.16-3314.32] 稼動率低季古雷的稼動率大概是稍微低於八成
[3314.62-3316.66] 那第二季的展望呢
[3316.92-3318.96] 是稍微高於八成
[3319.22-3319.74] 所以
[3320.00-3320.76] 就是在
[3321.02-3322.80] 八成的上下變動
[3323.32-3324.08] 那
[3324.34-3326.90] 大陸呢同類型的這個
[3327.68-3328.44] 裝置啊
[3328.70-3330.24] 就是買
[3330.48-3332.80] 那個那個清油
[3333.04-3334.58] 然後進裂解爐
[3335.10-3335.60] 然後
[3335.86-3338.68] 裂解為下油的產品的
[3339.20-3341.24] 大體上呢這個
[3341.50-3343.54] 狀況都還沒改善
[3344.62-3347.44] 那古雷自己能做的就是他有一些
[3347.68-3348.46] 降本
[3348.72-3349.74] 真立的
[3350.00-3350.76] 這一個專案
[3351.02-3353.06] 那他們現在正在進行
[3353.32-3355.12] 那這個就是怎麼樣去把
[3355.36-3357.16] 下油的產品呢
[3357.42-3358.44] 在做優化
[3358.70-3360.74] 同時呢對這一個原料
[3361.00-3365.10] 原料的部分呢也盡量找多這一個來源
[3366.64-3367.66] 希望能夠在
[3367.92-3368.68] 更
[3368.94-3372.00] 多的這一個來源的原料上面呢
[3372.26-3374.32] 取得一些成本
[3374.62-3375.38] 讓他們的改善
[3375.90-3376.40] 所以
[3376.66-3377.94] 總的來說呢他有
[3378.20-3380.50] 一系列的這一些降本
[3380.76-3383.84] 真效的專案呢正在進行當中
[3388.70-3390.74] 那有關於剛剛那個
[3391.00-3392.02] 投資先生
[3392.28-3393.04] 提問的這個
[3393.30-3395.36] 大陸太陽能的部分
[3395.60-3398.94] 還有就是海外這個美國
[3399.20-3400.98] 對於這個東南亞課稅這個問題
[3401.76-3403.28] 那首先我們可能分
[3403.54-3404.32] 三個分別
[3404.62-3405.38] 方面來看
[3405.64-3406.92] 從中國的
[3407.18-3410.24] 的情況剛剛其實也提到那個
[3410.50-3411.78] 太陽能的需求
[3412.04-3415.62] 這個的長望其實是中國
[3415.88-3417.68] 光伏協會提出來的
[3417.92-3420.74] 那以過去的經驗來看的話
[3421.00-3423.04] 實際的裝置量其實都是高於
[3423.56-3424.58] 這個預估量
[3424.84-3427.66] 那有關於這個問題我們其實也
[3427.92-3431.76] 大家可以過去去看中國的其他政策
[3432.00-3434.32] 中國這邊有一個
[3434.62-3437.44] 很明確的就是2030年會有個碳達峰
[3437.68-3440.00] 2050年就進行排放的這個目標
[3440.24-3442.04] 那按照
[3442.30-3446.90] 中國的這個大多數這個我們同業這邊的看法
[3447.16-3450.74] 認為中國的這樣的政策他們既然
[3451.00-3452.28] 尤其是高層提出來
[3452.80-3454.08] 他們就會
[3454.32-3455.60] 想辦法去完成它
[3456.12-3459.70] 所以從這個角度來看
[3460.22-3462.78] 長期對於太陽能的展望他
[3463.04-3463.80] 相對來講
[3464.06-3464.82] 還是樂觀的
[3465.34-3466.10] 所以
[3466.36-3467.38] 我們看到的
[3468.92-3469.68] 強裝潮
[3469.94-3475.84] 可能第一季這個部分可能是上半年的高峰但未必是全年的高峰
[3476.08-3479.92] 所以如果按照這個情況來去推斷的話很可能
[3480.18-3481.98] 在6月甚至7月
[3482.48-3484.28] 如果再長一點是可能8月
[3484.54-3489.14] 在光伏的這個中國的需求量可能會稍微弱一點
[3489.40-3490.42] 但是之後
[3490.94-3492.48] 或許可能還會再反轉
[3492.98-3493.76] 所以這個部分
[3494.06-3494.56] 可能我們
[3495.08-3497.64] 後續還是值得去觀察
[3497.90-3500.46] 但是以過去的經驗把中國提出來的數字
[3500.72-3502.00] 基本上每一年都是超過
[3502.24-3503.28] 超過他原本
[3503.52-3505.58] 年初預估的數字的
[3506.08-3509.42] 那至於海外系產業部分這個其實我們也很關注
[3509.68-3510.70] 那
[3510.96-3513.00] 中國的這些組件廠為了
[3513.26-3516.84] 規避前兩年這個美國對中國大陸雙方的問題
[3517.10-3519.92] 所以在越南在泰國在印尼
[3520.16-3521.44] 這邊有設廠
[3521.96-3523.24] 那其實
[3523.80-3525.60] 整個這些
[3526.62-3528.66] 海外的這些廠
[3528.92-3531.74] 據他們我們客戶這邊的反饋是
[3532.00-3534.80] 他們75%是賣中國
[3535.06-3537.12] 對不起美國以外的地區
[3537.36-3539.68] 所以大概會有25%
[3539.92-3540.96] 左右的量
[3541.20-3543.26] 是賣到美國去
[3543.76-3548.12] 那但是這些有多少因為他
[3549.40-3550.42] 美國對於
[3550.68-3553.24] 光伏的這個調查他只限於
[3553.80-3554.56] 太陽能板
[3555.60-3556.62] 就是組件跟
[3557.12-3558.66] 太陽能電池的部分
[3559.18-3561.48] 對於膠膜他是沒有
[3562.24-3562.76] 沒有
[3563.02-3563.78] 限制的
[3564.04-3567.88] 也就是說如果我們客戶直接賣膜到美國去他是沒有問題的
[3568.40-3570.96] 那另外一個就是說
[3571.20-3575.04] 印度因為這樣的關係其實他是得利於
[3575.30-3576.84] 這個政策的
[3577.10-3580.94] 所以剛剛我們吳副總這邊有提到就是說
[3581.20-3583.24] 台聚亞聚在光伏聚的
[3583.80-3585.60] 光伏聚的布局其實是
[3585.84-3586.88] 很早就注意
[3587.38-3588.66] 注意到這一塊
[3590.20-3591.74] 而且目前
[3592.24-3593.78] 光伏聚EVA的供應
[3594.04-3597.12] 主要就是有三個地區在供應就是
[3597.62-3598.90] 中國大陸國內
[3599.16-3602.48] 韓國跟台灣當然過去新加坡有少量一點點
[3602.74-3603.76] 泰國有少量一點點
[3604.02-3605.30] 但最主要是這三個地方
[3605.56-3606.58] 也就是說
[3607.86-3611.44] 中國以外的就是這些地區其實主要是
[3611.70-3613.50] 韓國廠跟台灣廠在供應
[3613.80-3615.60] 所以這一塊反而是我們的利基
[3617.64-3618.92] 不曉得這樣說明
[3619.44-3621.22] 有沒有回答到你的問題
[3629.68-3633.26] 有的那印度他對於這個進口到
[3633.52-3636.84] 印度的這個他會要求到BS
[3637.10-3643.24] 因為我們其實很大概在一年多甚至兩年前我們注意到這個問題我們就跟印度這邊
[3643.80-3648.66] 提出申請那因為他這個印度他這邊的官員要過來
[3648.92-3650.96] 就是審核嘛
[3651.22-3652.50] 所以因為他
[3652.76-3655.58] 人力的關係所以他其實一直
[3655.84-3657.36] 一直演那預計今年
[3657.62-3659.16] 應該會派人過來
[3659.42-3662.24] 但是因為他這樣子過來的關係所以
[3662.48-3666.84] 對於EVA的這個BIS的這個限制他其實是也是一直往後延
[3668.12-3669.92] 目前為止我們是沒受到影響
[3673.80-3675.84] 所以我們就不太會有這個問題
[3676.10-3677.38] 所以我們就不太會有這個問題
[3677.64-3678.66] 所以我們就不太會有這個問題
[3678.92-3679.94] 所以我們就不太會有這個問題
[3680.20-3682.50] 請問還有投資先進需要提問嗎
[3686.86-3690.44] 那另外一個我們還有線上的投資先進
[3690.70-3696.08] 那線上的朋友可以利用線上聊天室的功能留言提問那我再把
[3696.32-3698.64] 問題附送一遍謝謝
[3703.80-3709.94] 那如果沒有其他問題的話那是不是我們今天的法人說明會就到這邊
[3710.20-3714.04] 那也謝謝各位投資先進還有
[3714.30-3718.40] 法人啊媒體還有各位先生的這個參加
[3718.64-3719.68] 謝謝大家
[3719.92-3720.96] 謝謝大家
[3721.20-3722.24] 謝謝大家
[3722.48-3723.52] 謝謝大家
[3723.76-3724.80] 謝謝大家
[3725.04-3725.82] 謝謝大家
[3726.08-3726.84] 謝謝大家
[3727.10-3727.86] 謝謝大家
[3728.12-3728.88] 謝謝大家
[3729.14-3729.92] 謝謝大家
[3730.16-3730.94] 謝謝大家
[3731.20-3731.96] 謝謝大家
[3732.22-3732.98] 謝謝大家
[3733.24-3733.76] 謝謝大家
[3734.00-3734.56] 謝謝大家
[3734.82-3740.96] 謝謝再次感謝台灣聚合化學品工會有限公司以及亞洲聚合股份有限公司
[3741.22-3744.30] 記憶團隊今天的分享與解答
[3744.56-3749.92] 那今天的聯合法書會就到此告一個段落也謝謝各位投資先進與會參加
[3750.18-3750.70] 謝謝
