[0.00-4.08] 各位投资先进媒体朋友们
[3449.70-3450.72] 再稍微好一点
[3452.26-3456.86] 那我想今年整体来讲电视需求也不错
[3457.38-3460.96] IT有很多新的次机的需求那我们
[3461.22-3463.78] 非常乐观看待今年的一个
[3464.04-3464.54] 需求
[3464.80-3465.32] 以上
[3467.36-3467.88] 好谢谢
[3468.38-3469.16] 那我们现在开发
[3469.46-3470.48] 现场的Q&A
[3470.74-3473.30] 为了让更多的投资人有机会提问
[3473.56-3475.86] 麻烦各位将问题缩减到两个之内
[3476.12-3478.16] 并将所有问题一次提问完毕
[3478.68-3481.74] 提问前请先说出公司的名称及您的大名
[3482.00-3485.84] 线上的法人朋友可以在页面的右侧以文字方式提问谢谢
[3487.38-3488.14] Diana
[3493.52-3495.06] 你好UBS Diana
[3495.32-3497.10] 董事长执行长总经理还有副总
[3497.36-3498.64] 谢谢您接受我的提问
[3499.46-3505.08] 第一个问题是因为美国政府这边其实陆陆续续提出了许多
[3505.34-3510.46] 就是关税相关的政策那也有影响近期一些看到面板被获得需求
[3510.72-3511.74] 价格相关的
[3512.26-3517.12] 就是能否先就近期就是因应关税相关你们有没有看到
[3517.38-3523.00] 在供应链或者跟客户之间沟通有没有什么样方向的调整或者是趋势
[3523.52-3527.10] 那另外就是以产业链或者是公司来讲
[3527.36-3528.38] 在中长期
[3528.38-3530.68] 你们在生产基地或者是跟
[3531.20-3534.52] 客户这边的销售策略是不是有可能要有什么样的调整
[3535.04-3536.58] 这是第一个提问
[3536.82-3540.66] 那第二个提问主要是在车用相关
[3540.92-3545.54] 因为刚董事长跟执行长其实有提到未来几年预期其实可以
[3545.78-3549.62] 持续看到营收有Double-digit的成长动能然后也看到
[3549.88-3551.68] 订单有显著的增加
[3551.94-3555.52] 那是否能够就在近期比如说合并相关的
[3555.78-3558.08] 的作用效在费用成本相关
[3558.38-3562.22] 以数字上来讲什么样的进度或者是期望
[3562.74-3568.62] 那未来因为像今年CES其实有蛮多产品利用新的micro LED的技术
[3568.88-3573.48] 那如何看待未来车用在content相关的增加
[3573.74-3577.58] 还有以及可能对获利率会带来什么样提升的效果
[3577.84-3578.86] 想请你们分享一下
[3579.12-3579.62] 谢谢
[3584.50-3586.28] 谢谢
[3586.54-3588.34] 我们投资人提问了有关这个观众
[3588.64-3590.18] 的部分我来回答一下
[3591.96-3593.50] 老实说到目前为止
[3594.02-3596.32] 这个关税到底会怎么变化
[3596.58-3597.34] 还
[3597.60-3599.38] 不是很确定比如说这个
[3599.64-3601.18] 墨西哥跟加拿大
[3601.44-3604.50] 眼看着就要被课程25%的关税然后突然
[3605.54-3607.32] 这个生效前7小时
[3607.58-3608.86] 延后一个月
[3609.12-3611.16] 也就是说表示这里面其实还有很大的
[3611.68-3613.98] 很大的谈判跟转圜的空间
[3615.00-3617.56] 至于没有被扣到关税的国家
[3618.64-3619.40] 会不会以后
[3619.66-3620.42] 也会在里面
[3620.68-3621.20] 其实
[3621.46-3622.48] 我们还是要看
[3623.24-3626.06] 到底他这个课关税的背后的目的在哪里
[3626.32-3627.08] 比如说
[3627.60-3629.14] 他是要
[3629.38-3634.50] 减缓他的贸易逆差呢还是为了他安全的问题还是为了什么其他问题
[3634.76-3637.58] 或甚至于是他国内的这个
[3639.12-3640.14] 提升他
[3640.40-3640.90] 制造
[3641.16-3641.68] 业
[3642.18-3642.96] 的这些问题
[3643.22-3647.82] 那所以我们现在对关税的影响这一块当然
[3647.82-3649.36] 比如说墨西哥
[3649.62-3652.18] 被宣布的时候其实我们做过盘点
[3652.94-3655.50] 我们在墨西哥的不管是
[3655.76-3658.06] 这个生产或者我们销往墨西哥
[3658.32-3659.60] 墨西哥销往美国
[3660.10-3661.38] 我们整个集团加起来
[3661.90-3663.44] 大概不超过两亿美金
[3663.94-3665.22] 如果说会影响
[3665.48-3667.02] 大概不超过两亿美金的营收
[3667.78-3669.58] 所以影响非常的小
[3669.84-3670.86] 那当然
[3671.38-3673.94] 这个我们因为
[3674.96-3675.72] 友达
[3676.50-3677.78] 病了BHDC以后
[3678.08-3679.36] 我们这全球
[3679.86-3680.64] 在
[3680.90-3681.40] 欧洲
[3682.18-3683.46] 在东欧在
[3683.96-3684.48] 印度
[3684.74-3685.50] 在台湾
[3685.76-3687.54] 在大陆在墨西哥
[3687.80-3690.10] 比如说这几个大洲啊我们都有
[3690.36-3691.14] 我们的制造基地
[3691.38-3692.42] 对未来
[3692.92-3695.22] 就算有影响的话
[3696.26-3700.60] 除非这个全部都中要不然的话我们就会去做这个中间的调配
[3701.12-3705.22] 那当然这个调配也不是说一夜之间就能够动得了
[3705.46-3707.78] 因为我们还有很多的我们的供应链
[3708.08-3708.84] 还有我们的客户
[3709.36-3711.14] 甚至于就是说我们的
[3711.66-3714.48] 这个我们真正的客户比如说举个例子
[3715.24-3716.26] 品牌客户
[3716.78-3720.10] 可是他中间还有这些代工的客户
[3720.36-3722.42] 那代工客户到底他们又是怎么做
[3722.92-3724.20] 因为我们的产品
[3724.72-3727.28] 最终我们是出给代工客户所以我们还得要
[3727.54-3729.06] 看代工客户的这个
[3729.58-3730.60] 走势是怎么样
[3730.86-3731.38] 所以
[3731.62-3733.16] 我们
[3733.94-3737.52] 做密切的观察然后呢我们也跟我们的客户
[3737.82-3738.84] 跟我们的供应链
[3739.10-3740.38] 保持密切联系
[3740.64-3742.94] 我们得了解他们的这个做法
[3743.20-3744.74] 所以现在其实
[3744.98-3745.76] 老实说
[3746.02-3747.30] 我只能讲
[3748.06-3749.08] 密切观察
[3749.34-3750.10] 然后随时
[3750.36-3751.14] 讨论
[3751.38-3753.18] 怎么去应对这也是
[3753.44-3757.28] 今年在这个地缘政治或者是这个
[3757.54-3761.38] 这些不确定因素是列入在我们所谓公司
[3761.62-3763.94] 风险控管里面的这个
[3764.18-3765.22] 排在最前面
[3765.46-3767.78] 所以我们的这个讨论的频度是非常高
[3768.08-3769.10] 那
[3769.62-3770.38] 不过
[3770.64-3771.40] 我没办法
[3771.66-3773.46] 讲说现在就会有一个很
[3773.96-3774.48] 很
[3774.74-3777.54] 这个什么很solid的解决方案因为
[3778.06-3780.88] 就算我今天讲了说这就是我们解决方案明天可能
[3781.38-3781.90] 又不一样了
[3782.16-3782.66] 所以
[3783.18-3784.98] 只能用一个非常
[3785.48-3786.76] 弹性跟
[3787.28-3789.32] 动态的方式我们来看看
[3789.58-3791.38] 怎么做不过好在是我们
[3791.88-3793.68] 全球的布局很完整所以
[3793.94-3794.70] 我们可以做
[3794.96-3797.00] 这个不同的调度
[3798.08-3798.58] 谢谢
[3798.84-3800.12] 那不然可能
[3800.38-3800.90] 车用
[3801.66-3807.54] 好那我针对第2题这个提到的有关车用的整个营收还有我们跟别的
[3807.80-3808.58] 一些
[3808.82-3809.86] 总销的一个状况
[3810.62-3813.44] 那首先我想先谈一下我们跟bc的合作
[3813.70-3814.20] 总销
[3814.72-3817.02] 那我想举几个比较
[3817.28-3818.30] 近一点的例子
[3818.56-3821.62] 就是说我想大家最在意的是我们投资
[3821.88-3822.66] 并购他
[3822.90-3824.70] 所看中的几个方向
[3824.96-3827.78] 那刚破已经提到了我们在全球制造部
[3828.08-3830.38] 上面在这一波因应
[3830.64-3832.94] 关税可能带来的供应
[3833.20-3834.98] 供应链或制造链的调整
[3835.24-3837.30] 我们相对比业界很多厂商
[3838.32-3839.86] 非都有弹性很多
[3840.10-3841.38] 因为我们的全球制造
[3841.64-3842.92] 已经到了完全一个
[3843.18-3844.98] 在几个州都可以互相
[3846.26-3847.28] 支援那个情况
[3847.78-3850.86] 那第2个我想很重要的是在商机的拓展上面
[3851.38-3855.46] 我过往有答在TL1的成绩算也读取在展现
[3855.72-3857.78] 做刚有跟各位报告说即使不算别的
[3858.08-3860.90] 过去几年有达每年自己的车用
[3861.14-3862.18] 都交出
[3862.42-3864.98] 双位数甚至将近20%的成长
[3865.50-3867.30] 去年单一有达自己都超过
[3867.54-3869.86] 500亿的年营收在车用上面
[3870.62-3876.76] 那这里头其实说实话我们过往在欧系车厂的关系没有
[3878.30-3882.14] 成绩也没有那么大可是在跟BHTC并购完之后
[3882.40-3885.72] 我们在全球车厂的关系其实非常非常的完整
[3886.24-3887.78] 那最近也在这几个月
[3888.08-3889.36] 在欧洲车厂
[3889.62-3891.66] 上面有很多新的案子的机会
[3891.92-3892.42] 都在谈
[3893.46-3895.24] 那另外一个是商用车
[3895.76-3899.86] 其实商用车也是一个用智慧座舱很好的新的发展
[3900.36-3901.64] 因为现在这种
[3902.16-3907.78] 人工越来越贵然后长途驾驶运送的这些相关的安全成本
[3908.04-3909.58] 需求都需要智慧座舱
[3910.10-3913.42] 所以我们也很快的拿到了美系的商用客户这边的一些新机会
[3914.18-3914.96] 那我想
[3915.46-3917.78] 包含了欧美之外其实中国
[3918.08-3919.86] 跟印度尤其是印度是我们很大的
[3920.12-3920.64] 拓展
[3920.90-3924.22] 这个也是过去BHTC在印度有一些很好的机会
[3924.48-3926.26] 所以我觉得这些关系
[3926.52-3930.62] 包含我刚刚跟各位报告我们这次在CES见到的客户的
[3930.88-3931.90] 车厂客户的数量
[3932.16-3933.18] 以及层级
[3933.44-3934.46] 都会变成是
[3934.72-3937.54] 很快我们综效上延伸层变成之后
[3937.78-3939.06] 营收来源的
[3939.32-3941.38] 关键拿到更好案子更多案子的机会
[3942.14-3943.94] 这是第1个有关于
[3945.22-3946.74] 这个商业上面
[3947.00-3947.78] 那刚有
[3948.08-3950.64] 问到说那在COST的整合的Synergy上面
[3950.90-3951.92] 那我记得我们10月底
[3952.42-3958.58] 所有跟各位报告我们预计未来几年累计起来可以达到5000万美金以上的节省
[3959.08-3962.92] 那经过这几个月一季之后的努力我们现在能见度
[3963.18-3963.94] 可以跟大家报告
[3964.46-3966.50] 预期这个数字可以达到6000
[3966.76-3967.54] 万美金
[3968.04-3968.30] 以上
[3968.56-3972.40] 所以这个我们持续还在努力当中那可以看到
[3972.66-3975.22] 不管是他们那一的增加或是内部的Synergy
[3975.46-3976.24] 我们都会
[3976.50-3977.78] 把这块钱
[3978.08-3978.58] 加速的
[3978.84-3980.38] 明确下来然后落实
[3980.90-3981.40] 然后
[3981.66-3984.48] 那有后续的进展我想每一次会跟大家做一下报告
[3984.98-3985.50] 这样子
[3986.02-3986.78] 那
[3987.04-3993.18] 我觉得刚刚有一个数字也可以跟大家讲因为刚有关注到那未来呢未来的一个
[3993.44-3994.46] 一个成长
[3994.72-3995.22] 那
[3995.48-3998.56] 刚有跟大家报告就是我们过去三年
[3998.82-4001.38] 两边合起来已经拿到的
[4001.88-4003.94] 新案子的数目超过一百
[4004.44-4005.46] 50亿美金
[4005.72-4007.26] 那我们去年两边加起来
[4007.52-4008.80] 大概是22亿美金的
[4009.06-4009.56] 营收
[4009.82-4014.18] 所以这150亿美金可以支撑我们未来的持续成长
[4014.68-4017.76] 而且里面还有一个细节是这150亿美金的
[4018.02-4019.04] Budget Award呢
[4019.30-4021.34] 其实超过60%都是跟车厂
[4022.88-4023.64] 直接取得
[4023.90-4026.46] 所以这代表我们跟车厂的直接连接关系
[4026.72-4029.02] 已经在过去就已经开始把这个
[4029.28-4029.78] 累计下了
[4030.30-4032.60] 我们我想这一块
[4032.86-4033.88] 往后看
[4034.14-4037.22] 刚刚有提到趋势上面回来的影响我自己其实非常看
[4037.52-4039.06] 好这个智慧座舱的发展
[4039.56-4042.12] 尤其现在这个Paul刚刚提到的
[4042.38-4046.98] AI越来越有效化越来越轻量而且可以从
[4047.24-4049.54] 原本Server端走向Edge端
[4050.06-4052.88] 那车子上面可以就是一个很好导入
[4053.14-4053.90] AI的地方
[4054.42-4059.78] 那同时间我们展示那个CES那个为什么展示这种类似全景啊车窗啊
[4060.30-4063.62] 其实那个是一个车子是一个最舒服的
[4063.88-4064.66] 虚拟空间
[4065.16-4066.44] 因为你坐在车上不太会动嘛
[4066.70-4067.22] 对不对
[4067.52-4068.28] 你就可以享受
[4068.54-4070.84] 这个我们说要带
[4071.36-4074.68] 这个什么VR眼镜才能享受的事你坐在车上都可以享受
[4075.46-4080.32] 所以这也是我们为什么把Micro-ID做这样的透明显示跟车窗结合
[4080.58-4082.88] 那我们认为给车厂很多创新的机会
[4083.64-4087.48] 那其实智慧座舱还有一个发展空间不是只有车子里头
[4088.26-4089.54] 车子外头也很重要
[4090.30-4093.62] 因为车子越来越多自驾化趋势之后
[4093.88-4095.42] 像现在这个
[4095.68-4097.22] 这个Tesla很想推这个
[4097.52-4098.80] 自动驾驶计程车
[4099.30-4101.86] 所以以后车跟路边的人
[4102.38-4103.40] 怎么互动
[4103.92-4105.20] 其实是另外一个关键课题
[4105.70-4109.80] 所以可以看到为什么我们跟Sony Afila他去弄一个MediaBar
[4110.58-4114.42] 甚至我们现在跟车厂谈过更大面积的车体显示的显示
[4115.18-4116.72] 为什么其实他不是给
[4116.98-4118.76] 开车的里头的人享受
[4119.28-4119.78] 他是给
[4120.04-4120.56] 车外
[4120.82-4121.32] 互动
[4122.10-4124.14] 有一个简单的功能你可以想象
[4124.40-4127.22] 充电充多少你去喝杯咖啡一是看手机二是看手机
[4127.52-4129.06] 走到旁边就是我的车充到90%了
[4129.56-4130.34] 所以
[4130.58-4136.48] 像这样的车体显示的功能其实越来越多那也会带给我们这个智慧座舱的价值
[4136.98-4137.76] 很多想象
[4138.02-4140.82] 那跟我们集团的很多合作也会很多
[4141.08-4142.10] 所以我觉得这个是
[4142.36-4144.16] 我们可以发挥更多集团
[4144.42-4144.92] 综效
[4145.18-4146.72] 里头的一个很好的机会
[4147.48-4148.26] 以上谢谢
[4149.28-4150.82] 谢谢Lisa
[4152.60-4154.14] 各位长官好我是
[4154.40-4156.70] 元大的Lisa那我这边两个问题
[4156.70-4159.78] 那第一个问题还是跟车有关那刚刚有提到就是
[4160.02-4161.30] 我们跟Sony Honda
[4161.56-4163.62] 合作的这个车在明年
[4163.86-4165.92] 下半年会推出来那这个
[4166.18-4168.74] 真的是让人觉得非常非常很不错的
[4168.98-4170.78] 好消息那可以再多琢磨
[4171.04-4172.58] 告诉我们一下就说我们在这个
[4172.82-4173.86] 这个新车里面
[4174.10-4176.92] 我们琢磨的大概是哪些项目或是模组
[4177.44-4180.50] 那另外的话就是因为我们有展那个天窗
[4180.76-4186.66] 当然这天窗目前可能没有在市面上看到但是我相信这技术难度是
[4186.96-4189.00] 很高的那他技术难度在哪里
[4189.26-4190.80] 那这是跟车有关的问题
[4191.06-4193.36] 那第二个问题就是刚刚有提到后离场
[4193.86-4201.04] 这边就是会转往这个半导体测试界面这边去做发展那我们对这个部分有没有短中长期的
[4201.54-4206.16] 规划还是说跟我们既有产品有没有什么可能综效的考量去规划
[4206.42-4206.92] 以上
[4209.74-4214.86] 那好谢谢那个有关于跟Sony Honda这台车
[4215.12-4216.66] 合作我想这个其实说是
[4216.96-4220.54] 延续我跟Sony这个公司多年来的
[4220.80-4221.56] 伙伴关系
[4221.82-4225.66] 我们从这个以前笔记本电脑到电视
[4225.92-4227.70] 就跟他们有20几年的合作关系
[4228.22-4232.58] 所以当他们进到车子领域一是考虑跟车厂合资嘛
[4232.82-4234.36] 对这跟Sony Honda合资
[4234.62-4237.94] 二是要在里头做很多显示技术应用的创新
[4238.46-4240.00] 最好的伙伴就是找友达
[4240.26-4242.30] 所以我们其实是在这个关系下
[4242.56-4245.62] 一起去共同讨论跟定义
[4246.40-4246.66] 那样
[4246.96-4247.46] 的产品出来
[4247.72-4248.50] 所以
[4248.74-4254.64] 这就是我觉得友达过去20几年跟客户伙伴的关系所带来的很大的价值
[4254.90-4255.66] 那
[4255.92-4256.94] 这里头当然
[4257.20-4258.98] 这台车他本身是来电动车
[4259.50-4261.80] 那装了非常多的camera
[4262.06-4263.86] 这个是Sony很强的地方
[4264.10-4264.88] 那
[4265.14-4271.28] 他们这个应该也很快就会具备很多这个level 3 level 4的能力
[4271.54-4272.30] 但是看法规
[4272.56-4273.84] 我讲这个事情是这样
[4274.10-4276.40] 我们预期我们现在跟他们的合作
[4276.96-4278.74] 从车外到车内应该有很多
[4279.26-4281.82] 霸想的空间因为越来越自驾化的话
[4282.08-4282.84] 越多
[4283.10-4285.14] 这个智慧座舱还有
[4285.40-4289.24] 人的显示娱乐或者工作需求都会结合在
[4289.50-4290.02] 车子里头
[4290.52-4291.80] 那这个是有关于
[4292.06-4293.60] 跟Sony Honda这边的合作
[4294.36-4298.72] 那第2个是有关提到这个天窗这个事情
[4299.22-4304.86] 那天窗这个事情但我觉得第1个挑战说实话是尺寸很大
[4305.38-4305.88] 对不对
[4306.70-4307.98] 因为这个
[4308.24-4310.28] 这个车顶就是一个面积
[4310.54-4314.90] 那这也是为什么有达会领先业界投入4.5代
[4315.40-4316.94] 的这样的一个
[4317.20-4318.22] 聚转线
[4318.48-4320.26] 因为太小的
[4320.78-4323.60] 这个生产线你做出来尺寸就比较小你要拼更多
[4324.10-4326.66] 那我们现在其实用大的
[4326.92-4328.20] 大的次代我们就可以做出
[4328.46-4330.26] 比较大的尺寸所以在拼接上
[4330.76-4333.58] 的数目就可以变少那效率也可以变高
[4333.84-4336.40] 那这个技术也是来自于我们现在已经在量产的
[4336.70-4340.28] 在TV用的micro-LED的一些拼接的技术
[4340.80-4344.64] 那在车窗在当然到车窗上我们要更在意几个问题
[4344.90-4346.18] 比方说车子的耐震
[4346.68-4348.48] 然后环境的温度
[4348.74-4350.02] 还有日晒这些问题
[4350.78-4353.08] 可是其实这说实话另外一边是micro-LED的优势
[4353.60-4358.20] 因为micro-LED本身无机化的发光相对于LCD或者是OLED
[4358.46-4361.78] 它的耐祸性效率各方面都是优势
[4362.30-4364.10] 这我们其实非常
[4364.34-4365.38] 主推
[4365.62-4366.14] 这个
[4366.14-4369.46] micro-LED在车用的一个绝佳的一个定位
[4369.72-4373.56] 那我们也相信车用是micro-LED很重要的一个应用场
[4374.08-4374.84] 应用市场
[4375.36-4376.64] 以上谢谢
[4380.98-4382.52] 关于那个
[4382.78-4384.06] 有它精彩的部分
[4384.32-4384.82] 我们想
[4385.34-4387.64] 其实我们这次就是做一个
[4387.90-4389.18] 这个业务的
[4389.44-4390.46] 重构
[4390.72-4391.22] 所以
[4392.50-4393.54] 最重要就是把
[4394.30-4396.10] 这个太阳能的单晶的
[4396.40-4397.42] 晶片的
[4397.68-4398.18] 营运
[4398.44-4399.46] 结束
[4399.72-4402.28] 然后转成半导体的这一块那当然
[4402.54-4406.64] 随着半导体的需求增加我们还会再继续扩充它的这个产能
[4406.90-4408.18] 但是呢
[4408.42-4408.94] 我们认为
[4409.20-4410.98] 半导体的这一部分
[4411.50-4413.54] 其实不必用一个单一的厂房
[4413.80-4415.34] 跟设施所以我们才会
[4415.86-4417.14] 所以制作这个
[4417.38-4418.66] 资产活化然后
[4419.70-4420.46] 业务重组
[4420.72-4424.04] 所以我想长期它就是往半导体的方向发展
[4425.06-4426.10] 谢谢
[4426.40-4430.24] 有余时间的关系我们再开放最后一位的提问
[4430.50-4431.00] Derek
[4433.30-4436.38] 关于这件事你们好我是Morgan Stanley Derek
[4436.64-4437.66] 那我有两个问题
[4437.92-4439.46] 请教一下一个就是关于
[4439.70-4443.04] 我们刚提到蛮多就是我们的业务从过去的这个
[4443.54-4444.58] 面板为主
[4444.82-4446.62] 渐渐转向有三大主轴
[4447.14-4449.94] 那如果我们看我们公司的这个利润率的话
[4450.46-4453.02] 不晓得说在中场级来看我们觉得
[4453.54-4454.56] 有时候这利润率
[4454.82-4455.58] 比较
[4455.84-4457.88] 正常化的一个阶段的时候
[4458.40-4460.18] 不管是Gross Margin
[4460.70-4461.98] 这个Operating Margin
[4462.24-4464.02] 或是我们这个OPEX的这个比重
[4464.28-4466.08] 在营收的比重大概会是在
[4466.58-4467.86] 什么样的一个状态
[4468.12-4469.40] 这个跟我们分享一下
[4469.92-4472.98] 那另外第2个问题就是关于我们
[4473.24-4475.54] 其实也是跟我们这个车位转型有关系
[4475.80-4476.32] 就是说
[4476.82-4480.16] 我们现在渐渐的这个面板这边的这个
[4480.42-4483.74] 重心转到渐渐移到另外两个业务上去
[4484.00-4485.54] 那我们过去在面板这边的这些
[4485.84-4487.12] 既有的产能
[4487.62-4489.16] 那除了就是我们
[4489.68-4492.24] 过去几个季度陆陆续续有出售之外
[4492.74-4494.54] 还有没有什么其他的规划
[4495.30-4497.10] 有的话可以跟我们分享一下
[4497.36-4497.86] 谢谢
[4504.78-4510.92] 谢谢你的问题我想的确从那个整个公司来讲我们架构这三个
[4511.18-4515.54] P了其实就是要推进一个很重要目的是全国
[4515.84-4516.86] 公司会走向稳定获利
[4517.38-4519.68] 因为面板的景气循环
[4519.94-4521.98] 一直是我们经营这个行业最大的
[4522.74-4524.02] 挑战吧
[4524.28-4524.80] 那
[4525.06-4529.14] 其实在行业的竞争下我们希望帮我们过去
[4529.40-4531.46] 刚刚提到这个客户的资源
[4531.96-4533.76] 然后技术的资源资产
[4534.02-4535.30] 转化成新的成长引擎
[4535.80-4538.36] 架构这个车用跟vertical
[4538.62-4539.64] 这两个新的
[4539.90-4540.66] 引擎出来
[4541.18-4545.28] 那这两个新的引擎我想从营收的成长上
[4545.54-4547.32] 刚才物长的报告各位可以看到
[4547.84-4551.68] 就是其实我们持续在提升这两个批的的
[4551.94-4552.70] 的营收成长
[4553.22-4555.00] 那以去年到
[4555.52-4558.84] 第4季来讲当然整个底下已经降到54个percent
[4559.36-4561.92] 那如果以yoy的角度来说
[4562.18-4562.94] 大概
[4563.46-4565.00] 比较2023年大概
[4565.24-4567.30] 总体贡献我们57个
[4567.56-4570.12] 那2024年55个percent
[4571.40-4573.18] 那卡的部分
[4573.44-4575.24] 订购完之后从2023年
[4575.54-4577.08] 18个percent的营收占比
[4577.32-4578.10] 拉到25
[4579.38-4582.70] 那我们如果继续双位数成长我们是会
[4582.96-4585.00] 让这一个数字当时去朝
[4585.26-4586.80] 30个percent这个目标靠近
[4588.08-4591.16] 那vertical的部分因为太阳能的影响
[4591.40-4593.46] 去2023是21个percent
[4593.96-4596.28] 2024是14个percent
[4596.78-4599.60] 可是我们看到就是说如果今年
[4599.86-4602.92] 在这个smart vertical这一块的成长
[4603.18-4604.98] 他应该也会回到20%
[4605.28-4606.56] 这个目标来靠近
[4607.08-4609.38] 所以总结来看应该我们很快的希望
[4609.64-4612.44] display的营收贡献会占到
[4612.70-4613.48] 50%以下
[4614.24-4615.52] 那就是代表
[4615.78-4619.10] 这两个批的要往超过50%这样子来
[4619.36-4619.88] 来发展
[4620.12-4623.20] 所以这个是我们接下来两到三年的一个目标
[4623.96-4628.32] 那在获利上面我想gross margin的部分我们设定这个
[4629.60-4633.18] smart vertical跟车用都是
[4633.44-4635.24] 大概是low to low
[4635.54-4639.38] 高to high pins的一个这样的gross margin的一个目标
[4639.88-4641.42] 那在这个
[4642.44-4645.52] display的部分变动比较大但是我们还是朝向这个
[4647.06-4650.12] 能够开始有这个正贡献的部分
[4650.38-4651.16] 来产生
[4651.66-4655.76] 所以接下来当然就是加大我们整个营运的
[4656.02-4656.52] 的作效
[4656.78-4661.14] 我刚po特别指到这个三个批了两个箭头的互相支援
[4661.40-4663.18] 就是要提升我们的运作效
[4663.70-4665.24] 然后把过去这两个
[4665.54-4666.30] 因为我们
[4666.56-4668.60] 不管是并购或是
[4668.86-4669.64] Fab
[4670.40-4671.94] 简化或者资产活化
[4672.20-4675.26] 其实这两个有一些OPEX因为这些处理的新增
[4675.52-4676.04] 我们会
[4676.28-4677.56] 从这边马改善下来
[4678.08-4679.62] 所以就是希望接下来
[4680.12-4680.90] 的获利
[4681.16-4682.94] 加上规模的作效之后
[4683.20-4686.28] 我们operation profit会在刚刚设定的gross margin下
[4686.52-4687.04] 逐年提升
[4687.80-4688.84] 这个是我们设定的
[4689.34-4691.14] 那刚刚第二个问题
[4691.40-4693.70] 提到就是产能的规划
[4694.20-4695.24] 以及这个后面
[4695.54-4697.32] 还有没有Fab的一些处理
[4697.58-4698.10] 那
[4698.36-4700.14] 其实我们目前来看
[4700.40-4703.98] 有计划中很明确要处理的就是我们的新加坡厂
[4705.00-4710.12] 新加坡厂这个部分我们已经整个厂都已经开始做
[4710.64-4711.92] 整个清点完
[4712.18-4713.20] 已经可以开始准备进入
[4713.46-4713.96] 可以
[4714.22-4717.04] 出售的阶段那现在就在寻找出售的伙伴
[4717.56-4721.14] 未来的产线我们会朝向更优质化的产能
[4721.64-4722.16] 去
[4722.68-4725.24] 去布局那以刚刚po的策略
[4725.54-4726.56] 跟大家分享就是
[4726.82-4727.58] 我们会
[4727.84-4732.70] 当然优先支应原本的display的关键客户之外如何在
[4732.96-4734.76] 两个p的之间做最好的
[4735.00-4735.26] 发展
[4735.52-4738.60] 那也跟各位报告其实这两个p的用掉我们的产能
[4739.36-4740.12] 占比不高
[4740.90-4741.66] 新的
[4741.92-4742.94] 车用跟
[4743.20-4744.48] 那个vertical用的产能不高
[4744.74-4746.52] 所以我们大部分还是有很充裕的产能
[4746.78-4749.34] 去支撑我们的display的客户需求
[4749.60-4753.18] 那只是我们在这里头也持续我们go premium的策略
[4753.44-4754.72] 不管是LTPS
[4755.28-4756.30] patch的整合
[4756.56-4758.60] 然后还有micro-od的新的布局
[4759.12-4763.22] 那会成为我们在display上面的一个高质化的一个发展
[4763.48-4767.32] 那这也是呼应到我们刚怎么样去对应到提升我们display
[4767.56-4768.60] 本身的获利能力
[4769.10-4769.88] 以上说明
[4770.12-4770.64] 谢谢
[4770.90-4772.44] 我稍微补充一下
[4772.68-4775.24] 就是我们过去其实我们双手转型
[4776.52-4779.34] 不是现在才看到其实是已经
[4779.60-4780.88] 五六年前我们就开始
[4781.14-4781.90] 陆续做
[4782.16-4782.68] 所以
[4782.92-4783.96] 到目前为止
[4784.20-4785.24] 我们
[4785.54-4786.56] 我们全公司员工
[4787.08-4787.84] 大概有
[4788.36-4788.86] 4万人
[4789.38-4791.68] 那里面工程师以上
[4791.94-4793.98] staff 我讲的间接员工的话
[4794.24-4796.04] 12000到13000
[4796.54-4799.10] 里面最少有超过2000人以上
[4799.62-4800.64] 是不在
[4801.16-4801.92] display这一块
[4802.18-4803.46] 也就是说我们过去几年其实
[4803.96-4807.04] 人员的不管是rescale upscale
[4807.30-4809.60] 或者是我们外面找专家其实都
[4810.88-4811.90] 已经不断的在
[4812.16-4813.18] 在补充我们这个
[4813.44-4815.24] 这个专业跟
[4815.54-4816.82] 我们在营运上面的需求
[4817.08-4818.86] 或者甚至于我们透过并购
[4819.12-4820.92] 去并进来了很多的这些
[4821.42-4823.22] 当那一个领域的专家
[4823.48-4826.28] 所以这些是我们在结构上的改变
[4827.32-4828.08] 那当然
[4828.34-4829.36] 很重要的是
[4829.88-4830.64] 九大的
[4830.90-4832.68] 经营团队都很稳定
[4832.94-4836.78] 所以各位看到我们坐在上面其实每年看到的脑面孔
[4837.04-4837.56] 所以
[4837.80-4841.90] 这个其实也是让我们在这个公司的这个推进下面
[4842.16-4843.70] 其实是可以一个持续
[4843.96-4844.98] 把我们这个
[4845.54-4846.56] 能够
[4846.82-4847.84] 持续的来做推进
[4850.92-4852.44] 另外一个就是有关资产的部分
[4852.70-4855.52] 其实我们的活化不是只有卖
[4856.04-4858.08] 我们的活化其实还有就是腾农换鸟
[4858.60-4863.20] 就好像比如说我们过去我们农产场是在四代五代的这个生产线
[4863.72-4865.50] 实际上我们现在已经关掉了
[4865.76-4867.56] 四代线跟一座的五代线
[4868.32-4868.84] 他
[4869.08-4870.36] 不是我不是要等着要卖
[4870.62-4874.20] 而是我们把我们所有的这个micro-ID的
[4874.20-4877.78] 新的建制全部放在这些清空的这个
[4878.04-4879.06] 厂房里面
[4879.32-4880.34] 又说未来
[4880.86-4882.14] 其实有一些的厂房
[4882.40-4883.16] 适合做
