[0.00-5.76] 大家好謝謝
[2778.92-2780.92] 當初跟我們講
[2780.92-2782.92] 他這個吸水量要多少
[2782.92-2783.92] 六萬台
[2783.92-2785.92] 所以這個是
[2785.92-2787.92] 為什麼中國電動車這個
[2787.92-2789.92] 市場會這麼大
[2789.92-2791.92] 因為中國電動車是最大的市場
[2791.92-2795.92] 那我們打入這個供應鏈也是非常困難
[2795.92-2797.92] 因為它是一個氧氣
[2797.92-2798.92] 要求的很高
[2798.92-2800.92] 他要廉償要什麼要什麼
[2800.92-2801.92] 我們是
[2801.92-2804.92] 用半年的時間去跟他們推薦
[2804.92-2807.92] 然後打樣再測試打樣再測試
[2807.92-2809.92] 所以我們也是拿到這個
[2809.92-2810.92] 大的一個訂單
[2810.92-2812.92] 那氧氣它
[2812.92-2816.92] 這個公司氧氣它一年拋稿在外面的東西
[2816.92-2819.92] 翻三千億人民幣
[2819.92-2820.92] 不只這個東西
[2820.92-2822.92] 還有好多東西
[2822.92-2824.92] 但是我們現在先做這個
[2824.92-2826.92] 他現在有叫我們報價打樣的
[2826.92-2829.92] 總共有八種產品在做
[2829.92-2831.92] 所以我們一直是
[2831.92-2833.92] 我們為什麼要去做這個
[2833.92-2834.92] 因為第一個
[2834.92-2836.92] 美國這幾年的關稅的問題
[2836.92-2838.92] 當然沒有受到影響
[2838.92-2839.92] 那我們為什麼
[2839.92-2840.92] 因為這個第一個
[2840.92-2841.92] 因為這個第一個
[2841.92-2842.92] 因為這個第一個
[2842.92-2844.92] 第二個沒有費利的問題
[2844.92-2846.92] 因為他負責任地
[2846.92-2849.92] 我們不用受到費利的風水的影響
[2849.92-2850.92] 那全家也一樣
[2850.92-2852.92] 全家他也負責任地
[2852.92-2856.92] 所以我們公司為什麼上完市以後
[2856.92-2859.92] 我們以前我一直跟各位報告
[2859.92-2861.92] 我們有很多的問題
[2861.92-2863.92] 我們是有一個規劃在走
[2863.92-2865.92] 只是有的東西我們不能講
[2865.92-2867.92] 那現在我們還有一個客人
[2867.92-2868.92] 現在還在談
[2868.92-2869.92] 那這個還沒有進去
[2869.92-2870.92] 我們也不能講
[2870.92-2873.92] 因為等切定有拿到合同
[2873.92-2874.92] 我就跟各位大家報告
[2874.92-2876.92] 像這個我們都拿到合同
[2876.92-2878.92] 然後全家我們也拿到
[2878.92-2880.92] 經濟供應商的合同都拿到了
[2880.92-2883.92] 所以我們今天來跟各位報告
[2883.92-2886.92] 那有時候市場上面一直會傳說
[2886.92-2890.92] 啊那一千年的業績飄浮不定
[2890.92-2892.92] 我認為是
[2892.92-2894.92] 我常常跟各位報告就是說
[2894.92-2897.92] 一千是跟別的公司不一樣的
[2897.92-2900.92] 我的公司是每天就一千
[2900.92-2904.92] 每個月的生產線就有水線這樣一直走
[2904.92-2905.92] 我們不是的
[2905.92-2907.92] 因為我們是靠設計
[2907.92-2908.92] 靠服務
[2908.92-2910.92] 不能去跟別人
[2910.92-2913.92] 如果我們是跟別的東西一樣做的
[2913.92-2915.92] 我相信很多人會不知
[2915.92-2918.92] 一千這個公司可能會一家兩家三家
[2918.92-2920.92] 我認為就是說
[2920.92-2921.92] 一直不知足
[2921.92-2924.92] 那我們一千為什麼沒有人去複製
[2924.92-2925.92] 就跟當初我講的
[2925.92-2927.92] 鄭教授跟我們談
[2927.92-2928.92] 為什麼你這個展示家
[2928.92-2931.92] 為什麼會這麼好的毛利益
[2931.92-2933.92] 他們一直也想不懂
[2933.92-2934.92] 我一直講說
[2934.92-2939.92] 我們公司的毛利益一直存在就是這個很高的毛利益
[2939.92-2942.92] 你不要看這個毛利益也蠻高的
[2942.92-2944.92] 這個蠻難做的
[2944.92-2946.92] 也不是很好做的東西
[2946.92-2949.92] 他們終極也有去找別人做過
[2949.92-2950.92] 也有去找青島
[2950.92-2951.92] 找哪一家做過
[2951.92-2954.92] 但是每一支出來的品質都不一定
[2954.92-2956.92] 有時候因為這個
[2956.92-2958.92] 它這個是一層疊一層
[2958.92-2959.92] 它不是一個
[2959.92-2963.92] 它這個放完以後它你看稍微又很小
[2963.92-2965.92] 然後這個發動機這樣
[2965.92-2966.92] 它一層一直做
[2966.92-2970.92] 發動機它是做完一直往倉庫裡面放
[2970.92-2972.92] 所以它的整個放動性
[2972.92-2974.92] 調動性
[2974.92-2976.92] 精密性都要夠
[2976.92-2978.92] 不然你你插車插來插去
[2978.92-2979.92] 它可能有疊五層
[2979.92-2981.92] 疊六層疊八層
[2981.92-2983.92] 到時候倒下來很棒
[2983.92-2985.92] 所以這個是一個
[2985.92-2987.92] 非常好的設計
[2987.92-2989.92] 所以我認為
[2989.92-2992.92] 畢竟一直在追求的東西是
[2992.92-2994.92] 不斷的往前轉
[2994.92-2996.92] 那我們也會不斷的去開發
[2996.92-2998.92] 很多新的東西
[2998.92-3000.92] 所以我相信
[3000.92-3003.92] 各位投資者對一些比較
[3003.92-3005.92] 這個要
[3005.92-3008.92] 很強的信心
[3008.92-3011.92] 因為不要看單列或是看什麼
[3011.92-3012.92] 然後認為說
[3012.92-3014.92] 一線可能這個業務好
[3014.92-3015.92] 我認為
[3015.92-3017.92] 我去年也講了
[3017.92-3019.92] 我的EPS一定會很高
[3019.92-3020.92] 我不會說
[3020.92-3022.92] 像有的公司賺了很多錢
[3022.92-3024.92] 然後就放在庫袋裡面
[3024.92-3025.92] 它不花
[3025.92-3026.92] 但是我不會
[3026.92-3027.92] 我認為
[3027.92-3028.92] 投資人投資我們要什麼
[3028.92-3029.92] 要鼓勵
[3029.92-3031.92] 不然你投資我們幹嘛
[3031.92-3032.92] 你就看看股票
[3032.92-3035.92] 當然有的人是想賺股票的錢
[3035.92-3037.92] 那你股票的錢怎麼來
[3037.92-3038.92] 你現在要花股票
[3038.92-3039.92] 你買了沒有花股票
[3039.92-3041.92] 人家賺不到這股票的錢
[3041.92-3043.92] 股票的錢怎麼會去投
[3043.92-3047.92] 那我們會秉持著上市的原則
[3047.92-3049.92] 我們預見我相信
[3049.92-3051.92] 我們每年都會有新的東西出來
[3051.92-3057.92] 那我們每年也會有創造很多新的利基
[3057.92-3061.92] 那我相信我們今年的整個營業項目
[3061.92-3063.92] 營業目標也會跟我們去年
[3063.92-3065.92] 跟各位大家說的一樣
[3065.92-3067.92] 45億到48億都可以
[3067.92-3071.92] 那EPS我們會往上面加
[3071.92-3074.92] 那這個我相信我們是做得到
[3074.92-3077.92] 因為我們公司跟別人非常不大相像
[3077.92-3079.92] 像有的產品的公司
[3079.92-3081.92] 你看一直估計
[3081.92-3083.92] 這一家做那一家做
[3083.92-3084.92] 這一家做那一家
[3084.92-3086.92] 都做一樣的東西
[3086.92-3090.92] 那基本上就很多人會去做投資
[3090.92-3092.92] 競爭性非常競爭
[3092.92-3095.92] 那我們公司有的人是看不到的
[3095.92-3096.92] 有人像你看這個東西
[3096.92-3100.92] 人家會看得到你認為這個利率
[3100.92-3103.92] 那個整個利潤會多高
[3103.92-3108.92] 所以我私證的我們公司是有非常好的競爭基礎
[3108.92-3111.92] 那現在我們也要在印度投資
[3111.92-3116.92] 現在在一個月我們已經有把機器網頁裡面
[3116.92-3118.92] 因為機器基本上都用
[3118.92-3121.92] 那我們的置管製程
[3121.92-3123.92] 我們這個月已經
[3123.92-3126.92] 前幾天我要回來已經開始在做那個
[3126.92-3128.92] 我們這個月的地基的
[3128.92-3130.92] 的的的價值
[3130.92-3135.92] 所以我們跟各位報告的進度都是如期
[3135.92-3137.92] 也會做到
[3137.92-3138.92] 所以我相信
[3138.92-3140.92] 一進將來
[3140.92-3142.92] 不管今年明年將來
[3142.92-3144.92] 都是會有很好的發展
[3144.92-3146.92] 那我們還有很多東西
[3146.92-3148.92] 我們還持續去改進
[3148.92-3151.92] 好像ESG的整個永續經營
[3151.92-3154.92] 我們像今年
[3154.92-3156.92] 大陸的
[3156.92-3159.92] 太陽能也開始接上線了
[3159.92-3161.92] 這個也已經跟那個整個
[3161.92-3164.92] 中國電力也接上線
[3164.92-3168.92] 所以我們還是會持續推進
[3168.92-3170.92] 上市以後要做的事情
[3170.92-3174.92] 那對投資人整個的目標
[3174.92-3177.92] 我們說到我們會做到
[3177.92-3178.92] 謝謝各位大家謝謝
