[0.00-8.64] 那欢迎各位投资先进参加凯基举办美利达线上法人会议
[2669.50-2671.66] 中国这个意思吗
[2671.66-2676.64] 对这个是等一下存不进的是对这个是单位
[2676.64-2677.48] 你帮我加一下
[2678.92-2682.94] 对大概之前比我因为我之前看的比重比例大概是那因为一直在变动了
[2682.94-2684.58] 所以没有在看那个
[2684.58-2686.60] 不过之前的比重大概是这样子
[2688.24-2688.88] 不好意思
[2688.88-2693.20] 所以说中国中国中国中国中国不放在说明一下
[2693.44-2695.68] 所以说中国实际上是有控制库存
[2695.68-2702.48] 所以去年的话我们就记得每次都有说明就是因为即使在去年那个市场非常好的时候
[2702.48-2704.78] 因为我们有之前欧美的经验嘛
[2704.78-2705.70] 所以啊
[2705.70-2706.68] 我们有比较小心
[2706.68-2708.38] 相对其他品牌比起来
[2708.38-2712.28] 我们就一直有控制说我们内部之前有跟大家说
[2712.28-2713.96] 我们就不管他卖再好
[2713.96-2719.08] 我们就只容许我们中国那边库存量就只能有九万多台
[2719.08-2719.90] 所以一直都在变
[2719.90-2720.96] 说我们啊
[2720.96-2721.28] 在旺季的时候一个月可能卖到1312万台啊
[2721.28-2723.28] 所以我们在旺季的时候一个月可能卖到13 12万台啊
[2723.44-2724.28] 13万台
[2724.28-2729.74] 可是我们库存就一直维持在大概九万到十万大概这个range之间而已
[2729.74-2730.90] 所以那个是很稳定
[2730.90-2734.16] 说我们库存的部分在中国不会有什么
[2734.16-2735.88] 即使是市场有什么变动
[2735.88-2738.14] 我们也不预期会出现有什么压力
[2738.14-2741.38] 因为我们本来就是有之前已经有欧美经验了
[2741.38-2742.24] 所以有比较小心
[2742.24-2743.72] 所以这块对我们影响不大
[2745.04-2746.20] 好好讲清楚
[2746.20-2746.72] 谢谢啊
[2746.72-2748.68] 那欧洲的部分像仙都那呢
[2750.86-2752.80] 那个我们就没有那个我们就没有特别差
[2752.80-2753.44] 因为我们都把
[2753.44-2754.82] 那些全部就整块
[2754.82-2759.56] 所以一起整个美打等于子公司的部分就全部都看一起看
[2759.56-2763.10] 所以基本上就是我们台湾可能我记得年底
[2763.10-2764.96] 年底是年底多少
[2764.96-2767.18] 我们去年底大概将近43亿
[2767.18-2770.48] 然后中国可能就大概21出头这样子
[2770.48-2773.78] 然后剩下基本上就是那些全部加起来
[2773.78-2775.46] 我们比较没有去看出到国家
[2775.46-2777.30] 我也没有看到那么国家蛮多的
[2777.30-2778.58] 比较没有这样子看
[2778.58-2780.98] 不过其他就是那些市场上的成车
[2783.44-2784.96] 在天月期之后
[2784.96-2785.88] checking
[2785.88-2788.26] 所以oru
[2788.26-2790.36] 那么在那个
[2790.36-2791.36] 这边
[2791.36-2793.98] 原浑
[2793.98-2795.40] 这个推个
[2795.40-2795.62] 就给他
[2795.62-2796.92] 就给他
[2796.92-2797.44] 然后让他
[2797.44-2799.02] 你现在洽进入这个
[2799.02-2801.34] B 먹어
[2801.34-2803.16] 你主线
[2803.16-2804.60] 但我的中国自家
[2804.60-2805.68] 的禁令
[2805.68-2806.52] 其实是在这么gré
[2806.52-2807.46] 我就是说
[2807.46-2808.44] 你冯浙 PD
[2808.44-2809.14] 品外文
[2809.14-2811.08] Wa served
[2811.08-2811.52] 中 fb
[2811.52-2812.10] 分线
[2812.10-2812.62] 这个
[2812.62-2813.44] 허essions
[2813.44-2816.32] 基本你的库存已经回到一个健康水准
[2816.32-2818.54] 然后你刚刚讲年初到年底的毛利
[2818.54-2820.44] 其实已经有往上的一个趋势
[2820.44-2823.36] 那你刚刚也有提出
[2823.36-2825.06] 就是说它整个销售状况
[2825.06-2826.80] 其实是有慢慢好转
[2826.80-2828.68] 那为什么会在这个时间点
[2828.68-2831.42] 它会又提这么大一笔的资产
[2831.42-2832.96] 所得税资产增顺
[2832.96-2834.54] 那基本上是这样子
[2834.54-2836.80] 就是因为那个之前
[2836.80-2838.04] 因为前两年都在亏损
[2838.04-2839.64] 所以亏损其实可以抵税
[2839.64-2841.86] 所以它那个电所得税资产
[2841.86-2842.80] 其实一直在增加
[2842.80-2844.76] 所以那个金额越来越庞大
[2844.76-2848.34] 那就刚才我记得好像讲过
[2848.34-2850.08] 就是因为你金额到某个层
[2850.08-2852.26] 那个金额其实是一直越来越多
[2852.26-2854.42] 然后你当然是那些东西
[2854.42-2856.04] 那个金额未来可以抵税
[2856.04-2857.60] 可是你要
[2857.60-2860.22] 那相对当那个金额变得
[2860.22-2861.14] 有点庞大的时候
[2861.14-2863.80] 表示说你未来可能要赚很多
[2863.80-2866.22] 才能一次才能抵完
[2866.22-2869.68] 那当然不可能说
[2869.68-2870.54] 我们要预期说
[2870.54-2872.30] 那当然不可能今年
[2872.30-2872.78] 明年
[2872.78-2874.90] 或三年内就可以把它抵完
[2874.90-2876.14] 因为金额真的太大
[2876.14-2877.30] 所以才会说
[2877.30-2880.18] 那以财报比较准确度
[2880.18-2884.02] 比较准确的角度来看
[2884.02-2885.30] 还是应该
[2885.30-2888.50] 所以决定说做在去年先做这个调整
[2888.50-2890.76] 可是让未来的获利就等于是
[2890.76-2892.58] 它获利抵出来还是没有消失
[2892.58-2893.62] 那个权利还是没有消失
[2893.62-2895.54] 只是说等于是让后面
[2895.54-2899.46] 现在财报看起来比较合理这样子
[2899.46-2901.52] 因为毕竟它并不是说两年三年
[2901.52-2902.78] 就可以一次把抵完的东西
[2902.78-2904.82] 我可以请教一下SBC
[2904.82-2907.28] 它去年的营收大概是做多少
[2908.42-2914.02] 营收它去年的话营收比前一年衰退
[2914.02-2915.26] 大概我看一下
[2915.26-2917.90] 我记得大概8%上下
[2920.50-2921.28] 就是有税务上下
[2921.28-2922.18] 可是它这三年
[2922.18-2923.78] 我因为讲说这三年都差不多
[2923.78-2924.66] 主要是因为
[2924.66-2929.74] 它在假设我们用2022年的营收当基准的话
[2929.74-2931.90] 因为那时候还在疫情的高峰
[2931.90-2932.62] 那就是销售人口的高峰
[2932.62-2932.76] 就是销售人口的高峰
[2932.78-2935.86] 如果我们用2022年来看的话
[2935.86-2938.90] 2023年虽然市场都已经进入去库存
[2938.90-2942.90] 但是它的营收反而是又在成长了几趴
[2942.90-2946.86] 然后所以今年比去年有掉个大概8%上下
[2946.86-2948.50] 所以其实就是一正一福
[2948.50-2954.66] 其实还是在疫情的高点的时候差不多
[2954.66-2956.98] 对那金额大概是20
[2956.98-2958.86] 金额真的不太方便
[2958.86-2961.10] 因为他们私人公司
[2961.10-2962.62] 我们不是不希望我们就是把他们的公司
[2962.62-2963.90] 他们销售金额
[2963.90-2967.74] 之前都有跟大家大概分享一下那个金额的
[2967.74-2970.94] 不用带精确的数字
[2970.94-2972.22] 这是这个不太方便
[2972.22-2972.86] 真的不好意思
[2972.86-2973.12] 嘿
[2977.98-2979.10] 这里提醒您一下
[2979.10-2981.46] 就是聊天室有新增几个问题
[2981.46-2981.82] 好
[2981.82-2982.18] OK
[2982.18-2982.42] 好
[2982.42-2983.10] 看一下
[2983.10-2984.86] 对那个传飞加折
[2984.86-2986.38] 这是新增的第一个问题
[2988.06-2989.50] 是在哪里
[2989.50-2990.66] 就回复一下
[2990.66-2991.74] 传飞加折这边
[2991.74-2994.18] 会实现销锚力那个部分
[2994.18-2995.58] 传飞好我开始看
[2995.58-2998.22] 对e-bike整体产业的想法
[2998.22-2999.42] 你先留你提示
[2999.42-3002.62] 年增率这个数字我们可能没办法这样子弄
[3002.62-3005.06] 那对e-bike整体产业的话
[3005.06-3010.42] 我觉得今年应该还是在主要还是在销那个电动
[3010.42-3014.02] 电动自行灯散车部分就刚才报告过的
[3014.02-3015.06] 我们预期会成长
[3015.06-3017.22] 因为我们尤其是今年我们会推出新车
[3017.22-3021.18] 所以我们对那一台还蛮有蛮高的期望的
[3021.74-3028.14] 那在电动城市车部分今年还是预期市场销售还是有在卖
[3028.14-3029.94] 可是因为那扩存量真的太高了
[3029.94-3031.98] 所以这个今年的话
[3031.98-3035.82] 我们觉得去库存最晚结束的就是会在那个电动
[3035.82-3037.62] 电动的那个城市车
[3037.62-3040.18] 所以可能今年还是会在
[3040.18-3043.50] 在就是去库存的阶段
[3043.50-3047.34] 所以我们的生产的需求应该会有回温
[3047.34-3049.38] 可是那个趴数应该不会太多
[3049.38-3049.90] 好
[3049.90-3051.70] 谢谢
[3051.74-3054.30] 确实数字现在比较难这样子讲
[3054.30-3055.32] 不好意思
[3055.32-3059.94] 那
[3059.94-3062.50] 同一头戏那个王小姐那个
[3062.50-3064.28] 库存减损
[3064.28-3067.62] 若没有库存减损请问是毛利率影响
[3067.62-3071.70] 你帮我看一下
[3074.02-3077.34] 这个请吴科长看能不能跟佳琳再看一下
[3077.34-3078.10] 那
[3079.90-3081.70] 然后他们问说公司是否库存减损
[3081.74-3084.30] 这个我们
[3084.30-3087.38] 目前还没有这个规划
[3087.38-3089.42] 然后再来
[3089.42-3097.62] 关于4Q毛利率这个都等一下
[3097.62-3100.42] 我请你把它改一下
[3100.42-3106.58] 然后4Q再来就是那个Cathy问4Q的那个
[3106.58-3108.88] 出货数字那个我看佳琳已经提供了
[3108.88-3109.90] 然后
[3109.90-3111.70] 过去几年没有什么亏损的
[3111.70-3112.98] 情况请问
[3112.98-3114.26] 然后Kevin在问
[3114.26-3120.40] 过去几年没有什么亏损情况请问DM所得税资产是SBC并购其他空入进来的
[3120.40-3121.94] 不是这个
[3121.94-3125.78] 因为DM所得税资产这个资产其实有点复杂我也
[3125.78-3128.86] 没有很懂因为其实这个跟他们研究
[3128.86-3130.38] 那个真的非常复杂
[3130.38-3135.50] 那第一个是亏损然后第二个是其实他们有一些其他东西其实也是可以
[3135.50-3138.58] 比如说可能有一些投资的那个什么可以
[3138.58-3141.66] 未来可以抵税什么这个都在里面所以其实
[3141.70-3144.00] 混了非常多东西所以那个
[3144.00-3145.02] 那里面的
[3145.02-3147.08] 明细跟比例这个也
[3147.08-3149.38] 目前也没有所以这个比较
[3149.38-3152.96] 没办法回答
[3152.96-3154.50] 然后最后那个
[3154.50-3159.36] Bab在问说SBC扩存情况是否继续将扩存
[3159.36-3161.16] 我们转头是这边
[3161.16-3167.30] 公司的那个扩存其实在去年中左右就已经恢复正常了他们的如果用那个
[3167.30-3170.12] 扩存跟营收来比的话大概基本上就是
[3170.12-3171.66] 大概都在四个月五个月左右的情况下
[3171.70-3176.06] 这个扩存是跟疫情前基本上是一样的
[3176.06-3178.10] 而且是算还不错的因为
[3178.10-3179.90] 大家可能知道现在那个
[3179.90-3182.70] 有红海就是自从有红海危机之后
[3182.70-3187.32] 从那个所有我们出货到欧洲还有的那个船运
[3187.32-3191.92] 跟往年比起来都多了将近一个月我们现在从我们工厂出货
[3191.92-3195.50] 到欧洲那个仓库收到
[3195.50-3201.66] 几乎都是要两个月到两个半月了所以只要我们出货就算对方的扩存所以当有这种
[3201.70-3202.98] 这样子的时候
[3202.98-3208.10] 扩存金额还维持在大概四五个月所以表示说他们实际上在他们
[3208.10-3208.86] 扩存的
[3208.86-3213.48] 时间的那个金额其实大概就两个月上下所以这个算是蛮正常
[3213.48-3214.50] 健康的所以
[3214.50-3218.86] 从去年下去年中以后基本上扩存就维持很稳定
[3218.86-3223.72] 我也不预期会再继续降扩存因为这个已经是正常水准
[3223.72-3227.30] 然后最后Kevin问说Shimano之前公布2025年业绩
[3227.30-3229.10] 那欧洲上半年会成长
[3229.10-3229.86] 这个
[3229.86-3231.66] 这个我有看过这个
[3231.70-3237.08] 整体我知道Shimano公布是全世界在整体大概10%上下然后欧洲比较多
[3237.08-3241.68] 这个我们看的也大同小异因为那个我们现在
[3241.68-3246.04] 大家也看到我们一二月的就是后面这边的营收嘛实际上
[3246.04-3249.88] 我们的订单需求实际上是有逐月在上升
[3249.88-3252.44] 所以大家看到去年我们营收也是
[3252.44-3253.72] 就是慢慢爬上来
[3253.72-3255.26] 所以
[3255.26-3259.10] 然后欧洲又是经营车最大的市场对我们来讲也是所以那个
[3259.10-3261.66] 我们欧洲在我们公司的营收大概有
[3261.70-3263.50] 在我们那个出货的那个
[3263.50-3269.64] 比重有五成以上所以对我们来讲很重要所以我们目前看到的展望也
[3269.64-3270.66] 大同小异
[3270.66-3272.20] 那
[3272.20-3274.76] 那最后Kathy问说
[3274.76-3278.08] 货存经了四到五个月请问
[3278.08-3281.42] Meta自有品牌这边因为
[3281.42-3287.56] 大家可能知道就是我们转投资品牌这边它的那个品牌是
[3287.56-3291.66] 相对在市场上算是比较高端相对强势的所以
[3291.70-3294.78] 在去库存的时候它比较
[3294.78-3298.62] 就就讲白话就比较占便宜因为他们同样折扣的时候
[3298.62-3303.74] 它的销量会比较好因为难得有这种折扣可以买所以当你有可以比较便宜
[3303.74-3305.02] 有折扣去买
[3305.02-3308.08] 相对之前买不起的车的时候它相对好卖所以
[3308.08-3310.38] 它的负损算是跟所有品牌比起来
[3310.38-3312.44] 算是很少结束去库存的
[3312.44-3313.72] 那我们
[3313.72-3316.78] 他们去完之后其他品牌才陆续跟上所以
[3316.78-3320.62] 我们部分当然也一定是比他们慢一些所以我们这边的话
[3320.62-3326.26] 用月份来算的话之前算大概我评估大概可能大概八个月上下
[3326.26-3328.30] 所以还大概比
[3328.30-3333.42] 比正常的话还多个可能大概两个月上下这样子
[3333.42-3337.26] 所以还是目前还是偏靠所以我们对今年期待就是
[3337.26-3343.14] 欧洲的话今年大概4月开始进入旺季然后我们的期待就是Q
[3343.14-3346.98] Q2 Q3的那个旺季期间可以将那个
[3346.98-3348.02] 可能可以
[3348.02-3350.58] 将我们现有的库存降到一个
[3350.58-3353.14] 程度大概这样子
[3353.14-3357.24] Sherry不好意思我有几个问题想要请问
[3357.24-3360.30] 第一个就是刚有讲到SBC
[3360.30-3364.14] 就是大概YY衰退8%的营收
[3364.14-3370.80] 那这样表示说下半年的营收确实有一点不如预期因为上半年大概有10亿左右下半年如果
[3370.80-3374.64] 就是会衰退的话大概就是在下半年
[3374.64-3378.48] 那这个主要的因素如果它库存已经比较低了所以
[3378.48-3380.54] 受到的影响是因为
[3380.58-3383.66] 销售不好是因为
[3383.90-3386.22] 同业在杀价竞争所以它销售不好
[3386.72-3388.78] 对现在各品牌如果
[3389.02-3393.12] 整个市场上如果销售不好包括我们自己基本上都是因为
[3393.38-3395.42] 市场车其实还是躲在卖
[3395.68-3397.22] 就营收就不会是这样子
[3397.48-3398.76] 只是说那个
[3399.02-3405.16] 因为各个品牌尤其是那个折扣真的还蛮大的我们自己的经销商也三不五时就传给我看说
[3405.42-3407.98] 哪一台车出现了很夸张什么
[3408.48-3410.54] 80%off这样子打二折这么狂
[3410.84-3411.34] 这个
[3411.60-3414.68] 上三不五时都有所以这个多少会影响到
[3415.18-3416.72] 我们其他品牌销售
[3419.54-3422.10] 这里这边看两个问题
[3422.62-3423.90] 第一个问题是
[3424.14-3427.48] 因为之前specialize亏损已经有
[3427.74-3433.62] 提这个所得税相关的这个东西那你这次又一次的他又一次把它打掉
[3433.88-3440.02] 所以是不是未来specialize赚钱好几年都不用再付所得税
[3441.34-3443.66] 因为税很复杂我不能讲他
[3443.90-3451.08] 不用付可是相对要付一定是因为他因为那个税法真的很复杂所以你什么可以比什么我不太确定那个我没办法
[3451.34-3452.36] 肯定可是
[3452.62-3454.40] 我可以肯定的是那个
[3454.66-3456.96] 税前跟税后差距会小很多
[3457.22-3457.98] 多所以
[3458.50-3461.06] 这表示说等于贡献等于他赚钱
[3461.32-3462.60] 要缴税变少所以等于
[3462.86-3463.88] 贡献的获利会
[3464.14-3464.64] 会比
[3465.16-3469.50] 正常情况高大概是用这样去看
[3469.76-3470.54] Clarify这个就是
[3470.84-3474.94] 就是说因为在亏的时候你就已经先提那你现在又把它打掉所以
[3475.18-3478.00] 等于说那一包可以用非常久
[3478.26-3480.56] 就是说他就算之后赚很多的时候
[3480.82-3481.84] 可能都完全不用
[3482.10-3483.38] 就是税前跟税后的
[3483.90-3485.18] 金额可能是非常接近的
[3485.42-3491.06] 因为他提很多他提了这几次因为累积了蛮多的所以那个这提完的确是未来
[3491.58-3493.10] 一年用不完这我肯定
[3493.36-3497.20] 应该是会用个几年对那第二个问题想请教
[3497.46-3500.54] 如果我们用一个简单假设不管今年或是
[3500.84-3501.34] 明年
[3501.60-3504.42] 他并购下面的自行车通路如果
[3504.68-3505.70] 假设break even好了
[3505.96-3507.24] 那理论上是不是就
[3507.50-3510.30] 不用再做这个评价损失
[3511.34-3514.66] 没错因为他现在的评价就是已经拿2024年
[3515.18-3516.96] 的状况当基准了所以
[3517.22-3523.36] 当然如果2025年如果真的又突然变差但我们不预许有这种状况可是如果真的变差
[3523.62-3524.14] 那当然可能
[3524.38-3525.42] 需要重新评估一下
[3525.66-3528.22] 是不是有额外的那个商业损失可是
[3528.74-3530.28] 如果市场其实是变好
[3530.84-3533.90] 平稳或甚至变好的话当然就不会再出现
[3534.16-3535.96] 新的那个商业损失
[3536.22-3539.80] 那我的问题就是如果他开始变赚钱的话
[3540.06-3542.86] 一方面他真的在贡献本业的赚钱
[3543.12-3547.74] 另一方面他如果又重新评价变成possibly
[3548.24-3550.04] impact所以变成是两边转
[3551.32-3554.14] 不能讲两边转啊就是在某
[3554.38-3556.18] 要这样看也可以啦可是
[3556.44-3558.48] 就当然我们也会起到这种状况
[3559.00-3560.54] 没问题了
[3560.84-3562.12] 很清楚谢谢
[3562.38-3564.42] 我刚被插
[3564.68-3565.70] 被插进来
[3565.96-3568.78] 我想问就是所以下半年营收不如预期吗
[3569.02-3573.90] 但是呢我算了一下本业的营运你刚有写本业营运是亏损
[3574.14-3576.20] 缩小的2024年
[3576.46-3580.54] 那这因为一到三季认列大概3.41的亏损
[3580.80-3582.60] 那如果你用就是
[3582.86-3585.16] 刚刚所有一次性的提存
[3585.42-3586.70] 大概乘以8%的话
[3586.94-3590.54] 这样子有点我算起来大概第四季已经没什么亏
[3590.84-3595.18] 所以你意思是说你你写的那个逐渐接近损益两平是指
[3595.44-3598.52] 单季第四季已经接近损益两平了
[3598.78-3599.28] 是这个意思
[3599.54-3604.66] 也不是我们的接近损益两平其实我是用整年来看啦因为我比较不会用季来看这件事
[3604.92-3607.22] 所以我是用整年就我刚才跟大家讲过就是
[3607.48-3610.30] 我们因为整年来看如果以本业来看其实就
[3611.06-3613.10] 两趴不到所以基本上已经很接近了
[3613.36-3614.90] 我们是用这个角度来看这件事
[3616.44-3620.02] 好好所以可能第四季的亏损等到
[3620.84-3621.86] 财报出来才会知道
[3622.12-3622.88] 然后再来
[3623.40-3630.56] 再来就是e-bike的部分刚有说就是我们有新车种要出货吗所以在库存的增加
[3630.82-3632.10] 是因为新车种
[3632.36-3634.40] 那这个新车已经出货了吗
[3634.66-3638.24] 就是e-bike我们看到1月2月大概17000 14000
[3638.50-3641.06] 这个是已经有出货了吗
[3641.58-3645.16] 有就从其实从12月下旬就开始一直在出了
[3645.42-3648.48] 所以大家看到我们1月跟2月营收有大幅
[3648.74-3650.54] 出现大幅度尤其是台湾场的部分
[3650.84-3656.98] 有出现大幅度的成长主要就是因为那些就是那些车因为那个车真的单价很高所以
[3657.24-3661.58] 当我开始出货的话那个对营收的那个进的贡献就蛮大的
[3662.10-3664.40] 所以这个会持续的付货
[3664.92-3670.04] 我们实际上还没上市所以我们实际上因为我们现在就
[3670.30-3672.34] 就传言的部分就刚才讲过就是
[3672.60-3674.38] 我们要出去都要两个多月才会到
[3674.64-3680.54] 到对方仓库了所以其实现在在扑股阶段所以我们现在都还是持续在正常生产出货
[3680.84-3685.44] 这个这个车不会不会只有扑过那个也有需求了后面还是持续需求了所以
[3685.70-3690.06] 所以今年的那个当然后面的那个订单多少还是要看
[3690.30-3695.18] 上市之后市场的反应不过到目前相对乐观所以就是
[3696.96-3702.34] 我们期待就是那车可以就是卖的不错后面的需求持续在回补这样子
[3702.86-3708.22] 这个正式上市的那个月份是在几月4月份吗
[3708.48-3710.54] 左右的不好意思不可能
[3710.84-3712.62] 我可以
[3713.66-3719.28] 然后再来就是12月刚有提到就说12月营收不错了出货量也上来
[3719.54-3722.10] 可是我看到的是中国大幅上来
[3722.62-3725.42] 那中国大幅出货量大幅上来
[3725.68-3726.96] 这是因为
[3727.22-3732.60] 1月是有学生车这个可以理解可是2月大幅上来的原因是什么
[3732.86-3735.66] 那他然后看到单价是降低的
[3735.92-3739.00] 这个也是2月12月都是学生车上来
[3740.02-3740.54] 12月都是
[3740.84-3745.96] 那个比跟之前比较特别是12月的那个比较入门车部分出现比较
[3746.22-3750.56] 销售比重突然变多所以那个数量上我看起来那个
[3750.82-3756.46] 下降幅度有缩小可是因为他那个车款部分因为真正在其运
[3756.96-3763.10] 基本上还是应该到天气比较好之后所以那部分还没开始所以我们这两个月比较特殊
[3763.36-3763.88] 都是
[3764.14-3765.42] 卖比较多的都是那个
[3765.66-3769.00] 入门车所以我看到比较明显那个
[3769.26-3770.28] SP有下降
[3770.78-3771.86] 但是我觉得那个是临时性的
[3772.12-3773.66] 暂时性的我们可能后面还
[3773.90-3775.44] 算是要再观察再才
[3775.70-3779.28] 对整个市场状况才会比较有比较
[3779.54-3780.30] 比较那个feel啦
[3780.56-3786.70] ok这有点像去年7月份量有上来可是单价SP是下降的
[3787.74-3791.32] 那可是可能只有一两个月的影响嘛
[3792.08-3794.38] 都是在那个村
[3794.64-3799.50] 还是要看那个需求回升的话还是要看4月份3 4月份对不对
[3799.50-3802.58] 对没错中国一样欧美也是
[3803.34-3809.48] 对欧美也是因为其实我们自行车业的话跟天气比较关系因为你如果天气很差下雨呀什么就
[3809.74-3812.56] 当然不会去买车汽车嘛所以一般都会
[3812.82-3819.46] 才会说我们旺季都一般都是在市场上的销售旺季都是在Q2跟Q3因为这时候天气最好
[3819.72-3821.00] 因为欧美
[3821.52-3823.30] 我们台湾天气可能比较相对稳定
[3823.56-3825.62] 可是在他们那边的话冷的时候真的很冷
[3825.86-3827.66] 所以那个到冬天下雪基本上就不方便汽车
[3829.50-3831.80] 所以之前
[3832.06-3838.46] 我预期就是100可今年会成长所以目前看起来如果清车这种状况是不错
[3838.72-3842.56] 的话就是我们还是预期100可今年还是一个成长年
[3843.32-3846.40] 对没错我们一月月看起来目前也是这个趋势所以
[3846.66-3847.94] 目前是相对乐观
[3848.96-3855.62] 好那么最后一个问题因为之前有给我们日产量请问现在日产量因为刚有问到产能利用率嘛
[3855.86-3859.20] 那如果不方便讲是不是可以给我们那个日产量
[3859.50-3864.10] 去年大概是1000多台湾的
[3864.88-3866.92] 台湾的我马上看一下等一下
[3867.18-3868.46] 这个都有
[3873.84-3875.38] 我找一下email
[3878.70-3879.98] 那你帮我看一下有什么问题
[3880.24-3886.38] 各位投资前景不好意思因为我们时间的关系我们可能就请协理回答最后两个聊天室的问题
[3886.64-3888.68] 我们就会结束这个会议
[3888.68-3894.56] 好ok那我们现在的ok了解那我们现在这个月我们的那个
[3894.82-3900.96] 排产量是一个月1300所以大概是个数字所以比去年的1000再高一些
[3902.76-3906.34] 台湾的日产量吗去年不是已经1700了吗
[3907.62-3909.92] 去年不是第四季已经到1700了
[3910.70-3918.64] 可是我们会有季节性啊所以因为我们的那个我们自己以工厂的那个角度来看的话忘记跟市场
[3918.88-3921.24] 不一样市场是第Q2 Q3
[3921.50-3927.64] 那我们工厂的话23月一般都是最淡主要就是因为我们的新车通常都是四月才开
[3927.90-3928.66] 就是
[3928.92-3929.44] 新
[3929.68-3930.46] 因为我们市场
[3930.72-3933.52] 习惯是一年都会换掉整个新车会重来一次
[3933.78-3934.80] 那我们大概都是
[3935.06-3938.90] 生产的交接点大概就是在四月所以以往的话因为
[3939.16-3939.92] 特仁在
[3940.18-3941.20] 就是年度
[3941.46-3943.00] 尾端结束的时候定量会少一点
[3943.52-3947.36] 所以以往我们的23月都是单季所以那这两个月排比较少是很正常的事情
[3948.68-3950.48] 去年同期大概1200
[3950.72-3953.28] 1300左右所以现在也大概1300
[3955.08-3956.62] 等一下那我回答一下那个
[3959.44-3961.22] 那Kelvin刚才问那个
[3961.48-3963.28] 继续那个问题所以那个
[3963.52-3965.84] 刚刚提到船问题请问贵公司运费
[3966.08-3970.70] 我们的那个运价并没有在我们费用里面因为我们跟所有的
[3971.20-3976.32] 包括我们自己的经销商或是我们跟我们其他转投资公司都是用FOB所以表示说
[3976.58-3977.60] 我们的
[3977.86-3978.64] 只要上了船
[3978.94-3980.22] 费用就是他们的所以那个
[3980.48-3983.04] 海运的费用都是在对方都没有在我们这边
[3983.28-3985.60] 所以对海运所以之前包括
[3985.84-3986.62] 运费
[3987.12-3988.92] 飙涨或是下降
[3989.18-3992.76] 在我们这边其实没有什么影响基本上都是对方在负责
[3993.52-3998.64] 那最后Kelvin问那个请问SPG商与战资产比重
[3998.90-3999.92] 是多少
[4000.18-4002.24] 这个不好意思
[4002.74-4004.28] 这我可能研究一下因为我们之前没有这样子
[4004.54-4005.56] 从这个角度看这件
[4005.82-4008.12] 跟他们都没有从这个角度来看这件事
[4008.38-4010.42] 那这个商与的话基本上
[4011.20-4012.22] 资产比重多少
[4012.48-4016.56] 这我要研究一下不好意思这个我真的不知道因为我们之前没有用这个角度看这件事
[4016.82-4018.36] 那毛利率
[4021.18-4022.96] 他这个是问的什么东西
[4023.48-4025.28] 这个就是有未实现消耗毛利
[4026.80-4031.16] 不过财务部他因为还没有
[4031.68-4032.70] 毛利率这个
[4032.96-4038.08] 不好意思我现在可能真的没办法不打清楚所以那个我需要研究一下因为我刚才看那个资料并不是很好
[4038.38-4040.94] 那不是很正确所以那个这个
[4041.20-4042.48] 不知道什么场合可以跟
[4042.98-4045.04] 给大家我再想一下那我
[4045.28-4049.38] 针对这个我们再研究一下那再找机会跟就分享给大家
[4050.16-4051.18] 我稍后才会
[4054.00-4054.76] 那
[4055.02-4060.64] 那各位投资先进那我们今天美利达的线上法人说明会就先进行到这里
[4060.90-4062.44] 那我们再次谢谢张协理
[4062.70-4063.98] 谢谢各位的参与
[4064.24-4064.74] 谢谢
[4065.00-4067.04] 谢谢大家的参与
[4067.30-4067.82] 拜拜
[4068.12-4077.16] 挺值得
