[0.00-5.70] 现在时间是5月20日下午三点整
[3360.84-3361.86] 那根据
[3362.16-3363.44] 这个会计的要求
[3363.70-3365.48] 财务报告要求我们必须
[3365.74-3366.76] 提列减损
[3367.02-3369.32] 这里面我们提列越南的这个
[3369.58-3370.86] 减损2亿
[3371.38-3376.24] 4400万那相当于EPS大概是0.24
[3376.50-3377.00] 也就是说
[3377.26-3379.82] 我们把这一项加回去的话
[3380.08-3382.64] 我事实上我本业的这个
[3382.90-3384.44] 就是我正常如果
[3384.68-3386.74] 不计算这一次性的
[3387.00-3389.56] 损失的话我去年第4季的获利
[3389.80-3391.60] 我以EPS来讲是
[3391.60-3393.40] 0.14元
[3393.64-3396.20] 所以亏损主要的原因是一个
[3396.72-3399.02] 这个越南营运的一个
[3399.28-3399.80] 中止
[3402.86-3406.20] 那他的第2部分是针对2025年的财策
[3407.22-3411.56] 那有关于2025年的财策我想台向公司一向的
[3411.82-3413.88] 惯例我们都没有
[3414.12-3415.92] 提供财策
[3416.18-3419.24] 我想刚才执行长的这个说明里面
[3419.50-3421.30] 虽然没有把数字说出来
[3421.60-3423.40] 我想对我们对下半年的
[3423.64-3425.70] 的展望大概有一个
[3425.96-3427.74] 比较概括性的一个说明
[3429.80-3430.56] 那
[3430.82-3431.84] 时间
[3432.10-3433.64] 把握大概是最后一题
[3433.88-3436.44] 那最后一题是这个
[3436.70-3438.24] 线上法人所提出的
[3439.00-3440.80] 有关升华
[3441.56-3443.88] 搬迁的进度预计
[3444.12-3446.44] 多块能够完全反应
[3446.94-3448.74] 在营收的贡献上面
[3450.78-3451.56] 我想这个
[3451.86-3452.36] 财务长
[3452.62-3454.16] 可以先说一下
[3454.42-3456.46] 我在前面
[3456.98-3461.32] 第一季的营收说明有说到我们升华的新线是
[3461.84-3462.86] 以每一季
[3463.12-3464.14] 一条新线
[3464.40-3464.92] 开始
[3465.68-3467.22] 那也就是说我第一季
[3467.48-3468.24] 第一条线
[3468.50-3469.52] 我营运顺了
[3469.78-3470.28] 我会把
[3470.54-3472.34] 旧厂的一条线关掉
[3472.84-3475.92] 我们以每一季增加一条线的这个
[3476.18-3476.94] 速度
[3477.96-3479.00] 在增加新线的
[3479.24-3481.30] 所以现在在第二季也就是说
[3481.86-3484.16] 第二条生产线其实已经在
[3484.42-3486.20] 市营当中
[3486.46-3487.74] 那逐渐的这个RAMP
[3488.00-3489.54] 那如果一切顺利的话
[3489.80-3490.82] 到第三季
[3491.08-3492.60] 第三条线加入
[3493.38-3495.42] 原来老厂的第二条线就会
[3495.68-3496.20] 关闭
[3496.44-3497.72] 所以一切顺利的话
[3497.98-3499.52] 三条线会在
[3499.78-3501.56] 今年第三季都加入
[3501.82-3503.36] 那Full capacity生产
[3503.62-3504.90] 会在今年第四季
[3505.66-3506.44] 以上说明
[3511.60-3513.40] 那我们就来看看
[3513.64-3514.68] 现在的时间
[3514.92-3516.20] 我们的时间是
[3516.46-3517.24] 3点59分
[3517.48-3518.00] 那
[3518.26-3519.28] 我们的时间是
[3519.54-3520.56] 3点59分
[3520.82-3521.32] 那
[3521.58-3522.10] 那
[3522.36-3525.68] 因为时间的关系现在的时间
[3525.94-3527.98] 是将近3点59分
[3528.24-3531.56] 那要谢谢各位投资人的参与
[3532.08-3535.92] 今天台上的线上法说会到此告一段落
[3536.18-3540.02] 同时呢为了提升往后线上会议的品质
[3540.28-3541.04] 我们邀请
[3541.04-3541.80] 参与者
[3542.06-3544.62] 协助填写法说会满意度的调查
[3545.40-3550.52] 问卷将于线上会议结束后自动跳转浏览器显示
[3551.02-3552.82] 或可
[3553.08-3556.40] 提供对于满意度的回馈
[3556.92-3561.26] 另外也祝大家身体健康投资顺利谢谢
[3561.78-3564.60] We will end the virtual investor conference today
[3565.10-3567.16] And thank you for your participation
[3567.40-3570.22] Please also be invited to provide your feedback
[3570.48-3571.00] on the conference
[3571.30-3572.32] We are the
[3572.84-3575.14] Web page after
[3575.64-3577.70] The zoom meeting ends
[3577.96-3578.46] Thank you
[3601.12-3608.42] hospital
[3616.66-3617.18] Vaccine
[3617.42-3618.12] We Media
[3618.32-3618.82] K2
[3621.18-3622.40] 日
[3624.22-3624.78] 五
[3625.10-3625.62] 三
[3626.98-3627.76] 到了
[3627.94-3628.18] 如果
[3628.44-3629.98] warning
