[0.00-5.50] 各位衛兵同志先敬大家午安
[3216.06-3219.06] 他們並不是自己來handle
[3219.06-3221.06] 因為這個內容太多了
[3221.06-3224.06] 所以波音跟Airbus他們是交給了他們自己的
[3224.06-3226.06] 那這些dispute在handle
[3226.06-3228.06] 那這些dispute來跟我拿
[3228.06-3232.06] 所以這樣子如果以波音來講或許我叫做TN2
[3232.06-3236.06] 所以大概是這樣一個說法
[3236.06-3239.06] 那我們跟競爭對手之間有沒有什麼advantage
[3239.06-3244.06] 我想FONDA我可以說
[3244.06-3247.06] 我們在各方面的
[3247.06-3251.06] 包括說整個service方面
[3251.06-3254.06] 跟整個公司的整個資本支出的一個積極度方面
[3254.06-3259.06] 我想我們是比這些歐美的公司會讓人更積極一點
[3259.06-3263.06] 尤其是像現在這個時間其實很多歐美公司
[3263.06-3268.06] 他們不會這麼積極大體的在做資本支出
[3268.06-3272.06] 那包括在SPS它發生這個大火之後
[3272.06-3275.06] 目前我們得到的消息
[3275.06-3278.06] 他們還在評估到底能不能重建
[3278.06-3280.06] 這個還不知道
[3280.06-3284.06] 只是說他們另外像比如說我們其他電競對手
[3284.06-3285.06] 像英時或是誰
[3285.06-3287.06] 他們過去有一些
[3287.06-3290.06] 可能因為他們隨著Airbus隨著波音
[3290.06-3292.06] 可能會在其他的端那樣國家
[3292.06-3296.06] 有一些建議的一些投資
[3296.06-3298.06] 這個也是會有的
[3298.06-3302.06] 但是我想相對於整個公司的運行的彈性
[3302.06-3307.06] 整個對於這種不同製造力的這種彈性的調整
[3307.06-3313.06] 我想我們是更優於他們的一個部分
[3314.06-3321.06] SPS的集單會在構成的哪一季
[3321.06-3323.06] 應該接下來都有了
[3323.06-3325.06] 從現在開始一直到年底
[3325.06-3328.06] 根據材料的進料的狀況
[3328.06-3330.06] 根據生產的力碳數量
[3330.06-3336.06] 其實未來這兩三季大概都會有
[3336.06-3343.06] 有沒有往機車方面的拓出的這個
[3344.06-3346.06] 這個想法
[3346.06-3349.06] 當然是我們其實我們從去年一整年到現在
[3349.06-3353.06] 我們都主動在跟波音跟Airbus
[3353.06-3356.06] 在積極的在聯絡當中
[3356.06-3358.06] 那當然就我剛剛報告
[3358.06-3361.06] 因為他們自己並不採購扣件
[3361.06-3363.06] 他們是委託給別人的
[3363.06-3365.06] 所以這個部分我們都在研究
[3365.06-3371.06] 所以其實今年已經有一些機身的需求進來了
[3371.06-3374.06] 只是說剛開始可能這個需求還不是
[3374.06-3376.06] 還不是很多了
[3376.06-3379.06] 不過這個是公司的一個策略
[3379.06-3383.06] 我們積極的往機身方面的扣件來去發展
[3392.06-3394.06] 法說的部分其實各位可以看到
[3394.06-3397.06] 我們以前如果老朋友大家都知道
[3397.06-3400.06] 我們以前其實就是固定在11月才會開始法說
[3400.06-3403.06] 但今年我們特地在現在辦了一次
[3403.06-3405.06] 我想未來我們可能還會
[3405.06-3407.06] 大概維持這樣一個狀態
[3407.06-3412.06] 就是半年來跟各位投資朋友做一個公司營運的報告
[3412.06-3416.06] 畢竟現在整個市場的變化
[3416.06-3421.06] 公司的發展其實變化速度蠻快的
[3421.06-3426.06] 所以我們也是想說如果一年才跟各位報告也是似乎有點慢
[3426.06-3429.06] 所以就半年來跟各位做一次報告
[3433.06-3435.06] 我們也會有一個更大的進步
[3435.06-3438.06] 因為報理所剛才漏掉
[3438.06-3440.06] 就是他有提到我們一個募資
[3440.06-3442.06] 今年會不會頒募資
[3442.06-3446.06] 那我們其實都是內部定期評估
[3446.06-3451.06] 那如果董事會討論完之後決定要做的話
[3451.06-3453.06] 那我們會公報來進行
[3453.06-3455.06] 所以如果有關心募資的話
[3455.06-3460.06] 可能就是還是以公司內部發訊息的風號為主
[3460.06-3461.06] 好
[3461.06-3467.06] 這邊問到台灣中國跟馬來西亞的營收的規模
[3467.06-3473.06] 因為馬來西亞目前還不能夠自己接單
[3473.06-3475.06] 因為它相關的任職還沒結束
[3475.06-3479.06] 所以目前的接單模式還是以
[3479.06-3485.06] 台灣 納福跟昆山兩個地方來做接單的一個基地
[3485.06-3488.06] 那根據目前的營收狀況來講的話
[3488.06-3491.06] 台灣的部分大概占了五七成多
[3491.06-3493.06] 就是以接單的角度來講
[3493.06-3495.06] 台灣的部分大概占七成多
[3495.06-3497.06] 昆山的部分大概占兩成多
[3497.06-3498.06] 那未來會怎麼樣
[3498.06-3501.06] 我想只能說根據客戶認證的情況
[3501.06-3504.06] 根據未來認證之後客戶怎麼下單
[3504.06-3509.06] 因為這個會有進得到所謂的這個
[3509.06-3513.06] 製造地的移轉的這些相關的這些內容
[3513.06-3517.06] 所以這個它花的時間會冷靜
[3517.06-3518.06] 好
[3518.06-3519.06] 大家看
[3521.06-3526.06] 這個大家很關心
[3526.06-3529.06] 今年或下半年的整個展望
[3529.06-3531.06] 就我剛提到的
[3531.06-3535.06] 我個人我對公司未來在進行下半年
[3535.06-3537.06] 甚至明年的整個公司營運狀況
[3537.06-3538.06] 跟我目前
[3538.06-3540.06] 我目前跟客戶談的一些狀況
[3540.06-3542.06] 其實我還是相當有信心的
[3542.06-3544.06] 就我剛剛跟各位提到
[3544.06-3546.06] 其實我們目前接單的狀況
[3546.06-3550.06] 其實已經很接近我們當初年底所設下來的經濟狀況
[3551.06-3553.06] 我們的營運的目標
[3553.06-3554.06] 大概已經達到了
[3554.06-3558.06] 當然我們不會因此而滿意
[3558.06-3560.06] 我們會繼續在努力
[3560.06-3564.06] 那下個月的巴黎行展
[3564.06-3566.06] 我們還是會有很多的
[3566.06-3569.06] 跟客戶之間還是會有很多的會議活動
[3569.06-3572.06] 去繼續討論公司未來
[3572.06-3573.06] 五年十年的一個
[3573.06-3576.06] 未來的營運的一個發展內容
[3576.06-3577.06] 所以我剛才特別提到了
[3577.06-3578.06] 台灣的部分
[3578.06-3581.06] 我們還會積極的擴大產能
[3581.06-3582.06] 那當然
[3582.06-3583.06] 馬來西亞的部分
[3583.06-3588.06] 也是我們未來要繼續擴大的一個區域
[3588.06-3591.06] 因為畢竟在整個地緣政治來講
[3591.06-3593.06] 不管怎麼樣中國跟台灣
[3593.06-3595.06] 在歐美客戶的眼裡
[3595.06-3597.06] 他還是會有一些擔心
[3597.06-3600.06] 那所以為什麼我們積極的在
[3600.06-3604.06] 馬來西亞的一個破抽呢
[3604.06-3608.06] 那其實在過去這三四個月
[3608.06-3610.06] 自從川普
[3610.06-3611.06] 當選之後
[3611.06-3612.06] 其實一月份開始
[3612.06-3616.06] 其實客戶對於馬來西亞的詢問跟要求
[3616.06-3619.06] 是非常極具的
[3619.06-3621.06] 這種渴望
[3621.06-3623.06] 所以我們過去也特
[3623.06-3625.06] 我們過去這一兩個月
[3625.06-3628.06] 我們真的是加速了很多東西
[3628.06-3631.06] 包括員工的訓練也好
[3631.06-3634.06] 這些東西我們都在加速
[3634.06-3635.06] 那看起來未來
[3635.06-3638.06] 應該馬來西亞會變成是一個
[3638.06-3640.06] 我們一個很重要的一個生產基地
[3640.06-3642.06] 所以我想這個對未來
[3642.06-3644.06] 還是非常有信心的
[3648.06-3650.06] 人型機器人的部分
[3650.06-3653.06] 坦白講現在我們都
[3653.06-3654.06] 我們看了很多家
[3654.06-3656.06] 不管是美國的也好
[3656.06-3657.06] 中國製的也好
[3657.06-3659.06] 其實我們看了很多家
[3659.06-3662.06] 那未來整個公司在新的
[3662.06-3664.06] 產區的layout
[3664.06-3665.06] 相關的內容上面
[3665.06-3669.06] 我們會結合在軟體的部分
[3669.06-3672.06] 以及人型機器人的運用上面
[3672.06-3675.06] 來做整個layout的一個變化
[3675.06-3677.06] 就有些工作
[3677.06-3679.06] 可能過去用人的部分
[3679.06-3682.06] 慢慢的逐步逐步的來用人型機器人
[3682.06-3684.06] 來去取代
[3684.06-3686.06] 那當然這個部分沒有那麼快
[3686.06-3687.06] 說真的
[3687.06-3689.06] 說真的這個沒有那麼快
[3689.06-3692.06] 所以我們需要在
[3692.06-3694.06] 我們已經有一個團隊了
[3694.06-3695.06] 包括我們AMIS
[3695.06-3697.06] 包括我們的自動化的單位
[3697.06-3699.06] 我們是特別組成一個團隊
[3699.06-3702.06] 我們專門在研究開發這個
[3702.06-3706.06] 包括在AI以及人型機器人上面的應用
[3729.06-3737.06] 現在大部分的問題
[3737.06-3739.06] 我們都有做的回答了
[3756.06-3758.06] 新產品開發後到客戶下當
[3758.06-3760.06] 收到的產品時間要多久
[3760.06-3763.06] 這個航探的特色是這樣子
[3763.06-3766.06] 我們收客戶的RFQ
[3766.06-3771.06] 然後可能我需要一兩個月的時間
[3771.06-3773.06] 可能大概需要一個月的時間報價
[3773.06-3775.06] 報價完之後
[3775.06-3780.06] 可能客戶端他收了很多的工商的報價之後
[3780.06-3782.06] 他可能要花三四個月的時間去整理
[3782.06-3784.06] 整理完之後
[3784.06-3788.06] 可能發一個新產品開發的訂單給我
[3788.06-3790.06] 那給我之後
[3790.06-3793.06] 可能假設我沒有材料
[3793.06-3797.06] 那我可能需要一年的時間拿到料
[3797.06-3799.06] 拿到料之後
[3799.06-3801.06] 我可能再花二十週
[3801.06-3804.06] 十幾週二十週的時間去開發
[3804.06-3807.06] 開發完之後再交給客戶去做測試
[3807.06-3811.06] 客戶測試可能花多久我也不知道
[3811.06-3812.06] 有時候
[3812.06-3814.06] 有時候他急的話
[3814.06-3816.06] 可能一兩個月可以做
[3816.06-3818.06] 如果他loading很重的話
[3818.06-3820.06] 可能要花半年或多久
[3820.06-3822.06] 所以其實這個時間
[3822.06-3823.06] 航探的產品就是這樣子
[3823.06-3825.06] 他時間會拉得很長
[3825.06-3828.06] 可能從RFQ拿到之後
[3828.06-3829.06] 到量產
[3829.06-3833.06] 有可能要花兩年的時間
[3833.06-3837.06] 所以為什麼客戶他在做購運商的移轉的時候
[3837.06-3840.06] 他基本上至少會推
[3840.06-3842.06] 會提早一年半
[3842.06-3844.06] 去做這個購運商的移轉
[3844.06-3847.06] 去做這個購運商的一個巡價的一個動作
[3847.06-3851.06] 我覺得這個時間會拉得很長
[3851.06-3857.06] 那產品開發的部分的費用會不會charge客戶
[3857.06-3859.06] 這個算RFQ的費用
[3859.06-3861.06] 這分兩部分來談
[3861.06-3864.06] 第一個是公司自己
[3864.06-3867.06] 我們其實我們的RFQ的部門跟從Marketing
[3867.06-3869.06] 我們其實一直在為
[3869.06-3872.06] 為未來的五到十年
[3872.06-3875.06] 我們在尋找新的產品線
[3875.06-3877.06] 各位可以看到公司的
[3877.06-3878.06] Protagonism
[3878.06-3879.06] 你可以發現
[3879.06-3881.06] 我們大概每四到五年
[3881.06-3885.06] 公司會有一個新的產品會跑出來
[3885.06-3887.06] 比如說NAT出來之後
[3887.06-3888.06] 有技嘉工
[3888.06-3891.06] 技嘉工完了之後會有Bolt
[3891.06-3893.06] Bolt完之後又有
[3893.06-3896.06] 那個大型的鍛造
[3896.06-3897.06] 那再來就是
[3897.06-3899.06] 現在開始量產的Key In社
[3899.06-3901.06] 以及未來還有一些新的產品線
[3901.06-3904.06] 其實這個都是在我們RFQ的部門
[3904.06-3905.06] 跟著我們Marketing
[3905.06-3907.06] 我們在收集市場的資訊
[3907.06-3912.06] 以及整個所謂的Niche Product的這個內容裡面
[3912.06-3916.06] 我們會自己去找出來一些我們想要發展的一個內容
[3916.06-3919.06] 那當然這個部分並不是客戶下單
[3919.06-3921.06] 這個部分是根據我們自己的判斷
[3921.06-3923.06] Marketing的判斷
[3923.06-3927.06] 這個所謂競爭對手的內容的判斷
[3927.06-3930.06] 我們去做一個這樣的一個新產品的開發
[3930.06-3931.06] 那當然這個成本
[3931.06-3934.06] 就會算在RMD的成本裡面
[3934.06-3940.06] 那至於說客戶來的新的這個產品的開發的訂單
[3940.06-3945.06] 那當然裡面會有所謂一次性的一個報價
[3945.06-3947.06] 那當然這個就是含在報價裡面
[3947.06-3951.06] 那就看我們的業務單位跟客人直接怎麼去
[3951.06-3953.06] 談這個售價的部分
[3953.06-3954.06] 要不要含或不含
[3954.06-3958.06] 那這個就不同的客戶有不同的一個做法
[3961.06-3969.06] 那目前是否有缺斷件
[3969.06-3973.06] 那斷件的部分我想
[3973.06-3976.06] 客戶端我們現在
[3976.06-3981.06] 因為其實Lip在過去這兩三年
[3981.06-3990.06] 因為Airbus跟波音的整個飛機製造的速度變慢下來
[3990.06-3998.06] 所以市場上其實對於斷件的需求並沒有那麼的缺
[3998.06-4001.06] 那當然客戶端現在我們接到
[4001.06-4002.06] 我們跟幾個客戶在談
[4002.06-4012.06] 客戶端也希望能夠繼續在有新的斷造廠商的一個開發
[4012.06-4015.06] 不過這個部分都還在談
[4015.06-4016.06] 我們知道客戶有需求
[4016.06-4019.06] 但是這個部分因為它的
[4019.06-4023.06] 它的認證時間會非常的長
[4023.06-4027.06] 所以這個部分我們都還在跟客戶在討論當中
[4027.06-4030.06] 那或許行長的時候我們也有這個議題
[4030.06-4036.06] 會跟特定幾個客戶來談斷造的部分
[4043.06-4047.06] 就問到我們一個庫存持續暢存的問題
[4047.06-4049.06] 我再補充說明一下
[4049.06-4052.06] 我們庫存過去都可以看到
[4052.06-4055.06] 我們過去大概兩年左右吧
[4055.06-4058.06] 我們的新主要是材料庫存持續增加
[4058.06-4061.06] 那它源自於一個背景就是
[4061.06-4064.06] 在前年或是大前年的時候
[4064.06-4067.06] 我們材料從下訂單到拿到要
[4067.06-4069.06] 大概要80到90周
[4069.06-4072.06] 大概接近快兩年的一個水準
[4072.06-4074.06] 所以在這個前提下我們
[4074.06-4078.06] 當時在下單的時候就特別多買
[4079.06-4082.06] 供應商它的產能就是要那麼久的時候
[4082.06-4085.06] 所以我們其實早在疫情那個階段
[4085.06-4088.06] 就是下單比較多
[4088.06-4091.06] 那也才導致我們現在客戶需求很滿
[4091.06-4093.06] 那我們是可以供應的上的
[4093.06-4097.06] 那現在整個供應鏈的狀況
[4097.06-4102.06] 就材料供應商來講是有慢慢好轉的
[4102.06-4108.06] 那它從今年年初大概70到80周左右
[4109.06-4114.06] 那到現在來講的話已經慢慢往下修正到
[4114.06-4118.06] 大概52周到65周
[4118.06-4120.06] 就看供應商啦
[4120.06-4123.06] 大概52周到65周這個區間
[4123.06-4127.06] 所以它的材料的整個供應是慢慢的在轉好
[4127.06-4132.06] 那所以也根據整個廠商的供應的狀況
[4132.06-4138.06] 轉好的時候我們會開始調節我們的庫存的準備的一個狀況
[4139.06-4141.06] 然後就不用再像過去
[4141.06-4145.06] 我們要拉很長的時間做材料的一個準備
[4145.06-4149.06] 那它已經有構成一條說
[4149.06-4152.06] 就是整個資金的安排等等的
[4152.06-4154.06] 那因為我們會開始做調節
[4154.06-4158.06] 所以對資金的壓力相對就會稍微減輕一點
[4162.06-4167.06] 還有問到全年所得稅率這件事
[4167.06-4168.06] 嗯這
[4168.06-4169.06] 就真的比較不好
[4169.06-4173.06] 因為我們現在大概會有三個地方
[4173.06-4175.06] 一個是中國一個是馬來西亞
[4175.06-4176.06] 然後一個是臺灣
[4176.06-4178.06] 那各自會有各自的稅率
[4178.06-4180.06] 那這個就真的很抱歉
[4180.06-4184.06] 比較沒有辦法講一個比較精準的
[4184.06-4186.06] 或者是一個預估的數字出來
[4186.06-4192.06] 因為三地都會有所謂的
[4192.06-4195.06] 所得稅的一個優惠強低的一個條件
[4195.06-4198.06] 那各地都有不同的一個金額存在於那邊
[4198.06-4204.06] 那通常都是要等報稅的時候會比較清楚一點
[4204.06-4205.06] 對
[4210.06-4214.06] 出國的方式FOP
[4214.06-4216.06] 嗯我們直接
[4216.06-4219.06] 他在問我們直接出美國的交易
[4219.06-4221.06] 應該是交易條件啦
[4221.06-4224.06] 那我們主要大概都是
[4224.06-4226.06] 因為很雜齁
[4226.06-4227.06] 我只能簡單用一個二分法來講
[4228.06-4232.06] 就是CIF以前的交易條件居多
[4232.06-4236.06] 那CIF以後的交易條件很少
[4236.06-4239.06] 對那可能可以解釋這個問題就是
[4239.06-4242.06] 大部分都是在臺灣就交給客人
[4242.06-4248.06] 然後客人去負責他的續併的相關報關的一個事情
[4254.06-4257.06] 那我想各位的問題我們
[4258.06-4261.06] 大概都回覆了
[4261.06-4263.06] 那如果還有什麼其他的
[4263.06-4267.06] 我們待會可以再來談
[4267.06-4270.06] 我知道大家喜歡這樣子
[4270.06-4271.06] 待會再來談
[4271.06-4274.06] 好那我們今天的法案說明會就到此結束
[4274.06-4277.06] 那謝謝金團跟投資人法人的參加
[4277.06-4278.06] 謝謝
