[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-32.00] 我总是守护你的安全
[2850.44-2852.48] 專業領域上精益求精
[2852.74-2854.78] 社會公益也薄弱人後
[2855.04-2857.34] 我們積極參與各項公益活動
[2857.86-2860.68] 善盡企業回饋社會責任之義務
[2860.94-2861.96] 在教育方面
[2862.22-2865.02] 我們捐贈的設備與中華大學
[2865.28-2867.08] 共同成立的影像實驗室
[2867.34-2869.38] 在對偏遠地區學校
[2869.64-2870.92] 我們也捐贈物資
[2871.42-2872.46] 甚至以幫助
[2872.96-2873.48] 貧困家庭
[2873.78-2875.32] 捐助的講助學金
[2875.58-2876.34] 以及
[2876.60-2877.62] 靜態活動等等
[2877.88-2878.90] 未來我們當然
[2879.16-2880.18] 會繼續
[2880.44-2881.46] 擴大這個範圍
[2882.74-2885.04] 市場上朝國際化佈局
[2885.30-2886.06] 技術上
[2886.58-2887.60] 朝AI佈局
[2887.86-2888.88] 在產品上面
[2889.14-2889.66] 增加
[2890.16-2891.18] 多元化的產品
[2891.44-2893.74] 以及海外擴增的計劃
[2894.00-2894.78] 來達到
[2895.02-2896.06] 未來的一個
[2896.30-2896.82] 設計藍圖
[2897.34-2898.10] 然後把
[2898.36-2898.86] 公司
[2899.64-2901.68] 能夠成為世界級的AI的
[2901.94-2903.22] 光學影像專家
[2903.78-2904.80] 完成客戶
[2905.06-2905.58] 托付之
[2905.82-2906.86] 不可的任務
[2907.10-2907.62] 就是
[2908.14-2909.16] 公司全體
[2909.42-2909.92] 共同的目標
[2921.18-2925.80] 掌聲送給我們的荷亞智慧科技謝謝
[2926.06-2931.68] 相信各位投資先進透過這一段影片對於荷亞都有了初步的一個了解了
[2931.94-2933.74] 而接下來呢也讓我們
[2933.98-2941.98] 邀請到荷亞智慧陳志忠總經理對公司未來營運做進一步的說明掌聲歡迎陳總經理有請
[2954.26-2959.90] 各位投資先進各位媒體朋友各位與會的貴賓大家午安大家好
[2960.92-2963.74] 我今天的簡報大概會分成四個部分
[2963.98-2969.42] 分別是公司介紹技術跟產品財務指標以及未來展望
[2972.48-2978.38] 我第一個部分先從公司介紹起首先跟大家介紹荷亞智慧科技股份有限公司
[2978.62-2984.00] 公司成立的時間是在2015年那今年正好是我們營運的第10年
[2984.26-2988.86] 走過這個公司的第一個10年我們在今天達到一個重要的里程碑
[2989.12-2993.48] 早上我大概從這個CHAT GDP問了一下從公司成立到今天
[2993.98-2996.08] 剛好3600天
[2996.60-2999.16] 那3600天是我們這個10年的整數
[2999.42-3003.26] 那這個01一方面是我們達到一個里程碑的一個開始
[3003.50-3004.28] 那二方面
[3004.54-3009.14] 也等於是說我們在未來下個階段掌握的一個很好的這個起點
[3009.90-3015.28] 那走過公司的第一個10年我們今天達到這個里程碑呢
[3015.80-3018.36] 當然我們在過去的這個里程碑
[3018.62-3023.48] 的達成的過程當中我們的同仁參與的很多所以首先我也要趁這個機會
[3023.78-3024.80] 感謝我們的
[3025.06-3027.10] 同仁這個團隊
[3027.36-3029.16] 在過去的10年當中非常努力
[3029.42-3029.92] 那
[3030.18-3036.06] 如果有在線上參與直播的同仁們我們也想把這個榮耀獻給你們謝謝
[3040.16-3043.74] 那雖然這只是第一個10年但是在公司
[3044.00-3047.84] 成立之前我們早已在光學影像領域耕耘已經超過10年
[3048.62-3052.70] 那公司創立一開始是在台北我們從幾個co-founder
[3052.96-3053.74] 籌資了一兩千年
[3053.98-3055.32] 從立空公司開始
[3055.82-3060.70] 那一路的艱辛的走到今天那資本已經來到2.23億
[3061.46-3065.56] 目前我們有四個營運的據點除了新竹的營運總部之外
[3065.82-3066.84] 那我們在台北
[3067.60-3070.16] 台中還有深圳都有設有辦事處
[3070.94-3076.30] 那台北公司主要是以AI演算法以及影像測試的軟體開發為主
[3076.56-3080.92] 那在新竹的話則是以半導體檢測跟智慧製造的軟體開發為主
[3081.42-3083.48] 台中的話主要是以光學檢測跟
[3083.78-3084.54] 系統開發為主
[3085.58-3093.76] 那目前的員工人數從早期公司剛出創的時候由董事長帶著一位助理就兩個人
[3094.02-3094.54] 這樣一路走過來
[3094.78-3099.40] 那歷經了10年之後呢我們如今員工人數已經來到這個90位
[3099.90-3102.72] 那其中大概有一半都是研發的人員
[3102.98-3106.82] 那再有一大半還是屬於這個軟體的研發為主
[3107.84-3112.46] 所以可見我們對這個發展核心技術的重視
[3112.70-3113.74] 在我們著重的原因是因為我們在台北的工廠中
[3113.78-3116.34] 在台北的研發領域呢目前已經取得18項
[3116.60-3118.14] 跟這個深層式AI
[3118.38-3120.18] 類神經網路資料擴增
[3120.70-3125.82] 光學影像演算法等相關的專利而且這個還在逐步的擴展當中
[3126.84-3132.98] 公司每年我們還是投入約佔營業的20%作為我們開發下一代
[3133.24-3134.78] 這個技術開發的資金資源
[3135.28-3138.86] 公司的經營團隊是由董事長石文基先領軍
[3139.38-3142.46] 那董事長剛有在這個介紹當中有提到
[3142.70-3143.22] 他
[3143.78-3144.80] 是以研發出身
[3145.32-3150.44] 那過去只要的一路大概從這個研發工程師到部門主管再到
[3150.70-3152.22] 事業部的最高主管
[3152.48-3153.50] 一直到創業
[3154.02-3158.88] 那這個過程當中呢累計也超過了30年的這個光學影像的開發經驗
[3159.40-3165.54] 那過去帶領的這個研發團隊現在也都開枝散葉在這個光學影像各個行業當中
[3165.80-3166.82] 當然要值
[3168.62-3173.22] 那我跟董事長跟另外一個co-founder我們其實是在之前的公司
[3173.22-3173.98] 認識的
[3174.24-3178.86] 那我個人過去在一家跨國公司擔任負責台灣
[3179.10-3179.62] 香港
[3179.88-3181.66] 深圳跟歐洲的
[3182.18-3182.94] 公司的營運管理
[3183.20-3184.48] 以及業務開發的工作
[3184.74-3189.10] 那麼我在營運管理跟這個業務開發工作帶有25年的經驗
[3192.42-3196.26] 好那我們來回顧一下公司過去10年的發展歷程
[3196.78-3198.56] 那剛提到說公司
[3199.08-3200.62] 2015年在台北創立
[3200.86-3201.64] 那
[3201.90-3202.66] 這個原名是
[3203.22-3206.04] 創業初期呢我們就
[3206.54-3208.08] 啟動第一個這個發展引擎
[3208.34-3209.62] 也就是我們最核心的
[3210.14-3212.44] 測試軟體好跟這個演算法
[3212.94-3218.06] 那公司成立開始我們當然是以銷售軟體跟演算法作為我們的主要營收來源
[3218.58-3222.16] 但是越來越多客戶希望我們能做的不只是軟體
[3222.42-3226.00] 他也需要這個硬體來搭載我們的演算法跟測試軟體
[3226.78-3228.56] 這樣的話才能發揮更高的效益
[3228.82-3231.12] 所以我們在2016年就在台中
[3231.38-3232.40] 成立的自動化團隊
[3233.22-3237.06] 那這個也是啟動了我們第二個發展引擎也就是軟硬結合
[3238.34-3240.90] 那在軟硬結合的方案輸出以後呢
[3241.16-3244.48] 很順利我們在2017年就進入日本市場
[3244.74-3247.04] 然後取得我們日本車載攝像頭模組
[3247.30-3247.82] 客戶的
[3248.06-3249.10] 檢測設備訂單
[3249.60-3251.66] 那這個也是我們進入日本市場
[3251.90-3252.94] 很重要的一
[3253.70-3259.58] 在2018年我們則是跟中國大陸的手機品牌合作3D感測模組的檢測方案
[3259.84-3262.66] 那透過我們對光學模組的了解
[3262.92-3263.18] 以及
[3263.48-3265.26] 光學演算法的自主開發
[3265.52-3268.60] 完成了一系列3D感測模組的解決方案
[3269.36-3273.46] 那從Vixel的單體檢測一直到Projector的模組檢測
[3273.72-3276.28] 一直到TXRX的光學校正
[3276.54-3279.34] 那這些方案在當時的安卓手機的
[3279.60-3282.16] 感測模組上有非常完整的檢測方案
[3282.42-3282.94] 那
[3283.18-3284.46] 市佔率也超過50%
[3286.00-3291.38] 那到了2019年呢我們就啟動了第三個發展引擎也是非常關鍵的引擎也就是AI
[3291.90-3293.18] 我們自主開發的
[3293.48-3293.98] AI演算法
[3294.24-3296.30] 結合大廠的AI語言模型之後
[3296.54-3300.38] 我們推出了PCB行業的AI的瑕疵分類的方案
[3300.90-3303.72] 那開始了我們在AI結合影像的市場應用
[3304.74-3309.10] 在2020年呢我們推出了具有三維簡直的3D檢測方案
[3309.34-3312.42] 那應用的話是在高孔深比的孔深量測
[3312.68-3314.72] 以及在Y-bound的3D量測
[3315.24-3318.82] 那也在同一年我們開始跟日亞化學展開合作的交流
[3319.34-3322.66] 那透過合作交流的過程彼此更深入的了解
[3323.42-3327.82] 在技術上得到日亞化學的認可那也在隔年也就是2021年
[3328.08-3330.90] 日亞化學便透過台亞半導體來投資我們
[3331.16-3331.92] 成為我們最大
[3332.18-3333.72] 也最重要的法人股東
[3335.76-3340.12] 因為這個機遇加上我們自己在AI光學影像的技術整合能力
[3340.38-3344.72] 我們在2022年也推出了半導體的晶圓光學影像
[3344.98-3347.28] 結合我們自己AI的這個檢測方案
[3347.80-3351.12] 那以及在智慧製造數據整合的方案
[3351.38-3352.92] 那這也是我們第四個發展引擎
[3353.22-3359.36] 2023年因應了元宇宙市場的需求我們推出了AR模組
[3359.62-3360.90] 光學精密對位的系統
[3361.16-3363.98] 那再一次以我們對於光學模組的
[3364.22-3366.54] 了解跟掌握以及我們自己
[3366.78-3368.32] 自主開發的影像演算法
[3368.58-3369.60] 我們輸出了
[3369.86-3372.42] AR模組的光學影像精密對位系統
[3372.68-3376.52] 那這樣的系統也獲得在這個領域具有領導並排客戶的採用
[3377.54-3383.18] 那到了2024年公司在經歷10年的成長之後呢
[3383.42-3387.06] 因應更貼近市場更貼近客戶的經營思維
[3387.32-3391.16] 公司決定再把營運總部從台北搬遷到新竹的
[3391.42-3394.22] 台灣科學園區那這是一個自購的廠辦園區
[3394.74-3398.32] 同時我們因應台亞半導體的集團營運需求
[3398.58-3402.16] 那整體的規劃所以公司從原來的耗電光電
[3402.42-3403.18] 改名為
[3403.44-3404.22] 和亞智慧科技
[3405.74-3411.90] 以上是公司的第一個10年簡單的發展演格是我第一部分對公司概況的一個說明
[3413.22-3418.34] 那第二部分的話我們要談關於技術跟產品
[3418.60-3421.92] 那我想透過第一部分公司介紹大概各位可以發現
[3422.44-3426.78] 和亞從過去發展累積的技術大約歸為三個核心
[3427.04-3428.58] 這個剛剛董事長提過
[3428.84-3429.34] AI
[3429.60-3430.88] 光學跟影像
[3431.66-3433.70] 其中我們是以光學作為發動機
[3433.96-3436.00] 針對檢測標的物的特性
[3436.26-3437.80] 搭建對應的光學系統
[3438.30-3441.12] 配合不同波長的光源進行帶測物的取向
[3441.38-3443.18] 那取向之後呢再交由我們的
[3443.48-3445.26] 影像檢測的軟體進行
[3445.52-3446.80] 演算跟前處理
[3447.58-3448.60] 那在
[3448.86-3450.38] 影像品質的檢測
[3450.64-3455.00] 瑕疵的檢測到光學對位系統的補償演算法這個都需要用得到
[3455.50-3459.60] 到最後再由AI做後續的物件識別或數據分析等等
[3462.42-3468.30] 那這三個核心的技術在許多的市場都會需要應用的到舉方像半導體
[3469.08-3470.10] 像汽車
[3470.36-3472.14] 機器人消費電子
[3472.40-3472.92] 醫療照護
[3473.22-3474.50] 工業等等都有機會
[3474.76-3475.52] 應用的這個機會
[3476.04-3480.64] 例如在半導體我們廣泛知道需要2D跟3D的光學檢測
[3481.16-3486.54] 在機器人行業則需要2D或3D的深度感知以及AI的物件識別
[3487.82-3488.58] 在汽車行業
[3488.84-3491.66] 則需要有3D感測模組或是熱成像模組
[3492.16-3494.46] 以及在消費電子的這個ARVR
[3494.72-3496.52] 光學模組的檢測等等
[3499.84-3500.36] 那
[3501.12-3503.18] 有這麼大的這個市場的應用
[3503.48-3506.80] 那加上公司發展之際的四個成長引擎
[3507.06-3507.82] 也就是說
[3508.08-3510.14] 剛這個公司介紹我們
[3510.38-3511.66] 提到的幾個發展引擎
[3511.92-3513.46] 包含像軟體跟演算法
[3513.72-3515.26] 檢測的系統跟平台
[3515.76-3516.78] 第三個是AI
[3517.04-3518.58] 最後是說我們把AI
[3518.84-3519.86] 光學影像
[3520.12-3521.14] 整合智慧製造
[3521.40-3522.16] 這四個發展引擎
[3522.94-3525.50] 那我們面對市場的自我定位是AI
[3525.74-3528.06] 光學影像的系統整合方案上
[3528.82-3531.64] 那這裡的方案形態有偏硬體的檢測設備
[3532.14-3533.18] 或是光機模組
[3533.48-3536.30] 也有偏軟體的測試軟體或是演算法
[3536.80-3539.62] 乃至於大數據的分析跟智慧製造的系統整合
[3540.14-3540.90] 那我們會看
[3541.42-3542.94] 客戶的需求會搭配組合
[3546.28-3547.82] 那如果我們從解決方案
[3548.84-3550.88] 的維度來看的話大概分成幾個系列
[3551.14-3552.94] 第一個是我們AI應用的系列
[3553.70-3556.78] 那AI的系列上面有包含了AI的復判系統
[3557.02-3560.36] 有包含了瑕疵分類系統以及Training的工具軟體
[3560.62-3563.18] 物件識別以及後續開發的AI CAM的
[3563.48-3563.98] 等等
[3564.24-3568.60] 那在演算法系列則有Camera Module也好或3D感測模組
[3568.86-3572.94] 像AR的光學模組這些需要的測試的軟體演算法
[3573.46-3575.76] 另外我們在做精密的光學對位
[3576.02-3578.58] 也需要到主動式的光學對位的演算法
[3578.84-3581.14] 以及最後的數據分析等等
[3581.90-3586.00] 那在檢測設備系列呢包含像A的系列
[3586.26-3588.06] 像AOI的系列
[3588.56-3591.12] 然後有3D感測模組的檢測系列
[3591.38-3593.18] 還有這個模組的影像平台
[3593.48-3594.50] 還有這個品質檢測系列
[3595.78-3596.30] 那
[3596.54-3599.36] 在這個產品跟方案的搭配組合
[3599.62-3600.64] 那我們的
[3600.90-3601.66] 財務指標
[3603.20-3605.00] 首先呢我們在過去四年
[3605.26-3607.04] 公司的獲利持續成長
[3607.56-3610.88] 在軟體系統整合跟高階檢測
[3611.14-3612.42] 設備的出貨帶動之下
[3612.68-3614.98] 毛利跟淨利都逐漸攀升
[3615.50-3617.54] 同時在EPS也繳出亮麗的成績
[3617.80-3619.34] 我們從21年的0.2
[3620.36-3621.38] 22年的0.8
[3621.64-3622.92] 23年的1.25
[3623.22-3625.52] 到24年去年要升到2.79
[3629.36-3631.42] 那在營收的類別分布方面
[3631.66-3636.28] 剛剛提到我們的銷售方案的產品組合有偏硬體的光機
[3636.78-3638.06] 系統跟檢測設備
[3638.32-3640.38] 也有偏軟體的測試軟體
[3640.88-3642.16] AI演算法跟系統整合
[3642.94-3646.26] 那這些在我們歷年的成長中也可以看到各個產品
[3646.52-3647.80] 類別的持續成長
[3651.12-3653.18] 最後一部分來談談我們的未來展望
[3653.48-3657.82] 首先我們是從宏觀的角度去看市場機會
[3658.08-3662.94] 從幾個市調機構包含這個Fortune跟MarkitUS來看
[3663.72-3664.74] 到了2032年
[3665.00-3667.56] 機器視覺的市場規模大約200多億
[3667.82-3669.60] Kager大約8.7左右
[3670.12-3672.42] 如果我們再把AI結合
[3672.68-3673.44] 影像視覺
[3673.70-3678.82] 整體的應用市場規模會到2033年會超過千億
[3679.34-3681.64] 這個複合增長率約在27%
[3681.90-3683.18] 可見AI結合
[3683.48-3685.26] 視覺光學的應用多麼驚人
[3685.78-3687.58] 那在這麼大的市場規模中
[3687.82-3691.16] 主要的驅動力還是來自於智慧製造的AI檢測系統
[3691.66-3692.18] 自駕車
[3692.94-3693.72] 安防監控
[3694.22-3695.26] 健康照護等等
[3695.76-3698.06] 這個跟我們前面談的市場布局是不謀而合
[3700.88-3707.02] 那從我們自身的角度來看的話還有幾個會驅動AI加光學加影像市場
[3707.28-3708.06] 需求的幾個變因
[3708.82-3710.10] 第一個是全球缺工
[3710.36-3711.12] 那
[3711.38-3712.66] 在世界各國
[3712.92-3714.96] 人口負增長的趨勢之下
[3715.22-3717.02] 缺工情況會越來越嚴峻
[3717.52-3719.32] 那這個也是各種人行機器人
[3719.82-3720.86] 照護機器人
[3721.62-3722.38] 協作機器人
[3722.64-3723.16] 蓬勃
[3723.66-3724.44] 發展的原因
[3725.20-3728.54] 那再加上AI技術日益精進的推波助人之下
[3728.78-3730.06] 我們認為對AI
[3730.32-3732.62] 結合光學影像的需求將會快速成長
[3733.66-3734.16] 第二
[3734.68-3735.44] 無人載具
[3735.96-3737.74] 各種無人載具包含無人機
[3738.00-3738.78] 無人車
[3739.02-3740.06] 無人船等等
[3740.56-3742.36] 這些無人載具也需要各種2D
[3742.66-3743.68] 3D的視覺系統
[3744.20-3747.26] 搭配AI簡知的技術來達到各種
[3747.78-3749.06] 視覺輔助判斷的功能
[3750.34-3751.62] 第三是去全球化
[3751.88-3753.42] 關稅戰
[3753.66-3756.22] 這一周來相信大家看到關稅戰的威力
[3756.48-3758.54] 除了短期的影響之外呢
[3758.78-3759.56] 對於
[3759.82-3761.10] 製造行業的
[3761.60-3763.66] 價值鏈長期的影響也很大
[3763.90-3767.74] 那許多製造行業可能在去全球化的浪潮下需要
[3768.00-3771.08] 轉移生產製造基地
[3771.58-3772.62] 所以對於智慧
[3772.86-3774.46] 製造的需求也會快速增加
[3774.70-3777.02] 那這個不僅僅是設備本身的智能化
[3777.26-3779.58] 也包含生產大數據的智慧化
[3780.34-3780.86] 那
[3781.10-3785.46] 唯有透過如此才能以更少的人力投入完成製造體系的快速轉移
[3788.78-3789.56] 好那
[3789.82-3792.88] 最後我們來回顧一下剛剛何雅在
[3793.14-3795.44] AI光學影像的佈局
[3795.70-3799.54] 那除了我們已經完全完成開發的核心技術之外
[3799.80-3802.62] 我們將繼續在這三個領域會持續做投入
[3802.92-3806.24] 包含像光學領域的TGV檢測
[3806.50-3809.58] 在我們的會長後方有相關的這個檢測的演示
[3810.08-3811.10] 那還有Service Scan
[3811.36-3815.46] 以及目前正在研發當中的Metalase的檢測
[3816.22-3818.54] 以及我們在AI領域會
[3819.04-3822.12] 有大數據分析演算法跟知識管理系統的研發
[3822.38-3826.22] 那麼在影像領域則佈局細光值的AAO和演算法
[3826.98-3827.74] 那不僅如此
[3830.56-3832.36] 在AI結合光學
[3832.66-3835.74] 結合影像的整合應用還有許多延伸的技術佈局
[3835.98-3839.06] 例如我們結合了AI跟光學的Super Resolution
[3839.32-3842.64] 以及結合AI跟影像的AI Auto Game Control
[3842.90-3843.92] 還有電子圍籬
[3844.18-3847.00] 輕量化的AI邊緣運算系統
[3847.26-3851.60] 乃至於系統級別的產品例如Smart Camera以及AI Box
[3852.62-3855.70] 這些都是公司準備佈局的研發方向
[3856.46-3857.50] 那麼綜合以上
[3857.74-3859.80] 何雅智慧未來規劃在市場
[3860.30-3860.82] 技術
[3861.58-3862.36] 商業模式
[3862.66-3864.46] 運營等等都要全面佈局
[3864.70-3867.26] 而支撐未來公司發展的基礎
[3867.52-3869.06] 則是永續經營的政策
[3869.82-3871.36] 我們除了採用集團
[3871.62-3875.72] 公司生產的各種優質的低功耗低碳足跡的產品之外
[3876.22-3879.82] 公司也參與各種淨灘活動做到環境保護的責任
[3880.58-3884.16] 同時在公司治理則遵循各項法律規範
[3884.68-3885.44] 正規經營
[3885.70-3888.26] 做到誠信經營跟保障股東權益的責任
[3889.02-3890.30] 在社會責任方面
[3890.56-3892.62] 公司則參與的各項醫療
[3892.92-3893.42] 的活動
[3893.94-3896.24] 對於本土文創以及對於
[3896.76-3898.80] 偏鄉弱勢的資助也不予以利益
[3899.82-3902.90] 公司在未來也會持續參與各項的ESG活動
[3903.66-3905.46] 以上是
[3905.72-3908.28] 我們對何雅的整體的介紹
[3908.54-3909.04] 謝謝各位
[3909.56-3915.18] 謝謝陳總經理的一個精彩分享那也請總經理稍先留步一下
[3915.44-3921.58] 接下來就是我們今天的Q&A問答時間有請各位投資先進對於我們何雅智慧有
[3921.84-3922.62] 任何的相關問題
[3922.92-3925.22] 都歡迎踴躍的舉手發言
[3925.48-3928.80] 那一旁的工作同仁也會為您遞上麥克風
[3932.64-3938.78] 那在這邊問一下我們各位現場的投資先進有任何的相關問題都可以把握住今天
[3939.04-3941.10] 這個機會一起來進行討論
[3941.34-3941.86] 提出
[3953.18-3958.04] 有哪一位投資先進有問題嗎有歡迎舉手來讓我們
[3958.30-3960.60] 有請我們第一排後方的
[3960.86-3961.88] 男生
[3962.14-3963.92] 這位投資先進有請
[3970.58-3976.72] 總經理你好我想有兩個問題要詢問一下貴公司就是貴公司目前未來轉上市或上貴的
[3976.98-3978.00] 時程表
[3978.26-3982.62] 然後以及未來IPO時程及事故的相關計畫這樣子謝謝
[3982.92-3989.06] 好的謝謝這位投資先進的提問
[3989.32-3995.46] 是這樣公司在4月2號已經通過這個董事會
[3995.72-3996.74] 授權董事長
[3997.26-3998.28] 我們會
[3998.54-4003.40] 公司整體運營的情況會向主管機關提出這個申請
[4003.90-4008.26] 目前預計的時程大概會在今年的Q4到明年Q1之間
[4009.54-4011.58] 第二個是說在這個
[4011.84-4016.70] 事故的這個計畫部分的話我們大概是遵循這個法令的規定
[4016.96-4018.74] 除了10%到15%
[4019.00-4022.84] 保留給員工之外那其餘的話會全數提撥用來做公開
[4023.10-4027.70] 那我們當然也會協調原股東去放棄他優先人口權
[4027.96-4029.76] 以上是公司這邊的回顧
[4030.78-4036.92] 謝謝陳總經理的一個回覆也謝謝投資先進的一個提問那今天現場還有其他投資先進
[4037.18-4038.72] 有任何的相關問題嗎
[4041.58-4043.58] 請問有任何問題就請請
[4047.22-4053.36] 如果沒有問題的話在這邊也讓我們一起掌聲謝謝陳總經理的一個精彩分享以及回覆
[4053.62-4054.38] 謝謝
[4054.90-4057.20] 請總經理稍前就座休息
[4057.46-4063.60] 那我們台亞集團在近年來陸續孵出一個個的小金雞就未來台亞的營運方針
[4063.86-4066.66] 方針及策略我們現在就是邀請到了
[4066.92-4071.54] 台亞半導體蔡允燊總經理來為我們分享未來的一個方針
[4071.84-4075.42] 發展營運展望掌聲有請我們的蔡總經理
[4082.08-4083.62] 各位投資先進
[4084.12-4086.18] 媒體朋友以及在座的
[4087.20-4088.22] 台亞集團董事長
[4088.74-4089.24] 李董事長
[4089.50-4090.02] 大夫董
[4090.26-4091.80] 日牙化的時尚副總
[4092.06-4093.34] 跟子集團各個董事長
[4093.60-4095.38] 石董簡董王董
[4095.90-4097.70] 跟各位在場的朋友大家好
[4097.94-4099.22] 剛剛男主角
[4099.48-4100.50] 亮麗登場
[4101.02-4103.06] 所以接下來由我男配角1號
[4104.60-4107.92] 為各位接下來10分鐘為各位介紹一下台亞集團目前
[4108.18-4111.50] 2024的營運狀況未來的發展策略集團策略
[4112.02-4112.78] 未來方向
[4113.04-4114.32] 那最後會以
[4114.84-4116.62] 非清除血糖專案的
[4116.88-4118.42] 進度報告來做個結尾
[4125.84-4130.46] 首先看到2024年整個集團營收那這邊特別把集團的定義
[4130.70-4132.04] 這個表上所
[4132.54-4133.82] 所列的營收範圍
[4134.34-4136.14] 大概說明一下包含台亞
[4136.38-4137.92] 西亞灌亞新亞
[4138.44-4141.00] 這四個單位的營收
[4141.26-4144.06] 那在2024年整個集團營收達到43億
[4144.32-4149.18] 其中最主要的收入來源還是我們的中流砥柱就是我們的感測元件
[4149.44-4152.00] 大概營收佔了24.5億
[4153.02-4156.10] 57個百分點是來自於percent是來自於
[4156.62-4158.40] 我們的感測元件
[4158.66-4160.46] 那另外排名第二跟第三的
[4160.76-4161.78] 分別是我們的系統
[4162.04-4163.82] 所謂系統其實就是我們的
[4164.34-4165.36] 新亞視覺
[4165.88-4168.44] 這個部分在去年貢獻了8億的營收
[4169.98-4174.06] 佔整個公司的營收大約18%另外第三個
[4174.32-4176.88] 跟第二差不多是在我們的傳統比較
[4178.16-4179.70] 之前的發射元件的部分
[4179.96-4182.26] 7.3億的營收佔比17%
[4182.52-4185.84] 另外在其他的部分也貢獻了3.24億
[4187.12-4189.94] 那如果對比2023年來看其實
[4190.20-4190.46] 在
[4190.76-4191.52] 右邊各位可以看到
[4192.54-4193.32] In our of year
[4193.58-4197.16] 從2024到2023對比的狀況下我們的感測
[4198.18-4199.98] 發射以及系統
[4200.48-4201.00] 三個
[4201.26-4202.02] 產品別
[4202.28-4203.30] 或三個事業部
[4203.56-4205.60] 基本上都實現了雙位數的成長
[4206.12-4208.16] 那在感測的部分營收
[4208.42-4211.74] 對比2023年增加了2億8300萬
[4212.52-4213.54] 13%的增長
[4214.06-4214.56] 那在
[4215.84-4216.86] 發射的部分
[4217.12-4218.66] 6500萬營收的增長
[4218.92-4220.20] 約是對比
[4220.50-4221.78] Ear over year是10%
[4222.30-4223.58] 那在系統的部分
[4223.82-4226.90] 7100萬也是有10%的Ear over year的Growth
[4233.04-4233.82] 接下來很快
[4234.32-4235.86] 看一下集團的
[4236.62-4237.14] 策略
[4237.40-4239.18] 跟未來的技術藍圖方向
[4239.44-4240.46] 首先在
[4240.72-4241.74] 集團策略部分
[4242.78-4243.54] 第一個
[4244.06-4247.12] 產品的品質跟客戶的滿意度一直是我們
[4247.90-4249.18] 台亞營運團隊的最
[4249.42-4250.46] 最重要的
[4250.76-4254.34] 優先等級的Priority
[4254.60-4255.10] 那
[4256.38-4258.18] 我們會持續在品質跟
[4258.44-4259.46] 客戶服務部分
[4259.72-4261.00] 持續做強化跟
[4261.26-4263.56] 維持良好的客戶關係
[4264.06-4266.12] 另外一個第二個主要
[4266.38-4267.90] 最重要的集團策略是
[4268.16-4269.70] 持續產品的創新
[4270.46-4272.52] 怎麼樣讓我們台亞的產品
[4272.78-4274.82] 持續有Pipeline for next generation
[4275.08-4276.62] 這個是一直是我們
[4276.86-4278.14] 很努力的一個目標
[4279.42-4280.46] 在加強
[4280.76-4282.80] 加速產品開發的同時也為了將來
[4283.06-4284.08] 未來的營收
[4284.86-4285.88] 壯大我們營運的
[4286.14-4286.90] 的量能
[4287.42-4288.44] 做出準備
[4288.94-4292.28] 那在第三個部分就是要提升我們的營運效率
[4292.54-4295.34] 以便達到降低成本的這個目標
[4295.60-4297.14] 提升產品的毛利
[4297.66-4298.94] 那第四個
[4299.70-4301.24] 就是其實在過去兩年
[4301.50-4302.52] 我們集團
[4303.28-4303.80] 很
[4304.82-4305.84] 花了很多的
[4306.10-4307.90] 資源投入的就是在
[4308.40-4310.46] 寬能系化合物半導體的部分
[4310.76-4312.54] 也就是所謂的Citizen Carbide
[4312.80-4313.82] 跟Gallium Nitride的部分
[4314.08-4316.90] 這個也是集團多元化發展的一個
[4317.16-4317.66] 當項
[4318.44-4319.20] 那最後
[4320.48-4323.30] 自主開發是另外一個我們集團
[4323.56-4325.34] 營運的策略
[4326.62-4329.44] 這邊提到的主要是新的基材
[4329.70-4331.24] 包括累積技術的開發
[4331.50-4333.28] 讓我們的成本結構能夠
[4333.54-4334.30] 得到更
[4334.56-4335.34] 更好的改善
[4336.62-4338.92] 以上是我們集團的五個經營策略
[4339.18-4340.46] 那接下來看到技術欄
[4340.76-4341.26] 的概圖
[4343.58-4347.66] 首先在感測的部分我先提一下最近的一些新的發展跟
[4348.44-4350.22] 2025年開始會看到
[4350.74-4351.26] 之前的
[4351.50-4352.02] 耕耘
[4352.28-4353.04] 開始會有
[4353.56-4356.88] 成果展現的部分首先是在發射元件的部分
[4357.40-4358.68] 除了這邊看到
[4359.18-4360.22] 最近的
[4360.98-4361.50] VCell
[4361.74-4363.02] 就是所謂的雷射二極體
[4363.54-4364.30] 跟剛剛
[4364.82-4366.86] 跟待會會提到的SWIRE
[4367.12-4368.14] 就是我們的短
[4368.66-4370.46] 短波紅外的部分會應用在
[4370.76-4371.52] 健康監測
[4371.78-4373.32] 這是我們現在發射元件
[4373.58-4375.10] 這兩年持續在
[4376.14-4377.42] 耕耘的一個方向
[4378.94-4384.58] 截至目前為止在雷射二極體VCell的部分其實我們已經從今年上半年開始
[4384.84-4386.38] 陸陸續續送樣給我們的客戶
[4386.62-4392.26] 那SWIRE的部分待會在NICGM非新疆式聯繫血糖監測的部分會特別再提到
[4392.78-4393.28] 那在
[4394.06-4396.36] Sensor也就是我們的感測元件部分
[4396.62-4400.20] 就如從剛剛各位看到的他一直是台亞這幾年來
[4400.50-4401.78] 營收的主要
